obs_id,taxon_name,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,submitted_name,subgroup,common_name,body_part,sample_info,ca_mg,fe_mg,zn_mg,epa,dha,protein,fat,biblio_id,location,season,comments_on_data_processing_methods,publication_year,food_item_id,realm
bc163,Carassius carassius,2.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.11,temperate,fusiform / normal,demersal,NA,64,Carassius carassius,Finfish,Crucian carp,muscle_skinless,"Crucian carp, wild, skinless fillet, raw",57,0.8,0.5,NA,NA,18,1.2,fi32,"Greece, Evros River",Summer 1988,NA,1989,0900163,freshbrack
bc228,Carassius carassius,2.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.11,temperate,fusiform / normal,demersal,NA,64,Carassius carassius,Finfish,Crucian carp,muscle_skinless,"Crucian carp, wild, skinless, boneless fillet, raw",NA,NA,NA,0.07539,0.05026,NA,1.5,fi47,"Greece, Evros River",Jul-Aug 1987,FA converted using XFA,1991,0900228,freshbrack
bc1014,Carcharhinus limbatus,4.333333333333333,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.46,subtropical,fusiform / normal,reef-associated,100,275,Carcharhinus limbatus,Finfish,Blacktip shark,muscle,"Blacktip shark, wild, fillet (along dorsal line), raw",NA,NA,NA,0.01,0.0577,24.3,0.4598,fi166,"Unknown, Gulf of Mexico",Jun (Summer) 1990,NA,1994,0901033,brackmarine
c96,Catostomus catostomus,4.6,plants/detritus+animals (troph. 2.2-2.79),grazing on aquatic plants,3.1099998950958248,temperate,fusiform / normal,demersal,180,64,Catostomus catostomus,Finfish,Longnose Sucker,muscle,"Longnose Sucker, muscle",63.1,0.3,0.5,0.075,0.212,17.7,1.2,2,NA,NA,NA,NA,NA,freshbrack
c100,Catostomus commersonii,4,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),2.46,temperate,fusiform / normal,demersal,NA,65,Catostomus commersonii,Finfish,White Sucker,whole,"White Sucker, whole",NA,NA,NA,NA,NA,16,3.8,27,NA,NA,NA,NA,NA,freshbrack
c98,Catostomus commersonii,4,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),2.46,temperate,fusiform / normal,demersal,NA,65,Catostomus commersonii,Finfish,White Sucker,muscle,"White Sucker, muscle",NA,NA,NA,NA,NA,17.7,1.5,27,NA,NA,NA,NA,NA,freshbrack
c99,Catostomus commersonii,4,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),2.46,temperate,fusiform / normal,demersal,NA,65,Catostomus commersonii,Finfish,White Sucker,muscle,"White Sucker, muscle",19.6,0.2,0.3,0.083,0.179,18.4,1.5,2,NA,NA,NA,NA,NA,freshbrack
bc90,Champsocephalus gunnari,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.49,polar,elongated,benthopelagic,700,66,Champsocephalus gunnari,Finfish,Mackerel icefish,muscle,"Mackerel icefish, wild, fillet (belly flaps removed), raw",NA,NA,NA,NA,NA,17,1.5,fi19,"Unknown, Antarctic waters",Mar 1981,NA,1991,0900090,marine
af64,Channa striata,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.36,tropical,elongated,benthopelagic,10,100,Channa striata,Finfish,Striped snakehead,muscle,"Snakehead, wild, boneless flesh, raw",108.3,0.5,NA,NA,NA,NA,NA,fi24,"Sri Lanka, Nikaweratiya, Magala tank",NA,NA,1996,0901368,freshbrack
bc14,Channa striata,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.36,tropical,elongated,benthopelagic,10,100,Channa striata,Finfish,Striped snake-head,muscle,"Striped snake-head fish, wild, muscle fillet, raw",NA,NA,NA,NA,NA,19.9,8.5,fi2,"Thailand, main rivers (Chaopraya, Bangprakong, Mae-klong, Thajean)",May-Oct,NNP calc. as % of TN,1999,0900014,freshbrack
