obs_id,taxon_name,common_name,subgroup,sample_info,body_part,nutrient,concentration,RDA_percentage,location,season,biblio_id,bibliography,comments_on_data_processing_methods,publication_year,food_item_id,caldata,irondata,zincdata,epadata,dhadata,proteindata,fatdata,data_here
af225,Tenualosa ilisha,Hilsa shad,Finfish,"Hilsa (marine), wild, skinless, muscle flesh, raw",muscle_skinless,calcium,35.5,2.9583333333333335,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1990,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901529,1,1,1,0,0,1,1,5
af226,Thryssa purava,Oblique-jaw thryssa,Finfish,"Anchovy, wild, skinless, muscle flesh, raw",muscle_skinless,calcium,43,3.5833333333333335,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1991,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901530,1,1,1,0,0,1,1,5
af227,Parastromateus niger,Black pomfret,Finfish,"Pomfret (Black), wild, skinless, muscle flesh, raw",muscle_skinless,calcium,23.8,1.9833333333333334,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1992,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901531,1,1,1,0,0,0,0,3
af228,Protonibea diacanthus,Blackspotted croaker,Finfish,"Jew fish, wild, skinless, muscle flesh, raw",muscle_skinless,calcium,14.5,1.2083333333333333,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1993,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901532,1,1,1,0,0,1,1,5
af229,Mugil cephalus,Flathead grey mullet,Finfish,"Mullet, wild, skinless, muscle flesh, raw",muscle_skinless,calcium,15.7,1.3083333333333331,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1994,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901533,1,1,1,0,0,1,1,5
af230,Rastrelliger kanagurta,Indian mackerel,Finfish,"Mackerel, wild, skinless, muscle flesh, raw",muscle_skinless,calcium,30.3,2.5250000000000004,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1995,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901534,1,1,1,0,0,1,1,5
af231,Muraenesox talabon,Pike-congers nei,Finfish,"Conger eel, wild, skinless, muscle flesh, raw",muscle_skinless,calcium,11.2,0.9333333333333332,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1996,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901535,1,1,1,0,0,1,1,5
af232,Pampus argenteus,Silver pomfret,Finfish,"Pomfret (White), wild, skinless, muscle flesh, raw",muscle_skinless,calcium,21.6,1.8000000000000003,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1997,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901536,1,1,1,0,0,1,1,5
af233,Caranx sansun,"Jacks, crevalles nei",Finfish,"Trevally, wild, skinless, muscle flesh, raw",muscle_skinless,calcium,8.9,0.7416666666666667,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1996,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901537,1,1,1,0,0,1,1,5
af234,Nemipterus japonicus,Japanese threadfin bream,Finfish,"Pinkperch, wild, skinless, muscle flesh, raw",muscle_skinless,calcium,15,1.25,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1999,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901538,1,1,1,0,0,1,1,5
af235,Sardinella fimbriata,Fringescale sardinella,Finfish,"Lesser sardine, wild, skinless, muscle flesh, raw",muscle_skinless,calcium,51.4,4.283333333333333,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2000,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901539,1,1,1,0,0,1,1,5
af236,Leptomelanosoma indicum,Indian threadfin,Finfish,"Thread fins, wild, skinless, muscle flesh, raw",muscle_skinless,calcium,4.7,0.39166666666666666,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2001,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901540,1,1,1,0,0,1,1,5
af237,Harpadon nehereus,Bombay-duck,Finfish,"Bombay duck, wild, skinless, muscle flesh, raw",muscle_skinless,calcium,19.8,1.6500000000000001,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2002,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901541,1,1,1,0,0,1,1,5
af238,Lates calcarifer,Barramundi,Finfish,"Giant perch (marine), wild, skinless, muscle flesh, raw",muscle_skinless,calcium,8.8,0.7333333333333334,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2003,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901542,1,1,1,0,0,0,0,3
af239,Scoliodon sorrakowah,Requiem sharks nei,Finfish,"Shark, wild, skinless, muscle flesh, raw",muscle_skinless,calcium,19.3,1.6083333333333334,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2004,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901543,1,1,1,0,0,1,1,5
af240,Tachysurus zona,NA,Finfish,"Cat fish, wild, skinless, muscle flesh, raw",muscle_skinless,calcium,6.2,0.5166666666666666,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2005,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901544,1,1,1,0,0,1,1,5
af241,Channa marulius,Great snakehead,Finfish,"Murrel, wild, skinless, muscle flesh, raw",muscle_skinless,calcium,10.1,0.8416666666666666,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2006,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901545,1,1,1,0,0,1,1,5
af242,Labeo rohita,Roho labeo,Finfish,"Rohu, wild, skinless, muscle flesh, raw",muscle_skinless,calcium,12.9,1.0750000000000002,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2007,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901546,1,1,1,0,0,1,1,5
af243,Catla catla,Catla,Finfish,"Catla, wild, skinless, muscle flesh, raw",muscle_skinless,calcium,20.8,1.7333333333333332,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2008,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901547,1,1,1,0,0,1,1,5
af616,Homarus americanus,American lobster,Crustacean,"American lobster, muscle tissue (claw, leg, abdomen), raw",NA,calcium,47.3,3.9416666666666664,USA/Canada,NA,fi159,"Barrento S., Marques A., Teixeira B., Vaz-Pires P., Carvalho M.L., Nunes M.L. (2008). Essential elements and contaminants in edible tissues of European and American lobsters. Food Chemistry 111: 862-867",NA,2008,0901920,1,1,1,0,0,0,0,3
af617,Homarus americanus,American lobster,Crustacean,"American lobster, hepatopancreas, raw",NA,calcium,29.3,2.4416666666666664,USA/Canada,NA,fi159,"Barrento S., Marques A., Teixeira B., Vaz-Pires P., Carvalho M.L., Nunes M.L. (2008). Essential elements and contaminants in edible tissues of European and American lobsters. Food Chemistry 111: 862-867",NA,2008,0901921,1,1,1,0,0,0,0,3
af618,Homarus americanus,American lobster,Crustacean,"American lobster, gonads, raw",NA,calcium,17.3,1.4416666666666669,USA/Canada,NA,fi159,"Barrento S., Marques A., Teixeira B., Vaz-Pires P., Carvalho M.L., Nunes M.L. (2008). Essential elements and contaminants in edible tissues of European and American lobsters. Food Chemistry 111: 862-867",NA,2008,0901922,1,1,1,0,0,0,0,3
af619,Homarus gammarus,European lobster,Crustacean,"European lobster, muscle tissue (claw, leg, abdomen), raw",NA,calcium,45.6,3.8,"UK, Scotland",NA,fi159,"Barrento S., Marques A., Teixeira B., Vaz-Pires P., Carvalho M.L., Nunes M.L. (2008). Essential elements and contaminants in edible tissues of European and American lobsters. Food Chemistry 111: 862-867",NA,2008,0901923,1,1,1,0,0,0,0,3
af620,Homarus gammarus,European lobster,Crustacean,"European lobster, hepatopancreas, raw",NA,calcium,33.5,2.7916666666666665,"UK, Scotland",NA,fi159,"Barrento S., Marques A., Teixeira B., Vaz-Pires P., Carvalho M.L., Nunes M.L. (2008). Essential elements and contaminants in edible tissues of European and American lobsters. Food Chemistry 111: 862-867",NA,2008,0901924,1,1,1,0,0,0,0,3
af621,Homarus gammarus,European lobster,Crustacean,"European lobster, gonads, raw",NA,calcium,17.3,1.4416666666666669,"UK, Scotland",NA,fi159,"Barrento S., Marques A., Teixeira B., Vaz-Pires P., Carvalho M.L., Nunes M.L. (2008). Essential elements and contaminants in edible tissues of European and American lobsters. Food Chemistry 111: 862-867",NA,2008,0901925,1,1,1,0,0,0,0,3
af622,Homarus gammarus,European lobster,Crustacean,"European lobster, roe, raw",NA,calcium,44.6,3.716666666666667,"UK, Scotland",NA,fi159,"Barrento S., Marques A., Teixeira B., Vaz-Pires P., Carvalho M.L., Nunes M.L. (2008). Essential elements and contaminants in edible tissues of European and American lobsters. Food Chemistry 111: 862-867",NA,2008,0901926,1,1,1,0,0,0,0,3
af625,Mytilus galloprovincialis,Mediterranean mussel,Mollusc,"Mussel, farmed, edible meat, raw",NA,calcium,37,3.0833333333333335,"Spain, Catalonia (NE Iberian Peninsular), Ebro Delta",Jul 2002,fi169,"Fuentes A., Fernández-Segovia I., Escriche I., Serra J.A. (2009). Comparison of physico-chemical parameters and composition of mussels (Mytilus galloprovincialis Lmk.) from different Spanish origins. Food Chemistry 112: 295-302",FA converted using XFA,2009,0901929,1,1,1,1,1,0,0,5
af626,Mytilus galloprovincialis,Mediterranean mussel,Mollusc,"Mussel, farmed, edible meat, raw",NA,calcium,82,6.833333333333333,"Spain, Valencia Harbour (E Iberian Peninsular)",Jul 2002,fi169,"Fuentes A., Fernández-Segovia I., Escriche I., Serra J.A. (2009). Comparison of physico-chemical parameters and composition of mussels (Mytilus galloprovincialis Lmk.) from different Spanish origins. Food Chemistry 112: 295-302",FA converted using XFA,2009,0901930,1,1,1,1,1,0,0,5
af63,Oreochromis mossambicus,Mozambique tilapia,Finfish,"Tilapia, wild, boneless flesh, raw",muscle,calcium,47.3,3.9416666666666664,"Sri Lanka, Ibbagamuwa, Bathalagoda tank",NA,fi24,"Wimalasena S., Jayasuriya M.N.S. (1996). Nutrient analysis of some fresh water fish. J. Natn. Sci. Coun. Sri Lanka 24(1): 21-26",NA,1996,0901367,1,1,0,0,0,1,1,4
af64,Channa striata,Striped snakehead,Finfish,"Snakehead, wild, boneless flesh, raw",muscle,calcium,108.3,9.025,"Sri Lanka, Nikaweratiya, Magala tank",NA,fi24,"Wimalasena S., Jayasuriya M.N.S. (1996). Nutrient analysis of some fresh water fish. J. Natn. Sci. Coun. Sri Lanka 24(1): 21-26",NA,1996,0901368,1,1,0,0,0,0,0,2
af724,Maja brachydactyla,Marine crabs nei,Crustacean,"Atlantic spider crab, edible tissue, muscle from claws and walking legs, raw",NA,calcium,78.7,6.5583333333333345,"UK, Scottish coast, English Channel",NA,fi188,"Marques A., Teixeira B., Barrento S., Anacleto P., Carvalho M.L., Nunes M.L. (2010). Chemical composition of Atlantic spider crab Maja brachydactyla: Human health implications. Journal of Food Compositon and Analysis 23: 230 - 237.",FA converted using XFA,2010,0902028,1,1,1,1,0,1,1,6
af725,Maja brachydactyla,Marine crabs nei,Crustacean,"Atlantic spider crab, edible tissue, gonads, raw",NA,calcium,24,2,"UK, Scottish coast, English Channel",NA,fi188,"Marques A., Teixeira B., Barrento S., Anacleto P., Carvalho M.L., Nunes M.L. (2010). Chemical composition of Atlantic spider crab Maja brachydactyla: Human health implications. Journal of Food Compositon and Analysis 23: 230 - 237.",FA converted using XFA,2010,0902029,1,1,1,1,0,0,0,4
af726,Maja brachydactyla,Marine crabs nei,Crustacean,"Atlantic spider crab, edible tissue, gills, raw",NA,calcium,59.9,4.991666666666666,"UK, Scottish coast, English Channel",NA,fi188,"Marques A., Teixeira B., Barrento S., Anacleto P., Carvalho M.L., Nunes M.L. (2010). Chemical composition of Atlantic spider crab Maja brachydactyla: Human health implications. Journal of Food Compositon and Analysis 23: 230 - 237.",NA,2010,0902030,1,1,1,0,0,0,0,3
af739,Chamelea gallina,Striped venus,Mollusc,"Venerid clam, flesh meat, raw",NA,calcium,186.9819,15.581824999999998,"Turkey, Kumbag, Marmara Sea","Winter (Dec, Jan, Feb) 2005, 2006",fi192,"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",PRO- (according to AOAC 1998); CHO- (according to Merrill and Watt 1973),2009,0902043,1,0,0,0,0,1,1,3
af740,Chamelea gallina,Striped venus,Mollusc,"Venerid clam, flesh meat, raw",NA,calcium,304.2864,25.357200000000002,"Turkey, Kumbag, Marmara Sea","Spring (Mar, Apr, May) 2006",fi192,"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",PRO- (according to AOAC 1998); CHO- (according to Merrill and Watt 1973),2009,0902044,1,0,0,0,0,1,1,3
af741,Chamelea gallina,Striped venus,Mollusc,"Venerid clam, flesh meat, raw",NA,calcium,211.1262,17.59385,"Turkey, Kumbag, Marmara Sea","Summer (Jun, Jul, Aug) 2006",fi192,"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",PRO- (according to AOAC 1998); CHO- (according to Merrill and Watt 1973),2009,0902045,1,0,0,0,0,1,1,3
af742,Chamelea gallina,Striped venus,Mollusc,"Venerid clam, flesh meat, raw",NA,calcium,209.4368,17.45306666666667,"Turkey, Kumbag, Marmara Sea","Autumn (Sep, Oct, Nov) 2006",fi192,"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",PRO- (according to AOAC 1998); CHO- (according to Merrill and Watt 1973),2009,0902046,1,0,0,0,0,1,1,3
af743,Donax trunculus,Truncate donax,Mollusc,"Wedge clam, flesh meat, raw",NA,calcium,381.0254,31.752116666666662,"Turkey, Kumbag, Marmara Sea","Winter (Dec, Jan, Feb) 2005, 2006",fi192,"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",PRO- (according to AOAC 1998); CHO- (according to Merrill and Watt 1973),2009,0902047,1,0,0,0,0,1,1,3
af744,Donax trunculus,Truncate donax,Mollusc,"Wedge clam, flesh meat, raw",NA,calcium,254.2106,21.184216666666668,"Turkey, Kumbag, Marmara Sea","Spring (Mar, Apr, May) 2006",fi192,"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",PRO- (according to AOAC 1998); CHO- (according to Merrill and Watt 1973),2009,0902048,1,0,0,0,0,1,1,3
af745,Donax trunculus,Truncate donax,Mollusc,"Wedge clam, flesh meat, raw",NA,calcium,270.1418,22.511816666666665,"Turkey, Kumbag, Marmara Sea","Summer (Jun, Jul, Aug) 2006",fi192,"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",PRO- (according to AOAC 1998); CHO- (according to Merrill and Watt 1973),2009,0902049,1,0,0,0,0,1,1,3
af746,Donax trunculus,Truncate donax,Mollusc,"Wedge clam, flesh meat, raw",NA,calcium,448.9326,37.411049999999996,"Turkey, Kumbag, Marmara Sea","Autumn (Sep, Oct, Nov) 2006",fi192,"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",PRO- (according to AOAC 1998); CHO- (according to Merrill and Watt 1973),2009,0902050,1,0,0,0,0,1,1,3
af790,Crassostrea gigas,Pacific cupped oyster,Mollusc,"Oyster, farmed, edible flesh, raw",NA,calcium,168,14.000000000000002,"Italy, Adriatic Sea, Lagoon of Venice",Jun 2001,fi226,"Orban E., Di Lana G., Masci M., Nevigato T., Casini I., Caproni R., Gambelli L., Pellizzato M. (2004). Growth, nutritional quality and safety of oysters (Crassostrea gigas) cultured in the lagoon of Venice (Italy). Journal of the Science of Food and Agriculture 84: 1929-1938",PRO- (analyzed according to AOAC 1990); FA converted using XFA,2004,0902094,1,1,1,1,1,1,1,7
af791,Crassostrea gigas,Pacific cupped oyster,Mollusc,"Oyster, farmed, edible flesh, raw",NA,calcium,161,13.416666666666666,"Italy, Adriatic Sea, Lagoon of Venice",Sep 2001,fi226,"Orban E., Di Lana G., Masci M., Nevigato T., Casini I., Caproni R., Gambelli L., Pellizzato M. (2004). Growth, nutritional quality and safety of oysters (Crassostrea gigas) cultured in the lagoon of Venice (Italy). Journal of the Science of Food and Agriculture 84: 1929-1938",PRO- (analyzed according to AOAC 1990); FA converted using XFA,2004,0902095,1,1,1,1,1,1,1,7
af792,Crassostrea gigas,Pacific cupped oyster,Mollusc,"Oyster, farmed, edible flesh, raw",NA,calcium,195,16.25,"Italy, Adriatic Sea, Lagoon of Venice",Feb 2002,fi226,"Orban E., Di Lana G., Masci M., Nevigato T., Casini I., Caproni R., Gambelli L., Pellizzato M. (2004). Growth, nutritional quality and safety of oysters (Crassostrea gigas) cultured in the lagoon of Venice (Italy). Journal of the Science of Food and Agriculture 84: 1929-1938",PRO- (analyzed according to AOAC 1990); FA converted using XFA,2004,0902096,1,1,1,1,1,1,1,7
af793,Crassostrea gigas,Pacific cupped oyster,Mollusc,"Oyster, farmed, edible flesh, raw",NA,calcium,148,12.333333333333334,"Italy, Adriatic Sea, Lagoon of Venice",Jul 2002,fi226,"Orban E., Di Lana G., Masci M., Nevigato T., Casini I., Caproni R., Gambelli L., Pellizzato M. (2004). Growth, nutritional quality and safety of oysters (Crassostrea gigas) cultured in the lagoon of Venice (Italy). Journal of the Science of Food and Agriculture 84: 1929-1938",PRO- (analyzed according to AOAC 1990); FA converted using XFA,2004,0902097,1,1,1,1,1,1,1,7
af794,Crassostrea gigas,Pacific cupped oyster,Mollusc,"Oyster, farmed, edible flesh, raw",NA,calcium,240,20,"Italy, Adriatic Sea, Lagoon of Venice",Sep 2002,fi226,"Orban E., Di Lana G., Masci M., Nevigato T., Casini I., Caproni R., Gambelli L., Pellizzato M. (2004). Growth, nutritional quality and safety of oysters (Crassostrea gigas) cultured in the lagoon of Venice (Italy). Journal of the Science of Food and Agriculture 84: 1929-1938",PRO- (analyzed according to AOAC 1990); FA converted using XFA,2004,0902098,1,1,1,1,1,1,1,7
