obs_id,taxon_name,common_name,subgroup,sample_info,body_part,ca_mg,fe_mg,zn_mg,epa,dha,fat,protein,location,season,biblio_id,bibliography,comments_on_data_processing_methods,publication_year,food_item_id,caldata,irondata,zincdata,epadata,dhadata,proteindata,fatdata,data_here
af209,Mullus surmuletus,Surmullet,Finfish,"Striped red mullet, wild, edible muscle tissue, raw",muscle,60.4496,12.5783,3.0927,NA,NA,12.28,16.61,"Unknown (samples from local fish market, Istanbul)","Autumn (Sep, Oct, Nov 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901513,1,1,1,0,0,1,1,5
af210,Merlangius merlangus,Whiting,Finfish,"Whiting, wild, edible muscle tissue, raw",muscle,73.5713,7.6567,1.2857,NA,NA,1.34,13.43,"Unknown (samples from local fish market, Istanbul)","Winter (Dec 2006, Jan, Feb 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901514,1,1,1,0,0,1,1,5
af211,Merlangius merlangus,Whiting,Finfish,"Whiting, wild, edible muscle tissue, raw",muscle,46.7305,3.2061,1.115,NA,NA,1.22,15.05,"Unknown (samples from local fish market, Istanbul)","Spring (Mar, Apr, May 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901515,1,1,1,0,0,1,1,5
af212,Merlangius merlangus,Whiting,Finfish,"Whiting, wild, edible muscle tissue, raw",muscle,58.831,2.2046,1.5099,NA,NA,1.48,17.24,"Unknown (samples from local fish market, Istanbul)","Summer (Jun, Jul, Aug 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901516,1,1,1,0,0,1,1,5
af213,Merlangius merlangus,Whiting,Finfish,"Whiting, wild, edible muscle tissue, raw",muscle,57.394,7.8313,1.4984,NA,NA,2.37,16.24,"Unknown (samples from local fish market, Istanbul)","Autumn (Sep, Oct, Nov 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901517,1,1,1,0,0,1,1,5
af224,Scomberomorus guttatus,Indo-Pacific king mackerel,Finfish,"Seer, wild, skinless, muscle flesh, raw",muscle_skinless,35.3,1.1,1.5,NA,NA,14.7,13,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1989,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901528,1,1,1,0,0,1,1,5
af225,Tenualosa ilisha,Hilsa shad,Finfish,"Hilsa (marine), wild, skinless, muscle flesh, raw",muscle_skinless,35.5,1.2,2.3,NA,NA,7.5,17.6,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1990,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901529,1,1,1,0,0,1,1,5
af226,Thryssa purava,Oblique-jaw thryssa,Finfish,"Anchovy, wild, skinless, muscle flesh, raw",muscle_skinless,43,1.5,3.2,NA,NA,6.1,11.4,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1991,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901530,1,1,1,0,0,1,1,5
af227,Parastromateus niger,Black pomfret,Finfish,"Pomfret (Black), wild, skinless, muscle flesh, raw",muscle_skinless,23.8,0.8,1.1,NA,NA,NA,NA,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1992,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901531,1,1,1,0,0,0,0,3
af228,Protonibea diacanthus,Blackspotted croaker,Finfish,"Jew fish, wild, skinless, muscle flesh, raw",muscle_skinless,14.5,0.9,1.4,NA,NA,4.9,16,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1993,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901532,1,1,1,0,0,1,1,5
af229,Mugil cephalus,Flathead grey mullet,Finfish,"Mullet, wild, skinless, muscle flesh, raw",muscle_skinless,15.7,0.8,2.2,NA,NA,2.2,15.3,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1994,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901533,1,1,1,0,0,1,1,5
af230,Rastrelliger kanagurta,Indian mackerel,Finfish,"Mackerel, wild, skinless, muscle flesh, raw",muscle_skinless,30.3,1.3,2.3,NA,NA,1.8,16.1,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1995,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901534,1,1,1,0,0,1,1,5
af231,Muraenesox talabon,Pike-congers nei,Finfish,"Conger eel, wild, skinless, muscle flesh, raw",muscle_skinless,11.2,0.8,1.7,NA,NA,1.7,18.4,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1996,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901535,1,1,1,0,0,1,1,5
af232,Pampus argenteus,Silver pomfret,Finfish,"Pomfret (White), wild, skinless, muscle flesh, raw",muscle_skinless,21.6,0.5,1.5,NA,NA,1.7,19.5,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1997,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901536,1,1,1,0,0,1,1,5
af233,Caranx sansun,"Jacks, crevalles nei",Finfish,"Trevally, wild, skinless, muscle flesh, raw",muscle_skinless,8.9,1.8,2.5,NA,NA,1.4,19.8,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1996,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901537,1,1,1,0,0,1,1,5
af234,Nemipterus japonicus,Japanese threadfin bream,Finfish,"Pinkperch, wild, skinless, muscle flesh, raw",muscle_skinless,15,1.7,1.8,NA,NA,1.3,15.3,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1999,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901538,1,1,1,0,0,1,1,5
af235,Sardinella fimbriata,Fringescale sardinella,Finfish,"Lesser sardine, wild, skinless, muscle flesh, raw",muscle_skinless,51.4,1.1,1.6,NA,NA,1.2,17.1,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2000,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901539,1,1,1,0,0,1,1,5
af236,Leptomelanosoma indicum,Indian threadfin,Finfish,"Thread fins, wild, skinless, muscle flesh, raw",muscle_skinless,4.7,0.8,1.5,NA,NA,1.2,18.1,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2001,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901540,1,1,1,0,0,1,1,5
af237,Harpadon nehereus,Bombay-duck,Finfish,"Bombay duck, wild, skinless, muscle flesh, raw",muscle_skinless,19.8,0.7,2.7,NA,NA,0.8,8,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2002,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901541,1,1,1,0,0,1,1,5
af238,Lates calcarifer,Barramundi,Finfish,"Giant perch (marine), wild, skinless, muscle flesh, raw",muscle_skinless,8.8,0.7,1.1,NA,NA,NA,NA,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2003,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901542,1,1,1,0,0,0,0,3
af239,Scoliodon sorrakowah,Requiem sharks nei,Finfish,"Shark, wild, skinless, muscle flesh, raw",muscle_skinless,19.3,0.9,1.5,NA,NA,0.8,16.7,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2004,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901543,1,1,1,0,0,1,1,5
af240,Tachysurus zona,NA,Finfish,"Cat fish, wild, skinless, muscle flesh, raw",muscle_skinless,6.2,1.4,1.7,NA,NA,1.4,21,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2005,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901544,1,1,1,0,0,1,1,5
af241,Channa marulius,Great snakehead,Finfish,"Murrel, wild, skinless, muscle flesh, raw",muscle_skinless,10.1,0.6,1.5,NA,NA,1.3,17.3,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2006,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901545,1,1,1,0,0,1,1,5
af242,Labeo rohita,Roho labeo,Finfish,"Rohu, wild, skinless, muscle flesh, raw",muscle_skinless,12.9,0.7,1.3,NA,NA,0.6,13.5,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2007,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901546,1,1,1,0,0,1,1,5
af243,Catla catla,Catla,Finfish,"Catla, wild, skinless, muscle flesh, raw",muscle_skinless,20.8,0.9,2,NA,NA,1,16,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2008,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901547,1,1,1,0,0,1,1,5
af35,Pinirampus pirinampu,Flatwhiskered catfish,Finfish,"Flatwhiskered catfish, wild, skinless, boneless fillets, raw",muscle_skinless,NA,NA,NA,0.284944427029078,0.682588052012412,19.75,NA,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,fi17,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210","FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,0901339,0,0,0,1,1,0,1,3
af36,Cyprinus carpio,Common carp,Finfish,"Common carp, wild, skinless, boneless fillets, raw",muscle_skinless,NA,NA,NA,NA,0.0140405242006236,1.19,NA,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,fi17,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210","FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,0901340,0,0,0,0,1,0,1,2
af37,Megaloancistrus aculeatus,NA,Finfish,"wild, skinless, boneless fillets, raw",muscle_skinless,NA,NA,NA,NA,0.0220095979917782,0.7,NA,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,fi17,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210","FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,0901341,0,0,0,0,1,0,1,2
af38,Pterodoras granulosus,Granulated catfish,Finfish,"Granulated catfish, wild, skinless, boneless fillets, raw",muscle_skinless,NA,NA,NA,NA,0.327263527334954,3.18,NA,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,fi17,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210","FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,0901342,0,0,0,0,1,0,1,2
af39,Plagioscion squamosissimus,South American silver croaker,Finfish,"South American silver croaker, wild, skinless, boneless fillets, raw",muscle_skinless,NA,NA,NA,0.0587391168920154,0.0522282632449648,0.69,NA,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,fi17,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210","FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,0901343,0,0,0,1,1,0,1,3
af390,Katsuwonus pelamis,Skipjack tuna,Finfish,"Skipjack tuna, wild, steak, raw",muscle,NA,NA,NA,0.0395539518821971,0.0594212669300511,2.679,NA,"India, Tamilnadu, Tuticorin fish-landing center",NA,fi150,"Stephen N.M., Shakila J.R., Jeyasekaran G., Sukumar D. (2010). Effect of different types of heat processing on chemical changes in tuna. J Food Sci Technol 47(2): 174-181",CHOLE- (analyzed according to AOAC 1995); FAT expressed per DM - conversion to FW; FAME converted using XFA,2010,0901694,0,0,0,1,1,0,1,3
af40,Prochilodus lineatus,Streaked prochilod,Finfish,"Streaked prochilod, wild, skinless, boneless fillets, raw",muscle_skinless,NA,NA,NA,0.0400095457633608,0.188807397352824,3.68,NA,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,fi17,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210","FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,0901344,0,0,0,1,1,0,1,3
af41,Salminus maxillosus,Dorado,Finfish,"Dorado, wild, skinless, boneless fillets, raw",muscle_skinless,NA,NA,NA,0.0327061288911066,0.048411624164593,0.88,NA,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,fi17,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210","FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,0901345,0,0,0,1,1,0,1,3
af42,Hemisorubim platyrhynchos,NA,Finfish,"wild, skinless, boneless fillets, raw",muscle_skinless,NA,NA,NA,NA,0.39799040890186,2.98,NA,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,fi17,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210","FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,0901346,0,0,0,0,1,0,1,2
af43,Pimelodus maculatus,NA,Finfish,"wild, skinless, boneless fillets, raw",muscle_skinless,NA,NA,NA,NA,0.0955653395692598,5.5,NA,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,fi17,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210","FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,0901347,0,0,0,0,1,0,1,2
af44,Piaractus mesopotamicus,Pacu,Finfish,"Pirapatinga, wild, skinless, boneless fillets, raw",muscle_skinless,NA,NA,NA,0.2352378480787,NA,18.31,NA,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,fi17,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210","FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,0901348,0,0,0,1,0,0,1,2
af45,Megaleporinus elongatus,NA,Finfish,"wild, skinless, boneless fillets, raw",muscle_skinless,NA,NA,NA,NA,0.0814777955148704,9.17,NA,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,fi17,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210","FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,0901349,0,0,0,0,1,0,1,2
af46,Leporinus friderici,NA,Finfish,"wild, skinless, boneless fillets, raw",muscle_skinless,NA,NA,NA,0.0318781458008098,0.103566489348592,2.6,NA,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,fi17,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210","FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,0901350,0,0,0,1,1,0,1,3
af47,Pseudoplatystoma corruscans,Spotted sorubim,Finfish,"Spotted sorubim, wild, skinless, boneless fillets, raw",muscle_skinless,NA,NA,NA,0.0452302775379222,0.0799573977589076,1.27,NA,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,fi17,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210","FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,0901351,0,0,0,1,1,0,1,3
af48,Serrasalmus marginatus,NA,Finfish,"wild, skinless, boneless fillets, raw",muscle_skinless,NA,NA,NA,0.00589679719166882,0.0183187922657901,0.7,NA,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,fi17,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210","FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,0901352,0,0,0,1,1,0,1,3
af49,Oreochromis niloticus,Nile tilapia,Finfish,"Nile tilapia, wild, skinless, boneless fillets, raw",muscle_skinless,NA,NA,NA,0.0502467024392077,0.0239385983232165,2.86,NA,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,fi17,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210","FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,0901353,0,0,0,1,1,0,1,3
af50,Hoplias malabaricus,NA,Finfish,"wild, skinless, boneless fillets, raw",muscle_skinless,NA,NA,NA,0.00661606034061455,0.00710030250969282,0.27,NA,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,fi17,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210","FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,0901354,0,0,0,1,1,0,1,3
af51,Salmo,Trouts nei,Finfish,"wild, skinless, boneless fillets, raw",muscle_skinless,NA,NA,NA,0.0980506854045853,0.691720662025323,6.42,NA,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,fi17,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210","FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,0901355,0,0,0,1,1,0,1,3
