ref_info,seanuts_id2,food_name_clean,species_name,nutrient,concentration,subgroup,abs_lat,latitude,bulk_mean_length,bulk_max_length,bulk_trophic_level,feeding_mode,feeding_level,anacat,max_length,length_from_study,commonlength,commonlengthf,commonlengthref,lengthfemale,maxlengthref,length_source_1,mean_length,tl,food_item_id_2,country_region,season,isscaap_cat,feedingtyperef,feeding_habit,demerspelag,brackishwater,brack,marine,fresh,trophic_level,diettroph,dietsetroph,foodsetroph,isotroph,isosetroph,ecotroph,ecosetroph,weight,weightfemale,maxweightref,weight_from_study
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1503,NA,Atheresthes stomias,prot_g,17.7,finfish,NA,NA,82.125,69,4.010000229,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NaN,NA,50,NA,56527,NA,2850,NA,84,NA,NA,NA,NA,NA,6880,NA,demersal,NA,0,NA,0,4.010000229,4.17,0.272,0.68,NA,NA,NA,NA,8600,NA,56527,NA
"Papan F., Moghaddam A.Z. (2008). Nutritional evaluation of some species of fishes in Khuzestan and determination of the amount of soy bean meal used in the fish food formula on the basis of its isoflavone content. Journal of Biological Sciences 8(3): 667-670",1302,NA,Barbus grypus,prot_g,19.5,finfish,NA,NA,150,NaN,NaN,NA,NA,NA,NaN,NA,NA,NA,NA,NA,93003,NA,150,NA,NA,NA,NA,NA,NA,NA,benthopelagic,0,0,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,3.00E+04,NA,93003,NA
"Papan F., Moghaddam A.Z. (2008). Nutritional evaluation of some species of fishes in Khuzestan and determination of the amount of soy bean meal used in the fish food formula on the basis of its isoflavone content. Journal of Biological Sciences 8(3): 667-670",1303,NA,Barbus grypus,prot_g,18.7,finfish,NA,NA,150,NaN,NaN,NA,NA,NA,NaN,NA,NA,NA,NA,NA,93003,NA,150,NA,NA,NA,NA,NA,NA,NA,benthopelagic,0,0,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,3.00E+04,NA,93003,NA
"De Souza Franco M.L.R., Viegas E.M.M., Kronka S.N., Vidotti R.M., Assano M., Gasparino E. (2010). Effects of hot and cold smoking process on organoleptic properties, yield and composition of matrinxa fillet. Revista Brasilerira de Zootecnia 39(4):695-700",1360,NA,Brycon cephalus,prot_g,20.07,finfish,NA,NA,45,NaN,2,other,mainly plants/detritus (troph. 2-2.19),NA,NaN,NA,NA,NA,NA,NA,38504,NA,45,NA,NA,NA,NA,NA,9107,NA,benthopelagic,NA,0,NA,-1,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Moreira A.B., Visentainer J.V., de Souza N.E., Matsushita M. (2001). Fatty acid profile and cholesterol contents of three Brazilian Brycon freshwater fishes. Journal of Food Composition and Analysis 14:565-574",418,Piraputanga_wild_fillet_raw,Brycon microlepis,prot_g,19.83,finfish,15.601411,-15.601411,56,56,NaN,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,56,2,900686,NA,Sep-Dec 1999,Miscellaneous freshwater fishes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moreira A.B., Visentainer J.V., de Souza N.E., Matsushita M. (2001). Fatty acid profile and cholesterol contents of three Brazilian Brycon freshwater fishes. Journal of Food Composition and Analysis 14:565-574",383,Piracanjuba_wild_fillet_raw,Brycon orbignyanus,prot_g,18.94,finfish,18.327778,18.327778,79.5,79.5,NaN,NA,NA,NA,79.5,NA,NA,NA,NA,NA,38863,NA,79.5,2.5,900687,NA,Sep-Dec 1999,Miscellaneous freshwater fishes,NA,NA,benthopelagic,NA,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,6.00E+03,NA,72380,NA
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",1667,NA,Chamelea gallina,prot_g,8.99,mollusc,NA,NA,5,5,NaN,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",1668,NA,Chamelea gallina,prot_g,7.45,mollusc,NA,NA,5,5,NaN,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",1669,NA,Chamelea gallina,prot_g,6.86,mollusc,NA,NA,5,5,NaN,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",1670,NA,Chamelea gallina,prot_g,7.36,mollusc,NA,NA,5,5,NaN,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",410,Spotted_snakehead_wild_edible_portion_raw,Channa punctata,prot_g,19.13,finfish,22.816667,22.816667,31,31,3.84,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,31,NA,15,NA,6028,NA,4833,NA,31,3.8,900183,NA,2/2/2017,Miscellaneous freshwater fishes,NA,NA,benthopelagic,NA,-1,NA,-1,3.84,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA
"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",432,Philippine_catfish_wild_edible_portion_raw,Clarias batrachus,prot_g,14.87,finfish,22.816667,22.816667,47,47,3.42,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,47,NA,26.25,NA,12193,NA,40637,NA,47,3.4,900178,NA,2/2/2017,Miscellaneous freshwater fishes,12975,NA,demersal,NA,-1,NA,-1,3.42,NA,NA,0.5,NA,NA,NA,NA,1190,NA,40637,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1492,NA,Clinocardium nuttallii,prot_g,11.8,mollusc,NA,NA,NaN,14,NaN,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1509,NA,Clupea harengus,prot_g,16.4,finfish,NA,NA,44,40,3.289999962,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NaN,NA,30,NA,37032,NA,37032,NA,45,NA,NA,NA,NA,NA,4809,NA,benthopelagic,NA,-1,NA,0,3.289999962,3.38,0.128,0.51,NA,NA,NA,NA,1050,NA,6114,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1508,NA,Clupea pallasii pallasii,prot_g,16,finfish,NA,NA,46,NaN,3.460000038,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),non-migratory,NaN,NA,25,NA,188,NA,27436,NA,46,NA,NA,NA,NA,NA,188,NA,pelagic-neritic,NA,-1,NA,-1,3.460000038,3.16,0.186,0.53,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1510,NA,Crassostrea gigas,prot_g,10.4,mollusc,NA,NA,12,12,NaN,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Papan F., Moghaddam A.Z. (2008). Nutritional evaluation of some species of fishes in Khuzestan and determination of the amount of soy bean meal used in the fish food formula on the basis of its isoflavone content. Journal of Biological Sciences 8(3): 667-670",1304,NA,Cyprinus carpio,prot_g,17.4,finfish,NA,NA,118.75,110,3.05,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),potamodromous,NaN,NA,31,NA,3561,NA,27549,NA,120,NA,NA,NA,NA,NA,6258,NA,benthopelagic,NA,-1,NA,-1,3.05,3.06,NA,0.39,NA,NA,NA,NA,40090,NA,72380,NA
"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",522,Sea_bass_wild_skinless_fillet_raw,Dicentrarchus labrax,prot_g,19.75,finfish,36.5817,36.5817,102.475,100,3.47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,100,NA,50,NA,6916,NA,40637,NA,102.25,3.8,900234,NA,Feb _Winter 2001,Miscellaneous coastal fishes,231,NA,demersal,NA,-1,NA,-1,3.47,NA,NA,0.5,NA,NA,NA,NA,1.20E+04,NA,1468,NA
"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",523,Sea_bass_wild_skinless_fillet_raw,Dicentrarchus labrax,prot_g,21.79,finfish,36.5817,36.5817,102.475,100,3.47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,100,NA,50,NA,6916,NA,40637,NA,102.25,3.8,900236,NA,July _Summer 2001,Miscellaneous coastal fishes,231,NA,demersal,NA,-1,NA,-1,3.47,NA,NA,0.5,NA,NA,NA,NA,1.20E+04,NA,1468,NA
"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",524,Sea_bass_wild_skinless_fillet_raw,Dicentrarchus labrax,prot_g,18.74,finfish,36.5817,36.5817,102.475,100,3.47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,100,NA,50,NA,6916,NA,40637,NA,102.25,3.8,900233,NA,Nov _Autumn 2001,Miscellaneous coastal fishes,231,NA,demersal,NA,-1,NA,-1,3.47,NA,NA,0.5,NA,NA,NA,NA,1.20E+04,NA,1468,NA
"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",525,Sea_bass_wild_skinless_fillet_raw,Dicentrarchus labrax,prot_g,21.38,finfish,36.5817,36.5817,102.475,100,3.47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,100,NA,50,NA,6916,NA,40637,NA,102.25,3.8,900235,NA,Apr _Spring 2001,Miscellaneous coastal fishes,231,NA,demersal,NA,-1,NA,-1,3.47,NA,NA,0.5,NA,NA,NA,NA,1.20E+04,NA,1468,NA
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",31,NA,Donax trunculus,prot_g,8.12,mollusc,NA,NA,2,4.4,NaN,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",37,NA,Donax trunculus,prot_g,8.4,mollusc,NA,NA,2,4.4,NaN,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",46,NA,Donax trunculus,prot_g,8.21,mollusc,NA,NA,2,4.4,NaN,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",47,NA,Donax trunculus,prot_g,10.61,mollusc,NA,NA,2,4.4,NaN,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King I., Childs M.T., Dorsett C., Ostrander J.G., Monsen E.R. (1990). Shellfish: Proximate composition, minerals, fatty acids, and sterols. Journal of the American Dietetic Association 90(5): 677-685",1573,NA,Doryteuthis opalescens,prot_g,15.3,mollusc,NA,NA,147,19,3.74,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,19,NA,NA,NA,NA,NA,NA,NA,147,NA,NA,NA,NA,NA,NA,hunting macrofauna (predator),NA,NA,NA,NA,NA,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",541,Musky_octopus_wild_arm_flesh_raw,Eledone moschata,prot_g,14.5,mollusc,34.553128,34.553128,19.4,19.4,NaN,NA,NA,NA,19.4,NA,NA,NA,NA,NA,NA,NA,19.4,NA,901219,NA,Winter,"Squids, cuttlefishes, octopuses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",542,Musky_octopus_wild_arm_flesh_raw,Eledone moschata,prot_g,12.21,mollusc,34.553128,34.553128,19.4,19.4,NaN,NA,NA,NA,19.4,NA,NA,NA,NA,NA,NA,NA,19.4,NA,901217,NA,Spring,"Squids, cuttlefishes, octopuses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",543,Musky_octopus_wild_arm_flesh_raw,Eledone moschata,prot_g,14.32,mollusc,34.553128,34.553128,19.4,19.4,NaN,NA,NA,NA,19.4,NA,NA,NA,NA,NA,NA,NA,19.4,NA,901218,NA,Autumn,"Squids, cuttlefishes, octopuses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1540,NA,Eopsetta jordani,prot_g,17.6,finfish,NA,NA,53,NaN,4.05,NA,mainly animals (troph. 2.8 and up),NA,NaN,NA,42.5,NA,56527,70,56527,NA,53,NA,NA,NA,NA,NA,NA,NA,demersal,NA,0,NA,0,4.05,NA,NA,0.65,NA,NA,NA,NA,3700,NA,56527,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1545,NA,Evasterias troscheli,prot_g,11.8,mollusc,NA,NA,NaN,28,NaN,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1546,NA,Evasterias troscheli,prot_g,10,mollusc,NA,NA,NaN,28,NaN,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1547,NA,Evasterias troscheli,prot_g,5.7,mollusc,NA,NA,NaN,28,NaN,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1493,NA,Gadus macrocephalus,prot_g,17.9,finfish,NA,NA,115.0416667,100,4.37,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NaN,NA,NA,NA,NA,NA,40637,NA,119,NA,NA,NA,NA,NA,6880,NA,demersal,NA,0,NA,0,4.37,4.16,0.149,1.05,NA,NA,NA,NA,22700,NA,27436,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1541,NA,Glyptocephalus zachirus,prot_g,16.7,finfish,NA,NA,60,NaN,3.41,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NaN,NA,36,NA,56527,NA,56527,NA,60,NA,NA,NA,NA,NA,NA,NA,demersal,NA,0,NA,0,3.41,3.25,0.124,0.51,NA,NA,NA,NA,2.00E+03,NA,56527,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1491,NA,Haliotis rufescens,prot_g,17.1,mollusc,NA,NA,NaN,26,2,browsing on substrate,mainly plants/detritus (troph. 2-2.19),NA,26,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,browsing on substrate,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1539,NA,Hippoglossoides elassodon,prot_g,19.2,finfish,NA,NA,52,NaN,3.46,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NaN,NA,NA,NA,NA,NA,56370,NA,52,NA,NA,NA,NA,NA,NA,NA,demersal,NA,0,NA,0,3.46,3.67,0.142,0.53,NA,NA,NA,NA,1560,NA,56370,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1507,NA,Hippoglossus stenolepis,prot_g,20.7,finfish,NA,NA,258,NaN,3.85,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NaN,NA,NA,NA,NA,267,40637,NA,258,NA,NA,NA,NA,NA,6885,NA,demersal,NA,0,NA,0,3.85,4.14,0.236,0.65,NA,NA,NA,NA,3.63E+05,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1513,NA,Hydrolagus colliei,prot_g,15.1,finfish,NA,NA,100,NaN,3.68,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NaN,NA,NA,NA,NA,NA,96339,NA,100,NA,NA,NA,NA,NA,9137,NA,demersal,NA,0,NA,0,3.68,NA,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1542,NA,Lepidopsetta bilineata,prot_g,19.2,finfish,NA,NA,56.5,49,3.48,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NaN,NA,NA,NA,NA,60,6885,NA,58,NA,NA,NA,NA,NA,NA,NA,demersal,NA,0,NA,0,3.48,3.18,0.17,0.55,NA,NA,NA,NA,1800,NA,56370,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1544,NA,Limanda aspera,prot_g,17,finfish,NA,NA,47.33333333,39,3.66,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NaN,NA,33.5,NA,4883,NA,56370,NA,49,NA,NA,NA,NA,NA,NA,NA,demersal,NA,0,NA,0,3.66,3.49,0.079,0.51,NA,NA,NA,NA,1700,NA,56527,NA
