species_name,accepted_name,avg_length,length,slmax,length_source,feedingtype,foodtroph,feeding_habit,ref_info,bibliography,biblioid2,seanuts_id2,food_item_id_2,food_name_clean,database,nutrient_ref,genus_species,subgroup,prot_g,protcnt_g,protein_g,fat_g,fapun3,fapun_all_g,epa,dha,ca_mg,zn_mg,fe_mg,tl,length_from_study,length_source,abs_lat,latitude,slmax_nov28,slmax_source,lwa,lwb,country_region,isscaap_cat,isscaap,season,asfis_scientific_name_fishbase_swap_in_progress,season_x,season_y,herbivory2,herbivoryref,,feedingtyperef,diettroph,dietsetroph,,foodsetroph,isotroph,isosetroph,ecotroph,ecosetroph,stockcode,speccode_x,speccode_y,genus,species,fbname,subfamily,demerspelag,anacat,depthrangeshallow,depthrangedeep,ltypemaxm,ltypemaxf,ltypecomm,ltypecomf,commonlength,commonlengthf,commonlengthref,weight,weightfemale,maxweightref,sp2000_hierarchycode,reference,fresh,marine,brackishwater,brack,lengthfemale,maxlengthref,notes,weight_from_study,mar_fresh,wild_farmed,body_parts_included_excluded,included_excluded,x20,vit_a_iu,k_mg,mg_mg,x32
Callinectes sapidus,,,,,,,,,"Anthony, Jane E., et al. ""Yields, proximate composition and mineral content of finfish and shellfish."" Journal of Food Science 48.1 (1983): 313-314.",NA,NA,1739,NA,NA,NA,NA,NA NA,crustacean,NA,NA,NA,NA,NA,NA,NA,NA,34.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,summer 1980,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony, Jane E., et al. ""Yields, proximate composition and mineral content of finfish and shellfish."" Journal of Food Science 48.1 (1983): 313-314.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carcinus maenus,,,4,6,http://www.sealifebase.org/summary/Carcinus-maenas.html,mainly animals (troph. 2.8 and up),3.5,,"Skonberg, Denise I., and Brian L. Perkins. ""Nutrient composition of green crab (Carcinus maenus) leg meat and claw meat."" Food Chemistry 77.4 (2002): 401-404.",NA,NA,1737,NA,NA,NA,NA,NA NA,crustacean,NA,NA,NA,NA,NA,NA,154,115,91.55,4.296,0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/1/2000,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Skonberg, Denise I., and Brian L. Perkins. ""Nutrient composition of green crab (Carcinus maenus) leg meat and claw meat."" Food Chemistry 77.4 (2002): 401-404.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamelea gallina,,,,,,,,,"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412","Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",fi192,1667,NA,NA,NA,NA,NA NA,mollusc,8.99,NA,NA,1.2,NA,NA,NA,NA,304.2864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chamelea gallina,"Spring (Mar, Apr, May) 2006","Spring (Mar, Apr, May) 2006",NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Channa punctatus,,,31,15,http://www.fishbase.org/summary/5147,mainly animals (troph. 2.8 and up),3.84,,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",NA,NA,1973,NA,Taki,NA,NA,NA,finfish,NA,NA,18.3,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.81,NA,NA,NA,NA,NA,Mymensingh,NA,NA,July–September 2012,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",NA,freshwater,wild,Bones<comma> viscera<comma> fins<comma> scales,excluded,NA,139,NA,NA,NA
Channa striatus,,,61,100,http://www.fishbase.org/summary/Channa-striata,mainly animals (troph. 2.8 and up),3.36,hunting macrofauna (predator),"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",NA,NA,1980,NA,Shol,NA,NA,NA,finfish,NA,NA,18.7,0.3,NA,NA,NA,NA,96,0.73,0.41,NA,NA,NA,23.81,NA,NA,NA,NA,NA,Sylhet,NA,NA,July–September 2012,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",NA,freshwater,wild,Bones<comma> viscera<comma> scales<comma> gills<comma> fins,excluded,NA,NA,350,27,NA
Charybdis natator,,,,147,http://www.sealifebase.org/summary/Charybdis-natator.html,,,,"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461","Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461",fi155,1488,NA,NA,NA,NA,NA NA,crustacean,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charybdis natator,May,May,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlamys glabra,Flexopecten glaber,,4.73,8.5,http://www.sealifebase.org/summary/Flexopecten-glaber.html and http://www.eol.org/pages/586407/data,,,,"Özden, Ö. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",NA,NA,2026,NA,pecten,NA,NA,NA,mollusc,NA,NA,11.79,0.84,NA,NA,NA,NA,1717.4,NA,15.7107,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aegean Sea,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fat and protein expressed in %, minerals expressed in mg/kg, and I've converted them to appropriate units",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clinocardium nuttallii,,,,14,http://www.sealifebase.org/summary/Clinocardium-nuttallii.html,,,,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,fi195,1492,NA,NA,NA,NA,NA NA,mollusc,11.8,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clinocardium nuttallii,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colisa fasciata,Trichogaster fasciata,,,12,http://www.fishbase.org/summary/4770,mainly animals (troph. 2.8 and up),,,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",NA,NA,1949,NA,Boro Kholisha,NA,NA,NA,finfish,NA,NA,15.2,2.5,NA,NA,NA,NA,1700,2.3,4.1,NA,NA,NA,23.81,NA,NA,NA,NA,NA,Mymensingh,NA,NA,July–September 2012,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",NA,freshwater,wild,Viscera<comma> fins<comma> scales,excluded,NA,46,210,44,NA
Corbicula japonica,Corbicula fluminea,,5.5,,http://www.eol.org/pages/395903/data,,,,"Watanabe F., Katsura H., Takenaka S., Enomoto T., Miyamoto E., Nakatsuka T., Nakano Y. (2001) Characterization of Viatmin B12 compounds from edibe shellfish, clam, oyster and mussel. International Journal of Food Sciences and Nutrition 52: 263 - 268","Watanabe F., Katsura H., Takenaka S., Enomoto T., Miyamoto E., Nakatsuka T., Nakano Y. (2001) Characterization of Viatmin B12 compounds from edibe shellfish, clam, oyster and mussel. International Journal of Food Sciences and Nutrition 52: 263 - 268",fi230,1608,NA,NA,NA,NA,NA NA,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corbicula japonica,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coregonus spp,,,,,,,,,"Kuhnlein et al, 1994",NA,NA,1817,NA,NA,CINE,"Kuhnlein et al, 1994",NA NA,finfish,NA,NA,NA,0.7,NA,NA,NA,NA,9.4,0.8,0.5,NA,NA,.,NA,NA,NA,NA,NA,NA,come back,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crassostrea gigas,,,,,,,,,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,fi195,1510,NA,NA,NA,NA,NA NA,mollusc,10.4,NA,NA,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crassostrea gigas,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crassostrea madrasensis,,,,,,plants/detritus+animals (troph. 2.2-2.79),2.27,filtering plankton,"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",NA,NA,1885,NA,NA,NA,NA,NA,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,145,0.43,3.7,NA,NA,NA,22.57,NA,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,marine,wild,NA,NA,NA,4.6,NA,NA,NA
Crassostrea virginica,,,,,,,,,"Anthony, Jane E., et al. ""Yields, proximate composition and mineral content of finfish and shellfish."" Journal of Food Science 48.1 (1983): 313-314.",NA,NA,1740,NA,NA,NA,NA,NA NA,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,61,82.46,7.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,summer 1980,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony, Jane E., et al. ""Yields, proximate composition and mineral content of finfish and shellfish."" Journal of Food Science 48.1 (1983): 313-314.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donax trunculus,,,2,4.4,http://www.sealifebase.org/summary/Donax-trunculus.html,,,,"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412","Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",fi192,31,NA,NA,NA,NA,NA NA,mollusc,8.12,NA,NA,0.87,NA,NA,NA,NA,448.9326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Donax trunculus,"Autumn (Sep, Oct, Nov) 2006","Autumn (Sep, Oct, Nov) 2006",NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doryteuthis opalescens,,,147,19,http://www.sealifebase.org/summary/Doryteuthis-opalescens.html,mainly animals (troph. 2.8 and up),3.74,hunting macrofauna (predator),"King I., Childs M.T., Dorsett C., Ostrander J.G., Monsen E.R. (1990). Shellfish: Proximate composition, minerals, fatty acids, and sterols. Journal of the American Dietetic Association 90(5): 677-685","King I., Childs M.T., Dorsett C., Ostrander J.G., Monsen E.R. (1990). Shellfish: Proximate composition, minerals, fatty acids, and sterols. Journal of the American Dietetic Association 90(5): 677-685",fi177,1566,NA,NA,NA,NA,NA NA,mollusc,NA,NA,NA,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doryteuthis opalescens,Summer,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
