sciname,Genus,Species,SpeciesRefNo,Author,FBname,PicPreferredName,PicPreferredNameM,PicPreferredNameF,PicPreferredNameJ,FamCode,Subfamily,Source,AuthorRef,Remark,TaxIssue,Fresh,Brack,Saltwater,DemersPelag,AnaCat,MigratRef,DepthRangeShallow,DepthRangeDeep,DepthRangeRef,DepthRangeComShallow,DepthRangeComDeep,DepthComRef,LongevityWild,LongevityWildRef,LongevityCaptive,LongevityCapRef,Vulnerability,Length,LTypeMaxM,LengthFemale,LTypeMaxF,MaxLengthRef,CommonLength,LTypeComM,CommonLengthF,LTypeComF,CommonLengthRef,Weight,WeightFemale,MaxWeightRef,Pic,PictureFemale,LarvaPic,EggPic,ImportanceRef,Importance,PriceCateg,PriceReliability,Remarks7,LandingStatistics,Landings,MainCatchingMethod,II,MSeines,MGillnets,MCastnets,MTraps,MSpears,MTrawls,MDredges,MLiftnets,MHooksLines,MOther,UsedforAquaculture,LifeCycle,AquacultureRef,UsedasBait,BaitRef,Aquarium,AquariumFishII,AquariumRef,GameFish,GameRef,Dangerous,DangerousRef,Electrogenic,ElectroRef,Complete,GoogleImage,Comments,Profile,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS,Land,ASFA,Synopsis,DateSynopsis,Flag,VancouverAquarium,Sp2000_NameCode,Sp2000_HierarchyCode,Sp2000_AuthorRefNumber,E_Append,E_DateAppend,SpecCode
Rasbora tornieri,Hemioniscus,balani,19,"(Bate, 1860)",NA,NA,NA,NA,NA,543,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:20:20.000Z,0,NA,NA,NA,NA,0,ITS-93222,Animalia-Arthropoda-Malacostraca-Isopoda,NA,NA,NA,22832
Esomus danricus,Aspella,elizabethae,19,"(McGinty, 1940)",NA,NA,NA,NA,NA,2011,NA,O,NA,NA,0,0,0,1,NA,NA,NA,2,3,83435,NA,NA,NA,NA,NA,NA,NA,NA,2.0,DL,NA,NA,83435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,11,2012-11-05T00:00:00.000Z,36,2011-08-12T00:00:00.000Z,2015-05-11T10:19:47.000Z,0,NA,NA,NA,NA,0,ITS-73389,Animalia-Mollusca-Gastropoda-Neogastropoda,NA,3,2011-08-12,5150
Amblypharyngodon mola,Megamphopus,dubia,19,"Shoemaker, 1942",NA,NA,NA,NA,NA,327,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:20:30.000Z,0,NA,NA,NA,NA,0,ITS-94131,Animalia-Arthropoda-Malacostraca-Amphipoda,NA,NA,NA,24301
Puntius sophore,Cyathura,carinata,2851,"(Kroyer, 1847)",NA,NA,NA,NA,NA,504,NA,O,NA,NA,0,0,1,1,demersal,NA,NA,0,5,3113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,"Depth based on occurrence (Ref. 2851, p. 719); to be replaced with better reference.",NA,4,2005-12-11T00:00:00.000Z,4,2014-06-18T00:00:00.000Z,NA,NA,2015-05-11T10:20:04.000Z,0,NA,NA,NA,NA,0,ITS-542633,Animalia-Arthropoda-Malacostraca-Isopoda,NA,NA,NA,10137
Parachela siamensis,Mithrax,holderi,19,"Stimpson, 1871",NA,NA,NA,NA,NA,450,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2010-02-03T00:00:00.000Z,NA,NA,2015-05-11T10:20:32.000Z,0,NA,NA,NA,NA,0,ITS-98523,Animalia-Arthropoda-Malacostraca-Decapoda,NA,NA,NA,27043
Esomus longimanus,Pitho,mirabilis,19,"(Herbst, 1794)",NA,NA,NA,NA,NA,426,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2010-02-03T00:00:00.000Z,NA,NA,2015-05-11T10:20:46.000Z,0,NA,NA,NA,NA,0,ITS-98551,Animalia-Arthropoda-Malacostraca-Decapoda,NA,NA,NA,27062
Trachurus trachurus,Cephalobranchia,macrochaeta,19,"Bonnevie, 1913",NA,NA,NA,NA,NA,1982,NA,O,NA,NA,0,0,0,1,pelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,DL,NA,NA,83435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,Found in Wikipedia.,NA,2,2005-12-11T00:00:00.000Z,11,2012-11-05T00:00:00.000Z,36,2011-08-12T00:00:00.000Z,2015-05-11T10:19:56.000Z,0,NA,NA,NA,NA,0,ITS-205238,Animalia-Mollusca-Gastropoda-Gymnosomata,NA,3,2011-08-12,1365
Monopterus albus,Clathrus,clathrus,19,unspecified,NA,NA,NA,NA,NA,2041,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:20:00.000Z,0,NA,NA,NA,NA,0,ITS-72509,Animalia-Mollusca-Gastropoda-Neotaenioglossa,NA,NA,NA,4663
Corica soborna,Coralliophila,pacei,19,"Petuch, 1987",NA,NA,NA,NA,NA,2002,NA,O,NA,NA,0,0,0,1,demersal,NA,NA,18,18,83435,NA,NA,NA,NA,NA,NA,NA,NA,0.8,DL,NA,NA,83435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,11,2012-11-05T00:00:00.000Z,36,2011-08-12T00:00:00.000Z,2015-05-11T10:20:02.000Z,0,NA,NA,NA,NA,0,ITS-567401,Animalia-Mollusca-Gastropoda-Neogastropoda,NA,3,2011-08-12,1566
Mormyrus rume,Retilaskeya,bicolor,83934,"(Adams, 1845)",NA,NA,NA,NA,NA,2037,NA,O,NA,NA,0,0,0,1,reef-associated,NA,NA,2,65,83934,NA,NA,NA,NA,NA,NA,NA,NA,1.2,DL,NA,NA,83435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,"This species is found offshore in coral reefs, cienaga facies, bays and coves, particularly on algae, pilings, coral, mud, polychaetes, rock, sand, seagrass, shell and sponge habitats (Ref. 83934).",NA,5,2005-12-11T00:00:00.000Z,11,2012-11-05T00:00:00.000Z,36,2011-08-12T00:00:00.000Z,2015-05-11T10:20:53.000Z,0,NA,NA,NA,NA,0,ITS-568248,Animalia-Mollusca-Gastropoda-Neotaenioglossa,NA,3,2011-08-12,2397
Glossogobius giuris,Cypraea,isabellamexicana,19,"Stearns, 1893",NA,NA,NA,NA,NA,2038,NA,O,NA,NA,0,0,0,1,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,5,2007-12-14T00:00:00.000Z,NA,NA,2015-05-11T10:20:05.000Z,0,NA,NA,NA,NA,0,ITS-72760,Animalia-Mollusca-Gastropoda-Neotaenioglossa,NA,NA,NA,4833
Channa punctata,Aspella,abyssicola,19,"(Crosse, 1865)",NA,NA,NA,NA,NA,2011,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:19:47.000Z,0,NA,NA,NA,NA,0,ITS-73385,Animalia-Mollusca-Gastropoda-Neogastropoda,NA,NA,NA,5147
Clarias batrachus,Solariella,lewisae,19,"Willett, 1946",NA,NA,NA,NA,NA,1953,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:20:57.000Z,0,NA,NA,NA,NA,0,ITS-69917,Animalia-Mollusca-Gastropoda-Archaeogastropoda,NA,NA,NA,3054
Macrognathus aculeatus,Favartia,cellulosa,86671,"(Conrad, 1846)",pitted murex,NA,NA,NA,NA,2011,NA,O,NA,See also <i>cellulosa</i> auct. = <i>Murexiella macgintyi</i> (Ref. 83435).,0,0,0,1,reef-associated,NA,NA,0,310,83435,NA,NA,NA,NA,NA,NA,NA,NA,2.9,DL,NA,NA,83435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,"This species is found intertidal in coral reefs, reef lagoons, cienaga facies, and mangroves, particularly on algae, boulder, coral, rock, rubbble, sand, shell and sponge habitats (Ref. 83934).",NA,11,2005-12-11T00:00:00.000Z,11,2012-11-05T00:00:00.000Z,36,2011-08-12T00:00:00.000Z,2015-05-11T10:20:14.000Z,0,NA,NA,NA,NA,0,ITS-73392,Animalia-Mollusca-Gastropoda-Neogastropoda,NA,3,2011-08-12,5152
Cynoscion acoupa,Cerithiopsida,diegensis,19,"(Bartsch, 1911)",NA,NA,NA,NA,NA,2037,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:19:57.000Z,0,NA,NA,NA,NA,0,ITS-567333,Animalia-Mollusca-Gastropoda-Neotaenioglossa,NA,NA,NA,1169
Mugil curema,Onchidium,damelli,1456,"Semper, 1882",NA,NA,NA,NA,NA,2208,NA,O,NA,NA,0,0,0,1,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,5,2005-12-11T00:00:00.000Z,5,2008-05-28T00:00:00.000Z,NA,NA,2015-05-11T10:20:38.000Z,0,NA,NA,NA,NA,0,AFD-Pul-3906,Animalia-Mollusca-Gastropoda-Systellommatophora,AFD-Pul-Sempe1885x22,NA,NA,1086
Cyprinus carpio,Leucozonia,jacarusoi,19,"Petuch, 1987",NA,NA,NA,NA,NA,2006,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:20:26.000Z,0,NA,NA,NA,NA,0,ITS-567772,Animalia-Mollusca-Gastropoda-Neogastropoda,NA,NA,NA,1450
Pagellus bogaraveo,Finella,hamlini,19,"(Bartsch, 1911)",NA,NA,NA,NA,NA,2053,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:20:14.000Z,0,NA,NA,NA,NA,0,ITS-567590,Animalia-Mollusca-Gastropoda-Neotaenioglossa,NA,NA,NA,890
Tenualosa ilisha,Crockerella,scotti,7797,"McLean, 1996",NA,NA,NA,NA,NA,2001,NA,O,NA,NA,0,0,0,1,benthic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,29,2005-12-11T00:00:00.000Z,NA,2008-05-29T00:00:00.000Z,NA,NA,2015-05-11T10:20:03.000Z,0,NA,NA,NA,NA,0,ITS-567434,Animalia-Mollusca-Gastropoda-Neogastropoda,NA,NA,NA,1596
Mullus surmuletus,Copulabyssia,corrugata,19,"(Jeffreys, 1883)",NA,NA,NA,NA,NA,1945,NA,O,NA,NA,0,0,0,1,sessile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,8,2007-03-21T00:00:00.000Z,NA,NA,2015-05-11T10:20:02.000Z,0,NA,NA,NA,NA,0,ITS-204968,Animalia-Mollusca-Gastropoda-Archaeogastropoda,NA,NA,NA,1327
Scardinius erythrophthalmus,Collisella,limatula,100405,unspecified,NA,NA,NA,NA,NA,2137,NA,O,NA,NA,0,0,0,1,benthic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,"The species contains limatulone, a triterpene which inhibits fish and crab predation.  It is located in the foot tissue of the species (Refs. 100100, 100405) (Ref. 100405).",NA,2,2005-12-11T00:00:00.000Z,247,2015-03-05T00:00:00.000Z,NA,NA,2015-05-11T10:20:01.000Z,0,NA,NA,NA,NA,0,ITS-69708,Animalia-Mollusca-Gastropoda-Patellogastropoda,NA,NA,NA,2951
