ref_info,seanuts_id2,notes,food_name_clean,species_name,length_from_study,weight_from_study,length_source,season,country_region,abs_lat,Mar_fresh,wild_farmed,subgroup,body_parts_included_excluded,included_excluded,protein_g,fat_g,X20,fapun3,fapun_all_g,epa,dha,ca_mg,zn_mg,fe_mg,vit_a_IU,K_mg,mg_mg,tl,X32,latitude,slmax,isscaap_cat
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1865,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Trichiurus lepturus,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.7,1.3,1.9,2.9,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1866,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Ailia coila,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,freshwater,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,2410,10.2,10.9,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1867,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Amblypharyngodon mola,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,freshwater,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,841.7,3.9,11.9,555.0,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1868,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Anabas testudineus,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,freshwater,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,252.6,0.9,2.3,89.8,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1869,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Clarias batrachus,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,freshwater,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,222.3,0.7,2.2,3.9,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1870,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Gudusia chapra,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,freshwater,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,3440,12.3,36.5,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1871,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Heteropneustes fossilis,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,freshwater,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.4,1.2,2.4,26.8,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1872,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Puntius sophore,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,freshwater,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,944.6,5.4,11.6,70.9,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1873,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Sperata seenghala,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,freshwater,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.1,0.4,1.3,56.2,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1874,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Tenualosa ilisha,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,freshwater,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,0.9,3,260.7,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1875,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Xenentodon cancila,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,freshwater,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,5310,21.3,7.51,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1876,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Lates calcarifer,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,brackish,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,241.9,5.56,11.8,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1877,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Mugil cephalus,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,brackish,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,263.9,5.1,12.8,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1878,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Cyprinus carpio,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,409.3,3.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1879,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Neolissochilus hexagonolepis,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,1175,1.9,2,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1880,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Oncorhynchus mykiss,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,418.6,1.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1881,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Schizothorax richardsonii,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.7,2.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1882,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Tor putitora,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,1.3,0.9,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1883,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Penaeus monodon,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,brackish,wild,crustacean,NA,NA,NA,NA,NA,NA,NA,NA,NA,419.3,7.34,16.41,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1884,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Fenneropenaeus indicus,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,brackish,wild,crustacean,NA,NA,NA,NA,NA,NA,NA,NA,NA,429.7,6.09,10.81,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1885,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Crassostrea madrasensis,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,marine,wild,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,0.43,3.7,4.6,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1886,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Perna viridis,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,marine,wild,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,NA,522.6,2.59,6.3,9.5,NA,NA,NA,NA,NA,NA,NA
"Mahanty, A., Ganguly, S., Verma, A., Sahoo, S., Mitra, P., Paria, P., Sharma, A.P., Singh, B.K. and Mohanty, B.P., 2014. Nutrient profile of small indigenous fish Puntius sophore: proximate composition, amino acid, fatty acid and micronutrient profiles. National Academy Science Letters, 37(1), pp.39-44.",1887,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Puntius sophore,NA,NA,NA,NA,"The fishes were collected from ponds and wetlands in and around Kolkata, West Bengal",22.57,freshwater,wild,finfish,NA,NA,16.2,3.55,NA,NA,NA,NA,NA,974.8,5.11,11.5,NA,228.37,126,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1888,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Ailia coila,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Freshwater (captured),NA,finfish,NA,NA,12.9,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1889,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Amblypharyngodon mola,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Freshwater (captured),NA,finfish,NA,NA,16.3,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1890,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Anabas testudineus,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Freshwater (captured),NA,finfish,NA,NA,16.9,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1891,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Clarias batrachus,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Freshwater (captured),NA,finfish,NA,NA,16.4,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1892,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Crassostrea madrasensis,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),NA,mollusc,NA,NA,16.8,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1893,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Cyprinus carpio,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Cold water (captured),NA,finfish,NA,NA,17.9,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1894,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Epinephelus spp.,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),NA,finfish,NA,NA,18.1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1895,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Etroplus suratensis,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Brackish water (captured),NA,finfish,NA,NA,20.4,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1896,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Euthynnus affinis,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),NA,finfish,NA,NA,20.9,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1897,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Fenneropenaeus indicus,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Brackish water (captured),NA,crustacean,NA,NA,16.4,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1898,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Gudusia chapra,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Freshwater (captured),NA,finfish,NA,NA,14.1,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1899,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Harpadon nehereus,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),NA,finfish,NA,NA,8.2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1900,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Heteropneustes fossilis,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Freshwater (captured),NA,finfish,NA,NA,16.3,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1901,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Katsuwonus pelamis,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),NA,finfish,NA,NA,22.4,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1902,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Lates calcarifer,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Brackish water (captured),NA,finfish,NA,NA,21.1,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
