asfis_scientific_name,food_name_in_english,taxonkey,lwa,lwb,slmax,slmax_nov28,slmax_source,tl,tl_se,tl_nov28,tlse_nov28,number,sci_name,food_item_id,subgroup,country_region,type,isscaap,isscaap_cat,habitat,x3_alpha,food_name_in_own_language,processing,asfis_english_name,season,other,latitude,abs_lat,length_from_study,length_3,n_x,water_g,fat_g,fatce_g,fat_g_2,fasat_g,fams_g,fapu_g,faun_g,fatrn_g,facid_g,fapun3_g,fapun6_g,fapun9_g,epa_g,dha_g,food_item_id_2,max_length_study,comments_on_data_processing_methods_y,publication_year,biblioid_y,compiler,edible,enerc_kj_original,enerc_kcal_original,enera_kcal,dm_g,water_g_2,xn,nt_g,protcnt_g,protcnp_g,prot_g,npro_g,nnp_mg,fat_g_3,fatce_g_2,fat_g_1,fasat_g_2,fams_g_2,fapu_g_2,faun_g_2,ca_mg,fe_mg,id_mcg,k_mg,mg_mg,mn_mg,se_mcg,hg_mcg,pb_mcg,sr_mcg,retol_mcg,retol13_mcg,retoldh_mcg,retolsum_mcg,carta_mcg,cartb_mcg,atx_mcg,zea_mcg,cartoid_mcg,chocal_mcg,tocpha_mg,vitb6a_mg,vitb12_mcg,vitc_mg,zn_mg,food_name_clean,database,nutrient_ref,biblioid
Albatrossia pectoralis,"Giant grenadier, wild, fillets, raw",NA,0.00102,3.25,210.0,NA,http://www.fishbase.org/summary/Albatrossia-pectoralis.html,4.3,0.8,NA,NA,11,Albatrossia pectoralis,900150,Finfish,"USA, Alaska, Kodiak",W,32,"Cods, hakes, haddocks",marine,AIP,NA,r,Giant grenadier,02-Apr,NA,57.79,57.79,NA,NA,1,NA,NA,NA,0.21,0.038372223,0.038799658,0.062072059,0.002086059,NA,NA,0.056094173,0.005094005,NA,0.018676001,0.033661436,900150,NA,FAME converted using ShF and XFA,2005,fi30,DR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,0.04,0.04,0.06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Giant_grenadier_wild_fillets_raw,NA,NA,NA
Alectis alexandrinus,"African threadfish, wild, fillet, raw",NA,NA,NA,70.0,NA,not in fishbase,3.6,0.59,NA,NA,12,Alectis alexandrinus,900328,Finfish,"Turkey, Mediterranean Sea",W,37,Miscellaneous pelagic fishes,marine,ALA,NA,r,Alexandria pompano,NA,NA,37.370157,37.370157,NA,NA,1,NA,1.32,NA,NA,0.454909224,0.3047968,0.235890952,0.092963024,NA,NA,0.178959264,0.054319144,NA,0.071736104,0.10450176,900328,NA,FA converted using XFA,2009,fi67,DR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,NA,NA,0.45,0.3,0.24,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,African_threadfish_wild_fillet_raw,NA,NA,NA
Alepocephalus bairdii,"Smooth head, wild, dorsal muscle, raw",NA,0.00513,3.06,100.0,NA,http://www.fishbase.org/summary/Alepocephalus-bairdii.html,3.7,0.54,NA,NA,14,Alepocephalus bairdii,900082,Finfish,"Unknown, Hatton Bank, North Atlantic",W,34,Miscellaneous demersal fishes,marine,ALC,NA,r,Baird's slickhead,NA,NA,57.596278,57.596278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900082,NA,fat extraction according to Losnegard et al. _1979; ethyl acetat extraction,2005,fi11,DR,NA,NA,NA,NA,NA,87.2,6.25,NA,10.1,NA,NA,NA,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Smooth_head_wild_dorsal_muscle_raw,NA,NA,NA
Alepocephalus spp,"Smooth head, wild, dorsal muscle, raw",NA,0.00724,3.06,79.0,NA,http://www.fishbase.se/summary/9171,3.4,0.39,NA,NA,13,Alepocephalus agassizii,900083,Finfish,"Denmark _Greenland, North Atlantic",W,34,Miscellaneous demersal fishes,marine,ALH,NA,r,Slickheads nei,NA,NA,71.706936,71.706936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900083,NA,fat extraction according to Losnegard et al. _1979; ethyl acetat extraction,2005,fi11,DR,NA,NA,NA,NA,NA,85.5,6.25,NA,10.3,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Smooth_head_wild_dorsal_muscle_raw,NA,NA,NA
Alosa alosa,"Shad _marine water, raw, wild, edible part, raw",600101,0.0096,2.980999947,68.0,NA,NA,3.62,0.53,NA,NA,15,Alosa alosa,900290,Finfish,"Turkey, Black Sea",W,24,Shads,marine,ASD,NA,r,Allis shad,fall 1995-spring 1996,NA,42.163403,42.163403,NA,NA,1,60.24,15.91,NA,NA,4.670517231,6.519906805,3.450331741,0.060274223,NA,NA,2.853469923,0.596861818,NA,0.670366968,1.859680295,900290,NA,FA converted using XFA,1998,fi57,DR,NA,985.0,NA,NA,NA,60.24,6.25,NA,22.42,NA,NA,NA,NA,15.91,NA,NA,4.67,6.52,3.45,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shad_marine_water_raw_wild_edible_part_raw,NA,NA,NA
Alosa sapidissima,"American shad, wild, fillet, raw",601584,0.0065,2.959000111,62.0,NA,NA,3.19,0.46,NA,NA,16,Alosa sapidissima,900841,Finfish,"USA, OR, Northeast Pacific, Seaside",W,24,Shads,freshwater,SHA,NA,r,American shad,NA,NA,45.993164,45.993164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900841,NA,NA,1984,fi125,DR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,0.94,NA,244.3,30.6,0.01,NA,5.1,NA,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3792,American_shad_wild_fillet_raw,NA,NA,NA
Aluterus monoceros,"Unicorn leatherjacket filefish, adult fish, muscle flesh, middle portion, raw",NA,NA,NA,76.2,NA,not in fishbase,3.5,0.5,NA,NA,17,Aluterus monoceros,900881,Finfish,"Brazil, S†o Paulo, Santos cost",W,33,Miscellaneous coastal fishes,marine,ALM,Peixe porco,r,Unicorn leatherjacket filefish,NA,NA,-23.372169,23.372169,NA,NA,NA,NA,3.59,NA,NA,0.77903,0.77185,NA,NA,NA,NA,1.61191,0.1436,NA,0.3231,1.09136,900881,NA,NA,2007,fi131,DR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.59,NA,NA,0.78,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unicorn_leatherjacket_filefish_adult_fish_muscle_flesh_middle_portion_raw,NA,NA,NA
Ambassidae,"Glass perchlet, medium size, edible parts _eyes included, raw",NA,0.01955,3.01,8.0,NA,http://www.fishbase.org/summary/Parambassis-ranga.html,3.3,0.39,NA,NA,150,Chanda ranga,902227,Finfish,"Bangladesh, Kishoreeganj/Mymensingh district",W,33,Miscellaneous coastal fishes,marine,AIB,Chanda,r,Glassfishes,"Sep, Oct",fish cleaned according to local practices,24.4333,24.4333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902227,NA,additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,fi199,DR,0.87,NA,NA,NA,25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,15,665,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glass_perchlet_medium_size_edible_parts_eyes_included_raw,NA,NA,NA
Ambassidae,"Glass perchlet, small size, edible parts _eyes included, raw",NA,0.01955,3.01,8.0,NA,http://www.fishbase.org/summary/Parambassis-ranga.html,3.3,0.39,NA,NA,151,Chanda ranga,902228,Finfish,"Bangladesh, Kishoreeganj/Mymensingh district",W,33,Miscellaneous coastal fishes,marine,AIB,Chanda,r,Glassfishes,"Sep, Oct",fish cleaned according to local practices,24.4333,24.4333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902228,NA,additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,fi199,DR,0.87,NA,NA,NA,25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,13,495,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glass_perchlet_small_size_edible_parts_eyes_included_raw,NA,NA,NA
Ambassidae,"Glass perchlet, large, size, edible parts _eyes included, raw",NA,0.01955,3.01,8.0,NA,http://www.fishbase.org/summary/Parambassis-ranga.html,3.3,0.39,NA,NA,152,Chanda ranga,902229,Finfish,"Bangladesh, Kishoreeganj/Mymensingh district",W,33,Miscellaneous coastal fishes,marine,AIB,Chanda,r,Glassfishes,"Sep, Oct",fish cleaned according to local practices,24.4333,24.4333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902229,NA,additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,fi199,DR,0.87,NA,NA,NA,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,13,288,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glass_perchlet_large_size_edible_parts_eyes_included_raw,NA,NA,NA
Ambassidae,"Glass perchlet, medium size, edible parts _eyes included, raw",NA,0.01955,3.01,8.0,NA,http://www.fishbase.org/summary/Parambassis-ranga.html,3.3,0.39,NA,NA,153,Chanda ranga,902230,Finfish,"Bangladesh, Kishoreeganj/Mymensingh district",W,33,Miscellaneous coastal fishes,marine,AIB,Chanda,r,Glassfishes,"Sep, Oct",fish cleaned according to local practices,24.4333,24.4333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902230,NA,additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,fi199,DR,0.87,NA,NA,NA,28.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,35,5965,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glass_perchlet_medium_size_edible_parts_eyes_included_raw,NA,NA,NA
Ambassidae,"Glass perchlet, large size, edible parts _eyes included, raw",NA,0.01955,3.01,8.0,NA,http://www.fishbase.org/summary/Parambassis-ranga.html,3.3,0.39,NA,NA,154,Chanda ranga,902231,Finfish,"Bangladesh, Kishoreeganj/Mymensingh district",W,33,Miscellaneous coastal fishes,marine,AIB,Chanda,r,Glassfishes,"Sep, Oct",fish cleaned according to local practices,24.4333,24.4333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902231,NA,additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,fi199,DR,0.87,NA,NA,NA,25.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,34,4640,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glass_perchlet_large_size_edible_parts_eyes_included_raw,NA,NA,NA
Ambassidae,"Glass perchlet, small size, edible parts _75% eyes included, raw",NA,0.01955,3.01,8.0,NA,http://www.fishbase.org/summary/Parambassis-ranga.html,3.3,0.39,NA,NA,155,Chanda ranga,902232,Finfish,"Bangladesh, Kishoreeganj/Mymensingh district",W,33,Miscellaneous coastal fishes,marine,AIB,Chanda,r,Glassfishes,"Sep, Oct",fish cleaned according to local practices,24.4333,24.4333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902232,NA,additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,fi199,DR,0.87,NA,NA,NA,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,7,1307,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glass_perchlet_small_size_edible_parts_75%_eyes_included_raw,NA,NA,NA
Amblypharyngodon mola,"Mola, edible parts _eyes included, raw",NA,0.00794,3.18,20.0,NA,http://www.fishbase.org/summary/24301,2.9,0.3,NA,NA,18,Amblypharyngodon mola,902265,Finfish,"Bangladesh, Kishoreeganj/Mymensingh district",W,11,"Carps, barbels and other cyprinids",freshwater,ABO,Mola,r,NA,"Sep, Oct",fish cleaned according to local practices,24.4333,24.4333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902265,NA,additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,fi199,DR,0.87,NA,NA,NA,19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411,0,5766,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mola_edible_parts_eyes_included_raw,NA,NA,NA
Amblypharyngodon mola,"Mola, edible parts _eyes included, raw",NA,0.00794,3.18,20.0,NA,http://www.fishbase.org/summary/24302,2.9,0.3,NA,NA,19,Amblypharyngodon mola,902266,Finfish,"Bangladesh, Kishoreeganj/Mymensingh district",W,11,"Carps, barbels and other cyprinids",freshwater,ABO,Mola,r,NA,"Sep, Oct",fish cleaned according to local practices,24.4333,24.4333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902266,NA,additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,fi199,DR,0.87,NA,NA,NA,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,0,5245,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mola_edible_parts_eyes_included_raw,NA,NA,NA
Amblypharyngodon mola,"Mola, edible parts _eyes included, raw",NA,0.00794,3.18,20.0,NA,http://www.fishbase.org/summary/24303,2.9,0.3,NA,NA,20,Amblypharyngodon mola,902267,Finfish,"Bangladesh, Kishoreeganj/Mymensingh district",W,11,"Carps, barbels and other cyprinids",freshwater,ABO,Mola,r,NA,"Sep, Oct",fish cleaned according to local practices,24.4333,24.4333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902267,NA,additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,fi199,DR,0.87,NA,NA,NA,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,0,5338,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mola_edible_parts_eyes_included_raw,NA,NA,NA
Amblypharyngodon mola,"Mola, whole, raw",NA,0.00794,3.18,20.0,NA,http://www.fishbase.org/summary/24304,2.9,0.3,NA,NA,21,Amblypharyngodon mola,902270,Finfish,"Bangladesh, Kishoreeganj/Mymensingh district",W,11,"Carps, barbels and other cyprinids",freshwater,ABO,Mola,r,NA,"Sep, Oct",fish cleaned according to local practices,24.4333,24.4333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902270,NA,additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,fi199,DR,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,423,39,5595,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mola_whole_raw,NA,NA,NA
Amblypharyngodon mola,"Mola, body tissue, posterior, raw",NA,0.00794,3.18,20.0,NA,http://www.fishbase.org/summary/24305,2.9,0.3,NA,NA,22,Amblypharyngodon mola,902278,Finfish,"Bangladesh, Kishoreeganj/Mymensingh district",W,11,"Carps, barbels and other cyprinids",freshwater,ABO,Mola,r,NA,"Sep, Oct",fish cleaned according to local practices,24.4333,24.4333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902278,NA,additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,fi199,DR,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2,53,NA,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mola_body_tissue_posterior_raw,NA,NA,NA
