ref_info,updated_ref_info,seanuts_id2,species_name,nutrient,concentration,country_region,latitude_details,latitude,longitude,weight_from_study_g,length_from_study,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1275,Cyprinus carpio,fapun_all_g,0.193524426,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1275,Cyprinus carpio,fapun3,0.034947303,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1275,Cyprinus carpio,fat_g,1.19,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1281,Hemisorubim platyrhynchos,dha,0.397990409,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1281,Hemisorubim platyrhynchos,fapun_all_g,1.177107287,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1281,Hemisorubim platyrhynchos,fapun3,0.599180809,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1281,Hemisorubim platyrhynchos,fat_g,2.98,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1289,Hoplias malabaricus,dha,0.007100303,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1289,Hoplias malabaricus,epa,0.00661606,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1289,Hoplias malabaricus,fapun_all_g,0.025279762,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1289,Hoplias malabaricus,fapun3,0.019340532,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1289,Hoplias malabaricus,fat_g,0.27,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1284,Leporinus elongatus,dha,0.081477796,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1284,Leporinus elongatus,fapun_all_g,0.579684018,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1284,Leporinus elongatus,fapun3,0.179210197,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1284,Leporinus elongatus,fat_g,9.17,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1285,Leporinus friderici,dha,0.103566489,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1285,Leporinus friderici,epa,0.031878146,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1285,Leporinus friderici,fapun_all_g,0.393191803,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1285,Leporinus friderici,fapun3,0.282024508,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1285,Leporinus friderici,fat_g,2.6,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1276,Megalancistrus parananus,dha,0.022009598,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1276,Megalancistrus parananus,fapun_all_g,0.095246142,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1276,Megalancistrus parananus,fapun3,0.022009598,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1276,Megalancistrus parananus,fat_g,0.7,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1288,Oreochromis niloticus,dha,0.023938598,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1288,Oreochromis niloticus,epa,0.050246702,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1288,Oreochromis niloticus,fapun_all_g,0.414154932,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1288,Oreochromis niloticus,fapun3,0.122074404,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1288,Oreochromis niloticus,fat_g,2.86,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1283,Piaractus mesopotamicus,epa,0.235237848,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1283,Piaractus mesopotamicus,fapun_all_g,1.268049784,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1283,Piaractus mesopotamicus,fapun3,0.235237848,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1283,Piaractus mesopotamicus,fat_g,18.31,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1282,Pimelodus maculatus,dha,0.09556534,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1282,Pimelodus maculatus,fapun_all_g,0.535059107,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1282,Pimelodus maculatus,fapun3,0.317790424,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1282,Pimelodus maculatus,fat_g,5.5,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1274,Pinirampus pirinampu,dha,0.682588052,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1274,Pinirampus pirinampu,epa,0.284944427,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1274,Pinirampus pirinampu,fapun_all_g,2.434994117,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1274,Pinirampus pirinampu,fapun3,1.920210939,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1274,Pinirampus pirinampu,fat_g,19.75,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1278,Plagioscion squamosissimus,dha,0.052228263,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1278,Plagioscion squamosissimus,epa,0.058739117,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1278,Plagioscion squamosissimus,fapun_all_g,0.137415222,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1278,Plagioscion squamosissimus,fapun3,0.11096738,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1278,Plagioscion squamosissimus,fat_g,0.69,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1279,Prochilodus lineatus,dha,0.188807397,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1279,Prochilodus lineatus,epa,0.040009546,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1279,Prochilodus lineatus,fapun_all_g,0.665252263,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1279,Prochilodus lineatus,fapun3,0.439538324,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1279,Prochilodus lineatus,fat_g,3.68,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1286,Pseudoplatystoma corruscans,dha,0.079957398,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1286,Pseudoplatystoma corruscans,epa,0.045230278,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1286,Pseudoplatystoma corruscans,fapun_all_g,0.216323536,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1286,Pseudoplatystoma corruscans,fapun3,0.157269241,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1286,Pseudoplatystoma corruscans,fat_g,1.27,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1277,Pterodoras granulosus,dha,0.327263527,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1277,Pterodoras granulosus,fapun_all_g,0.769844736,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1277,Pterodoras granulosus,fapun3,0.521163219,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1277,Pterodoras granulosus,fat_g,3.18,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1280,Salminus brasiliensis,dha,0.048411624,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1280,Salminus brasiliensis,epa,0.032706129,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1280,Salminus brasiliensis,fapun_all_g,0.210679363,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1280,Salminus brasiliensis,fapun3,0.150188424,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1280,Salminus brasiliensis,fat_g,0.88,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1661,Salmus sp.,dha,0.691720662,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1661,Salmus sp.,epa,0.098050685,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1661,Salmus sp.,fapun_all_g,1.730275662,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1661,Salmus sp.,fapun3,1.666810953,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1661,Salmus sp.,fat_g,6.42,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1287,Serrasalmus emarginatus,dha,0.018318792,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1287,Serrasalmus emarginatus,epa,0.005896797,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1287,Serrasalmus emarginatus,fapun_all_g,0.111982434,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1287,Serrasalmus emarginatus,fapun3,0.075447027,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
