Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,user_supplied_name,submitted_name,data_source_title,score,realm
Brevoortia tyrannus,1,plants/detritus+animals (troph. 2.2-2.79),filtering plankton,2.61,subtropical,fusiform / normal,pelagic-neritic,50,50,Brevoortia tyrannus,Brevoortia tyrannus,FishBase,0.988,brackmarine
Brosme brosme,8,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.08,temperate,elongated,demersal,1000,120,Brosme brosme,Brosme brosme,FishBase,0.988,marine
Carassius auratus,1,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2.86,temperate,fusiform / normal,benthopelagic,20,48,Carassius auratus,Carassius auratus,FishBase,0.988,freshbrack
Carassius carassius,2.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.11,temperate,fusiform / normal,demersal,NA,64,Carassius carassius,Carassius carassius,FishBase,0.988,freshbrack
Carcharhinus limbatus,4.333333333333333,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.46,subtropical,fusiform / normal,reef-associated,100,275,Carcharhinus limbatus,Carcharhinus limbatus,FishBase,0.988,brackmarine
Catostomus catostomus,4.6,plants/detritus+animals (troph. 2.2-2.79),grazing on aquatic plants,3.1099998950958248,temperate,fusiform / normal,demersal,180,64,Catostomus catostomus,Catostomus catostomus,FishBase,0.988,freshbrack
Catostomus commersonii,4,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),2.46,temperate,fusiform / normal,demersal,NA,65,Catostomus commersonii,Catostomus commersonii,FishBase,0.988,freshbrack
Champsocephalus gunnari,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.49,polar,elongated,benthopelagic,700,66,Champsocephalus gunnari,Champsocephalus gunnari,FishBase,0.988,marine
Channa striata,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.36,tropical,elongated,benthopelagic,10,100,Channa striata,Channa striata,FishBase,0.988,freshbrack
Chelon labrosus,2.5,plants/detritus+animals (troph. 2.2-2.79),browsing on substrate,2.59,subtropical,elongated,demersal,NA,75,Chelon labrosus,Chelon labrosus,FishBase,0.988,freshbrackmarine
Chondrostoma nasus,4,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2,temperate,fusiform / normal,benthopelagic,NA,50,Chondrostoma nasus,Chondrostoma nasus,FishBase,0.988,fresh
Clarias gariepinus,2.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.5,subtropical,elongated,benthopelagic,80,170,Clarias gariepinus,Clarias gariepinus,FishBase,0.988,fresh
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,Clupea harengus,Clupea harengus,FishBase,0.988,brackmarine
Clupea pallasii pallasii,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4600000381469727,temperate,fusiform / normal,pelagic-neritic,475,46,Clupea pallasii pallasii,Clupea pallasii pallasii,FishBase,0.999,freshbrackmarine
Clupeonella cultriventris,2,mainly animals (troph. 2.8 and up),selective plankton feeding,3.03,temperate,fusiform / normal,pelagic-neritic,13,14.5,Clupeonella cultriventris,Clupeonella cultriventris,FishBase,0.988,freshbrackmarine
Coregonus albula,2,mainly animals (troph. 2.8 and up),selective plankton feeding,3.0599999427795406,temperate,fusiform / normal,benthopelagic,NA,48,Coregonus albula,Coregonus albula,FishBase,0.988,freshbrackmarine
Coregonus autumnalis,5.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.329999923706055,polar,fusiform / normal,pelagic-neritic,NA,65,Coregonus autumnalis,Coregonus autumnalis,FishBase,0.988,freshbrackmarine
Coregonus lavaretus,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,demersal,NA,73,Coregonus lavaretus,Coregonus lavaretus,FishBase,0.988,freshbrack
Coregonus nasus,5.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.28,polar,fusiform / normal,pelagic-neritic,NA,71,Coregonus nasus,Coregonus nasus,FishBase,0.988,freshbrack
Coregonus nasus,5.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.28,polar,fusiform / normal,pelagic-neritic,NA,71,Coregonos nasus,Coregonos nasus,FishBase,0.75,freshbrack
Couesius plumbeus,2.5,mainly animals (troph. 2.8 and up),NA,3.38,temperate,fusiform / normal,demersal,NA,23,Couesius plumbeus,Couesius plumbeus,FishBase,0.988,fresh
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,Cyclopterus lumpus,Cyclopterus lumpus,FishBase,0.988,marine
Cynoglossus arel,2,mainly animals (troph. 2.8 and up),variable,3.259999990463257,tropical,elongated,demersal,125,40,Cynoglossus arel,Cynoglossus arel,FishBase,0.988,brackmarine
Cyprinus carpio,1.9742857142857142,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.05,subtropical,fusiform / normal,benthopelagic,NA,120,Cyprinus carpio,Cyprinus carpio,FishBase,0.988,freshbrack
Dallia pectoralis,2,mainly animals (troph. 2.8 and up),variable,3.31,boreal,fusiform / normal,demersal,NA,33,Dallia pectoralis,Dallia pectoralis,FishBase,0.988,fresh
Decapterus punctatus,0.33,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.26,subtropical,fusiform / normal,reef-associated,100,30,Decapterus punctatus,Decapterus punctatus,FishBase,0.988,marine
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,Dentex dentex,Dentex dentex,FishBase,0.988,marine
Dicentrarchus labrax,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.47,subtropical,fusiform / normal,demersal,100,103,Dicentrarchus labrax,Dicentrarchus labrax,FishBase,0.988,freshbrackmarine
Diplodus annularis,1.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.21,subtropical,fusiform / normal,benthopelagic,90,27.5,Diplodus annularis,Diplodus annularis,FishBase,0.988,brackmarine
Diplodus sargus,3.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.24,subtropical,fusiform / normal,demersal,50,45,Diplodus sargus,Diplodus sargus,FishBase,0.988,brackmarine
Eleginus gracilis,2.2,mainly animals (troph. 2.8 and up),variable,3.78,polar,fusiform / normal,demersal,300,55,Eleginus gracilis,Eleginus gracilis,FishBase,0.988,freshbrackmarine
Engraulis encrasicolus,1,mainly animals (troph. 2.8 and up),selective plankton feeding,3.12,temperate,elongated,pelagic-neritic,400,20,Engraulis encrasicolus,Engraulis encrasicolus,FishBase,0.988,brackmarine
Eopsetta jordani,5.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.1,temperate,short and / or deep,demersal,550,53,Eopsetta jordani,Eopsetta jordani,FishBase,0.988,marine
Epinephelus aeneus,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.02,subtropical,fusiform / normal,demersal,200,120,Epinephelus aeneus,Epinephelus aeneus,FishBase,0.988,brackmarine
Epinephelus coioides,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.95,subtropical,fusiform / normal,reef-associated,100,120,Epinephelus coioides,Epinephelus coioides,FishBase,0.988,brackmarine
Esox lucius,1.9444444444444444,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.400000095367432,subtropical,elongated,demersal,30,137,Esox lucius,Esox lucius,FishBase,0.988,freshbrack
Eutrigla gurnardus,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.37,temperate,elongated,demersal,340,60,Eutrigla gurnardus,Eutrigla gurnardus,FishBase,0.988,brackmarine
Gadus macrocephalus,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,Gadus macrocephalus,Gadus macrocephalus,FishBase,0.988,brackmarine
Gadus morhua,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,Gadus morhua,Gadus morhua,FishBase,0.988,brackmarine
Glyptocephalus zachirus,3.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.41,temperate,short and / or deep,demersal,900,60,Glyptocephalus zachirus,Glyptocephalus zachirus,FishBase,0.988,marine
Helicolenus dactylopterus,15,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.8,deep-water,fusiform / normal,bathydemersal,1100,50,Helicolenus dacthlopterus,Helicolenus dacthlopterus,FishBase,0.75,marine
Heteropneustes fossilis,1,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.89,tropical,elongated,demersal,1,31,Heteropneustes fossilis,Heteropneustes fossilis,FishBase,0.988,freshbrack
Hippoglossoides elassodon,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.46,temperate,short and / or deep,demersal,1050,52,Hippoglossoides elassodon,Hippoglossoides elassodon,FishBase,0.988,marine
Hippoglossus hippoglossus,7.2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.28,temperate,fusiform / normal,demersal,2000,470,Hippoglossus hippoglossus,Hippoglossus hippoglossus,FishBase,0.988,marine
Hippoglossus stenolepis,8.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.92,temperate,fusiform / normal,demersal,1200,258,Hippoglossus stenolepis,Hippoglossus stenolepis,FishBase,0.988,marine
Huso huso,11.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.06,temperate,elongated,pelagic-neritic,180,800,Huso huso,Huso huso,FishBase,0.988,freshbrackmarine
Hyperoglyphe antarctica,5.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.95,deep-water,fusiform / normal,benthopelagic,1500,140,Hyperoglyphe antarctica,Hyperoglyphe antarctica,FishBase,0.988,marine
Hypomesus olidus,2,mainly animals (troph. 2.8 and up),selective plankton feeding,2.92,boreal,elongated,pelagic-neritic,NA,20,Hypomesus olidus,Hypomesus olidus,FishBase,0.988,freshbrackmarine
Hypomesus pretiosus,1,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4300000667572017,temperate,elongated,benthopelagic,NA,30.5,Hypomesus pretious,Hypomesus pretious,FishBase,0.75,brackmarine
Ictalurus punctatus,3,mainly animals (troph. 2.8 and up),variable,3.4000000953674316,subtropical,fusiform / normal,benthopelagic,NA,132,Ictalurus punctatus,Ictalurus punctatus,FishBase,0.988,fresh
Isurus oxyrinchus,14.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.32,subtropical,fusiform / normal,pelagic-oceanic,750,445,Isurus oxyrinchus,Isurus oxyrinchus,FishBase,0.988,marine
Katsuwonus pelamis,1,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.03,tropical,fusiform / normal,pelagic-oceanic,260,110,Katsuwonus pelamis,Katsuwonus pelamis,FishBase,0.988,marine
Labeo rohita,2,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2.19,tropical,fusiform / normal,benthopelagic,NA,200,Labeo rohita,Labeo rohita,FishBase,0.988,freshbrack
Lamna nasus,9.2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.36,boreal,fusiform / normal,pelagic-oceanic,1360,350,Lamna nasus,Lamna nasus,FishBase,0.988,marine
Lates angustifrons,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,tropical,fusiform / normal,demersal,NA,200,Lates angustifrons,Lates angustifrons,FishBase,0.988,fresh
Lates calcarifer,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.829999923706055,tropical,fusiform / normal,demersal,40,200,Lates calcarifer,Lates calcarifer,FishBase,0.988,freshbrackmarine
Lates niloticus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.95,tropical,fusiform / normal,demersal,60,200,Lates niloticus,Lates niloticus,FishBase,0.988,fresh
Lepidorhombus whiffiagonis,1,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.51,deep-water,fusiform / normal,bathydemersal,700,60,Lepidorhombus whiffiagonis,Lepidorhombus whiffiagonis,FishBase,0.988,marine
Leporinus friderici,1.5,plants/detritus+animals (troph. 2.2-2.79),variable,3.26,subtropical,fusiform / normal,benthopelagic,NA,40,Leporinus friderici,Leporinus friderici,FishBase,0.988,fresh
Leuciscus idus,5.571428571428571,mainly animals (troph. 2.8 and up),variable,3.79,temperate,fusiform / normal,benthopelagic,NA,85,Leuciscus idus,Leuciscus idus,FishBase,0.988,freshbrack
Limanda aspera,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.66,temperate,short and / or deep,demersal,700,49,Limanda aspera,Limanda aspera,FishBase,0.988,marine
Lithognathus mormyrus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.42,subtropical,fusiform / normal,demersal,150,55,Lithognathus mormyrus,Lithognathus mormyrus,FishBase,0.988,brackmarine
Lophius budegassa,7,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.23,deep-water,fusiform / normal,bathydemersal,1013,100,Lophius budegassa,Lophius budegassa,FishBase,0.988,marine
Lophius piscatorius,10,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.55,deep-water,short and / or deep,bathydemersal,1000,200,Lophius piscatorius,Lophius piscatorius,FishBase,0.988,marine
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,Lota lota,Lota lota,FishBase,0.988,freshbrack
Macrodon ancylodon,2.7,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.9,subtropical,fusiform / normal,demersal,60,45,Macrodon ancylodon,Macrodon ancylodon,FishBase,0.988,brackmarine
Macrourus berglax,14.8,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.57,temperate,elongated,benthopelagic,1000,110,Macrourus berglax,Macrourus berglax,FishBase,0.988,marine
Mallotus villosus,2,mainly animals (troph. 2.8 and up),selective plankton feeding,3.2,polar,elongated,pelagic-oceanic,725,20,Mallotus villosus,Mallotus villosus,FishBase,0.988,freshbrackmarine
Melanogrammus aeglefinus,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.56,temperate,fusiform / normal,demersal,450,112,Melanogrammus aeglefinus,Melanogrammus aeglefinus,FishBase,0.988,marine
Merlangius merlangus,1.6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.57,temperate,fusiform / normal,benthopelagic,200,91.5,Merlangius merlangus,Merlangius merlangus,FishBase,0.988,brackmarine
Merluccius hubbsi,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.23,temperate,elongated,benthopelagic,800,95,Merluccius hubbsi,Merluccius hubbsi,FishBase,0.988,marine
Merluccius merluccius,4.291666666666667,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.43,temperate,elongated,demersal,1075,140,Merluccius merluccius,Merluccius merluccius,FishBase,0.988,marine
Merluccius productus,3.2666666666666666,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.980000019073486,temperate,elongated,pelagic-neritic,1000,91,Merluccius productus,Merluccius productus,FishBase,0.988,brackmarine
Micromesistius poutassou,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.700000047683716,temperate,elongated,bathypelagic,3000,55.5,Micromesistius poutassou,Micromesistius poutassou,FishBase,0.988,marine
Micropogonias furnieri,2.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27,subtropical,fusiform / normal,demersal,60,60,Micorpogonias furnieri,Micorpogonias furnieri,FishBase,0.75,brackmarine
Microstomus kitt,3,mainly animals (troph. 2.8 and up),sucking food-containing material,3.21,temperate,short and / or deep,demersal,200,65,Microstomus kitt,Microstomus kitt,FishBase,0.988,marine
Microstomus pacificus,5.875,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.34,temperate,short and / or deep,demersal,1370,76,Microstomus pacificus,Microstomus pacificus,FishBase,0.988,marine
Molva dypterygia,8.8,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.13,temperate,elongated,demersal,1000,155,Molva dypterygia,Molva dypterygia,FishBase,0.988,marine
Molva molva,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.2,temperate,elongated,demersal,1000,200,Molva molva,Molva molva,FishBase,0.988,marine
Mugil cephalus,3.5555555555555554,mainly plants/detritus (troph. 2-2.19),variable,2.48,subtropical,fusiform / normal,benthopelagic,120,100,Mugil cephalus,Mugil cephalus,FishBase,0.988,freshbrackmarine
Mullus surmuletus,1.3333333333333333,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.46,subtropical,fusiform / normal,demersal,409,40,Mullus surmuletus,Mullus surmuletus,FishBase,0.988,marine
Mustelus lenticulatus,2.45,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.5,subtropical,elongated,demersal,860,125,Mustelus lenticulatus,Mustelus lenticulatus,FishBase,0.988,marine
Myoxocephalus scorpius,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.85,polar,fusiform / normal,demersal,451,60,Myoxocephalus scorpius,Myoxocephalus scorpius,FishBase,0.988,brackmarine
Nemipterus japonicus,0.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,tropical,fusiform / normal,demersal,80,32,Nemipterus japonicus,Nemipterus japonicus,FishBase,0.988,marine
Notothenia neglecta,7,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.26,polar,fusiform / normal,benthopelagic,95,45,Notothenia neglecta,Notothenia neglecta,FishBase,0.988,marine
Oblada melanura,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.38,subtropical,fusiform / normal,benthopelagic,30,36.6,Oblada melanura,Oblada melanura,FishBase,0.988,marine
Odax pullus,2.35,mainly plants/detritus (troph. 2-2.19),browsing on substrate,2.73,subtropical,fusiform / normal,demersal,NA,40,Odax pullus,Odax pullus,FishBase,0.988,marine
Oncorhynchus gorbuscha,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.39,subtropical,fusiform / normal,demersal,250,76,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,FishBase,0.988,freshbrackmarine
Oncorhynchus gorbuscha,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.39,subtropical,fusiform / normal,demersal,250,76,Oncorhynchus gorbusha,Oncorhynchus gorbusha,FishBase,0.75,freshbrackmarine
Oncorhynchus keta,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.54,temperate,fusiform / normal,benthopelagic,250,100,Oncorhynchus keta,Oncorhynchus keta,FishBase,0.988,freshbrackmarine
Oncorhynchus kisutch,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.18,temperate,fusiform / normal,demersal,250,107.95,Oncorhynchus kisutch,Oncorhynchus kisutch,FishBase,0.988,freshbrackmarine
Oncorhynchus mykiss,2.6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.53,subtropical,fusiform / normal,benthopelagic,200,122,Oncorhynchus mykiss,Oncorhynchus mykiss,FishBase,0.988,freshbrackmarine
Oncorhynchus tshawytscha,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.83,temperate,fusiform / normal,benthopelagic,375,150,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,FishBase,0.988,freshbrackmarine
Ophiodon elongatus,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.3,temperate,elongated,demersal,475,152,Ophiodon elongatus,Ophiodon elongatus,FishBase,0.988,marine
Opisthonema oglinum,1,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6,tropical,fusiform / normal,reef-associated,50,38,Opisthonema oglinum,Opisthonema oglinum,FishBase,0.988,marine
Oreochromis macrochir,0.7,mainly plants/detritus (troph. 2-2.19),filtering plankton,2.21,tropical,fusiform / normal,benthopelagic,14,43,Oreochromis macrochir,Oreochromis macrochir,FishBase,0.988,fresh
Oreochromis mossambicus,0.47333333333333333,mainly plants/detritus (troph. 2-2.19),browsing on substrate,2.77,tropical,fusiform / normal,benthopelagic,12,39,Oreochromis mossambicus,Oreochromis mossambicus,FishBase,0.988,freshbrack
Oreochromis niloticus,0.86,mainly plants/detritus (troph. 2-2.19),browsing on substrate,2.0199999809265137,tropical,fusiform / normal,benthopelagic,20,60,Oreochromis niloticus,Oreochromis niloticus,FishBase,0.988,freshbrack
Oreochromis niloticus,0.86,NA,NA,NA,tropical,fusiform / normal,benthopelagic,20,60,Oreochromis niloticus,Oreochromis niloticus,FishBase,0.988,freshbrack
Osmerus mordax,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.44,temperate,elongated,pelagic-oceanic,425,35.6,Osmerus mordax,Osmerus mordax,FishBase,0.988,freshbrackmarine
Pagellus bogaraveo,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.73,subtropical,fusiform / normal,benthopelagic,700,70,Pagellus bogaraveo,Pagellus bogaraveo,FishBase,0.988,marine
Pagellus erythrinus,1.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.46,subtropical,fusiform / normal,benthopelagic,300,60,Pagelius erythrinus,Pagelius erythrinus,FishBase,0.75,marine
Pagellus erythrinus,1.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.46,subtropical,fusiform / normal,benthopelagic,300,60,Pagellus erythrinus,Pagellus erythrinus,FishBase,0.988,marine
Pagrus auratus,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.47,subtropical,short and / or deep,reef-associated,200,130,Pagrus auratus,Pagrus auratus,FishBase,0.988,brackmarine
Pagrus pagrus,1.7,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.55,subtropical,fusiform / normal,benthopelagic,250,91,Pagrus pagrus,Pagrus pagrus,FishBase,0.988,marine
Parophrys vetulus,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.39,temperate,short and / or deep,demersal,550,49,Parophrys vetulus,Parophrys vetulus,FishBase,0.988,marine
Perca fluviatilis,1.8666666666666667,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.66,temperate,fusiform / normal,demersal,30,60,Perca fluviatilis,Perca fluviatilis,FishBase,0.988,freshbrack
Perca fluviatilis,1.8666666666666667,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.66,temperate,fusiform / normal,demersal,30,60,Perca Fluviatilis,Perca fluviatilis,FishBase,0.988,freshbrack
Phycis blennoides,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.66,temperate,fusiform / normal,benthopelagic,1200,110,Phycis blennoides,Phycis blennoides,FishBase,0.988,marine
Platichthys flesus,2.933333333333333,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.3,temperate,short and / or deep,demersal,100,60,Platichthys flesus,Platichthys flesus,FishBase,0.988,freshbrackmarine
Platichthys stellatus,2.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.5,polar,short and / or deep,demersal,375,91,Platichthys stellatus,Platichthys stellatus,FishBase,0.988,freshbrackmarine
