ref_info,seanuts_id2,food_name_clean,species_name,nutrient,concentration,subgroup,abs_lat,latitude.x,bulk_mean_length,bulk_max_length,bulk_trophic_level,feeding_mode,feeding_level,anacat,country_region,updated_ref_info,location,latitude_details,latitude.y,longitude,weight_from_study_g,length_from_study,X13,abs_lat2
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1509,NA,Clupea harengus,prot_g,16.4,finfish,NA,NA,44,40,3.289999962,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1509,NA,Clupea harengus,prot_g,16.4,finfish,NA,NA,44,40,3.289999962,feeding on the prey of a host (commensal),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1508,NA,Clupea pallasii pallasii,prot_g,16,finfish,NA,NA,46,NaN,3.460000038,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),non-migratory,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1510,NA,Crassostrea gigas,prot_g,10.4,mollusc,NA,NA,12,12,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
"Papan F., Moghaddam A.Z. (2008). Nutritional evaluation of some species of fishes in Khuzestan and determination of the amount of soy bean meal used in the fish food formula on the basis of its isoflavone content. Journal of Biological Sciences 8(3): 667-670",1304,NA,Cyprinus carpio,prot_g,17.4,finfish,31.436015,NA,118.75,110,3.05,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),potamodromous,NA,NA,Khuzestan,"approximate location used, actual location unknown",31.436015,49.041312,NA,NA,NA,31.436015
"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",522,Sea_bass_wild_skinless_fillet_raw,Dicentrarchus labrax,prot_g,19.75,finfish,36.5817,36.5817,102.475,100,3.47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",523,Sea_bass_wild_skinless_fillet_raw,Dicentrarchus labrax,prot_g,21.79,finfish,36.5817,36.5817,102.475,100,3.47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",524,Sea_bass_wild_skinless_fillet_raw,Dicentrarchus labrax,prot_g,18.74,finfish,36.5817,36.5817,102.475,100,3.47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",525,Sea_bass_wild_skinless_fillet_raw,Dicentrarchus labrax,prot_g,21.38,finfish,36.5817,36.5817,102.475,100,3.47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",31,NA,Donax trunculus,prot_g,8.12,mollusc,40.866667,NA,2,4.4,NA,NA,NA,NA,NA,NA,"The bivalve species venerid clam (C. gallina, L. 1758) and wedge clam (D. trunculus, L. 1758) were obtained from the Kumbağ of the Marmara Sea. This study was carried out between December 2005 and November 2006.",NA,40.866667,27.466667,NA,NA,NA,40.866667
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",37,NA,Donax trunculus,prot_g,8.4,mollusc,40.866667,NA,2,4.4,NA,NA,NA,NA,NA,NA,"The bivalve species venerid clam (C. gallina, L. 1758) and wedge clam (D. trunculus, L. 1758) were obtained from the Kumbağ of the Marmara Sea. This study was carried out between December 2005 and November 2006.",NA,40.866667,27.466667,NA,NA,NA,40.866667
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",46,NA,Donax trunculus,prot_g,8.21,mollusc,40.866667,NA,2,4.4,NA,NA,NA,NA,NA,NA,"The bivalve species venerid clam (C. gallina, L. 1758) and wedge clam (D. trunculus, L. 1758) were obtained from the Kumbağ of the Marmara Sea. This study was carried out between December 2005 and November 2006.",NA,40.866667,27.466667,NA,NA,NA,40.866667
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",47,NA,Donax trunculus,prot_g,10.61,mollusc,40.866667,NA,2,4.4,NA,NA,NA,NA,NA,NA,"The bivalve species venerid clam (C. gallina, L. 1758) and wedge clam (D. trunculus, L. 1758) were obtained from the Kumbağ of the Marmara Sea. This study was carried out between December 2005 and November 2006.",NA,40.866667,27.466667,NA,NA,NA,40.866667
"King I., Childs M.T., Dorsett C., Ostrander J.G., Monsen E.R. (1990). Shellfish: Proximate composition, minerals, fatty acids, and sterols. Journal of the American Dietetic Association 90(5): 677-685",1573,NA,Doryteuthis opalescens,prot_g,15.3,mollusc,NA,NA,147,19,3.74,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",541,Musky_octopus_wild_arm_flesh_raw,Eledone moschata,prot_g,14.5,mollusc,34.553128,34.553128,19.4,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",542,Musky_octopus_wild_arm_flesh_raw,Eledone moschata,prot_g,12.21,mollusc,34.553128,34.553128,19.4,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",543,Musky_octopus_wild_arm_flesh_raw,Eledone moschata,prot_g,14.32,mollusc,34.553128,34.553128,19.4,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1540,NA,Eopsetta jordani,prot_g,17.6,finfish,NA,NA,53,NaN,4.05,NA,mainly animals (troph. 2.8 and up),NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1545,NA,Evasterias troscheli,prot_g,11.8,mollusc,NA,NA,NaN,28,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1546,NA,Evasterias troscheli,prot_g,10,mollusc,NA,NA,NaN,28,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1547,NA,Evasterias troscheli,prot_g,5.7,mollusc,NA,NA,NaN,28,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1493,NA,Gadus macrocephalus,prot_g,17.9,finfish,NA,NA,115.0416667,100,4.37,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1541,NA,Glyptocephalus zachirus,prot_g,16.7,finfish,NA,NA,60,NaN,3.41,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1491,NA,Haliotis rufescens,prot_g,17.1,mollusc,NA,NA,NaN,26,2,browsing on substrate,mainly plants/detritus (troph. 2-2.19),NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1539,NA,Hippoglossoides elassodon,prot_g,19.2,finfish,NA,NA,52,NaN,3.46,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1507,NA,Hippoglossus stenolepis,prot_g,20.7,finfish,NA,NA,258,NaN,3.85,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1513,NA,Hydrolagus colliei,prot_g,15.1,finfish,NA,NA,100,NaN,3.68,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1542,NA,Lepidopsetta bilineata,prot_g,19.2,finfish,NA,NA,56.5,49,3.48,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1544,NA,Limanda aspera,prot_g,17,finfish,NA,NA,47.33333333,39,3.66,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
"Blanco Metzler A., Montero Campos M. (1992). Composicion quimico - nutricional de la carne de cambute, Strombus galeatus (Mesogastropodia: Strombidae). Rev. Biol. Trop. 40: 89 - 93",1664,NA,Lobatus galeatus,prot_g,23.7,mollusc,10,NA,14,23,NA,NA,NA,NA,NA,NA,"Lagarto, Costa Rica",NA,10,-85,NA,NA,NA,10
"Blanco Metzler A., Montero Campos M. (1992). Composicion quimico - nutricional de la carne de cambute, Strombus galeatus (Mesogastropodia: Strombidae). Rev. Biol. Trop. 40: 89 - 93",1665,NA,Lobatus galeatus,prot_g,23.4,mollusc,9,NA,14,23,NA,NA,NA,NA,NA,NA,"Bahía Ballena, Costa Rica",NA,9,-85,NA,NA,NA,9
"Blanco Metzler A., Montero Campos M. (1992). Composicion quimico - nutricional de la carne de cambute, Strombus galeatus (Mesogastropodia: Strombidae). Rev. Biol. Trop. 40: 89 - 93",1666,NA,Lobatus galeatus,prot_g,23.8,mollusc,8,NA,14,23,NA,NA,NA,NA,NA,NA,Golfito Costa Rica,NA,8,-83,NA,NA,NA,8
"Lapa - Guimaraes J., De Felicio P. E., Guzman E.S.C. (2005). Chemical and microbial analyses of squid muscle (Loligo plei) during storage in ice. Food Chemistry. 91: 477 - 483",678,Squid_muscle_wild_raw,Loligo plei,prot_g,14.1,mollusc,23.843611,-23.843611,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",681,European_squid_wild_mantle_flesh_raw,Loligo vulgaris,prot_g,18.6,mollusc,34.553128,34.553128,78,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",682,European_squid_wild_mantle_flesh_raw,Loligo vulgaris,prot_g,18.19,mollusc,34.553128,34.553128,78,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",683,European_squid_wild_mantle_flesh_raw,Loligo vulgaris,prot_g,17.44,mollusc,34.553128,34.553128,78,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150,699,Surf_clam_wild_male_meat_raw,Mactra violacea,prot_g,10.2,mollusc,11.753288,11.753288,9.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150,700,Surf_clam_wild_male_meat_raw,Mactra violacea,prot_g,13.6,mollusc,11.753288,11.753288,9.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150,701,Surf_clam_wild_male_meat_raw,Mactra violacea,prot_g,11.7,mollusc,11.753288,11.753288,9.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150,702,Surf_clam_wild_male_meat_raw,Mactra violacea,prot_g,11.9,mollusc,11.753288,11.753288,9.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150,703,Surf_clam_wild_female_meat_raw,Mactra violacea,prot_g,11.4,mollusc,11.753288,11.753288,9.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150,704,Surf_clam_wild_female_meat_raw,Mactra violacea,prot_g,11.3,mollusc,11.753288,11.753288,9.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150,705,Surf_clam_wild_female_meat_raw,Mactra violacea,prot_g,12.4,mollusc,11.753288,11.753288,9.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150,706,Surf_clam_wild_female_meat_raw,Mactra violacea,prot_g,12.5,mollusc,11.753288,11.753288,9.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150,707,Surf_clam_wild_female_meat_raw,Mactra violacea,prot_g,11.8,mollusc,11.753288,11.753288,9.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150,708,Surf_clam_wild_female_meat_raw,Mactra violacea,prot_g,11.8,mollusc,11.753288,11.753288,9.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1495,NA,Metacarcinus magister,prot_g,19.3,crustacean,NA,NA,22.5,22.5,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1496,NA,Metacarcinus magister,prot_g,18.4,crustacean,NA,NA,22.5,22.5,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
