Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,DemersPelag,DepthRangeDeep,Length,user_supplied_name,submitted_name,score,exclude,realm,obs_id,taxize_name,subgroup,common_name,body_part,food_name_in_english,ca_mg,fe_mg,zn_mg,epa,dha,protein,fat,biblio_id,location,season,comments_on_data_processing_methods,publication_year,food_item_id
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,bc474,Octopus vulgaris,Mollusc,Common octopus,NA,"Common octopus, wild, edible flesh, raw",NA,NA,NA,NA,NA,13,0.2,fi80,"Greece, Aegean Sea",Fall,FAT- (analyzed according to AOAC 1975),1995,0900493
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,bc475,Octopus vulgaris,Mollusc,Common octopus,NA,"Common octopus, wild, edible flesh, raw",NA,NA,NA,NA,NA,11,1,fi80,"Greece, Aegean Sea",Winter,FAT- (analyzed according to AOAC 1975),1995,0900494
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,seadata142,Octopus vulgaris,Mollusc,NA,NA,"NA, edible muscle",44.2,7.4364,NA,NA,NA,13.09,0.76,sea11,Aegean Sea,NA,NA,NA,NA
Palinurus elephas,4,plants/detritus+animals (troph. 2.2-2.79),browsing on substrate,3.34,subtropical,benthic,200,50,Palinurus elephas,Palinurus elephas,0.988,NA,marine,bc1188,Palinurus elephas,Crustacean,Common spiny lobster,NA,"Lobster, wild, edible muscle, raw",NA,NA,NA,0.06658437,0.06431919,NA,1,fi232,"Greece, Argolicos Bay",Oct,NA,2010,0901227
Palinurus elephas,4,plants/detritus+animals (troph. 2.2-2.79),browsing on substrate,3.34,subtropical,benthic,200,50,Palinurus elephas,Palinurus elephas,0.988,NA,marine,bc1363,Palinurus elephas,Crustacean,Common spinylobster,NA,"Common spinylobster, wild, fillet, raw",NA,NA,NA,NA,NA,18.11,1.91,fi65,"Italy, Egadi Islands",Jun/Jul 2003,NA,2006,0902280
Palinurus elephas,4,plants/detritus+animals (troph. 2.2-2.79),browsing on substrate,3.34,subtropical,benthic,200,50,Palinurus elephas,Palinurus elephas,0.988,NA,marine,bc293,Palinurus elephas,Crustacean,Common spinylobster,NA,"Common spinylobster, wild, fillet, raw",NA,NA,NA,NA,NA,NA,NA,fi65,"Italy, Egadi Islands",Jun 2003,FA calc. for individual month based on a mean lipid value (Jun/Jul); FA converted using XFA,2006,0900312
Palinurus elephas,4,plants/detritus+animals (troph. 2.2-2.79),browsing on substrate,3.34,subtropical,benthic,200,50,Palinurus elephas,Palinurus elephas,0.988,NA,marine,bc294,Palinurus elephas,Crustacean,Common spinylobster,NA,"Common spinylobster, wild, fillet, raw",NA,NA,NA,NA,NA,NA,NA,fi65,"Italy, Egadi Islands",Jul 2003,FA calc. for individual month based on a mean lipid value (Jun/Jul); FA converted using XFA,2006,0900313
Pandalus borealis,5,plants/detritus+animals (troph. 2.2-2.79),variable,3.07,polar,benthopelagic,1450,12,Pandalus borealis,Pandalus borealis,0.988,NA,marine,af594,Pandalus borealis,Crustacean,Northern prawn,NA,"Pink shrimp, edible flesh, raw",NA,NA,NA,NA,NA,18.1,0.95,fi195,"USA, SE Alaska/Washington",NA,NA,1976,0901898
Pandalus borealis,5,plants/detritus+animals (troph. 2.2-2.79),variable,3.07,polar,benthopelagic,1450,12,Pandalus borealis,Pandalus borealis,0.988,NA,marine,bc1019,Pandalus borealis,Crustacean,Northern prawn,NA,"Northern pink shrimp, wild, muscle flesh, raw",NA,NA,NA,0.021326832,0.02665854,13.4,0.4,fi171,"Korea, Tongyoung",NA,FA converted using XFA,2003,0901038
Paralithodes platypus,5.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.9,temperate,benthic,489,22,Paralithodes platypus,Paralithodes platypus,0.988,NA,marine,bc1001,Paralithodes platypus,Crustacean,Blue king crab,NA,"Blue king crab, wild, male, muscle flesh, raw",NA,NA,NA,0.087174,0.0417834,NA,0.6,fi165,"Russia, Okhotsk Sea, off Iona Island",Summer-Autumn 2005,FA converted using XFA,2009,0901020
Paralithodes platypus,5.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.9,temperate,benthic,489,22,Paralithodes platypus,Paralithodes platypus,0.988,NA,marine,bc1002,Paralithodes platypus,Crustacean,Blue king crab,NA,"Blue king crab, wild, male, hepatopancreas, raw",NA,NA,NA,2.518533,1.9961706,NA,19.8,fi165,"Russia, Okhotsk Sea, off Iona Island",Summer-Autumn 2005,FA converted using XFA,2009,0901021
Parapenaeus longirostris,0.535,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.68,subtropical,benthic,828,16,Parapenaeus longirostris,Parapenaeus longirostris,0.988,NA,marine,bc1154,Parapenaeus longirostris,Crustacean,Deep-water rose shrimp,NA,"Pink shrimp, wild, edible flesh, raw",NA,NA,NA,0.013605048,0.015811272,20.8,0.2,fi220,"Portugal, Algarve, off the south coast",Winter (Dec) 2000,FAT-/PROT- (analyzed according to AOAC 1998); FA converted using XFA; Lipid fractions calculated based on FAT (proximate),2003,0901193
Parapenaeus longirostris,0.535,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.68,subtropical,benthic,828,16,Parapenaeus longirostris,Parapenaeus longirostris,0.988,NA,marine,bc1155,Parapenaeus longirostris,Crustacean,Deep-water rose shrimp,NA,"Pink shrimp, wild, edible flesh, raw",NA,NA,NA,0.01930446,0.030611358,21.3,0.3,fi220,"Portugal, Algarve, off the south coast",Summer (Jun) 2001,FAT-/PROT- (analyzed according to AOAC 1998); FA converted using XFA; Lipid fractions calculated based on FAT (proximate),2003,0901194
Parapenaeus longirostris,0.535,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.68,subtropical,benthic,828,16,Parapenaeus longirostris,Parapenaeus longirostris,0.988,NA,marine,seadata139,Parapenaeus longirostris,Crustacean,NA,NA,"NA, edible muscle",82.1,8.2588,NA,NA,NA,19.73,0.95,sea11,Marmara Sea,NA,NA,NA,NA
Ruditapes philippinarum,1.5,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,tropical,benthic,100,8,Ruditapes philippinarum,Ruditapes philippinarum,0.988,NA,brackmarine,af808,Ruditapes philippinarum,Mollusc,Japanese carpet shell,NA,"Short-necked clam, raw",NA,NA,NA,NA,NA,NA,NA,fi230,"Unknown (samples from markets of Kochi-city/Kanazawa-city, Japan)",NA,VITB12: Lactobacillus leichmannii,2001,0902112
Ruditapes philippinarum,1.5,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,tropical,benthic,100,8,Ruditapes philippinarum,Ruditapes philippinarum,0.988,NA,brackmarine,af823,Ruditapes philippinarum,Mollusc,Ruditapes philippinarum,NA,Japanese carpet shell,NA,NA,NA,0.208,0.369,NA,NA,fi234,"South coast, Korea","Mar, May, Jun, Jul, Aug, Oct, Dec 2003, 2004",NA,2009,0902127
Ruditapes philippinarum,1.5,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,tropical,benthic,100,8,Ruditapes philippinarum,Ruditapes philippinarum,0.988,NA,brackmarine,af824,Ruditapes philippinarum,Mollusc,NA,NA,Japanese carpet shell,NA,NA,NA,0.103,0.17,NA,NA,fi234,West coast. Korea,"Mar, May, Jun, Jul, Aug, Oct, Dec 2003, 2004",NA,2009,0902128
Ruditapes philippinarum,1.5,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,tropical,benthic,100,8,Ruditapes philippinarum,Ruditapes philippinarum,0.988,NA,brackmarine,af828,Ruditapes philippinarum,Mollusc,Japanese carpet shell,NA,"Manila clam, meat, raw",NA,NA,NA,NA,NA,9.56,0.98,fi236,"Itlay, Venice",NA,NA,2006,0902132
Xiphopenaeus kroyeri,0.25825,NA,NA,NA,tropical,benthic,70,11.5,Xiphopenaeus kroyeri,Xiphopenaeus kroyeri,0.988,NA,brackmarine,bc1117,Xiphopenaeus kroyeri,Crustacean,Atlantic seabob,NA,"Atlantic seabob, wild, flesh, small size, raw",NA,NA,NA,0.086,0.097,NA,1,fi205,"Brazil, São Paulo",NA,"FASAT, FAMS, FAPU, FAPUN3, FAPUN6 calculated by summation of individual FA",2001,0901156
Acanthina monodon,NA,NA,NA,3.1,temperate,benthic,20,NA,Acanthina monodon,Acanthina monodon,0.988,NA,marine,seadata71,Acanthina monodon,Mollusc,NA,NA,"NA, whole, edible flesh",93,NA,NA,NA,NA,NA,NA,sea9,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2001",NA,NA,NA,NA
Acanthina monodon,NA,NA,NA,3.1,temperate,benthic,20,NA,Acanthina monodon,Acanthina monodon,0.988,NA,marine,seadata72,Acanthina monodon,Mollusc,NA,NA,"NA, whole, edible flesh",NA,2.52,NA,NA,NA,NA,NA,sea9,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2002",NA,NA,NA,NA
Acanthina monodon,NA,NA,NA,3.1,temperate,benthic,20,NA,Acanthina monodon,Acanthina monodon,0.988,NA,marine,seadata73,Acanthina monodon,Mollusc,NA,NA,"NA, whole, edible flesh",NA,NA,3.54,NA,NA,NA,NA,sea9,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2003",NA,NA,NA,NA
Arctica islandica,NA,mainly plants/detritus (troph. 2-2.19),variable,2,temperate,benthic,482,12.7,Arctica islandica,Arctica islandica,0.988,NA,marine,bc1220,Arctica islandica,Mollusc,Ocean quahog,NA,"Ocean quahog, wild, raw",62.9,5.3,0.84,NA,NA,7.3,0.5,im11,"Iceland, North Atlantic",NA,NA,2011,0901259
Argopecten irradians,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,tropical,benthic,20,7.5,Argopecten irradians,Argopecten irradians,0.988,NA,marine,af667,Argopecten irradians,Mollusc,Atlantic bay scallop,NA,"Bay scallop, edible muscle, raw",NA,NA,NA,NA,NA,NA,1.14,fi177,"USA, FL, Gulf of Mexico",Spring,FAT- (analyzed according to AOAC 1975),1990,0901971
Argopecten irradians,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,tropical,benthic,20,7.5,Argopecten irradians,Argopecten irradians,0.988,NA,marine,af668,Argopecten irradians,Mollusc,Atlantic bay scallop,NA,"Bay scallop, edible muscle, raw",NA,NA,NA,NA,NA,NA,0.77,fi177,"USA, FL, Gulf of Mexico",Winter,FAT- (analyzed according to AOAC 1975),1990,0901972
Argopecten irradians,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,tropical,benthic,20,7.5,Argopecten irradians,Argopecten irradians,0.988,NA,marine,af677,Argopecten irradians,Mollusc,Atlantic bay scallop,NA,"Bay scallop, edible muscle, raw",NA,NA,NA,0.100849472,0.148538464,15.9,0.96,fi177,"USA, FL, Gulf of Mexico","Spring, winter",FAT- (analyzed according to AOAC 1975),1990,0901981
Aristaeomorpha foliacea,NA,mainly animals (troph. 2.8 and up),variable,3.77,tropical,benthopelagic,1300,4,Aristaeomorpha foliacea,Aristaeomorpha foliacea,0.988,NA,marine,bc1162,Aristaeomorpha foliacea,Crustacean,Giant red shrimp,NA,"Giant red shrimp, wild, female, edible flesh, raw",NA,NA,NA,0.0399486108,0.07170973404,22.6625,0.6993,fi222,"Italy, Mediterranean Sea, Ligurian and Northern Tyrrhenian Sea",May-Jun 2008,FAT- (extraction according to Peiretti and meineri 2008); FA converted using XFA; Proximates expressed per DM - conversion to FW,2012,0901201
Aristaeomorpha foliacea,NA,mainly animals (troph. 2.8 and up),variable,3.77,tropical,benthopelagic,1300,4,Aristaeomorpha foliacea,Aristaeomorpha foliacea,0.988,NA,marine,bc1163,Aristaeomorpha foliacea,Crustacean,Giant red shrimp,NA,"Giant red shrimp, wild, male, edible flesh, raw",NA,NA,NA,0.037101517452,0.0642286962,24.0298,0.548,fi222,"Italy, Mediterranean Sea, Ligurian and Northern Tyrrhenian Sea",May-Jun 2008,FAT- (extraction according to Peiretti and meineri 2008); FA converted using XFA; Proximates expressed per DM - conversion to FW,2012,0901202
Aristaeomorpha foliacea,NA,mainly animals (troph. 2.8 and up),variable,3.77,tropical,benthopelagic,1300,4,Aristaeomorpha foliacea,Aristaeomorpha foliacea,0.988,NA,marine,bc1164,Aristaeomorpha foliacea,Crustacean,Giant red shrimp,NA,"Giant red shrimp, wild, female, edible flesh, raw",NA,NA,NA,0.0236453711868,0.0437669614008,22.022,0.4356,fi222,"Tunisia, Mediterranean Sea",May-Jun 2008,FAT- (extraction according to Peiretti and meineri 2008); FA converted using XFA; Proximates expressed per DM - conversion to FW,2012,0901203
Aristaeomorpha foliacea,NA,mainly animals (troph. 2.8 and up),variable,3.77,tropical,benthopelagic,1300,4,Aristaeomorpha foliacea,Aristaeomorpha foliacea,0.988,NA,marine,bc1165,Aristaeomorpha foliacea,Crustacean,Giant red shrimp,NA,"Giant red shrimp, wild, male, edible flesh, raw",NA,NA,NA,0.030021744636,0.057581619066,20.3109,0.474,fi222,"Tunisia, Mediterranean Sea",May-Jun 2008,FAT- (extraction according to Peiretti and meineri 2008); FA converted using XFA; Proximates expressed per DM - conversion to FW,2012,0901204
