RefID,biblioid2,Type,Citation
fi463,fi463,Articles from scientific literature,"Islami S.N., Reza M.S., Mansur M.A., Hossain M.I., Sikha F.H. and Kamal M. (2014) Rigor index, fillet yield and proximate composition of cultured striped catfish (Pangasianodon hypophthalmus) for its suitability in processing industries in Bangladesh. Journal fo Fisheries 2(3):157-162."
fi458,fi458,Articles from scientific literature,"Egaas E., Brekka OR. The selenium content in some Norwegian fish products. (1977) Rsk. Dir. Skr., Ser. Ernering, I70l. I : No 3, 87-91"
fi457,fi457,Articles from scientific literature,"Salán, E.O., Galvão, J.A., Oetterer, M. Use of smoking to add value to the salmoned trout (2006). Brazilian Archives of Biology and Technology 49(1)."
fi456,fi456,Articles from scientific literature,"Hultmann, L., Rørå, A.M.B., Steinsland, I., Skåra, T., Rustad, T. Proteolytic activity and properties of proteins in smoked salmon (Salmo salar) - Effects of smoking temperature (2004). Food Chemistry 85(3)."
fi455,fi455,Articles from scientific literature,"Espe, M., Nortvedt, R., Lie, O., Hafsteinsson, H. Atlantic salmon (Salmo salar, L) as raw material for the smoking industry. II: Effect of different smoking methods on losses of nutrients and on the oxidation of lipids (2002). Food Chemistry 77(1)."
fi454,fi454,Articles from scientific literature,"Espe, M., Nortvedt, R., Lie, O., Hafsteinsson, H. Atlantic salmon (Salmo salar, L.) as raw material for the smoking industry. I: Effect of different salting methods on the oxidation of lipids (2001). Food Chemistry 75(4)/"
fi453,fi453,Articles from scientific literature,"Espe, M., Kiessling, A., Lunestad, B.-T., Torrissen, O.J., Rørå, A.M.B. Quality of cold smoked salmon collected in one French hypermarket during a period of 1 year (2004). LWT - Food Science and Technology 37(6)."
fi452,fi452,Articles from scientific literature,"Waagbø, R., Sandnes, K., Torrissen, O.J., Sandvin, A., Lie, Ø.Chemical and sensory evaluation of fillets from Atlantic salmon (Salmo salar) fed three levels of N-3 polyunsaturated fatty acids at two levels of vitamin E (1993).Food Chemistry 46(4)."
fi451,fi451,Articles from scientific literature,"Krzynowek J & Murphy J. Proximate composition, energy, fatty acid, sodium, and cholesterol content of finfish, shellfish and their products. NOAA Techinical Report NMFS 55. National Oceanic and Atmospheric Administration, National Marine Fisheries Service, US Department of Commerce, July 1987."
fi447,fi447,Articles from scientific literature,"Kim B.H., Lee H.S., Jang Y.A., Lee J.Y., Cho Y.J., Kim C.-I. (2009) Development of amino acid composition database for Korean foods. Journal of Food Composition and Analysis 22, 44–52. DOI: 10.1016/j.jfca.2008.07.005."
fi445,fi445,Articles from scientific literature,"Emire S.A., Gebremariam M.M. (2010) Influence of frozen period on the prozimate composition an micorbiologiacal quality of Nile tilapia (Oreochromis niloticus). Journal of Food Processing and Preservation 34:743-757."
fi444,fi444,Articles from scientific literature,"Blanchet C., Lucas M., Julien P., Morin R., Gingras S., Dewailly É. (2005) Fatty acid composition of wild and farmed Atlantic salmon (Salmo salar) and rainbow trout (Oncorhynchus mykiss). Lipids, 40(5):529-531."
fi435,fi435,Articles from scientific literature,"Ferreira de Castro F.A., Pinheiro Sant'Ana H.M., Campos F.M., Brunoro Costa N.M., Coehlo Silva M.T., Salaro A.L., do Carmo Castro Franceschini S. (2007). Fatty acid composition of three freshwater fishes under different storage and cooking processes. Food Chemistry 103(4):1080-1090."
fi432,fi432,Articles from scientific literature,"Cherikoff V, Brand J.C. and Truswell A.S. (1983) The Nutritional composition of Austrialian Aboriginal bushfoods. 2. Animal foods. Food Technology in Austrilia, 37 (5): 208-211"
fi431,fi431,Articles from scientific literature,"Brand J.C., Rae C., McDonnell J., Lee A., Cherikoff V. and Truswell A.S. (1983) The Nutritional composition of Austrialian Aboriginal bushfoods. Food Technology in Austrilia, 35(6): 293-298."
fi430,fi430,Articles from scientific literature,"Cliona D. O'Leary, Anthony D. Matthews (2012). Lipid class distribution and fatty acid composition of wild and farmed prawn, Penaeus monodon (Fabricius), Aquaculture, Volume 89, Issue 1, 15 August 1990, Pages 65-81, ISSN 0044-8486, http://dx.doi.org/10.1016/0044-486(90)90234E.(http://www.sciencedirect.com/science/article/pii/004484869024E"""
fi367,fi367,Articles from scientific literature,"Bogard J.R., Thilsted S.H., Marks G.C., Wahab M.A., Hossain M.A.R., Jakobsen J. (2015). Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis 42 (2015) 120–133"
fi328,fi328,Articles from scientific literature,"Roos, N., Wahab, Md. A., Chamnan, C., Thilsted, S. H.(2007) The role of fish in food-based strategies to combat vitamin A and mineral dificiencies in developing countries. The Journal of Nutrition. 137. 1106-1109."
fi327,fi327,Articles from scientific literature,"Banu,C.P., Sayeed, S. & Quazi, S. (1991). Mineral content of fresh water fish and meat. Bangladesh J. Zool, 19 (1), 59-63."
fi326,fi326,Articles from scientific literature,"Uddin S.G., Rahman A. & Mumtazuddin M.(1979). Biochemical composition of shellfishes of Bangladesh. Bangl. J. Sci., 2 (part A), 15-22."
fi324,fi324,Articles from scientific literature,"Mustafa, Md. G., Begum, S. R., Khaleque, Md. A., Jannat, M., Ahsan, D. A.(2012) Nutritional qualities of Hilsha and Sarpuntii in different salt curing methods. Dhaka Univ. J. Biol. Sci. 21(1), 97-104"
fi322,fi322,Articles from scientific literature,"Islam, D., Mustafa, Md. G., Wahed, Md. A., Khaleque, Md. A., Islam, Md.M.(2008) Investigation on the performance of solar tunnel dryer for dehydration of Gudusia chapra and Channa striatus over traditional sun drying. Dhaka Univ. J. Biol. Sci. 17(2), 169-172."
fi321,fi321,Articles from scientific literature,"Islam, D., Mustafa, Md. G., Wahed, Md. A., Khaleque, Md. A., Naser, M. N., Islam, Md.(2007) M. Comparative assessment of traditional sun dried and solar tunnel dried pomfret (Pampus argenteus) under different storage conditions. Bangladesh J. Zool. 35(2): 331-340."
fi319,fi319,Articles from scientific literature,"Hossain, M.A., Afsana, K. & Shah, A.K.M.A. (1999). Nutritional value of some small indigenous fish species (SIS) of Bangladesh. Bangladesh J. Fish Res.,3 (1), 77-85."
fi318,fi318,Articles from scientific literature,"Islam, Md. S., Rahman, S. M. M., Jerin I. & Rahim, A.T.M.A. (2009). Estimation of the total free sugar and total dietary fiber in Bangladeshi cook foods prepared by customary cooking process. Dhaka Univ. J. Sci., 57 (1), 33-37."
fi317,fi317,Articles from scientific literature,"Saha, A.R., Nahar, B., Banu, C.P.& Quazi, S. (1990). Topographical variations in iodine content of soil, water and major foodstuffs of Bangladesh. Bangladesh Journal of Nutrition, 4 (1),41-46."
fi316,fi316,Articles from scientific literature,"Banu, C.P., Rahman, Md. M., Sayeed, S. & Quazi, S. (1992). Mineral content of some marine fishes. Bangladesh Journal of Nutrition, 5 (1&2),61-63."
fi315,fi315,Articles from scientific literature,"Ahmed, R., Kabirullah, M. & Mullick, N.I. (1984). Studies on the nutritive value of local dried fish. Part I: Nutritive value of Kachki ( Corica soborna), Chingri ( Machrobrachium sp.) and Puti (Puntius sp.) sutki. Bangladesh J. Sci. Ind. Res. XIX (1-), 139-144."
fi314,fi314,Articles from scientific literature,"Huda M Shamsul, Islam M .S., Banu Laila Arjumand & Sufi Gulru Begum (1995). Comparative electrophoretic and bio-chemical studies of five varieties of fishes from Kaptai lake. Bangladesh J. Sci. Ind. Res. XXX No. (2-3). pp. 83-95."
fi313,fi313,Articles from scientific literature,"Jahan S.S., Muslemuddin M., Rubbi S. F., Haque M.S. & Gomes B.(1998). Changes in the biochemical components of Hilish fish (Tenualosa ilisha) with variation of its size & body portions. Bangladesh Journal of Nutrition, 11, (1&2), 33-40."
fi298,fi298,Articles from scientific literature,"Ahmed, S., Rahman, A. F. M .A., Mustafa, Md. G., Hossain, M. B., Nahar, N.(2012) Nutrient composition of indegenous and exotic fishes of rainfed waterlogged paddy fields in Lakshmipur, Bangladesh. World Journal of zoology 7(2), 135-140."
fi292,fi292,Articles from scientific literature,"Keremath R.I., Amakari G. (2013) Proximate composition of nutrients of fresh adult catfishes: Chrysichthys migrodigitatus, Heterobranchus bidorsalis and Clarias gariepinus in Yenagoa, Nigeria. Greener Journal of Agricultural Sciences, 3(4): 291-294."
fi291,fi291,Articles from scientific literature,"Shirai N., Miyakawa M., Tokairin S., Ehara H., Wada S. (2000) The fatty acid composition of edible portion of wild and cultured catfish. Nippon Suisan Gakkaishi 66(5): 859-868."
fi290,fi290,Articles from scientific literature,"Cladis D.P., Kleiner A.C., Freiser H.H., Santerre C.R. (2014) Fatty acid profiles of commercially available finfish fillets in the United States. Lipids 49: 1005-1018."
fi289,fi289,Articles from scientific literature,"Mustafa F.A., Medeiros D.M. (1985) Proximate composition, mineral content and fatty acids of catfish (Ictalurus punctatus, Rafineque) for different seasons and cooking methods. Journal of Food Science 50: 585-588."
fi288,fi288,Articles from scientific literature,"Chaijan M., Klomklao S., Benajul (2013) Characterisation of muscles from Frigate mackerel (Auxis thazard) and catfish (Clarias macrocephalus). Food Chemistry, 139: 414-419."
fi287,fi287,Articles from scientific literature,"Muhamad N.A., Mohamad J. (2012) Fatty acids composition of selected Malaysian fishes. Sains Malaysian 41(1): 81-94."
fi286,fi286,Articles from scientific literature,"Bulut S., Konuk M., Uysal K., Mert R., Cemek M. (2010) Seasonal variation in the fattty acid composition and omega6/omega3 ration of the pike (Esox lucius) muscle living in Karamik Lake, Turkey. Fresenius Environmental Bulletin 19(10): 2227-2231."
fi285,fi285,Articles from scientific literature,"Rajkowska M, Protasowicki M (2013). Distribution of metals (Fe, Mn, Zn, Cu) in fish tissues in two lakes of differerent trophy in Northwestern Poland. Environ Monit Assess 185: 3493-3502."
fi284,fi284,Articles from scientific literature,"Ljubojevic D., Trbovic D, Lujic J., Bjelic-Cabrilo O., Kostic D., Novakov N., Cirkovic M. (2013) Fatty acid composition of fishes from inland waters. Bulgarian Journal of Agricultural Science, 19(Suppl. 1): 62-71."
fi283,fi283,Articles from scientific literature,"Kucska B., Pál L., Müller T., Bódis M., Bartos Á., Wágner L., Husvéth F. Bercsényi M. (2006). Changing of fat content and fatty acid profile of reared pike (Esox lucius) fed two different diets. Aquaculture Research 37: 69-101."
fi282,fi282,Articles from scientific literature,"Osibona A.O., Kusemiju K., Akande GR (2006) Proximate composition and fatty acid profile of the African Catfish Clarias gariepinus. Acta Satech 3(1):"
fi281,fi281,Articles from scientific literature,"Syeda, M.-A.-N., MD Delwer H., Amirul I. (2012). The study of fillet proximate composition, growth performance and survival rate of striped catfish (Pangasius hypophthalmus) fed with diets containing different amounts of alpha-tocopherol (vitamin E). J. Bio-Sci. 20: 67-74."
fi280,fi280,Articles from scientific literature,"Chauke E., Cukrowska E., Thaela-Chimuka M.-J., Chimuka L., Nsengimana H., Tutu H. (2008) Fatty acids composition in South African freshwater fish as indicators of food quality. Water SA 34(1): 119-125."
fi279,fi279,Articles from scientific literature,"Ruiz-de-Cenzano, M., Beser, U., Cervera, M.L., de la Guardia M. (2013) Fast determination of fish mineral profile.Application to Vietnamese panga fish. Ecotoxicology and Environmental Safety 95: 195-201."
fi278,fi278,Articles from scientific literature,"Ayeloja A.A., George F.O.A., Dauda, T.O., Jimoh, W.A., Popoola, M.A. (2013). Nutritional comparison of captured Clarias gariepinus and Orechromis niloticus. International Research Journal of Natural Sciences, 1(1): 9-13."
fi277,fi277,Articles from scientific literature,"Ta_bozan O., Özcan F., Erba_ C., Ünda_ E., Atici A.A., Adakli A. (2013). Determination of proximate and amino acid composition of five different Tilapia species from the Cukurova Region (Turkey). Journal of Applied Biological Sciences, 7(3): 17-22."
fi276,fi276,Articles from scientific literature,"Martínez-Valverde I., Periago M.J., Santaella M., Ros G. (2000) The content and nutritional significance of minerals on fish flesh in the presence and absence of bone. Food Chemistry 71:503-509."
fi275,fi275,Articles from scientific literature,"Ozogul Y., Polat A., Ucak I., Ozogul F. (2011) Seasonal fat and fatty acid variations of seven marine fish species from the Mediterranean Sea. Eur J Lipid Sci Technol 113: 1491-1498."
fi237,fi237,Articles from scientific literature,"Erkan N., Özden Ö., Ulusoy S. (2011). Seasonal Micro- and Macro- Mineral Profile and Proximate Composition of Oyster (Ostera edulis) Analyzed by ICP - MS. Food Anal. Methods 4: 35 - 40"
fi229,fi229,Articles from scientific literature,"Men L.T., Thanh V.C., Hirata Y., Yamasaki S. (2004). Evaluation of the Genetic Diversities and nutritional Values of the Tra (Pangasius hypophthalmus) and the Basa (Pangasius bocourti) Catfish cultivated in the Mekong River Delta of Vietnam. Asian - Aust. J. Anim. Sci. 5: 671 - 676"
fi227,fi227,Articles from scientific literature,"Beltrán-Lugo A.I., Maeda-Martínez A.N., Pacheco-Aguilar R., Nolasco-Soria H.G. (2006). Seasonal variations in chemical, physical, textural, and microstructural properties of adductor muscles of Pacific lions-paw scallop (Nodipecten subnodosus). Aquaculture 258: 619-632"
fi226,fi226,Articles from scientific literature,"Orban E., Di Lana G., Masci M., Nevigato T., Casini I., Caproni R., Gambelli L., Pellizzato M. (2004). Growth, nutritional quality and safety of oysters (Crassostrea gigas) cultured in the lagoon of Venice (Italy). Journal of the Science of Food and Agriculture 84: 1929-1938"
fi223,fi223,Articles from scientific literature,"Tavares M., do Amaral Mello M. R. P., Campos N.C., de Morais C., Ostini S. (1998). Proximate composition and caloric value of the mussel Perna perna, cultivated in Ubatuba, São Paulo State, Brazil. Food Chemistry 62(4): 473-475"
fi217,fi217,Articles from scientific literature,"Chiou T.-K., Chang H.-K., Lo L., Lan H.-L., Shiau C.-Y. (2000). Changes ins chemical constituents and physical indices during processing of dried-seasoned squid. Fisheries Science 66:708-715"
fi216,fi216,Articles from scientific literature,"Bea J. H., Yoon S.H., Lim S.Y. (2011). A comparative of heavy metal contents and biochemical characteristics of Japanese (Haliotis discus) and Korean abalone (Haliotis discus hannai). Food Sci Biotechnol 20(1): 273-276"
fi214,fi214,Articles from scientific literature,"Barim O., Karatepe M. (2010). The effects of pollution on the vitamins A, E, C, ?-carotene contents and oxiadative stress of the freshwater crayfish, Astacus leptodactylus. Ecotoxicology and Environmental Safety 73: 138-142"
fi213,fi213,Articles from scientific literature,"Ackefors H. Castell J., Örde-Öström I.-L. (1997). Preliminary results on the fatty acid composition of freshwater crayfish, Astacus astacus and Pacifastacus leiusculus, held in captivity. Journal of the World Aquaculture Society 28(1): 97-105"
fi204,fi204,Articles from scientific literature,"Su X.-Q., Antonas K., Li D., Nichols P. (2006). Seasonal variations of total lipid and fatty acid contents in the muscle of two Australian farmed abalone species. Journal of Food Lipids 13: 411-423"
fi202,fi202,Articles from scientific literature,"Özden Ö., Erkan N. (2011). A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Journal of Nutrition 113(4): 457-469"
fi201,fi201,Articles from scientific literature,"_engör G.F., Gün H. Kalafato_lu H. (2008). Determination of the amino acid and chemical composition of canned smoked mussels (Mytilus galloprovincialis, L.). Turk. J. Vet. Amin. Sci. 32(1): 1-5"
fi198,fi198,Articles from scientific literature,"Li G., Li J., Li D. (2010). Seasonal variation in nutrient composition of Mytilus coruscus from China. J. Agric. Food Chem. 58: 7831-7837"
fi191,fi191,Articles from scientific literature,"Stroud G.D., Dalgarno E.J. (1982). Wild and Farmed Lobsters (Homarus Gammarus). A comparison of Yield, Proximate chemical composition and sensory properties. Aqualculture 29: 147 - 154"
fi181,fi181,Articles from scientific literature,"Anibal J., Esteves E., Rocha C. (2011). Seasonal variations in gross biochemical composition, percent edibility, and condition index of the clam ruditapes decussatus cultivated in the ria formosa (South Portugal). Journal of Shellfish Research 30(1): 17 -"
fi180,fi180,Articles from scientific literature,"Unusan N. (2007). Change in proximate, amino acid and fatty acid contents in muscle tissue of rainbow trout (Oncorhynchus mykiss) after cooking, 2007. International Journal of Food Science and Technology 42: 1087 - 1093"
fi174,fi174,Articles from scientific literature,"Linehan L.G., O'Connor T.P., Burnell G. (1999). Seasonal variation in the chemical composition and fatty acid profile of Pacific oysters (Crassostrea gigas). Food Chemistry 64:211-214"
fi170,fi170,Articles from scientific literature,"Sriket P., Benjakul S., Visessanguan W., Kijroongrojana K. (2007). Comparative studies of chemical composition and thermal properties of black tiger shrimp (Penaeus monodon) and white shrimp (Penaeus vannamei) meats. Food Chemistry 103: 119-1207"
fi169,fi169,Articles from scientific literature,"Fuentes A., Fernández-Segovia I., Escriche I., Serra J.A. (2009). Comparison of physico-chemical parameters and composition of mussels (Mytilus galloprovincialis Lmk.) from different Spanish origins. Food Chemistry 112: 295-302"
fi161,fi161,Articles from scientific literature,"Chen D.-W., Zhang M., Shrestha S. (2007). Compositional characteristics and nutritional quality of Chinese mitten crab (Eriocheir sinensis). Food Chemistry 103: 1343-1349"
fi154,fi154,Articles from scientific literature,"Manthey-Karl M, Karl H., Lehmann I., Meyer C. Ostermeyer U., Schubring R. (2010). Quality of organically and conventionally farmed rainbow trout (Oncorhynchus mykiss) and smoked products thereof from the German market. Arch Lebensmittelhyg 61: 40-49"
fi148,fi148,Articles from scientific literature,Balogun A.M. (1985). Proximate analysis of the flesh and anatomical weight composition of skipjack tuna (Katsuwonus pelamis). Food Chemistry 17: 117-123
fi147,fi147,Articles from scientific literature,"Thakur D.P., Morioka K., Itoh N., Wada M., Itoh Y. (2009). Muscle biochemical constituents of cultured amberjack Seriola dumerili and their influence ond raw meat texture. Fish Sci 75:1489-1498"
fi143,fi143,Articles from scientific literature,"Badiani A., Anfossi P., Fiorentini L., Gatta P.P., Manfredini M., Nanni N., Stipa S. Tolomelli B. (1996). Nutritional composition of cultured sturegeon (Acipenser spp.). Journal of Food Composition and Analysis 9: 171-190"
fi136,fi136,Articles from scientific literature,"Yanar Y., Küçükgülmez A., Ersoy B., Celik M. (2006). Cooking effects on fatty acid composition of cultured sea bass (Dicentrarchus labrax) fillets. Journal of Muscle Foods 18: 88-94"
fi134,fi134,Articles from scientific literature,"Luzzana U., Scolari M., Campo Dall'Orto B., Vaini F.A., Nargaye N., Valfré F. (2002). Fillet yield and chemical composition of farm-raised sunshine bass (Morono chrysops x Morone saxatilis) fed high-energy diets. J. Appl. Ichthyol. 18: 65-69"
fi130,fi130,Articles from scientific literature,"Eboh L. Mepba H.D. Ekpo M.B. (2006). Heavy metal contaminants and processing effects on the composition, storage stabilty and fatty acid profile of five common commercially available fish species in Oron Local Government, Nigeria. Food Chemistry 97: 490-497"
fi115,fi115,Articles from scientific literature,"Fuentes A., Fernández-Segovia I., Barat J.M., Serra J.A. (2010). Physicochemical characterization of some smoked and marinated fish products. Journal of Food Processing and Preservation 34: 83-103"
fi114,fi114,Articles from scientific literature,"Bhuiyan A.K.M.A., Ratnayake W.M.N., Ackman R.G. (1993). Nutritional composition of raw and smoked Atlantic mackerel (Scomber scombrus): Oil- and water-soluble vitamins. Journal of Food Composition and Analysis 6: 172-184"
fi112,fi112,Articles from scientific literature,"Decker E.A., Crum A.D., Mims S.D., Tidwell J.H. (1991). Processing yields and composition of paddlefish (Polyodon spathula), a potential aquaculture species. J. Agric. Food Chem 39: 686-688"
fi111,fi111,Articles from scientific literature,"Palmeri G., Turchini G.M., Caprino F., Keast R., Moretti V.M., De Silva S.S. (2008). Biometric, nutritional and sensory changes in intensively farmed Murray cod (Maccullochella peelii peelii, Mitchell) following different purging times. Food Chemistry 107: 1605-1615"
fi107,fi107,Articles from scientific literature,"Chomnawang C., Nantachai K., Yongsawatdigul J., Thawornchinsombut S., Tungkawachara S. (2007). Chemical and biochemical changes of hybrid catfish fillet stored at 4 ?C and its gel properties. Food Chemistry 103:420-427"
fi101,fi101,Articles from scientific literature,"Weber J., Bochi V.C., Ribeiro C.P., Victório A. de M., Emanuelli T. (2008). Effect of different cooking methods on the oxidation, proximate and fatty acid composition of silver catfish (Rhamdia quelen) fillets. Food Chemistry 106:140-146"
fi093,fi93,Articles from scientific literature,"Kenari A.A., Regenstein J.M., Hosseini S.V., Rezaei M., Tahergorabi R., Nazari R.M., Mogaddasi M., Kaboli S.A. (2009). Amino acid and fatty acid composition of cultured beluga (Huso huso) of different ages. Journal of Aquatic Food Product Technology 18: 245-265"
fi091,fi91,Articles from scientific literature,"Yerlıkaya P., Gokoglu N., Topuz O.K., Gokoglu M. (2009). Changes in the proximate composition of bluefin tuna (Thunnus thynnus) reared in the cages located on the Gulf of Antalya (Turkey's Western Mediterranean coast) during the fattening period. Aquaculture Research 40: 1731-1734"
fi090,fi90,Articles from scientific literature,"Limin L., Feng X., Jing H. (2006). Amino acids composition difference and nutritive evaluation of the muscle of five species of marine fish, Pseudosciaena crocea (large yellow croaker), Lateolabrax japonicus (common sea perch), Pagrosomus major (red seabream), Seriola dumerili (Dumeril's amberjack) and Hapalogenys nitens (black grunt) from Yiamen Bay of China. Aquaculture Nutrition 12:53-59."
fi085,fi85,Articles from scientific literature,"Jabeen F., Chaudhry A.S. (2011). Chemical compositions and fatty acid profiles of three freshwater fish species. Food Chemistry 125: 991-996"
fi081,fi81,Articles from scientific literature,"Larsen D. Quek S.Y., Eyres L. (2010). Effect of cooking method on the fatty acid profile on New Zealand King Salmon (Oncorhynchus tshawytscha). Food Chemistry 119: 785-790."
fi069,fi69,Articles from scientific literature,"Memon N.N., Talpur F.N., Bhanger M.I., Balouch A. (2011). Changes in fatty acid composition in muscle of three farmed carpf fish species (Labeo rohita, Cirrhinus mrigala, Catla catla) raised under the saime conditions. Food Chemistry 126: 405-410"
fi061,fi61,Articles from scientific literature,"Chaijan M., Jongjareonrak A., Phatcharat S., Benjakul S., Rawdkuen S. (2010). Chemical compositions and characteristics of farm raised giant catfish (Pangasianodon gigas) muscle. Food Science and Technology 43: 452-457"
fi055,fi55,Articles from scientific literature,"Tanakol R., Yazici Z., _ener E., Sencer E. (1999). Fatty acid composition of 19 species of fish from the Black Sea and the Marmara Sea. Lipids, 34(3): 291-297"
fi049,fi49,Articles from scientific literature,"Tang H.-G., Wu T.-X., Zhao ZH.-Y., Pan X.-D. (2008). Biochemical composition of large yellow croaker (Pseudosciaena cocea) cultured in China. Journal of Food Quality 31: 382-393"
fi040,fi40,Articles from scientific literature,"Badiani A., Stipa S., Nanni N., Gatta P.P., Manfredini M. (1997). Physical indices, processing yields, compositional parameters and fatty acid profile of three species of cultured sturgeon (Genus Acipenser). J Sci Food Agric 74: 257-264"
fi039,fi39,Articles from scientific literature,"Hendry A.P. Proximate composition, reproductive development and a test for trade-offs in captive sockey salmon (2000) Transactions of the American Fisheries Society 129, 1082-1095"
fi037,fi37,Articles from scientific literature,"Paleari M.A., Beretta G., Grimaldi P, Vaini F. (1997). Composition of muscle tissue of farmed white sturgeon (Acipenser transmontanus) with particular reference to lipidic content. J. Appl. Ichthyl. 13: 63-66"
fi020,fi20,Articles from scientific literature,"Chapman F.A., Colle D.E., Miles R.D. (2005). Processing yields for meat of Russian and Siberian sturgeons cultured in Florida, USA. J. Aqua. Food Prod. Technol. 14(1): 29-37"
fi018,fi18,Articles from scientific literature,"Gokoglu N., Yerlikaya P., Cengiz E. (2004). Effects of cooking methods on the proximate composition and mineral contents of rainbow trout (Oncorhynchus mykiss). Food Chemistry 84: 19-22"
fi015,fi15,Articles from scientific literature,"Garduno-Lugo M., Herrera-Solís J.R., Angulo-Guerrero J.O., Munoz-Córdova G., De la Cruz-Medina J. (2007). Nutrient composition and sensory evaluation of fillets from wild-type Nile tilapia (Oreochromis niloticus, Linnaeus) and red hybrid (Florida red tilapia x red O. niloticus). Aquaculture Res 38: 1074-1081."
fi014,fi14,Articles from scientific literature,"Wu W.-H., Lillard D.A. (1998). Cholesterol and proximate composition of channel catfish (Ictalurus punctatus) fillets-changes following cooking by microwave heating, deep-fat frying, and oven baking. J Food Qual 21: 41-51"
fi013,fi13,Articles from scientific literature,"Karl H., Lehmann I., Rehbein H., Schubring R. (2010.) Composition and quality attributes of conventionally and organically farmed Pangasius fillets (Pangasius hypophthalmus) on the German market. Int J Food Sci Technol 45: 56-66"
fi012,fi12,Articles from scientific literature,"Orban E., Nevigato T., Di Lena G., Masci M., Casini I., Gambelli L., Caproni R. (2008) New trends in the seafood market. Sutchi catfish (Pangasius hypophthalmus) fillets from Vietnam: Nutritional quality and safety aspects. Food Chem 110: 383-389"
