Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,DemersPelag,DepthRangeDeep,Length,user_supplied_name,submitted_name,score,exclude,realm,obs_id,taxize_name,subgroup,common_name,body_part,food_name_in_english,ca_mg,fe_mg,zn_mg,epa,dha,protein,fat,biblio_id,location,season,comments_on_data_processing_methods,publication_year,food_item_id,BodyShapeI
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc1157,Nephrops norvegicus,Crustacean,Norway lobster,NA,"Norway lobster, wild edible flesh, raw",NA,NA,NA,0.01424853,0.020131794,21.2,0.2,fi220,"Portugal, Algarve, off the south coast",Summer (Jun) 2001,FAT-/PROT- (analyzed according to AOAC 1998); FA converted using XFA; Lipid fractions calculated based on FAT (proximate),2003,0901196,NA
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc1187,Nephrops norvegicus,Crustacean,Norway lobster,NA,"Langoustine, wild, edible muscle raw",NA,NA,NA,0.065331,0.0787815,NA,0.7,fi232,"Greece, Argolicos Bay",Oct,NA,2010,0901226,NA
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc1218,Nephrops norvegicus,Crustacean,Norway lobster,NA,"Lobster, wild, raw",72,2.66,1.05,NA,NA,17.6,0.4,im11,"Iceland, North Atlantic",NA,NA,2011,0901257,NA
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc1226,Nephrops norvegicus,Crustacean,Norway lobster,NA,"Lobster, wild, raw",NA,NA,NA,0.0520425403161711,0.049944342627894,NA,0.6,im11,"Iceland, North Atlantic",NA,FAME converted using ShF and XFA,2011,0901265,NA
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc1227,Nephrops norvegicus,Crustacean,Norway lobster,NA,"Lobster, wild, raw",NA,NA,NA,0.0320099177818958,0.0355510246481384,NA,0.5,im11,"Iceland, North Atlantic",NA,FAME converted using ShF and XFA,2011,0901266,NA
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc1228,Nephrops norvegicus,Crustacean,Norway lobster,NA,"Lobster, wild, raw",NA,NA,NA,0.0739987924928491,0.0860944360426488,NA,0.78,im11,"Iceland, North Atlantic",NA,FAME converted using ShF and XFA,2011,0901267,NA
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc426,Nephrops norvegicus,Crustacean,Norway Lobster,NA,"Norway lobster, wild, edible flesh, raw",NA,NA,NA,NA,NA,NA,NA,fi80,"Greece, Aegean Sea",NA,"mean of lipid value (spring, fall, winter) used for FA calculation; FAT- (analyzed according to AOAC 1975); FA converted using XFA; FA tr= <0.1g/100g fillet",1995,0900445,NA
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc464,Nephrops norvegicus,Crustacean,Norway Lobster,NA,"Norway lobster, wild, edible flesh, raw",NA,NA,NA,NA,NA,19,0.2,fi80,"Greece, Aegean Sea",Spring,FAT- (analyzed according to AOAC 1975),1995,0900483,NA
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc465,Nephrops norvegicus,Crustacean,Norway Lobster,NA,"Norway lobster, wild, edible flesh, raw",NA,NA,NA,NA,NA,17,0.5,fi80,"Greece, Aegean Sea",Fall,FAT- (analyzed according to AOAC 1975),1995,0900484,NA
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc466,Nephrops norvegicus,Crustacean,Norway Lobster,NA,"Norway lobster, wild, edible flesh, raw",NA,NA,NA,NA,NA,17,0.2,fi80,"Greece, Aegean Sea",Winter,FAT- (analyzed according to AOAC 1975),1995,0900485,NA
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc991,Nephrops norvegicus,Crustacean,Norway lobster,NA,"Norway lobster, wild, male, edible muscle, raw",110,1.99,1.81,NA,NA,NA,NA,fi162,"Portugal, Algarve (off coast)",NA,Se content <40mcg/100g FW,2009,0901010,NA
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc992,Nephrops norvegicus,Crustacean,Norway lobster,NA,"Norway lobster, wild, female, edible muscle, raw",90,2,1.67,NA,NA,NA,NA,fi162,"Portugal, Algarve (off coast)",NA,Se content <40mcg/100g FW,2009,0901011,NA
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,seadata138,Nephrops norvegicus,Crustacean,NA,NA,"NA, edible muscle",71.6,5.20175,NA,NA,NA,20.31,1.07,sea11,Aegean Sea,NA,NA,NA,NA,NA
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,af132,Octopus vulgaris,Mollusc,Common octopus,NA,"Octopus, edible flesh raw/frozen",NA,NA,NA,0.037,0.056,NA,0.36,fi45,Unknown,NA,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,0901436,NA
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,af680,Octopus vulgaris,Mollusc,Common octopus,NA,"Octopus, wild, juvenile, arms, raw",NA,NA,NA,0.0191986,0.0318892,10.2,0.65,fi178,"Italy, Ionian Sea, coastal waters of Gulf of Taranto",NA,"PRO- (analyzed according to Bradford 1976), CHO- (phenol-sulphuric acid method, Dubois et al. 1956); FA converted using XFA",2010,0901984,NA
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,af830,Octopus vulgaris,Mollusc,Common octopus,NA,"Octoupus, edible flesh (mantle, arms), raw",21.3,0.42,1.77,NA,NA,NA,NA,fi241,"Unknown, North-eastern Atlantic",May-Sep,NA,2009,0902134,NA
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,bc1181,Octopus vulgaris,Mollusc,Common octopus,NA,"Common octopus, wild, arm flesh, raw",NA,NA,NA,0.03828727278,0.06671506518,14.83,0.54,fi225,"Unknown, Eastern Medierranean Sea",Spring,FAT-/PROT- (no analytical methods given); FA converted using XFA,2008,0901220,NA
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,bc1182,Octopus vulgaris,Mollusc,Common octopus,NA,"Common octopus, wild, arm flesh, raw",NA,NA,NA,0.073702872,0.176151672,14.78,0.94,fi225,"Unknown, Eastern Medierranean Sea",Autumn,FAT-/PROT- (no analytical methods given); FA converted using XFA,2008,0901221,NA
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,bc1183,Octopus vulgaris,Mollusc,Common octopus,NA,"Common octopus, wild, arm flesh, raw",NA,NA,NA,0.10157948,0.163680752,15.28,0.98,fi225,"Unknown, Eastern Medierranean Sea",Winter,FAT-/PROT- (no analytical methods given); FA converted using XFA,2008,0901222,NA
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,bc432,Octopus vulgaris,Mollusc,Common octopus,NA,"Common octopus, wild, edible flesh, raw",NA,NA,NA,NA,NA,NA,NA,fi80,"Greece, Aegean Sea",NA,"mean of lipid value (spring, fall, winter) used for FA calculation; FAT- (analyzed according to AOAC 1975); FA converted using XFA; FA tr= <0.1g/100g fillet",1995,0900451,NA
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,bc473,Octopus vulgaris,Mollusc,Common octopus,NA,"Common octopus, wild, edible flesh, raw",NA,NA,NA,NA,NA,15,0.3,fi80,"Greece, Aegean Sea",Spring,FAT- (analyzed according to AOAC 1975),1995,0900492,NA
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,bc474,Octopus vulgaris,Mollusc,Common octopus,NA,"Common octopus, wild, edible flesh, raw",NA,NA,NA,NA,NA,13,0.2,fi80,"Greece, Aegean Sea",Fall,FAT- (analyzed according to AOAC 1975),1995,0900493,NA
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,bc475,Octopus vulgaris,Mollusc,Common octopus,NA,"Common octopus, wild, edible flesh, raw",NA,NA,NA,NA,NA,11,1,fi80,"Greece, Aegean Sea",Winter,FAT- (analyzed according to AOAC 1975),1995,0900494,NA
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,seadata142,Octopus vulgaris,Mollusc,NA,NA,"NA, edible muscle",44.2,7.4364,NA,NA,NA,13.09,0.76,sea11,Aegean Sea,NA,NA,NA,NA,NA
Palinurus elephas,4,plants/detritus+animals (troph. 2.2-2.79),browsing on substrate,3.34,subtropical,benthic,200,50,Palinurus elephas,Palinurus elephas,0.988,NA,marine,bc1188,Palinurus elephas,Crustacean,Common spiny lobster,NA,"Lobster, wild, edible muscle, raw",NA,NA,NA,0.06658437,0.06431919,NA,1,fi232,"Greece, Argolicos Bay",Oct,NA,2010,0901227,NA
Palinurus elephas,4,plants/detritus+animals (troph. 2.2-2.79),browsing on substrate,3.34,subtropical,benthic,200,50,Palinurus elephas,Palinurus elephas,0.988,NA,marine,bc1363,Palinurus elephas,Crustacean,Common spinylobster,NA,"Common spinylobster, wild, fillet, raw",NA,NA,NA,NA,NA,18.11,1.91,fi65,"Italy, Egadi Islands",Jun/Jul 2003,NA,2006,0902280,NA
Palinurus elephas,4,plants/detritus+animals (troph. 2.2-2.79),browsing on substrate,3.34,subtropical,benthic,200,50,Palinurus elephas,Palinurus elephas,0.988,NA,marine,bc293,Palinurus elephas,Crustacean,Common spinylobster,NA,"Common spinylobster, wild, fillet, raw",NA,NA,NA,NA,NA,NA,NA,fi65,"Italy, Egadi Islands",Jun 2003,FA calc. for individual month based on a mean lipid value (Jun/Jul); FA converted using XFA,2006,0900312,NA
Palinurus elephas,4,plants/detritus+animals (troph. 2.2-2.79),browsing on substrate,3.34,subtropical,benthic,200,50,Palinurus elephas,Palinurus elephas,0.988,NA,marine,bc294,Palinurus elephas,Crustacean,Common spinylobster,NA,"Common spinylobster, wild, fillet, raw",NA,NA,NA,NA,NA,NA,NA,fi65,"Italy, Egadi Islands",Jul 2003,FA calc. for individual month based on a mean lipid value (Jun/Jul); FA converted using XFA,2006,0900313,NA
Pandalus borealis,5,plants/detritus+animals (troph. 2.2-2.79),variable,3.07,polar,benthopelagic,1450,12,Pandalus borealis,Pandalus borealis,0.988,NA,marine,af594,Pandalus borealis,Crustacean,Northern prawn,NA,"Pink shrimp, edible flesh, raw",NA,NA,NA,NA,NA,18.1,0.95,fi195,"USA, SE Alaska/Washington",NA,NA,1976,0901898,NA
Pandalus borealis,5,plants/detritus+animals (troph. 2.2-2.79),variable,3.07,polar,benthopelagic,1450,12,Pandalus borealis,Pandalus borealis,0.988,NA,marine,bc1019,Pandalus borealis,Crustacean,Northern prawn,NA,"Northern pink shrimp, wild, muscle flesh, raw",NA,NA,NA,0.021326832,0.02665854,13.4,0.4,fi171,"Korea, Tongyoung",NA,FA converted using XFA,2003,0901038,NA
Paralithodes platypus,5.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.9,temperate,benthic,489,22,Paralithodes platypus,Paralithodes platypus,0.988,NA,marine,bc1001,Paralithodes platypus,Crustacean,Blue king crab,NA,"Blue king crab, wild, male, muscle flesh, raw",NA,NA,NA,0.087174,0.0417834,NA,0.6,fi165,"Russia, Okhotsk Sea, off Iona Island",Summer-Autumn 2005,FA converted using XFA,2009,0901020,NA
Paralithodes platypus,5.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.9,temperate,benthic,489,22,Paralithodes platypus,Paralithodes platypus,0.988,NA,marine,bc1002,Paralithodes platypus,Crustacean,Blue king crab,NA,"Blue king crab, wild, male, hepatopancreas, raw",NA,NA,NA,2.518533,1.9961706,NA,19.8,fi165,"Russia, Okhotsk Sea, off Iona Island",Summer-Autumn 2005,FA converted using XFA,2009,0901021,NA
Parapenaeus longirostris,0.535,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.68,subtropical,benthic,828,16,Parapenaeus longirostris,Parapenaeus longirostris,0.988,NA,marine,bc1154,Parapenaeus longirostris,Crustacean,Deep-water rose shrimp,NA,"Pink shrimp, wild, edible flesh, raw",NA,NA,NA,0.013605048,0.015811272,20.8,0.2,fi220,"Portugal, Algarve, off the south coast",Winter (Dec) 2000,FAT-/PROT- (analyzed according to AOAC 1998); FA converted using XFA; Lipid fractions calculated based on FAT (proximate),2003,0901193,NA
Parapenaeus longirostris,0.535,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.68,subtropical,benthic,828,16,Parapenaeus longirostris,Parapenaeus longirostris,0.988,NA,marine,bc1155,Parapenaeus longirostris,Crustacean,Deep-water rose shrimp,NA,"Pink shrimp, wild, edible flesh, raw",NA,NA,NA,0.01930446,0.030611358,21.3,0.3,fi220,"Portugal, Algarve, off the south coast",Summer (Jun) 2001,FAT-/PROT- (analyzed according to AOAC 1998); FA converted using XFA; Lipid fractions calculated based on FAT (proximate),2003,0901194,NA
Parapenaeus longirostris,0.535,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.68,subtropical,benthic,828,16,Parapenaeus longirostris,Parapenaeus longirostris,0.988,NA,marine,seadata139,Parapenaeus longirostris,Crustacean,NA,NA,"NA, edible muscle",82.1,8.2588,NA,NA,NA,19.73,0.95,sea11,Marmara Sea,NA,NA,NA,NA,NA
Ruditapes philippinarum,1.5,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,tropical,benthic,100,8,Ruditapes philippinarum,Ruditapes philippinarum,0.988,NA,brackmarine,af808,Ruditapes philippinarum,Mollusc,Japanese carpet shell,NA,"Short-necked clam, raw",NA,NA,NA,NA,NA,NA,NA,fi230,"Unknown (samples from markets of Kochi-city/Kanazawa-city, Japan)",NA,VITB12: Lactobacillus leichmannii,2001,0902112,NA
Ruditapes philippinarum,1.5,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,tropical,benthic,100,8,Ruditapes philippinarum,Ruditapes philippinarum,0.988,NA,brackmarine,af823,Ruditapes philippinarum,Mollusc,Ruditapes philippinarum,NA,Japanese carpet shell,NA,NA,NA,0.208,0.369,NA,NA,fi234,"South coast, Korea","Mar, May, Jun, Jul, Aug, Oct, Dec 2003, 2004",NA,2009,0902127,NA
Ruditapes philippinarum,1.5,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,tropical,benthic,100,8,Ruditapes philippinarum,Ruditapes philippinarum,0.988,NA,brackmarine,af824,Ruditapes philippinarum,Mollusc,NA,NA,Japanese carpet shell,NA,NA,NA,0.103,0.17,NA,NA,fi234,West coast. Korea,"Mar, May, Jun, Jul, Aug, Oct, Dec 2003, 2004",NA,2009,0902128,NA
Ruditapes philippinarum,1.5,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,tropical,benthic,100,8,Ruditapes philippinarum,Ruditapes philippinarum,0.988,NA,brackmarine,af828,Ruditapes philippinarum,Mollusc,Japanese carpet shell,NA,"Manila clam, meat, raw",NA,NA,NA,NA,NA,9.56,0.98,fi236,"Itlay, Venice",NA,NA,2006,0902132,NA
Xiphopenaeus kroyeri,0.25825,NA,NA,NA,tropical,benthic,70,11.5,Xiphopenaeus kroyeri,Xiphopenaeus kroyeri,0.988,NA,brackmarine,bc1117,Xiphopenaeus kroyeri,Crustacean,Atlantic seabob,NA,"Atlantic seabob, wild, flesh, small size, raw",NA,NA,NA,0.086,0.097,NA,1,fi205,"Brazil, São Paulo",NA,"FASAT, FAMS, FAPU, FAPUN3, FAPUN6 calculated by summation of individual FA",2001,0901156,NA
Acanthina monodon,NA,NA,NA,3.1,temperate,benthic,20,NA,Acanthina monodon,Acanthina monodon,0.988,NA,marine,seadata71,Acanthina monodon,Mollusc,NA,NA,"NA, whole, edible flesh",93,NA,NA,NA,NA,NA,NA,sea9,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2001",NA,NA,NA,NA,NA
Acanthina monodon,NA,NA,NA,3.1,temperate,benthic,20,NA,Acanthina monodon,Acanthina monodon,0.988,NA,marine,seadata72,Acanthina monodon,Mollusc,NA,NA,"NA, whole, edible flesh",NA,2.52,NA,NA,NA,NA,NA,sea9,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2002",NA,NA,NA,NA,NA
Acanthina monodon,NA,NA,NA,3.1,temperate,benthic,20,NA,Acanthina monodon,Acanthina monodon,0.988,NA,marine,seadata73,Acanthina monodon,Mollusc,NA,NA,"NA, whole, edible flesh",NA,NA,3.54,NA,NA,NA,NA,sea9,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2003",NA,NA,NA,NA,NA
Arctica islandica,NA,mainly plants/detritus (troph. 2-2.19),variable,2,temperate,benthic,482,12.7,Arctica islandica,Arctica islandica,0.988,NA,marine,bc1220,Arctica islandica,Mollusc,Ocean quahog,NA,"Ocean quahog, wild, raw",62.9,5.3,0.84,NA,NA,7.3,0.5,im11,"Iceland, North Atlantic",NA,NA,2011,0901259,NA
Argopecten irradians,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,tropical,benthic,20,7.5,Argopecten irradians,Argopecten irradians,0.988,NA,marine,af667,Argopecten irradians,Mollusc,Atlantic bay scallop,NA,"Bay scallop, edible muscle, raw",NA,NA,NA,NA,NA,NA,1.14,fi177,"USA, FL, Gulf of Mexico",Spring,FAT- (analyzed according to AOAC 1975),1990,0901971,NA
Argopecten irradians,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,tropical,benthic,20,7.5,Argopecten irradians,Argopecten irradians,0.988,NA,marine,af668,Argopecten irradians,Mollusc,Atlantic bay scallop,NA,"Bay scallop, edible muscle, raw",NA,NA,NA,NA,NA,NA,0.77,fi177,"USA, FL, Gulf of Mexico",Winter,FAT- (analyzed according to AOAC 1975),1990,0901972,NA
Argopecten irradians,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,tropical,benthic,20,7.5,Argopecten irradians,Argopecten irradians,0.988,NA,marine,af677,Argopecten irradians,Mollusc,Atlantic bay scallop,NA,"Bay scallop, edible muscle, raw",NA,NA,NA,0.100849472,0.148538464,15.9,0.96,fi177,"USA, FL, Gulf of Mexico","Spring, winter",FAT- (analyzed according to AOAC 1975),1990,0901981,NA
Aristaeomorpha foliacea,NA,mainly animals (troph. 2.8 and up),variable,3.77,tropical,benthopelagic,1300,4,Aristaeomorpha foliacea,Aristaeomorpha foliacea,0.988,NA,marine,bc1162,Aristaeomorpha foliacea,Crustacean,Giant red shrimp,NA,"Giant red shrimp, wild, female, edible flesh, raw",NA,NA,NA,0.0399486108,0.07170973404,22.6625,0.6993,fi222,"Italy, Mediterranean Sea, Ligurian and Northern Tyrrhenian Sea",May-Jun 2008,FAT- (extraction according to Peiretti and meineri 2008); FA converted using XFA; Proximates expressed per DM - conversion to FW,2012,0901201,NA
Aristaeomorpha foliacea,NA,mainly animals (troph. 2.8 and up),variable,3.77,tropical,benthopelagic,1300,4,Aristaeomorpha foliacea,Aristaeomorpha foliacea,0.988,NA,marine,bc1163,Aristaeomorpha foliacea,Crustacean,Giant red shrimp,NA,"Giant red shrimp, wild, male, edible flesh, raw",NA,NA,NA,0.037101517452,0.0642286962,24.0298,0.548,fi222,"Italy, Mediterranean Sea, Ligurian and Northern Tyrrhenian Sea",May-Jun 2008,FAT- (extraction according to Peiretti and meineri 2008); FA converted using XFA; Proximates expressed per DM - conversion to FW,2012,0901202,NA
Aristaeomorpha foliacea,NA,mainly animals (troph. 2.8 and up),variable,3.77,tropical,benthopelagic,1300,4,Aristaeomorpha foliacea,Aristaeomorpha foliacea,0.988,NA,marine,bc1164,Aristaeomorpha foliacea,Crustacean,Giant red shrimp,NA,"Giant red shrimp, wild, female, edible flesh, raw",NA,NA,NA,0.0236453711868,0.0437669614008,22.022,0.4356,fi222,"Tunisia, Mediterranean Sea",May-Jun 2008,FAT- (extraction according to Peiretti and meineri 2008); FA converted using XFA; Proximates expressed per DM - conversion to FW,2012,0901203,NA
