species_name,seanuts_id2,subgroup,ref_info,nutrient,concentration,dri_per
Chamelea gallina,1667,mollusc,"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",protein,8.99,17.98
Chamelea gallina,1668,mollusc,"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",protein,7.45,14.899999999999999
Chamelea gallina,1669,mollusc,"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",protein,6.86,13.720000000000002
Chamelea gallina,1670,mollusc,"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",protein,7.36,14.719999999999999
Channa punctata,410,finfish,"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",protein,19.13,38.26
Clarias batrachus,432,finfish,"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",protein,14.87,29.74
Clinocardium nuttallii,1492,mollusc,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,11.8,23.6
Clupea harengus,1509,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,16.4,32.8
Clupea pallasii pallasii,1508,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,16,32
Crassostrea gigas,1510,mollusc,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,10.4,20.8
Cyprinus carpio,1304,finfish,"Papan F., Moghaddam A.Z. (2008). Nutritional evaluation of some species of fishes in Khuzestan and determination of the amount of soy bean meal used in the fish food formula on the basis of its isoflavone content. Journal of Biological Sciences 8(3): 667-670",protein,17.4,34.8
Dicentrarchus labrax,522,finfish,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",protein,19.75,39.5
Dicentrarchus labrax,523,finfish,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",protein,21.79,43.58
Dicentrarchus labrax,524,finfish,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",protein,18.74,37.48
Dicentrarchus labrax,525,finfish,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",protein,21.38,42.76
Donax trunculus,31,mollusc,"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",protein,8.12,16.24
Donax trunculus,37,mollusc,"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",protein,8.4,16.8
Donax trunculus,46,mollusc,"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",protein,8.21,16.42
Donax trunculus,47,mollusc,"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",protein,10.61,21.22
Doryteuthis opalescens,1573,mollusc,"King I., Childs M.T., Dorsett C., Ostrander J.G., Monsen E.R. (1990). Shellfish: Proximate composition, minerals, fatty acids, and sterols. Journal of the American Dietetic Association 90(5): 677-685",protein,15.3,30.599999999999998
Eledone moschata,541,mollusc,"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",protein,14.5,28.999999999999996
Eledone moschata,542,mollusc,"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",protein,12.21,24.42
Eledone moschata,543,mollusc,"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",protein,14.32,28.64
Eopsetta jordani,1540,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,17.6,35.2
Evasterias troscheli,1545,mollusc,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,11.8,23.6
Evasterias troscheli,1546,mollusc,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,10,20
Evasterias troscheli,1547,mollusc,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,5.7,11.4
Gadus macrocephalus,1493,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,17.9,35.8
Glyptocephalus zachirus,1541,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,16.7,33.4
Haliotis rufescens,1491,mollusc,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,17.1,34.2
Hippoglossoides elassodon,1539,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,19.2,38.4
Hippoglossus stenolepis,1507,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,20.7,41.4
Hydrolagus colliei,1513,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,15.1,30.2
Lepidopsetta bilineata,1542,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,19.2,38.4
Limanda aspera,1544,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,17,34
Lobatus galeatus,1664,mollusc,"Blanco Metzler A., Montero Campos M. (1992). Composicion quimico - nutricional de la carne de cambute, Strombus galeatus (Mesogastropodia: Strombidae). Rev. Biol. Trop. 40: 89 - 93",protein,23.7,47.4
Lobatus galeatus,1665,mollusc,"Blanco Metzler A., Montero Campos M. (1992). Composicion quimico - nutricional de la carne de cambute, Strombus galeatus (Mesogastropodia: Strombidae). Rev. Biol. Trop. 40: 89 - 93",protein,23.4,46.8
Lobatus galeatus,1666,mollusc,"Blanco Metzler A., Montero Campos M. (1992). Composicion quimico - nutricional de la carne de cambute, Strombus galeatus (Mesogastropodia: Strombidae). Rev. Biol. Trop. 40: 89 - 93",protein,23.8,47.6
Loligo plei,678,mollusc,"Lapa - Guimaraes J., De Felicio P. E., Guzman E.S.C. (2005). Chemical and microbial analyses of squid muscle (Loligo plei) during storage in ice. Food Chemistry. 91: 477 - 483",protein,14.1,28.199999999999996
Loligo vulgaris,681,mollusc,"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",protein,18.6,37.2
Loligo vulgaris,682,mollusc,"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",protein,18.19,36.38
Loligo vulgaris,683,mollusc,"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",protein,17.44,34.88
Mactra violacea,699,mollusc,Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150,protein,10.2,20.4
Mactra violacea,700,mollusc,Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150,protein,13.6,27.200000000000003
Mactra violacea,701,mollusc,Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150,protein,11.7,23.4
Mactra violacea,702,mollusc,Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150,protein,11.9,23.8
Mactra violacea,703,mollusc,Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150,protein,11.4,22.8
Mactra violacea,704,mollusc,Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150,protein,11.3,22.6
Mactra violacea,705,mollusc,Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150,protein,12.4,24.8
Mactra violacea,706,mollusc,Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150,protein,12.5,25
Mactra violacea,707,mollusc,Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150,protein,11.8,23.6
Mactra violacea,708,mollusc,Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150,protein,11.8,23.6
Metacarcinus magister,1495,crustacean,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,19.3,38.6
Metacarcinus magister,1496,crustacean,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,18.4,36.8
Microstomus pacificus,1537,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,16.8,33.6
Mystus vittatus,790,finfish,"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",protein,15.62,31.240000000000002
Nephrops norvegicus,805,crustacean,"Rosa R., Nunes M.L. (2003). Nutritional quality of red shrimp, Aristeus antennatus (Risso), pink shrimp, Parapenaeus longirostris (Lucas), and Norway lobster, Nephrops norvegicus (Linnaeus). Journal of the Science of Food and Agriculture 84: 89-94",protein,20.4,40.8
Nephrops norvegicus,806,crustacean,"Rosa R., Nunes M.L. (2003). Nutritional quality of red shrimp, Aristeus antennatus (Risso), pink shrimp, Parapenaeus longirostris (Lucas), and Norway lobster, Nephrops norvegicus (Linnaeus). Journal of the Science of Food and Agriculture 84: 89-94",protein,21.2,42.4
Octopodidae,1634,mollusc,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,13.2,26.400000000000002
Octopus vulgaris,818,mollusc,"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",protein,14.83,29.659999999999997
Octopus vulgaris,819,mollusc,"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",protein,14.78,29.56
Octopus vulgaris,820,mollusc,"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",protein,15.28,30.56
Octopus vulgaris,1576,mollusc,"Biandolino F., Portacci G., Prato E. (2010). Influence of natural diet on growth and biochemical composition of Octopus vulgaris Cuvier, 1797. Aqucult Int 18: 1163-1175",protein,10.2,20.4
Oncorhynchus clarkii,1548,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,19.9,39.8
Oncorhynchus gorbuscha,1531,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,19,38
Oncorhynchus keta,1529,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,21.3,42.6
Oncorhynchus kisutch,1532,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,21.7,43.4
Oncorhynchus mykiss,1550,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,21.1,42.2
Oncorhynchus nerka,1533,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,21.3,42.6
Oncorhynchus tshawytscha,1530,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,19.5,39
Ophiodon elongatus,1494,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,17.6,35.2
Ostrea lurida,1511,mollusc,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,10.6,21.2
Pandalus borealis,1535,crustacean,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,18.1,36.2
Panopea generosa,1505,mollusc,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,15.9,31.8
Panopea generosa,1506,mollusc,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,15,30
Paralithodes camtschaticus,1497,crustacean,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,11.6,23.2
Paralithodes camtschaticus,1498,crustacean,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,13.5,27
Paralithodes camtschaticus,1499,crustacean,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,18.2,36.4
Parapenaeus longirostris,891,crustacean,"Rosa R., Nunes M.L. (2003). Nutritional quality of red shrimp, Aristeus antennatus (Risso), pink shrimp, Parapenaeus longirostris (Lucas), and Norway lobster, Nephrops norvegicus (Linnaeus). Journal of the Science of Food and Agriculture 84: 89-94",protein,20.8,41.6
Parapenaeus longirostris,892,crustacean,"Rosa R., Nunes M.L. (2003). Nutritional quality of red shrimp, Aristeus antennatus (Risso), pink shrimp, Parapenaeus longirostris (Lucas), and Norway lobster, Nephrops norvegicus (Linnaeus). Journal of the Science of Food and Agriculture 84: 89-94",protein,21.3,42.6
Parophrys vetulus,1538,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,16.8,33.6
Patagonotothen ramsayi,264,finfish,"González M.J., Gallardo J.M., Brickle P., Medina I. (2007).Nutritional composition and safety of Patagonothothen ramsayi, a discard species from Patagonian Shelf. International Journal of Food Science and Technology 42: 1240-1248",protein,16.97,33.94
Patagonotothen ramsayi,896,finfish,"González M.J., Gallardo J.M., Brickle P., Medina I. (2007).Nutritional composition and safety of Patagonothothen ramsayi, a discard species from Patagonian Shelf. International Journal of Food Science and Technology 42: 1240-1248",protein,13.96,27.92
Patagonotothen ramsayi,897,finfish,"González M.J., Gallardo J.M., Brickle P., Medina I. (2007).Nutritional composition and safety of Patagonothothen ramsayi, a discard species from Patagonian Shelf. International Journal of Food Science and Technology 42: 1240-1248",protein,17.95,35.9
Patagonotothen ramsayi,898,finfish,"González M.J., Gallardo J.M., Brickle P., Medina I. (2007).Nutritional composition and safety of Patagonothothen ramsayi, a discard species from Patagonian Shelf. International Journal of Food Science and Technology 42: 1240-1248",protein,17.92,35.84
Patagonotothen ramsayi,899,finfish,"González M.J., Gallardo J.M., Brickle P., Medina I. (2007).Nutritional composition and safety of Patagonothothen ramsayi, a discard species from Patagonian Shelf. International Journal of Food Science and Technology 42: 1240-1248",protein,18.06,36.12
Piaractus mesopotamicus,937,finfish,"Tanamati A., Stevanato F.B., Visentainer J.E.L., Matsushita M., de Souza N.E., Visentainer J.V. (2009). Fatty acid composition in wild and cultivated pacu and pintado fish. Eur. J. Lipid Sci. Technol. 111:183-187",protein,19,38
Platichthys stellatus,1504,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,17.3,34.6
Portunus pelagicus,60,crustacean,"Musaiger A.O., Al-Rumaidh M.J. (2005). Proximate and mineral composition of crab meat consumed in Bahrain. International Journal of Food Sciences and Nutrition 56(4): 231-235",protein,19.8,39.6
Portunus pelagicus,61,crustacean,"Musaiger A.O., Al-Rumaidh M.J. (2005). Proximate and mineral composition of crab meat consumed in Bahrain. International Journal of Food Sciences and Nutrition 56(4): 231-235",protein,19.8,39.6
Protothaca staminea,1636,mollusc,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,13.5,27
Psettichthys melanostictus,1543,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,16.1,32.2
Pseudoplatystoma corruscans,976,finfish,"Tanamati A., Stevanato F.B., Visentainer J.E.L., Matsushita M., de Souza N.E., Visentainer J.V. (2009). Fatty acid composition in wild and cultivated pacu and pintado fish. Eur. J. Lipid Sci. Technol. 111:183-187",protein,20,40
Raja clavata,1536,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,16.3,32.6
Salmo trutta,1305,finfish,"Papan F., Moghaddam A.Z. (2008). Nutritional evaluation of some species of fishes in Khuzestan and determination of the amount of soy bean meal used in the fish food formula on the basis of its isoflavone content. Journal of Biological Sciences 8(3): 667-670",protein,19.8,39.6
Salvelinus malma,1549,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,19.8,39.6
Sander lucioperca,68,finfish,"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427",protein,18.3,36.6
Sander lucioperca,73,finfish,"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427",protein,17.73,35.46
Saxidomus nuttalli,1637,mollusc,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,13,26
Sebastes aleutianus,1516,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,19.3,38.6
Sebastes alutus,1523,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,19,38
Sebastes crameri,1515,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,19.8,39.6
Sebastes elongatus,1520,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,20.3,40.6
Sebastes entomelas,1527,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,19.6,39.2
Sebastes flavidus,1526,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,18.9,37.8
Sebastes goodei,1518,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,20.8,41.6
Sebastes melanops,1514,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,18.7,37.4
Sebastes norvegicus,1519,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,18.2,36.4
Sebastes norvegicus,1521,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,17.3,34.6
Sebastes paucispinis,1517,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,18.6,37.2
Sebastes pinniger,1522,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,18.7,37.4
Sebastes rosaceus,1525,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,19.3,38.6
Sebastes ruberrimus,1524,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,17.2,34.4
Sepia officinalis,1102,mollusc,"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",protein,18.77,37.54
Sepia officinalis,1103,mollusc,"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",protein,16.91,33.82
Sepia officinalis,1106,mollusc,"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",protein,16.91,33.82
Squalus acanthias,1500,finfish,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,protein,17.4,34.8
