diffs,ref_id
"Anto ÌÅ nio Marques a,*, Ba ÌÅ rbara Teixeira a, Sara Barrento a, PatrÄ± ÌÅcia Anacleto a, Maria LuÄ± ÌÅsa Carvalho b, Maria Leonor Nunes. Chemical composition of Atlantic spider crab Maja brachydactyla: Human health implications. Journal of Food Composition and Analysis 2010",fi188
"A. Fuentes, I. FernÃ¡ndez-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilusgalloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295â€“302",fi169
"Fuentes, A., et al. ""Comparison of physico-chemical parameters and composition of mussels (Mytilus galloprovincialis Lmk.) from different Spanish origins.""Â Food ChemistryÂ 112.2 (2009): 295-302.",fi169
"Karakoltsidis, Pavlos A., Anastasios Zotos, and Spiros M. Constantinides. ""Composition of the commercially important Mediterranean finfish, crustaceans, and molluscs.""Â Journal of Food Composition and AnalysisÂ 8.3 (1995): 258-273.",fi80
"Erkan, Nuray, Ã–zkan Ã–zden, and Å_afak Ulusoy. ""Seasonal micro-and macro-mineral profile and proximate composition of oyster (Ostrea edulis) analyzed by ICP-MS.""Â Food analytical methodsÂ 4.1 (2011): 35-40.",new_ref
"Mahanty, A., Ganguly, S., Verma, A., Sahoo, S., Mitra, P., Paria, P., Sharma, A.P., Singh, B.K. and Mohanty, B.P., 2014. Nutrient profile of small indigenous fish Puntius sophore: proximate composition, amino acid, fatty acid and micronutrient profiles. National Academy Science Letters, 37(1), pp.39-44.",exclude
"Ersoy B., Ã–zeren A. (2009). The effect of cooking methods on mineral and vitamin contents of African catfish. Food Chemistry 115: 419-422",fi97
"Kuhnlein H.V., Chan H.M., Leggee C., Barthet V. (2002). Macronutrient, mineral and fatty acid composition of Canadian arctic traditional foo. Journal of Food Composition and Analysis 15: 545-566",fi197
"Hadjinikolova L. (2008). Investigations on the chemical composition of carp (Cyprinus carpio L.), bighead carp (Aristichthys nobilis Rich.) and pike (Esox Lusius L.) during different stagees of individual growth. Bulgarian Journal of Agricultural Science 14(2): 121-126",fi41
"Caula F.C.B., de Oliveira M.P., Maiaa E.L. (2008). Teor de colesterol e composiÃ§Ã£o centesimal de algumas especies de peixes do estado do CearÃ¡. CiÃªncia e Tecnologia de Alimentos 28(4): 959-963",fi157
"Erkan N., SelÃ§uk A., Ã–zden Ã–. (2010) Amino acid and vitamin composition of raw and cooked horse mackerel. Food Anal Methods 3: 269-275",fi3
"Swapna H.C., Amit K.R., Bhaskar N., Sachindra N.M. (2010). Lipid classes and fatty acid profile of selected Indian fresh water fishes. J Food Sci Technol 47(4): 394-400",fi74
"Procopia de Moura A.F., Torres R.P., Mancini - Filho J., Filho A.T. (2002). Caracterizacao da fracao lipidica de amostras comercias de camarao - rosa. Archivos Latinamericanos de Nutricion 52: 207 - 211",fi233
"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60",fi151
"Appavoo et al, 1991",fc006
"Kuhnlein et al, 1991",fc005
"Belinsky et al, 1996",fi4
"Kuhnlein et al, 1994",fc003
"Kuhnlein et al, 2002",fc001
"Kuhnlein &Soueida, 1992",fc002
"Ostermeyer U., Schmidt T. (2006). Vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413",fi105
"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). Cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243",fi122
"Mattila P., Ronkainen R., Lehikoinen K., Piironen V. (1999). Effect of household cooking on the Vitamin D content in fish, eggs, and wild mushrooms. Journal of Food Composition and Analysis 12: 153-160",fi119
"Luzia L.A., Sampaio G.R., Castellucci C.M.N., Torres E.A.F.S. (2003). The influence of season on the lipid profiles of five commercially important species of Brazilian fish. Food Chemistry 83: 93 - 97",fi185
"N. Bragagnolo and D. B. Rodriguez-Amaya, Total Lipid, Cholesterol, and Fatty Acids of Farmed Freshwater Prawn (Macrobrachium rosenbergii) and Wild Marine Shrimp (Penaeus brasiliensis, Penaeus schimitti, Xiphopenaeus kroyeri), JOURNAL OF FOOD COMPOSITION AND ANALYSIS (2001) 14, 359d369",fi205
Sriket et al. 2006. Comparative studies on chemical composition and thermal properties of black tiger shrimp. Food Chemistry,fi170
"Skonberg, Denise I., and Brian L. Perkins. ""Nutrient composition of green crab (Carcinus maenus) leg meat and claw meat.""Â Food ChemistryÂ 77.4 (2002): 401-404.",fi164
"M. S. Astorga EspaÃ±a, E. M. RodrÃ_guez RodrÃ_guez & C. DÃ_az Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",new_ref
"Roos N., Wahab Md. A., Chamnan C., Thilsted S.H. (2007). The role of fish in food-based-strategies to combat Vitamin A and mineral deficiencies in developing countries. Journal of Nutrition 137(4): 1106-1109",fi179
"Karakoltsidis, P. A., Zotos, A., & Constantinides, M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis, 8, 258â€“273.",fi80
"Anthony, Jane E., et al. ""Yields, proximate composition and mineral content of finfish and shellfish.""Â Journal of Food ScienceÂ 48.1 (1983): 313-314.",new_ref
"GÃ¶koÃ°lu, Nalan, and PÃ_nar Yerlikaya. ""Determinaton of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya.""Â Food ChemistryÂ 80.4 (2003): 495-498.",new_ref
"Zied Zarai,aâˆ— Fakher Frikha,a Rafik Balti,b Nabil Miled,a Youssef Gargouria and Hafedh Mejdouba. Nutrient composition of the marine snail (Hexaplex trunculus) from the Tunisian Mediterranean coasts. JSciFoodAgric2011;91:1265â€“1270. 2011",fi211
"Karnjanapratum, Supatra, et al. ""Chemical compositions and nutritional value of Asian hard clam (Meretrix lusoria) from the coast of Andaman Sea."" Food chemistry 141.4 (2013): 4138-4145.",new_ref
"Yanar and Celik, Seasonal amino acid profiles and mineral contents of green tiger shrimp (Penaeus semisulcatus De Haan, 1844) and speckled shrimp (Metapenaeus monoceros Fabricus, 1789)from the Eastern Mediterranean, Food Chemistry, 2006.",fi172
"M.S. Astorga-EspaÃ±a, E.M. RodrÃ_guez-RodrÃ_guez, C. DÃ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273â€“279",new_ref
"BilandÅ_iÄ‡, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea.""Â Journal of Food Composition and AnalysisÂ 45 (2016): 39-49.",new_ref
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814).""Â Journal of the Science of Food and AgricultureÂ 86.13 (2006): 2161-2165.",new_ref
http://www.sciencedirect.com.ezproxy.library.ubc.ca/science/article/pii/S0308814608007796,
"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761",new_ref
"Barrento, Sara, et al. ""Essential elements and contaminants in edible tissues of European and American lobsters.""Â Food chemistryÂ 111.4 (2008): 862-867.",fi159
"Sankar, T. V., Anandan, R., Mathew, S., Asha, K. K., Lakshmanan, P. T., Varkey, J., ... & Mohanty, B. P. (2013). Chemical composition and nutritional value of Anchovy (Stolephorus commersonii) caught from Kerala Coast, India. Eur. J. Exp. Biol, 3(1), 85-89.",new_ref
"Exler, J. (1987). Composition of foods: finfish and shellfish products, raw, processed, prepared. Agriculture Handbook Number 8-15. US Department of Agriculture, Human Nutrition Information Service.",new_ref
