Food Item ID,Food Item ID,Subgroup,"Country, region",Type,ISSCAAP,3_alpha,Food name in own language,Food name in English,Processing,Scientific name,ASFIS English name,ASFIS Scientific name,Season,Other,n,Comments on data processing/methods,Publication year,BiblioID,Compiler,Latest revision in version,CA(mg),FE(mg),ZN(mg),F20D5N3(g),F22D6N3(g),AS(mcg),CD(mcg),HG(mcg),PB(mcg)
0901410,0901410,Finfish,Unknown,,37,MAC,,"Mackerel, skinless fillet, raw/frozen",r,Scomber scombrus,Atlantic mackerel,Scomber scombrus,,,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,DR,1.0,,,,0.662,1.404,,,,
0901411,0901411,Finfish,Unknown,,32,POL,,"Pollack, skinless fillet, raw",r,Pollachius pollachius,Pollack,Pollachius pollachius,,,3,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,DR,1.0,,,,0.015,0.076,,,,
0901412,0901412,Finfish,Unknown,,32,POK,,"Saithe, skinless fillet, raw/frozen",r,Pollachius virens,Saithe,Pollachius virens,,,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,DR,1.0,,,,0.071,0.173,,,,
0901413,0901413,Finfish,Unknown,,23,SAL,,"Salmon, skinless fillet, raw/frozen",r,Salmo salar,Atlantic salmon,Salmo salar,,,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,DR,1.0,,,,1.112,2.164,,,,
0901414,0901414,Finfish,Unknown,,35,PIL,,"Sardine, skin-on fillet, raw",r,Sardina pilchardus,European pilchard,Sardina pilchardus,,,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,DR,1.0,,,,0.638,1.269,,,,
0901415,0901415,Finfish,Unknown,,33,BSS,,"Seabass, skinless fillet, raw/frozen",r,Dicentrarchus labrax,European seabass,Dicentrarchus labrax,,,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,DR,1.0,,,,0.357,0.617,,,,
0901416,0901416,Finfish,Unknown,,31,SOL,,"Sole, skinless fillet, raw",r,Solea solea,Common sole,Solea solea,,,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,DR,1.0,,,,0.014,0.072,,,,
0901417,0901417,Finfish,Unknown,,36,SWO,,"Swordfish, skinless fillet, raw/frozen",r,Xiphias gladius,Swordfish,Xiphias gladius,,,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,DR,1.0,,,,1.265,1.75,,,,
0901418,0901418,Finfish,Unknown,,36,BFT,,"Tuna, skinless fillet, raw/frozen",r,Thunnus thynnus,Atlantic bluefin tuna,Thunnus thynnus,,,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,DR,1.0,,,,0.035,0.131,,,,
0901419,0901419,Finfish,Unknown,,34,ANF,,"Angler fish, skinless fillet, raw/frozen",r,Lophius piscatorius/Lophius budegassa,Anglerfishes nei,Lophiidae,,,4,"MON/ANK; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,DR,1.0,,,,0.026,0.037,,,,
0901420,0901420,Finfish,Unknown,,38,SCL,,"Catshark, skinless fillet, raw",r,Scyliorhinus canicula/Scyliorhinus stellaris,"Catsharks, nursehounds nei",Scyliorhinus spp,,,4,"SYC/SYT; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,DR,1.0,,,,0.113,0.066,,,,
0901421,0901421,Finfish,Unknown,,31,PLZ,,"Dab, raw, skinless fillet, raw/frozen",r,Limanda limanda/Microstomus kitt,Righteye flounders nei,Pleuronectidae,,,4,"DAB/LEM; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,DR,1.0,,,,0.084,0.131,,,,
0901422,0901422,Finfish,Unknown,,33,MUX,,"Goatfish, skinless fillet, raw/frozen",r,Mullus barbattus/Mullus surmuletus,Surmullets(=Red mullets) nei,Mullus spp,,,2,"MUT/MUR; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,DR,1.0,,,,0.348,0.669,,,,
0901423,0901423,Finfish,Unknown,,34,GUX,,"Gurnard, skinless fillet, raw/frozen",r,Trigla lucerna/Eurtigla gurnardus/Aspitrigla cuculus,"Gurnards, searobins nei",Triglidae,,,3,"GUG/GUR; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,DR,1.0,,,,0.043,0.003,,,,
0901424,0901424,Finfish,Unknown,,31,PLZ,,"Halibut, skinless fillet, raw/frozen",r,Hippoglossus hippoglossus/Reinhardtius hippoglossoides,Righteye flounders nei,Pleuronectidae,,,1,"HAL/GHL; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,DR,1.0,,,,0.969,1.4,,,,
0901425,0901425,Finfish,Unknown,,32,LNZ,,"Ling, skinless fillet, raw/frozen",r,Molva molva/Molva dypterygia dypterygia,Lings nei,Molva spp,,,4,"LIN/BLI; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,DR,1.0,,,,0.045,0.065,,,,
0901426,0901426,Finfish,Unknown,,31,PLZ,,"Plaice, skinless fillet, raw/frozen",r,Pleuronectes platessa/Glyptocephalus cynoglossus,Righteye flounders nei,Pleuronectidae,,,4,"PLE/WIT; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,DR,1.0,,,,0.046,0.041,,,,
0901427,0901427,Finfish,Unknown,,32,GAD,,"Pout, skinless fillet, raw",r,Trisopterus luscus/Trisopterus minutus capelanus,Gadiformes,Gadiformes nei/Gadidae,,,1,"BIB/POD; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,DR,1.0,,,,0.036,0.03,,,,
0901428,0901428,Finfish,Unknown,,38,SKA,,"Ray, skinless fillet, raw/frozen",r,Raja clavata/Raja naevus/Raja circularis,Raja rays nei,Raja spp,,,4,"RJC/RJN/RJI; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,DR,1.0,,,,0.017,0.156,,,,
0901429,0901429,Finfish,Unknown,,34,SCO,,"Scorpionfish, skinless fillet, raw/frozen",r,Scorpaena porcus/Scorpaena scrofa/Helicolenus dactylopterus,Scorpionfishes nei,Scorpaenidae,,,1,"BBS/RSE/BRF; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,DR,1.0,,,,0.121,0.507,,,,
0901430,0901430,Finfish,Unknown,,33,SBX,,"Sea bream, skinless fillet, raw",r,Spondyliosoma cantharus/Sparus aurata/Pagellus bogaraveo,"Porgies, seabreams nei",Sparidae,,,4,"BRB/SBG/SBR; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,DR,1.0,,,,0.497,0.773,,,,
0901431,0901431,Finfish,Unknown,,32,GAD,,"Whiting, skinless fillet, raw/frozen",r,Merlangius merlangus/Micromesistius poutassou,Gadiformes,Gadiformes nei/Gadidae,,,4,"WHG/WHB; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,DR,1.0,,,,0.015,0.069,,,,
0901432,0901432,Molluscs,Unknown,,57,CTC,,"Cuttle fish, edible flesh, raw/frozen",r,Sepia officinalis,Common cuttlefish,Sepia officinalis,,,2,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,DR,1.0,,,,0.069,0.156,,,,
