Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,obs_id,submitted_name,subgroup,common_name,body_part,food_name_in_english,ca_mg,fe_mg,zn_mg,epa,dha,protein,fat,biblio_id,location,season,comments_on_data_processing_methods,publication_year,food_item_id,realm
Acipenser oxyrinchus,15.11111111111111,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.325,subtropical,elongated,demersal,46,403,c5,Acipenser oxyrinchus,Finfish,Atlantic Sturgeon,muscle,"Atlantic Sturgeon, muscle",NA,NA,NA,1.4,0.57,NA,NA,55,NA,NA,NA,NA,NA,freshbrackmarine
Albatrossia pectoralis,5.666666666666667,mainly animals (troph. 2.8 and up),variable,3.86,deep-water,elongated,bathydemersal,3500,210,bc150,Albatrossia pectoralis,Finfish,Giant grenadier,muscle,"Giant grenadier, wild, fillets, raw",NA,NA,NA,0.0186760006297002,0.0336614355988497,NA,0.21,fi30,"USA, Alaska, Kodiak",Apr 2002,FAME converted using ShF and XFA,2005,0900150,marine
Alosa alosa,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,temperate,fusiform / normal,pelagic-neritic,300,69,bc271,Alosa alosa,Finfish,Allis shad,muscle_organs,"Shad (marine water), raw, wild, edible part, raw",NA,NA,NA,0.670366968,1.859680295,22.42,15.91,fi57,"Turkey, Black Sea",fall 1995-spring 1996,FA converted using XFA,1998,0900290,freshbrackmarine
Alosa pseudoharengus,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,c10,Alosa pseudoharengus,Finfish,Alewife,muscle,"Alewife, muscle",NA,NA,NA,0.1,0.27,NA,3.49,55,NA,NA,NA,NA,NA,freshbrackmarine
Alosa pseudoharengus,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,c11,Alosa pseudoharengus,Finfish,Alewife,muscle,"Alewife, muscle",NA,NA,NA,0.1,0.27,NA,NA,55,NA,NA,NA,NA,NA,freshbrackmarine
Alosa pseudoharengus,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,c12,Alosa pseudoharengus,Finfish,Alewife,muscle,"Alewife, muscle",NA,NA,NA,NA,NA,17.3,6.8,27,NA,NA,NA,NA,NA,freshbrackmarine
Alosa pseudoharengus,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,c13,Alosa pseudoharengus,Finfish,Alewife,whole,"Alewife, whole",NA,NA,NA,NA,NA,14,11.6,27,NA,NA,NA,NA,NA,freshbrackmarine
Alosa pseudoharengus,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,c14,Alosa pseudoharengus,Finfish,Alewife,viscera,"Alewife, offal",NA,NA,NA,NA,NA,15.6,10.1,27,NA,NA,NA,NA,NA,freshbrackmarine
Alosa pseudoharengus,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,c15,Alosa pseudoharengus,Finfish,Alewife,eggs,"Alewife, eggs",NA,NA,NA,NA,NA,16,7.9,27,NA,NA,NA,NA,NA,freshbrackmarine
Alosa sapidissima,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,af593,Alosa sapidissima,Finfish,American shad,muscle_skinless,"American shad, skinless fillet, raw",NA,NA,NA,NA,NA,18.8,7.9,fi195,"USA, Oregon/Washington/Alaska",NA,NA,1976,0901897,freshbrackmarine
Alosa sapidissima,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,bc822,Alosa sapidissima,Finfish,American shad,muscle,"American shad, wild, fillet, raw",14.4,0.9444,0.3792,NA,NA,NA,NA,fi125,"USA, OR, Northeast Pacific, Seaside",NA,NA,1984,0900841,freshbrackmarine
Alosa sapidissima,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,c18,Alosa sapidissima,Finfish,American Shad,muscle,"American Shad, muscle",NA,0.7,NA,NA,NA,18,11.2,27,NA,NA,NA,NA,NA,freshbrackmarine
Alosa sapidissima,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,c20,Alosa sapidissima,Finfish,American Shad,viscera,"American Shad, offal",NA,NA,NA,NA,NA,16.7,16.3,27,NA,NA,NA,NA,NA,freshbrackmarine
Ameiurus nebulosus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,subtropical,fusiform / normal,demersal,40,55,c25,Ameiurus nebulosus,Finfish,Brown Bullhead,muscle,"Brown Bullhead, muscle",12,0.653,0.403,NA,NA,15.8,1.49,44,NA,NA,NA,NA,NA,fresh
Amia calva,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.81,subtropical,elongated,demersal,NA,109,c27,Amia calva,Finfish,Bowfin,muscle,"Bowfin, muscle",NA,NA,NA,NA,NA,20.1,1.4,27,NA,NA,NA,NA,NA,fresh
Amia calva,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.81,subtropical,elongated,demersal,NA,109,c28,Amia calva,Finfish,Bowfin,whole,"Bowfin, whole",NA,NA,NA,NA,NA,15.5,1.5,27,NA,NA,NA,NA,NA,fresh
Anarhichas lupus,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.73,temperate,elongated,demersal,600,150,bc1217,Anarhichas lupus,Finfish,Atlantic wolffish,muscle,"Wolf-fish, wild, fillet, raw",6.8,0.15,0.78,NA,NA,16.2,0.9,im11,"Iceland, North Atlantic",NA,NA,2011,0901256,marine
Anarhichas lupus,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.73,temperate,elongated,demersal,600,150,bc1243,Anarhichas lupus,Finfish,Atlantic wolffish,muscle,"Wolf-fish, wild, fillet, raw",NA,NA,NA,0.131686107491998,0.163997286827422,NA,1.5,im11,"Iceland, North Atlantic",NA,FAME converted using ShF and XFA,2011,0901282,marine
Anarhichas lupus,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.73,temperate,elongated,demersal,600,150,bc1244,Anarhichas lupus,Finfish,Atlantic wolffish,muscle,"Wolf-fish, wild, fillet, raw",NA,NA,NA,0.181546445514566,0.102133560137639,NA,1.3,im11,"Iceland, North Atlantic",NA,FAME converted using ShF and XFA,2011,0901283,marine
Anarhichas lupus,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.73,temperate,elongated,demersal,600,150,bc1245,Anarhichas lupus,Finfish,Atlantic wolffish,muscle,"Wolf-fish, wild, fillet, raw",NA,NA,NA,0.169891252511819,0.179600693439993,NA,2.175,im11,"Iceland, North Atlantic",NA,FAME converted using ShF and XFA,2011,0901284,marine
Anguilla anguilla,8.833333333333334,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.67,temperate,eel-like,demersal,700,121.5,bc399,Anguilla anguilla,Finfish,European eel,muscle,"European eel, wild, edible flesh, raw",NA,NA,NA,NA,NA,NA,NA,fi80,"Greece, Aegean Sea",NA,NA,1995,0900418,freshbrackmarine
Anguilla rostrata,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,bc91,Anguilla rostrata,Finfish,American eel,muscle_skinless,"American eel, wild, skinless muscle tissue, raw",NA,NA,NA,0.0856776,0.1595376,19.1,3.4,fi21,"USA, NC, Neuse River",July,PROT- (analyzed accrding to AOAC 1975); FA converted using XFA,1981,0900091,freshbrackmarine
Anguilla rostrata,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,c38,Anguilla rostrata,Finfish,American Eel,muscle,"American Eel, muscle",NA,NA,NA,0.3,0.66,NA,NA,55,NA,NA,NA,NA,NA,freshbrackmarine
Anguilla rostrata,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,c42,Anguilla rostrata,Finfish,American Eel,muscle,"American Eel, muscle",NA,NA,NA,0.3,0.66,NA,14.2,55,NA,NA,NA,NA,NA,freshbrackmarine
Anguilla rostrata,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,c45,Anguilla rostrata,Finfish,American Eel,muscle,"American Eel, muscle",NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,freshbrackmarine
Anguilla rostrata,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,c46,Anguilla rostrata,Finfish,American Eel,muscle,"American Eel, muscle",NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,freshbrackmarine
Anguilla rostrata,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,c47,Anguilla rostrata,Finfish,American Eel,muscle,"American Eel, muscle",56,NA,0.615,NA,NA,18.2,13.3,27,NA,NA,NA,NA,NA,freshbrackmarine
Anoplopoma fimbria,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,fusiform / normal,bathydemersal,2740,120,af587,Anoplopoma fimbria,Finfish,Sablefish,muscle_skinless,"Sablefish, skinless fillet, raw",NA,NA,NA,NA,NA,13.8,15.1,fi195,"USA, SE Alaska/Washington/Oregon",NA,NA,1976,0901891,marine
Anoplopoma fimbria,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,fusiform / normal,bathydemersal,2740,120,bc196,Anoplopoma fimbria,Finfish,Sablefish,muscle_skinless,"Sablefish, wild, boneless, skinless fillet, raw",NA,NA,NA,0.35,0.42,NA,5.7,fi36,"USA, off the OR coast, Pacific Ocean",Sep 1987,CHOLE-: colorimetric method using ferric chloride (Sweeney and Weihrauch 1976),1991,0900196,marine
Anoplopoma fimbria,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,fusiform / normal,bathydemersal,2740,120,c51,Anoplopoma fimbria,Finfish,Sablefish,muscle,"Sablefish, muscle",NA,NA,NA,0.35,0.42,NA,5.7,25,NA,NA,NA,NA,NA,marine
Anoplopoma fimbria,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,fusiform / normal,bathydemersal,2740,120,c52,Anoplopoma fimbria,Finfish,Sablefish,muscle,"Sablefish, muscle",35,1.2,NA,NA,NA,12.9,15.2,27,NA,NA,NA,NA,NA,marine
Anoplopoma fimbria,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,fusiform / normal,bathydemersal,2740,120,c53,Anoplopoma fimbria,Finfish,Sablefish,viscera,"Sablefish, offal",NA,NA,NA,NA,NA,12.9,14.7,27,NA,NA,NA,NA,NA,marine
Aphanopus carbo,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.48,deep-water,eel-like,bathypelagic,2300,151,bc112,Aphanopus carbo,Finfish,Black scabbardfish,muscle_skinless,"Black scabbardfish, wild, skinless fillets, raw",11.9,NA,0.27,0.0424763,0.12370675,16.9,2.5,fi25,"Portugal, caught off Sesimbra",Jan 2007-Jan 2008,FA converted using XFA,2009,0900112,marine
Aphanopus carbo,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.48,deep-water,eel-like,bathypelagic,2300,151,bc113,Aphanopus carbo,Finfish,Black scabbardfish,muscle,"Black scabbardfish, wild, skin-on fillets, raw",NA,NA,NA,NA,NA,16.1,6.7,fi25,"Portugal, caught off Sesimbra",Jan 2007-Jan 2008,NA,2009,0900113,marine
Aphanopus carbo,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.48,deep-water,eel-like,bathypelagic,2300,151,bc114,Aphanopus carbo,Finfish,Black scabbardfish,muscle_skinless,"Black scabbardfish, wild, skinless fillets, raw",14,0.1,0.5,0.0479,0.1395,15.7,2.8,fi25,"Portugal, caught off Sesimbra",Jan 2007-Jan 2008,NA,2009,0900114,marine
Arnoglossus laterna,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.490000009536743,subtropical,fusiform / normal,demersal,200,25,bc416,Arnoglossus laterna,Finfish,Mediterranean scaldfish,muscle,"Scald fish, wild, edible flesh, raw",NA,NA,NA,NA,NA,NA,NA,fi80,"Greece, Aegean Sea",NA,NA,1995,0900435,marine
Arripis trutta,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.7,subtropical,fusiform / normal,pelagic-neritic,39,89,bc204,Arripis trutta,Finfish,Australian salmon,muscle_skinless,"Kahawai, wild, skinless fillet, frozen",NA,NA,NA,NA,NA,21.2,8.6,fi42,New Zealand,Feb 1984,NA,1985,0900204,brackmarine
Atheresthes stomias,5.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,polar,short and / or deep,demersal,950,84,af561,Atheresthes stomias,Finfish,Arrow-tooth flounder,muscle_skinless,"Arrowtooth flounder, skinless muscle flesh, raw",NA,NA,NA,NA,NA,17.7,2.3,fi195,"USA, SE Alaska/Washington/Oregon",NA,NA,1976,0901865,marine
Atheresthes stomias,5.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,polar,short and / or deep,demersal,950,84,bc151,Atheresthes stomias,Finfish,Arrow-tooth flounder,muscle,"Arrow-tooth flounder, wild, fillets, raw",NA,NA,NA,0.393730288363867,0.237639133999212,NA,3.51,fi30,"USA, Alaska, Kodiak",Apr 2002,FAME converted using ShF and XFA,2005,0900151,marine
Atherina boyeri,1,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.22,subtropical,elongated,demersal,NA,20,bc778,Atherina boyeri,Finfish,Big-scale sand smelt,whole,"Big-scale sand smelt, wild, whole, raw",NA,NA,NA,0.34639424,0.47727936,19.41,6.2,fi121,"Tunisia, Bizerta Sea",Sep 2007,FA converted using XFA,2010,0900797,freshbrackmarine
Auxis rochei,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.4,tropical,fusiform / normal,pelagic-neritic,NA,50,bc987,Auxis rochei,Finfish,Bullet tuna,muscle,"Bullet tuna, wild, dorsal muscle, raw",NA,NA,NA,0.325155,0.8584092,NA,4.8,fi160,"Japan, Pacific Ocean (sea off)","May 1992, 1994",FAT- (no method for lipid extraction given); FA converted using XFA; FA tr: <0.3% of FACID,1996,0901006,brackmarine
Auxis rochei,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.4,tropical,fusiform / normal,pelagic-neritic,NA,50,bc988,Auxis rochei,Finfish,Bullet tuna,muscle,"Bullet tuna, wild, ventral muscle, raw",NA,NA,NA,1.5807742,3.6417836,NA,21.6,fi160,"Japan, Pacific Ocean (sea off)","May 1992, 1994",FAT- (no method for lipid extraction given); FA converted using XFA; FA tr: <0.3% of FACID,1996,0901007,brackmarine
Bagrus docmak,2.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.08,tropical,fusiform / normal,benthopelagic,80,127,bc107,Bagrus docmak,Finfish,Semutundu,muscle_skinless,"Semutundu, wild, skinless, boneless, dorsal muscle, raw",NA,NA,NA,0.013,0.06384,NA,NA,fi23,"Uganda, Napoleon Gulf in Lake Victora",Nov 2005,NA,2008,0900107,fresh
Bagrus docmak,2.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.08,tropical,fusiform / normal,benthopelagic,80,127,bc108,Bagrus docmak,Finfish,Semutundu,muscle_skinless,"Semutundu, wild, skinless, boneless, dorsal muscle, raw",NA,NA,NA,0.01008,0.04712,NA,NA,fi23,"Uganda, Lwampanga at Lake Kyoga",Dec 2005,NA,2008,0900108,fresh
Bagrus docmak,2.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.08,tropical,fusiform / normal,benthopelagic,80,127,bc144,Bagrus docmak,Finfish,Semutundu,muscle,"Catfish A, wild, muscle fillet, raw",NA,NA,NA,0.38111275,0.659837,NA,6.25,fi28,"Uganda, Lake Viktoria, Kasenyi and Ggaba",Feb 2008,FA converted using XFA,2011,0900144,fresh
Belone belone,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,temperate,elongated,pelagic-oceanic,NA,103.5,bc270,Belone belone,Finfish,Garfish,muscle_organs,"Garfish, wild, edible part, raw",NA,NA,NA,0.490163256,2.161174356,20.05,13.42,fi57,"Turkey, Black Sea",fall 1995-spring 1996,FA converted using XFA,1998,0900289,brackmarine
Boreogadus saida,2.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27,polar,elongated,demersal,400,40,c61,Boreogadus saida,Finfish,Arctic Cod,muscle,"Arctic Cod, muscle",20.2,0.6,0.5,0.165,0.329,24.8,1,2,NA,NA,NA,NA,NA,brackmarine
Brevoortia tyrannus,1,plants/detritus+animals (troph. 2.2-2.79),filtering plankton,2.61,subtropical,fusiform / normal,pelagic-neritic,50,50,c66,Brevoortia tyrannus,Finfish,Menhaden,whole,"Menhaden, whole",NA,NA,NA,NA,NA,15.9,4.2,27,NA,NA,NA,NA,NA,brackmarine
Brevoortia tyrannus,1,plants/detritus+animals (troph. 2.2-2.79),filtering plankton,2.61,subtropical,fusiform / normal,pelagic-neritic,50,50,c67,Brevoortia tyrannus,Finfish,Menhaden,whole,"Menhaden, whole",NA,NA,NA,NA,NA,15.5,11.8,27,NA,NA,NA,NA,NA,brackmarine
Brevoortia tyrannus,1,plants/detritus+animals (troph. 2.2-2.79),filtering plankton,2.61,subtropical,fusiform / normal,pelagic-neritic,50,50,c68,Brevoortia tyrannus,Finfish,Menhaden,muscle,"Menhaden, muscle",60,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,brackmarine
Brosme brosme,8,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.08,temperate,elongated,demersal,1000,120,bc627,Brosme brosme,Finfish,Tusk(=Cusk),muscle_skinless,"Tusk, wild, skinless fillet, raw",NA,NA,NA,NA,NA,NA,0.7,fi105,"Unknown, West of Shetland Islands",Sep 2001,NA,2006,0900646,marine
Brosme brosme,8,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.08,temperate,elongated,demersal,1000,120,bc628,Brosme brosme,Finfish,Tusk(=Cusk),muscle_skinless,"Tusk, wild, skinless fillet, raw",NA,NA,NA,NA,NA,NA,0.6,fi105,"Unknown, West of Shetland Islands",Sep 2001,NA,2006,0900647,marine
Carassius auratus,1,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2.86,temperate,fusiform / normal,benthopelagic,20,48,c86,Carassius auratus,Finfish,Goldfish,muscle,"Goldfish, muscle",76,NA,NA,NA,NA,16.3,3,27,NA,NA,NA,NA,NA,freshbrack
Carassius auratus,1,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2.86,temperate,fusiform / normal,benthopelagic,20,48,c87,Carassius auratus,Finfish,Goldfish,whole,"Goldfish, whole",NA,5.6,6,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,freshbrack
Carassius carassius,2.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.11,temperate,fusiform / normal,demersal,NA,64,bc162,Carassius carassius,Finfish,Crucian carp,muscle_skinless,"Crucian carp, wild, skinless fillet, raw",59,0.9,0.6,NA,NA,18,1.6,fi32,"Greece, Evros River",Summer 1987,NA,1989,0900162,freshbrack
Carassius carassius,2.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.11,temperate,fusiform / normal,demersal,NA,64,bc163,Carassius carassius,Finfish,Crucian carp,muscle_skinless,"Crucian carp, wild, skinless fillet, raw",57,0.8,0.5,NA,NA,18,1.2,fi32,"Greece, Evros River",Summer 1988,NA,1989,0900163,freshbrack
Carassius carassius,2.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.11,temperate,fusiform / normal,demersal,NA,64,bc228,Carassius carassius,Finfish,Crucian carp,muscle_skinless,"Crucian carp, wild, skinless, boneless fillet, raw",NA,NA,NA,0.07539,0.05026,NA,1.5,fi47,"Greece, Evros River",Jul-Aug 1987,FA converted using XFA,1991,0900228,freshbrack
Carcharhinus limbatus,4.333333333333333,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.46,subtropical,fusiform / normal,reef-associated,100,275,bc1014,Carcharhinus limbatus,Finfish,Blacktip shark,muscle,"Blacktip shark, wild, fillet (along dorsal line), raw",NA,NA,NA,0.01,0.0577,24.3,0.4598,fi166,"Unknown, Gulf of Mexico",Jun (Summer) 1990,NA,1994,0901033,brackmarine
Catostomus catostomus,4.6,plants/detritus+animals (troph. 2.2-2.79),grazing on aquatic plants,3.1099998950958248,temperate,fusiform / normal,demersal,180,64,c96,Catostomus catostomus,Finfish,Longnose Sucker,muscle,"Longnose Sucker, muscle",63.1,0.3,0.5,0.075,0.212,17.7,1.2,2,NA,NA,NA,NA,NA,freshbrack
Catostomus commersonii,4,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),2.46,temperate,fusiform / normal,demersal,NA,65,c100,Catostomus commersonii,Finfish,White Sucker,whole,"White Sucker, whole",NA,NA,NA,NA,NA,16,3.8,27,NA,NA,NA,NA,NA,freshbrack
Catostomus commersonii,4,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),2.46,temperate,fusiform / normal,demersal,NA,65,c98,Catostomus commersonii,Finfish,White Sucker,muscle,"White Sucker, muscle",NA,NA,NA,NA,NA,17.7,1.5,27,NA,NA,NA,NA,NA,freshbrack
Catostomus commersonii,4,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),2.46,temperate,fusiform / normal,demersal,NA,65,c99,Catostomus commersonii,Finfish,White Sucker,muscle,"White Sucker, muscle",19.6,0.2,0.3,0.083,0.179,18.4,1.5,2,NA,NA,NA,NA,NA,freshbrack
Champsocephalus gunnari,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.49,polar,elongated,benthopelagic,700,66,bc90,Champsocephalus gunnari,Finfish,Mackerel icefish,muscle,"Mackerel icefish, wild, fillet (belly flaps removed), raw",NA,NA,NA,NA,NA,17,1.5,fi19,"Unknown, Antarctic waters",Mar 1981,NA,1991,0900090,marine
Channa striata,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.36,tropical,elongated,benthopelagic,10,100,af64,Channa striata,Finfish,Striped snakehead,muscle,"Snakehead, wild, boneless flesh, raw",108.3,0.5,NA,NA,NA,NA,NA,fi24,"Sri Lanka, Nikaweratiya, Magala tank",NA,NA,1996,0901368,freshbrack
Channa striata,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.36,tropical,elongated,benthopelagic,10,100,bc14,Channa striata,Finfish,Striped snake-head,muscle,"Striped snake-head fish, wild, muscle fillet, raw",NA,NA,NA,NA,NA,19.9,8.5,fi2,"Thailand, main rivers (Chaopraya, Bangprakong, Mae-klong, Thajean)",May-Oct,NNP calc. as % of TN,1999,0900014,freshbrack
