seanuts_id2,species1,nutrient,concentration,feeding_mode,feeding_level,EnvTemp,DemersPelag,BodyShapeI,part,log_concentration,log_length,bulk_trophic_level,DepthRangeDeep,AgeMatMin,realm,source,reference
NA,Acipenser spp.,fapun_all_g,0.69,NA,NA,NA,NA,NA,muscle,-0.37106368139083207,NA,NA,NA,NA,NA,cine,13
NA,Acipenser spp.,mn_mg,0.025,NA,NA,NA,NA,NA,muscle,-3.6888794541139363,NA,NA,NA,NA,NA,cine,13
NA,Alosa pseudoharengus,protein_g,17.3,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic-neritic,fusiform / normal,muscle,2.8507065015037334,3.6888794541139363,3.29,145,2.3333333333333335,freshbrackmarine,cine,27
NA,Alosa pseudoharengus,protein_g,14,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic-neritic,fusiform / normal,whole,2.6390573296152584,3.6888794541139363,3.29,145,2.3333333333333335,freshbrackmarine,cine,27
NA,Alosa pseudoharengus,protein_g,15.6,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic-neritic,fusiform / normal,offal,2.747270914255491,3.6888794541139363,3.29,145,2.3333333333333335,freshbrackmarine,cine,27
NA,Alosa pseudoharengus,protein_g,16,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic-neritic,fusiform / normal,eggs,2.772588722239781,3.6888794541139363,3.29,145,2.3333333333333335,freshbrackmarine,cine,27
NA,Alosa pseudoharengus,fat_g,6.8,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic-neritic,fusiform / normal,muscle,1.916922612182061,3.6888794541139363,3.29,145,2.3333333333333335,freshbrackmarine,cine,27
NA,Alosa pseudoharengus,fat_g,11.6,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic-neritic,fusiform / normal,whole,2.451005098112319,3.6888794541139363,3.29,145,2.3333333333333335,freshbrackmarine,cine,27
NA,Alosa pseudoharengus,fat_g,10.1,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic-neritic,fusiform / normal,offal,2.3125354238472138,3.6888794541139363,3.29,145,2.3333333333333335,freshbrackmarine,cine,27
NA,Alosa pseudoharengus,fat_g,7.9,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic-neritic,fusiform / normal,eggs,2.066862759472976,3.6888794541139363,3.29,145,2.3333333333333335,freshbrackmarine,cine,27
NA,Alosa sapidissima,fe_mg,0.7,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,pelagic-neritic,fusiform / normal,muscle,-0.35667494393873245,4.330733340286331,3.6099998950958248,250,3.25,freshbrackmarine,cine,27
NA,Alosa sapidissima,protein_g,18,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,pelagic-neritic,fusiform / normal,muscle,2.8903717578961645,4.330733340286331,3.6099998950958248,250,3.25,freshbrackmarine,cine,27
NA,Alosa sapidissima,protein_g,16.7,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,pelagic-neritic,fusiform / normal,offal,2.8154087194227095,4.330733340286331,3.6099998950958248,250,3.25,freshbrackmarine,cine,27
NA,Alosa sapidissima,fat_g,11.2,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,pelagic-neritic,fusiform / normal,muscle,2.4159137783010487,4.330733340286331,3.6099998950958248,250,3.25,freshbrackmarine,cine,27
NA,Alosa sapidissima,fat_g,16.3,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,pelagic-neritic,fusiform / normal,offal,2.791165107812717,4.330733340286331,3.6099998950958248,250,3.25,freshbrackmarine,cine,27
NA,Aloseinae,fe_mg,0.57,NA,NA,NA,NA,NA,muscle,-0.5621189181535413,NA,NA,NA,NA,NA,cine,27
NA,Aloseinae,protein_g,19.4,NA,NA,NA,NA,NA,muscle,2.9652730660692823,NA,NA,NA,NA,NA,cine,27
NA,Aloseinae,protein_g,23.4,NA,NA,NA,NA,NA,eggs,3.152736022363656,NA,NA,NA,NA,NA,cine,27
NA,Aloseinae,fat_g,8.3,NA,NA,NA,NA,NA,muscle,2.1162555148025524,NA,NA,NA,NA,NA,cine,27
NA,Aloseinae,fat_g,3.8,NA,NA,NA,NA,NA,eggs,1.33500106673234,NA,NA,NA,NA,NA,cine,27
NA,Aloseinae,mn_mg,0.019,NA,NA,NA,NA,NA,muscle,-3.9633162998156966,NA,NA,NA,NA,NA,cine,27
NA,Ameiurus nebulosus,ca_mg,12,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,muscle,2.4849066497880004,4.007333185232471,3.27999997138977,40,2,fresh,cine,44
NA,Ameiurus nebulosus,zn_mg,0.403,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,muscle,-0.908818717035454,4.007333185232471,3.27999997138977,40,2,fresh,cine,44
NA,Ameiurus nebulosus,fe_mg,0.653,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,muscle,-0.42617814970570594,4.007333185232471,3.27999997138977,40,2,fresh,cine,44
NA,Ameiurus nebulosus,protein_g,15.8,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,muscle,2.760009940032921,4.007333185232471,3.27999997138977,40,2,fresh,cine,44
NA,Ameiurus nebulosus,protein_g,18.6,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,muscle,2.9231615807191558,4.007333185232471,3.27999997138977,40,2,fresh,cine,56
NA,Ameiurus nebulosus,fat_g,1.49,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,muscle,0.3987761199573678,4.007333185232471,3.27999997138977,40,2,fresh,cine,44
NA,Ameiurus nebulosus,fat_g,2.7,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,muscle,0.9932517730102834,4.007333185232471,3.27999997138977,40,2,fresh,cine,56
NA,Ameiurus nebulosus,mn_mg,0.041,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,muscle,-3.1941832122778293,4.007333185232471,3.27999997138977,40,2,fresh,cine,44
NA,Amia calva,protein_g,20.1,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,elongated,muscle,3.0007198150650303,4.6913478822291435,3.81,NA,3.3333333333333335,fresh,cine,27
NA,Amia calva,protein_g,15.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,elongated,whole,2.740840023925201,4.6913478822291435,3.81,NA,3.3333333333333335,fresh,cine,27
NA,Amia calva,fat_g,1.4,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,elongated,muscle,0.3364722366212129,4.6913478822291435,3.81,NA,3.3333333333333335,fresh,cine,27
NA,Amia calva,fat_g,1.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,elongated,whole,0.4054651081081644,4.6913478822291435,3.81,NA,3.3333333333333335,fresh,cine,27
NA,Anarhichadidae,ca_mg,6,NA,NA,NA,NA,NA,muscle,1.791759469228055,NA,NA,NA,NA,NA,cine,27
NA,Anarhichadidae,protein_g,17.6,NA,NA,NA,NA,NA,muscle,2.8678989020441064,NA,NA,NA,NA,NA,cine,27
NA,Anarhichadidae,fat_g,2.8,NA,NA,NA,NA,NA,muscle,1.0296194171811581,NA,NA,NA,NA,NA,cine,27
NA,Anarhichadidae,fat_g,3,NA,NA,NA,NA,NA,muscle,1.0986122886681098,NA,NA,NA,NA,NA,cine,72
NA,Anguilla rostrata,ca_mg,56,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,eel-like,muscle,4.02535169073515,5.0238805208462765,3.62,464,3.3333333333333335,freshbrackmarine,cine,27
NA,Anguilla rostrata,zn_mg,0.615,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,eel-like,muscle,-0.4861330111756192,5.0238805208462765,3.62,464,3.3333333333333335,freshbrackmarine,cine,27
NA,Anguilla rostrata,protein_g,18.2,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,eel-like,muscle,2.9014215940827497,5.0238805208462765,3.62,464,3.3333333333333335,freshbrackmarine,cine,27
NA,Anguilla rostrata,fat_g,18.3,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,eel-like,muscle,2.9069010598473755,5.0238805208462765,3.62,464,3.3333333333333335,freshbrackmarine,cine,72
NA,Anguilla rostrata,fat_g,13.3,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,eel-like,muscle,2.5877640352277083,5.0238805208462765,3.62,464,3.3333333333333335,freshbrackmarine,cine,27
NA,Anoplopoma fimbria,ca_mg,35,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),deep-water,bathydemersal,fusiform / normal,muscle,3.5553480614894135,4.787491742782046,4.12,2740,5,marine,cine,27
NA,Anoplopoma fimbria,fe_mg,1.2,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),deep-water,bathydemersal,fusiform / normal,muscle,0.1823215567939546,4.787491742782046,4.12,2740,5,marine,cine,27
NA,Anoplopoma fimbria,protein_g,12.9,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),deep-water,bathydemersal,fusiform / normal,muscle,2.5572273113676265,4.787491742782046,4.12,2740,5,marine,cine,27
NA,Anoplopoma fimbria,protein_g,12.9,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),deep-water,bathydemersal,fusiform / normal,offal,2.5572273113676265,4.787491742782046,4.12,2740,5,marine,cine,27
NA,Anoplopoma fimbria,fat_g,5.7,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),deep-water,bathydemersal,fusiform / normal,muscle,1.7404661748405046,4.787491742782046,4.12,2740,5,marine,cine,25
NA,Anoplopoma fimbria,fat_g,15.2,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),deep-water,bathydemersal,fusiform / normal,muscle,2.7212954278522306,4.787491742782046,4.12,2740,5,marine,cine,27
NA,Anoplopoma fimbria,fat_g,14.7,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),deep-water,bathydemersal,fusiform / normal,offal,2.6878474937846906,4.787491742782046,4.12,2740,5,marine,cine,27
NA,Anoplopoma fimbria,fat_g,13.1,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),deep-water,bathydemersal,fusiform / normal,muscle,2.5726122302071057,4.787491742782046,4.12,2740,5,marine,cine,72
NA,Anoplopoma fimbria,fapun3,0.9,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),deep-water,bathydemersal,fusiform / normal,muscle,-0.10536051565782628,4.787491742782046,4.12,2740,5,marine,cine,25
NA,Anoplopoma fimbria,fapun_all_g,1.1,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),deep-water,bathydemersal,fusiform / normal,muscle,0.09531017980432493,4.787491742782046,4.12,2740,5,marine,cine,25
NA,Anoplopoma fimbria,mn_mg,0.011,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),deep-water,bathydemersal,fusiform / normal,muscle,-4.509860006183766,4.787491742782046,4.12,2740,5,marine,cine,27
NA,Anoplopoma fimbria,mg_mg,55,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),deep-water,bathydemersal,fusiform / normal,muscle,4.007333185232471,4.787491742782046,4.12,2740,5,marine,cine,27
NA,Aplodinotus grunniens,ca_mg,52,NA,NA,NA,NA,NA,muscle,3.9512437185814275,NA,NA,NA,NA,fresh,cine,27
NA,Aplodinotus grunniens,zn_mg,0.7,NA,NA,NA,NA,NA,muscle,-0.35667494393873245,NA,NA,NA,NA,fresh,cine,27
NA,Aplodinotus grunniens,fe_mg,1.05,NA,NA,NA,NA,NA,muscle,0.04879016416943205,NA,NA,NA,NA,fresh,cine,27
NA,Aplodinotus grunniens,protein_g,18.5,NA,NA,NA,NA,NA,muscle,2.917770732084279,NA,NA,NA,NA,fresh,cine,27
NA,Aplodinotus grunniens,protein_g,18,NA,NA,NA,NA,NA,muscle,2.8903717578961645,NA,NA,NA,NA,fresh,cine,56
NA,Aplodinotus grunniens,fat_g,2.5,NA,NA,NA,NA,NA,muscle,0.9162907318741551,NA,NA,NA,NA,fresh,cine,27
NA,Aplodinotus grunniens,fat_g,3.2,NA,NA,NA,NA,NA,muscle,1.1631508098056809,NA,NA,NA,NA,fresh,cine,56
NA,Boreogadus saida,ca_mg,20.2,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),polar,demersal,elongated,muscle,3.005682604407159,3.6888794541139363,3.27,400,2.75,brackmarine,cine,2
NA,Boreogadus saida,zn_mg,0.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),polar,demersal,elongated,muscle,-0.6931471805599453,3.6888794541139363,3.27,400,2.75,brackmarine,cine,2
NA,Boreogadus saida,fe_mg,0.6,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),polar,demersal,elongated,muscle,-0.5108256237659907,3.6888794541139363,3.27,400,2.75,brackmarine,cine,2
NA,Boreogadus saida,protein_g,24.8,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),polar,demersal,elongated,muscle,3.2108436531709366,3.6888794541139363,3.27,400,2.75,brackmarine,cine,2
NA,Boreogadus saida,fat_g,1,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),polar,demersal,elongated,muscle,0,3.6888794541139363,3.27,400,2.75,brackmarine,cine,2
NA,Boreogadus saida,mg_mg,18.1,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),polar,demersal,elongated,muscle,2.89591193827178,3.6888794541139363,3.27,400,2.75,brackmarine,cine,2
NA,Brevoortia tyrannus,ca_mg,60,filtering plankton,plants/detritus+animals (troph. 2.2-2.79),subtropical,pelagic-neritic,fusiform / normal,muscle,4.0943445622221,3.912023005428146,2.61,50,1,brackmarine,cine,27
NA,Brevoortia tyrannus,protein_g,15.9,filtering plankton,plants/detritus+animals (troph. 2.2-2.79),subtropical,pelagic-neritic,fusiform / normal,whole,2.766319109226186,3.912023005428146,2.61,50,1,brackmarine,cine,27
NA,Brevoortia tyrannus,protein_g,15.5,filtering plankton,plants/detritus+animals (troph. 2.2-2.79),subtropical,pelagic-neritic,fusiform / normal,whole,2.740840023925201,3.912023005428146,2.61,50,1,brackmarine,cine,27
NA,Brevoortia tyrannus,fat_g,4.2,filtering plankton,plants/detritus+animals (troph. 2.2-2.79),subtropical,pelagic-neritic,fusiform / normal,whole,1.4350845252893227,3.912023005428146,2.61,50,1,brackmarine,cine,27
NA,Brevoortia tyrannus,fat_g,11.8,filtering plankton,plants/detritus+animals (troph. 2.2-2.79),subtropical,pelagic-neritic,fusiform / normal,whole,2.468099531471619,3.912023005428146,2.61,50,1,brackmarine,cine,27
NA,Brevoortia tyrannus,mg_mg,110,filtering plankton,plants/detritus+animals (troph. 2.2-2.79),subtropical,pelagic-neritic,fusiform / normal,muscle,4.700480365792417,3.912023005428146,2.61,50,1,brackmarine,cine,27
NA,Carassius auratus,ca_mg,76,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),temperate,benthopelagic,fusiform / normal,muscle,4.330733340286331,3.871201010907891,2.86,20,1,freshbrack,cine,27
NA,Carassius auratus,ca_mg,76,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),subtropical,benthopelagic,fusiform / normal,muscle,4.330733340286331,3.871201010907891,2.86,20,1,freshbrack,cine,27
NA,Carassius auratus,ca_mg,76,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),tropical,benthopelagic,fusiform / normal,muscle,4.330733340286331,3.871201010907891,2.86,20,1,freshbrack,cine,27
NA,Carassius auratus,zn_mg,6,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),temperate,benthopelagic,fusiform / normal,whole,1.791759469228055,3.871201010907891,2.86,20,1,freshbrack,cine,27
NA,Carassius auratus,zn_mg,6,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),subtropical,benthopelagic,fusiform / normal,whole,1.791759469228055,3.871201010907891,2.86,20,1,freshbrack,cine,27
NA,Carassius auratus,zn_mg,6,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),tropical,benthopelagic,fusiform / normal,whole,1.791759469228055,3.871201010907891,2.86,20,1,freshbrack,cine,27
NA,Carassius auratus,fe_mg,5.6,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),temperate,benthopelagic,fusiform / normal,whole,1.7227665977411035,3.871201010907891,2.86,20,1,freshbrack,cine,27
NA,Carassius auratus,fe_mg,5.6,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),subtropical,benthopelagic,fusiform / normal,whole,1.7227665977411035,3.871201010907891,2.86,20,1,freshbrack,cine,27
NA,Carassius auratus,fe_mg,5.6,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),tropical,benthopelagic,fusiform / normal,whole,1.7227665977411035,3.871201010907891,2.86,20,1,freshbrack,cine,27
NA,Carassius auratus,protein_g,16.3,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),temperate,benthopelagic,fusiform / normal,muscle,2.791165107812717,3.871201010907891,2.86,20,1,freshbrack,cine,27
NA,Carassius auratus,protein_g,16.3,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),subtropical,benthopelagic,fusiform / normal,muscle,2.791165107812717,3.871201010907891,2.86,20,1,freshbrack,cine,27
NA,Carassius auratus,protein_g,16.3,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),tropical,benthopelagic,fusiform / normal,muscle,2.791165107812717,3.871201010907891,2.86,20,1,freshbrack,cine,27
NA,Carassius auratus,fat_g,3,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),temperate,benthopelagic,fusiform / normal,muscle,1.0986122886681098,3.871201010907891,2.86,20,1,freshbrack,cine,27
NA,Carassius auratus,fat_g,3,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),subtropical,benthopelagic,fusiform / normal,muscle,1.0986122886681098,3.871201010907891,2.86,20,1,freshbrack,cine,27
NA,Carassius auratus,fat_g,3,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),tropical,benthopelagic,fusiform / normal,muscle,1.0986122886681098,3.871201010907891,2.86,20,1,freshbrack,cine,27
NA,Carassius auratus,mn_mg,0.23,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),temperate,benthopelagic,fusiform / normal,whole,-1.4696759700589417,3.871201010907891,2.86,20,1,freshbrack,cine,27
NA,Carassius auratus,mn_mg,0.23,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),subtropical,benthopelagic,fusiform / normal,whole,-1.4696759700589417,3.871201010907891,2.86,20,1,freshbrack,cine,27
NA,Carassius auratus,mn_mg,0.23,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),tropical,benthopelagic,fusiform / normal,whole,-1.4696759700589417,3.871201010907891,2.86,20,1,freshbrack,cine,27
NA,Carassius auratus,mg_mg,69,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),temperate,benthopelagic,fusiform / normal,muscle,4.23410650459726,3.871201010907891,2.86,20,1,freshbrack,cine,27
NA,Carassius auratus,mg_mg,69,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),subtropical,benthopelagic,fusiform / normal,muscle,4.23410650459726,3.871201010907891,2.86,20,1,freshbrack,cine,27
NA,Carassius auratus,mg_mg,69,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),tropical,benthopelagic,fusiform / normal,muscle,4.23410650459726,3.871201010907891,2.86,20,1,freshbrack,cine,27
NA,Catostominae,protein_g,17.7,NA,NA,NA,NA,NA,muscle,2.8735646395797834,NA,NA,NA,NA,NA,cine,27
NA,Catostominae,protein_g,15.1,NA,NA,NA,NA,NA,offal,2.714694743820879,NA,NA,NA,NA,NA,cine,27
NA,Catostominae,protein_g,20.6,NA,NA,NA,NA,NA,muscle,3.0252910757955354,NA,NA,NA,NA,NA,cine,40
NA,Catostominae,protein_g,21,NA,NA,NA,NA,NA,muscle,3.044522437723423,NA,NA,NA,NA,NA,cine,41
NA,Catostominae,fat_g,3.5,NA,NA,NA,NA,NA,muscle,1.252762968495368,NA,NA,NA,NA,NA,cine,27
NA,Catostominae,fat_g,8.4,NA,NA,NA,NA,NA,offal,2.128231705849268,NA,NA,NA,NA,NA,cine,27
NA,Catostominae,fat_g,1.8,NA,NA,NA,NA,NA,muscle,0.5877866649021191,NA,NA,NA,NA,NA,cine,40
NA,Catostominae,fat_g,1.8,NA,NA,NA,NA,NA,muscle,0.5877866649021191,NA,NA,NA,NA,NA,cine,41
NA,Catostomus catostomus,ca_mg,63.1,grazing on aquatic plants,plants/detritus+animals (troph. 2.2-2.79),temperate,demersal,fusiform / normal,muscle,4.144720769547168,4.1588830833596715,3.1099998950958248,180,4.6,freshbrack,cine,2
NA,Catostomus catostomus,zn_mg,0.5,grazing on aquatic plants,plants/detritus+animals (troph. 2.2-2.79),temperate,demersal,fusiform / normal,muscle,-0.6931471805599453,4.1588830833596715,3.1099998950958248,180,4.6,freshbrack,cine,2
NA,Catostomus catostomus,fe_mg,0.3,grazing on aquatic plants,plants/detritus+animals (troph. 2.2-2.79),temperate,demersal,fusiform / normal,muscle,-1.2039728043259361,4.1588830833596715,3.1099998950958248,180,4.6,freshbrack,cine,2
NA,Catostomus catostomus,protein_g,17.7,grazing on aquatic plants,plants/detritus+animals (troph. 2.2-2.79),temperate,demersal,fusiform / normal,muscle,2.8735646395797834,4.1588830833596715,3.1099998950958248,180,4.6,freshbrack,cine,2
NA,Catostomus catostomus,fat_g,1.2,grazing on aquatic plants,plants/detritus+animals (troph. 2.2-2.79),temperate,demersal,fusiform / normal,muscle,0.1823215567939546,4.1588830833596715,3.1099998950958248,180,4.6,freshbrack,cine,2
NA,Catostomus catostomus,mg_mg,21.8,grazing on aquatic plants,plants/detritus+animals (troph. 2.2-2.79),temperate,demersal,fusiform / normal,muscle,3.0819099697950434,4.1588830833596715,3.1099998950958248,180,4.6,freshbrack,cine,2
NA,Catostomus commersonii,ca_mg,70,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),temperate,demersal,fusiform / normal,muscle,4.248495242049359,4.174387269895637,2.46,NA,4,freshbrack,cine,13
NA,Catostomus commersonii,ca_mg,19.6,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),temperate,demersal,fusiform / normal,muscle,2.975529566236472,4.174387269895637,2.46,NA,4,freshbrack,cine,2
NA,Catostomus commersonii,zn_mg,0.75,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),temperate,demersal,fusiform / normal,muscle,-0.2876820724517809,4.174387269895637,2.46,NA,4,freshbrack,cine,13
NA,Catostomus commersonii,zn_mg,0.3,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),temperate,demersal,fusiform / normal,muscle,-1.2039728043259361,4.174387269895637,2.46,NA,4,freshbrack,cine,2
NA,Catostomus commersonii,fe_mg,1.3,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),temperate,demersal,fusiform / normal,muscle,0.26236426446749106,4.174387269895637,2.46,NA,4,freshbrack,cine,13
NA,Catostomus commersonii,fe_mg,0.2,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),temperate,demersal,fusiform / normal,muscle,-1.6094379124341003,4.174387269895637,2.46,NA,4,freshbrack,cine,2
NA,Catostomus commersonii,protein_g,16.7,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),temperate,demersal,fusiform / normal,muscle,2.8154087194227095,4.174387269895637,2.46,NA,4,freshbrack,cine,13
NA,Catostomus commersonii,protein_g,17.7,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),temperate,demersal,fusiform / normal,muscle,2.8735646395797834,4.174387269895637,2.46,NA,4,freshbrack,cine,27
NA,Catostomus commersonii,protein_g,18.4,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),temperate,demersal,fusiform / normal,muscle,2.91235066461494,4.174387269895637,2.46,NA,4,freshbrack,cine,2
NA,Catostomus commersonii,protein_g,16,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),temperate,demersal,fusiform / normal,whole,2.772588722239781,4.174387269895637,2.46,NA,4,freshbrack,cine,27
NA,Catostomus commersonii,protein_g,16.9,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),temperate,demersal,fusiform / normal,muscle,2.8273136219290276,4.174387269895637,2.46,NA,4,freshbrack,cine,56
NA,Catostomus commersonii,fat_g,2.32,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),temperate,demersal,fusiform / normal,muscle,0.8415671856782185,4.174387269895637,2.46,NA,4,freshbrack,cine,13
NA,Catostomus commersonii,fat_g,1.5,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),temperate,demersal,fusiform / normal,muscle,0.4054651081081644,4.174387269895637,2.46,NA,4,freshbrack,cine,27
