ref_info,seanuts_id2,food_name_clean,species_name,nutrient,concentration,subgroup,abs_lat,latitude.x,bulk_mean_length,bulk_max_length,bulk_trophic_level,feeding_mode,feeding_level,anacat,country_region,updated_ref_info,location,latitude_details,latitude.y,longitude,weight_from_study_g,length_from_study,X13,abs_lat2,log_length,log_concentration,reference
"Musaiger A.O., Al-Rumaidh M.J. (2005). Proximate and mineral composition of crab meat consumed in Bahrain. International Journal of Food Sciences and Nutrition 56(4): 231-235",60,Crab_wild_male_meat_raw,Portunus pelagicus,protein,19.8,crustacean,26.0667,26.0667,14,18.2,3.58,variable,mainly animals (troph. 2.8 and up),non-migratory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9014215940827497,2.9856819377004897,"Musaiger A.O., Al-Rumaidh M.J. (2005). Proximate and mineral composition of crab meat consumed in Bahrain. International Journal of Food Sciences and Nutrition 56(4): 231-235"
"Musaiger A.O., Al-Rumaidh M.J. (2005). Proximate and mineral composition of crab meat consumed in Bahrain. International Journal of Food Sciences and Nutrition 56(4): 231-235",61,Crab_wild_female_meat_raw,Portunus pelagicus,protein,19.8,crustacean,26.0667,26.0667,14,18.2,3.58,variable,mainly animals (troph. 2.8 and up),non-migratory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9014215940827497,2.9856819377004897,"Musaiger A.O., Al-Rumaidh M.J. (2005). Proximate and mineral composition of crab meat consumed in Bahrain. International Journal of Food Sciences and Nutrition 56(4): 231-235"
"Tanamati A., Stevanato F.B., Visentainer J.E.L., Matsushita M., de Souza N.E., Visentainer J.V. (2009). Fatty acid composition in wild and cultivated pacu and pintado fish. Eur. J. Lipid Sci. Technol. 111:183-187",976,Pintado_wild_muscle_tissue_raw,Pseudoplatystoma corruscans,protein,20,finfish,16.837027,-16.837027,166,166,4.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.111987788356544,2.995732273553991,"Tanamati A., Stevanato F.B., Visentainer J.E.L., Matsushita M., de Souza N.E., Visentainer J.V. (2009). Fatty acid composition in wild and cultivated pacu and pintado fish. Eur. J. Lipid Sci. Technol. 111:183-187"
"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427",68,Zander_wild_fillet_frozen,Sander lucioperca,protein,18.3,finfish,37.866667,37.866667,100,100,4.04,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.605170185988092,2.9069010598473755,"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427"
"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427",73,Zander_wild_fillet_frozen,Sander lucioperca,protein,17.73,finfish,37,37,100,100,4.04,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.605170185988092,2.8752581200861167,"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427"
"Oliveira A.C.M., Bechtel P.J. (2005). Lipid analysis of fillets from giant grenadier (Albatrossia pectoralis), arrow-tooth flounder (Atheresthes stomias), pacivic cod (Gadus macrocephalus) and walleye pollock (Theragra chalcogramma). Journal of Muscle Foods 17:20-33",291,Giant_grenadier_wild_fillets_raw,Albatrossia pectoralis,fapun_all_g,0.062072059,finfish,57.79,57.79,210,210,3.86,variable,mainly animals (troph. 2.8 and up),non-migratory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3471075307174685,-2.7794593268818546,"Oliveira A.C.M., Bechtel P.J. (2005). Lipid analysis of fillets from giant grenadier (Albatrossia pectoralis), arrow-tooth flounder (Atheresthes stomias), pacivic cod (Gadus macrocephalus) and walleye pollock (Theragra chalcogramma). Journal of Muscle Foods 17:20-33"
"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475",292,African_threadfish_wild_fillet_raw,Alectis alexandrina,fapun_all_g,0.235890952,finfish,37.370157,37.370157,92.5,70,3.6,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.248495242049359,-1.4443856485393578,"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475"
"Güner S., Dincer B., Alemdag N., Colak A., Tüfekci M. (1998). Proximate composition and selected mineral content of commercially important fish species from the Black Sea. J Sci Food Agri 78: 337-342",295,Shad_marine_water_raw_wild_edible_part_raw,Alosa alosa,fapun_all_g,3.450331741,finfish,42.163403,42.163403,68.75,68,3.62,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),anadromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.219507705176107,1.2384703832320927,"Güner S., Dincer B., Alemdag N., Colak A., Tüfekci M. (1998). Proximate composition and selected mineral content of commercially important fish species from the Black Sea. J Sci Food Agri 78: 337-342"
"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8",312,Climbing_perch_wild_boneless_skinless_fillet_raw,Anabas testudineus,fapun_all_g,0.362543148,finfish,15.116386,15.116386,25,25,2.76,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2188758248682006,-1.0146117828052756,"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8"
"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8",313,Climbing_perch_wild_boneless_skinless_fillet_raw,Anabas testudineus,fapun_all_g,0.334751296,finfish,15.190255,15.190255,25,25,2.76,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2188758248682006,-1.0943674228724198,"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8"
"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8",314,Climbing_perch_wild_boneless_skinless_fillet_raw,Anabas testudineus,fapun_all_g,0.214840384,finfish,14.761942,14.761942,25,25,2.76,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2188758248682006,-1.5378599265698234,"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8"
"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",1964,Koi,Anabas testudineus,fapun_all_g,1.9,finfish,23.81,NA,25,25,2.76,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),potamodromous,Mymensingh,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2188758248682006,0.6418538861723947,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
"Reykdal Ó., Jörundsdóttir H.Ó., Desnica N., Hauksdóttir S., Ragnarsdóttir Þ., Vrac A., Gunnlaugsdóttir H., Pálmadóttir H. (2011). Nutrient value of seafoods – Proximates, minerals, trace elements and fatty acids in products. Matis Report 33-11. ISSN 1670-7192. (In Icelandic with English summary).",317,Wolf-fish_wild_fillet_raw,Anarhichas lupus,fapun_all_g,0.513243171,finfish,63.968654,63.968654,150,150,3.73,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0106352940962555,-0.6670055285783336,"Reykdal Ó., Jörundsdóttir H.Ó., Desnica N., Hauksdóttir S., Ragnarsdóttir Þ., Vrac A., Gunnlaugsdóttir H., Pálmadóttir H. (2011). Nutrient value of seafoods – Proximates, minerals, trace elements and fatty acids in products. Matis Report 33-11. ISSN 1670-7192. (In Icelandic with English summary)."
"Reykdal Ó., Jörundsdóttir H.Ó., Desnica N., Hauksdóttir S., Ragnarsdóttir Þ., Vrac A., Gunnlaugsdóttir H., Pálmadóttir H. (2011). Nutrient value of seafoods – Proximates, minerals, trace elements and fatty acids in products. Matis Report 33-11. ISSN 1670-7192. (In Icelandic with English summary).",318,Wolf-fish_wild_fillet_raw,Anarhichas lupus,fapun_all_g,0.371301426,finfish,63.968654,63.968654,150,150,3.73,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0106352940962555,-0.9907410772462837,"Reykdal Ó., Jörundsdóttir H.Ó., Desnica N., Hauksdóttir S., Ragnarsdóttir Þ., Vrac A., Gunnlaugsdóttir H., Pálmadóttir H. (2011). Nutrient value of seafoods – Proximates, minerals, trace elements and fatty acids in products. Matis Report 33-11. ISSN 1670-7192. (In Icelandic with English summary)."
"Reykdal Ó., Jörundsdóttir H.Ó., Desnica N., Hauksdóttir S., Ragnarsdóttir Þ., Vrac A., Gunnlaugsdóttir H., Pálmadóttir H. (2011). Nutrient value of seafoods – Proximates, minerals, trace elements and fatty acids in products. Matis Report 33-11. ISSN 1670-7192. (In Icelandic with English summary).",319,Wolf-fish_wild_fillet_raw,Anarhichas lupus,fapun_all_g,0.381199645,finfish,63.968654,63.968654,150,150,3.73,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0106352940962555,-0.9644320384721984,"Reykdal Ó., Jörundsdóttir H.Ó., Desnica N., Hauksdóttir S., Ragnarsdóttir Þ., Vrac A., Gunnlaugsdóttir H., Pálmadóttir H. (2011). Nutrient value of seafoods – Proximates, minerals, trace elements and fatty acids in products. Matis Report 33-11. ISSN 1670-7192. (In Icelandic with English summary)."
"Otwell W.S., Rickards W.L. (1981/1982). Cultured and wild American eels, Anguilla rostrata: fat content and fatty acid composition. Aquaculture 26: 67-76",324,American_eel_wild_skinless_muscle_tissue_raw,Anguilla rostrata,fapun_all_g,0.88632,finfish,35.131275,35.131275,152,152,3.62,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),catadromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0238805208462765,-0.1206772197697196,"Otwell W.S., Rickards W.L. (1981/1982). Cultured and wild American eels, Anguilla rostrata: fat content and fatty acid composition. Aquaculture 26: 67-76"
"Wander R.C., Patton B.D. (1991) Lipids and fatty acids of three species of Northeast Pacific finfish harvested in summer. Journal of Food Composition and Analysis, 4, 128-135",325,Sablefish_wild_boneless_skinless_fillet_raw,Anoplopoma fimbria,fapun_all_g,1.1,finfish,45.9053,45.9053,117.25,98,4.11,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.584967478670572,0.09531017980432493,"Wander R.C., Patton B.D. (1991) Lipids and fatty acids of three species of Northeast Pacific finfish harvested in summer. Journal of Food Composition and Analysis, 4, 128-135"
"Bandarra N.M., Batista I., Nunes M.L. (2009). Chemical composition and nutritional value of raw and cooked black scabbardfish (Aphanopus carbo). Scientia Marina 73(S2): 105-113",218,Black_scabbardfish_wild_skinless_fillets_raw,Aphanopus carbo,fapun_all_g,0.2348,finfish,38.444217,38.444217,110,110,4.48,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.700480365792417,-1.4490211910281956,"Bandarra N.M., Batista I., Nunes M.L. (2009). Chemical composition and nutritional value of raw and cooked black scabbardfish (Aphanopus carbo). Scientia Marina 73(S2): 105-113"
"Bandarra N.M., Batista I., Nunes M.L. (2009). Chemical composition and nutritional value of raw and cooked black scabbardfish (Aphanopus carbo). Scientia Marina 73(S2): 105-113",234,Black_scabbardfish_wild_skinless_fillets_raw,Aphanopus carbo,fapun_all_g,0.20822145,finfish,38.444217,38.444217,110,110,4.48,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.700480365792417,-1.5691531021714764,"Bandarra N.M., Batista I., Nunes M.L. (2009). Chemical composition and nutritional value of raw and cooked black scabbardfish (Aphanopus carbo). Scientia Marina 73(S2): 105-113"
"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631",327,silver_rag_wild_fillet_frozen,Ariomma bondi,fapun_all_g,2.75684643,finfish,25.304304,25.304304,30,30,3.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4011973816621555,1.0140874286404173,"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631"
"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631",328,silver_rag_wild_fillet_frozen,Ariomma bondi,fapun_all_g,2.4245312,finfish,25.304304,25.304304,30,30,3.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4011973816621555,0.8856381861131776,"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631"
"Oliveira A.C.M., Bechtel P.J. (2005). Lipid analysis of fillets from giant grenadier (Albatrossia pectoralis), arrow-tooth flounder (Atheresthes stomias), pacivic cod (Gadus macrocephalus) and walleye pollock (Theragra chalcogramma). Journal of Muscle Foods 17:20-33",353,Arrow-tooth_flounder_wild_fillets_raw,Atheresthes stomias,fapun_all_g,0.853356147,finfish,57.79,57.79,82.125,69,4.010000229,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.23410650459726,-0.15857829576838112,"Oliveira A.C.M., Bechtel P.J. (2005). Lipid analysis of fillets from giant grenadier (Albatrossia pectoralis), arrow-tooth flounder (Atheresthes stomias), pacivic cod (Gadus macrocephalus) and walleye pollock (Theragra chalcogramma). Journal of Muscle Foods 17:20-33"
