sciname,Genus,Species,SpeciesRefNo,Author,FBname,PicPreferredName,PicPreferredNameM,PicPreferredNameF,PicPreferredNameJ,FamCode,Subfamily,GenCode,SubGenCode,BodyShapeI,Source,AuthorRef,Remark,TaxIssue,Fresh,Brack,Saltwater,DemersPelag,AnaCat,MigratRef,DepthRangeShallow,DepthRangeDeep,DepthRangeRef,DepthRangeComShallow,DepthRangeComDeep,DepthComRef,LongevityWild,LongevityWildRef,LongevityCaptive,LongevityCapRef,Vulnerability,Length,LTypeMaxM,LengthFemale,LTypeMaxF,MaxLengthRef,CommonLength,LTypeComM,CommonLengthF,LTypeComF,CommonLengthRef,Weight,WeightFemale,MaxWeightRef,Pic,PictureFemale,LarvaPic,EggPic,ImportanceRef,Importance,PriceCateg,PriceReliability,Remarks7,LandingStatistics,Landings,MainCatchingMethod,II,MSeines,MGillnets,MCastnets,MTraps,MSpears,MTrawls,MDredges,MLiftnets,MHooksLines,MOther,UsedforAquaculture,LifeCycle,AquacultureRef,UsedasBait,BaitRef,Aquarium,AquariumFishII,AquariumRef,GameFish,GameRef,Dangerous,DangerousRef,Electrogenic,ElectroRef,Complete,GoogleImage,Comments,Profile,PD50,Emblematic,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS,SpecCode
Barbonymus altus,Barbonymus,altus,27732,"(Günther, 1868)",Red tailed tinfoil,Baalt_u0.jpg,NA,NA,NA,122,Cyprininae,3490,NA,fusiform / normal,o,NA,NA,0,-1,0,0,benthopelagic,potamodromous,51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.41,20.0,SL,NA,NA,30857,15.0,SL,NA,NA,12693,NA,NA,NA,PUALT_U0,NA,NA,NA,37772,minor commercial,unknown,NA,NA,NA,NA,NA,NA,-1,-1,0,-1,0,0,0,0,0,0,commercial,NA,12693,never/rarely,NA,commercial,based mainly on capture,6459,0,NA,harmless,NA,no special ability,NA,NA,-1,"Occurs at midwater depths in large and medium-sized rivers and floodplains.  Feeds on various plant and animal matter.  Commonly found near villages where it feeds on organic detritus disposed of by humans (Ref. 12693).  Reported to be occasionally poisonous, causing vomiting, due the fruits it eats (Ref. 12369).  Colonizes inundated forests and adults migrate back to the river in October.  Young of the year follow thereafter when the water levels recede.  Large-sized  fish are marketed fresh while smaller ones are used to make prahoc and nuoc mam (Ref. 12693).  Popular fish in the aquarium trade where it is sold under the name of ""tinfoil barb"" (Ref. 12693).  Captured from the wild for the ornamental fish trade in Thailand (Ref. 6459).  Cultured in floating cages in Viet Nam (Ref. 12693).",NA,0.5312,0,18,1993-07-29T00:00:00.000Z,303,2009-04-29T00:00:00.000Z,10,2001-08-07T00:00:00.000Z,NA,8171
Puntioplites proctozystron,Puntioplites,proctozystron,12693,"(Bleeker, 1865)",NA,Pupro_u0.gif,NA,NA,NA,122,No subfamily,10573,NA,fusiform / normal,O,NA,NA,0,-1,0,0,benthopelagic,potamodromous,51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.36,30.0,TL,NA,NA,4792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12693,commercial,unknown,NA,NA,NA,NA,,,-1,-1,0,-1,0,0,0,0,0,0,never/rarely,,NA,never/rarely,NA,never/rarely,,NA,0,NA,harmless,NA,no special ability,NA,NA,-1,"Inhabits large, slow flowing rivers (Ref. 43281).  Commonly found in standing and slowly moving water of streams, canal, ditches and reservoirs.  Moves into flooded forests and marshes during high water periods.  Usually occurs around submerged aquatic or inundated terrestrial vegetation where it consumes some algae but mostly insects and zooplankton.  Larger fish are marketed fresh while smaller ones are used to make prahoc along the Tonlé Sap, Cambodia (Ref. 12693).  Reaches more than 30 cm in length (Ref. 4792).",NA,0.5625,0,34,1996-01-12T00:00:00.000Z,1,2005-12-20T00:00:00.000Z,10,2001-06-06T00:00:00.000Z,NA,16203
Rasbora tornieri,Rasbora,tornieri,7050,"Ahl, 1922",Yellowtail rasbora,Rator_u0.gif,NA,NA,NA,122,Danioninae,2912,NA,elongated,O,NA,NA,0,-1,0,0,benthopelagic,non-migratory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.22,17.0,SL,NA,NA,30857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12693,minor commercial,unknown,NA,NA,NA,NA,NA,NA,-1,0,-1,-1,0,0,0,0,0,-1,never/rarely,NA,NA,never/rarely,NA,never/rarely,NA,NA,0,NA,harmless,NA,no special ability,NA,NA,-1,"Occur in streams, canals and ditches in lowland floodplains.  Usually found right at the water surface and is easily recognized by the broad black margin on the bright yellow caudal fin.  Feed on exogenous insects (Ref. 12693).  Spawning sites are found in rivers and ponds (Ref. 33813).  Mature adults probably breed during the rainy season.   Occasionally seen in fish markets (Ref. 12693).",NA,0.5,0,97,1996-05-10T00:00:00.000Z,2,2007-02-20T00:00:00.000Z,10,2001-08-07T00:00:00.000Z,NA,22832
Esomus danricus,Esomus,danricus,4832,"(Hamilton, 1822)",Flying barb,Esdan_u0.jpg,NA,NA,NA,122,Danioninae,2945,NA,fusiform / normal,O,NA,NA,0,-1,-1,0,benthopelagic,potamodromous,51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.99,13.0,TL,NA,NA,6398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,minor commercial,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,commercial,based mainly on capture,4537,0,NA,harmless,NA,no special ability,NA,NA,-1,"Adults occur in ponds, weedy ditches (Ref. 4832) and irrigation canals (Ref. 41236).",NA,0.5002,0,2,1992-03-03T00:00:00.000Z,2,2012-05-14T00:00:00.000Z,3,1994-08-07T00:00:00.000Z,NA,5150
Amblypharyngodon mola,Amblypharyngodon,mola,41236,"(Hamilton, 1822)",Mola carplet,Ammol_u0.jpg,NA,NA,NA,122,Danioninae,4514,NA,fusiform / normal,O,NA,NA,0,-1,0,0,benthopelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.65,20.0,TL,NA,NA,41236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4832,of no interest,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,never/rarely,NA,NA,never/rarely,NA,never/rarely,NA,NA,0,NA,harmless,NA,no special ability,NA,NA,-1,"Adults are found in ponds, canals, beels, slow-moving streams, nullahs and paddy fields (Ref. 41236).  Development of oocytes is asynchronous, are fractional spawners (Ref. 94282).",NA,0.5312,0,10,1996-07-08T00:00:00.000Z,2,2013-11-08T00:00:00.000Z,10,2002-12-05T00:00:00.000Z,NA,24301
Puntius sophore,Puntius,sophore,41236,"(Hamilton, 1822)",Pool barb,Pusop_u1.jpg,NA,NA,NA,122,Barbinae,3941,NA,fusiform / normal,O,NA,NA,0,-1,-1,0,benthopelagic,amphidromous,51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.81,20.0,NG,NA,NA,94495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,-1,0,0,0,0,0,0,0,never/rarely,NA,NA,never/rarely,NA,public aquariums,based mainly on capture,4537,0,NA,harmless,NA,no special ability,NA,NA,-1,"Adults inhabit rivers, streams and ponds in plains and submontane regions (Ref. 41236).  Collected from a large river with high turbid monsoon flow and with diverse substrate consisting of sand, mud, gravel, pebble, cobble, and boulders (Ref. 85713).  A very plentiful shoaling fish.  They remain small in domestic aquaria and become mature at 7 to 8 cm (Ref. 4832).",NA,0.5,0,14,1994-05-12T00:00:00.000Z,2,2015-10-05T00:00:00.000Z,3,1994-08-10T00:00:00.000Z,NA,10137
Parachela siamensis,Parachela,siamensis,12693,"(Günther, 1868)",NA,Pasia_u0.gif,NA,NA,NA,122,ex-danioninae,2389,NA,elongated,O,NA,NA,0,-1,0,0,pelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.68,15.0,SL,NA,NA,57235,8.0,SL,NA,NA,57235,NA,NA,NA,NA,NA,NA,NA,12693,commercial,unknown,NA,NA,NA,NA,NA,NA,-1,0,-1,-1,0,0,0,0,0,-1,never/rarely,NA,NA,never/rarely,NA,never/rarely,NA,NA,0,NA,harmless,NA,no special ability,NA,NA,-1,Occurs in lowland rivers including streams adjacent to the peat areas (Ref. 57235).  Found at the surface in large rivers and lakes.  At high water it moves into the flooded forest.  Usually occurs together with <i>P. oxygastroides</i> and <i>P. williaminae</i>.  Used to make prohac (Ref. 12693).,NA,0.5078,0,10,1997-05-28T00:00:00.000Z,1472,2006-08-14T00:00:00.000Z,NA,NA,NA,27043
Esomus longimanus,Esomus,longimanus,12693,"(Lunel, 1881)",Mekong flying barb,Eslon_u1.jpg,NA,NA,NA,122,Danioninae,2945,NA,elongated,O,NA,NA,0,-1,0,0,benthopelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.69,8.0,SL,NA,NA,43281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12693,commercial,unknown,NA,NA,NA,NA,NA,NA,-1,0,-1,-1,0,0,0,0,0,-1,never/rarely,NA,NA,never/rarely,NA,commercial,NA,12559,0,NA,harmless,NA,no special ability,NA,NA,-1,"Usually found in ditches, canals and ponds often in areas with extensive growth of submerged aquatic plants (Ref. 12693).  Encountered mainly in stagnant water bodies including sluggish flowing canals as well as in medium to large rivers of the middle Mekong (Ref. 12975).  Feeds on zooplankton and insects.  Sometimes sold fresh and used to make prahoc (Ref. 12693).",NA,0.5002,0,10,1997-06-04T00:00:00.000Z,97,2008-07-31T00:00:00.000Z,10,2001-08-02T00:00:00.000Z,NA,27062
Trachurus trachurus,Trachurus,trachurus,4233,"(Linnaeus, 1758)",Atlantic horse mackerel,Trtra_u6.jpg,NA,NA,NA,314,Caranginae,3831,NA,fusiform / normal,R,NA,NA,0,0,0,-1,pelagic-neritic,oceanodromous,51243,0,1050,54256,100,200,54256,NA,NA,NA,NA,58.94,70.0,TL,NA,NA,3197,22.0,FL,NA,NA,3397,2e3,NA,27584,TRTRA_U3,NA,TRTRA_L0,NA,4931,highly commercial,medium,Reliable: based on ex-vessel price for this species,NA,"from 100,000 to 500,000","mainly area 27 (225000 t), 47 (480000 t)",seines,NA,0,-1,0,0,0,-1,0,0,-1,-1,never/rarely,NA,NA,usually,12484,never/rarely,NA,NA,-1,171,harmless,NA,no special ability,NA,NA,-1,"Adults form large schools in coastal areas with sandy substrate.  They feed on fish, crustaceans, and cephalopods.  Are batch spawners (Ref. 51846).  Females lay 140,000 eggs, which hatch into 5mm long larvae (Ref. 35388).  Eggs are pelagic (Ref. 4233).  Utilized fresh, smoked, canned and frozen; can be fried, broiled and baked (Ref. 9988).  Divided into two stocks:  West stock and North Sea stock.  West stock spawns in a belt from the Biscay to Ireland in early spring, migrates north and eastwards to southern Norway and northern North Sea.  North Sea stock spawns in the southern North Sea in summer, migrates to central North Sea, Skagerrak and Kattegat.",NA,0.5001,0,2,1990-10-17T00:00:00.000Z,303,2013-07-12T00:00:00.000Z,18,1994-09-05T00:00:00.000Z,NA,1365
Tilapia pra,Tilapia,pra,84667,"Dunz & Schliewen, 2010",NA,NA,NA,NA,NA,349,Pseudocrenilabrinae,7476,NA,NA,O,NA,NA,0,-1,0,0,benthopelagic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.76,12.69,SL,NA,NA,84667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,,,0,0,0,0,0,0,0,0,0,0,never/rarely,,NA,never/rarely,NA,never/rarely,,NA,0,NA,harmless,NA,no special ability,NA,NA,-1,"In the Anum River (5-20 m wide and about 1-2 m deep) near Anumso village, specimens were mostly found over sandy or muddy substrate; in Ankobra (Draw) drainage, samples were collected in moderately turbid water in deeper places (about 1-2 m depth) of medium-sized rivers (Ref. 84667).",NA,0.5,0,10,2010-07-28T00:00:00.000Z,2304,2014-11-06T21:55:51.000Z,NA,NA,NA,65621
