"","unique_paper","subgroup","species_name","nutrient","concentration1","concentration","dri_per","ref_info","ref_number","Authors","Title","Publication","Volume","Number","Pages","Year","Publisher","notes"
"11","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Leporinus friderici","epa",0.031878146,0.031878146,3.1878146,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"12","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Leporinus friderici","fat",2.6,2.6,3.71428571428571,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"13","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Megalancistrus parananus","dha",0.022009598,0.022009598,2.2009598,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"14","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Megalancistrus parananus","fat",0.7,0.7,1,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"15","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Oreochromis niloticus","dha",0.023938598,0.023938598,2.3938598,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"16","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Oreochromis niloticus","epa",0.050246702,0.050246702,5.0246702,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"17","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Oreochromis niloticus","fat",2.86,2.86,4.08571428571429,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"18","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Piaractus mesopotamicus","epa",0.235237848,0.235237848,23.5237848,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"19","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Piaractus mesopotamicus","fat",18.31,18.31,26.1571428571429,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"20","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Pimelodus maculatus","dha",0.09556534,0.09556534,9.556534,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"21","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Pimelodus maculatus","fat",5.5,5.5,7.85714285714286,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"22","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Pinirampus pirinampu","dha",0.682588052,0.682588052,68.2588052,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"23","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Pinirampus pirinampu","epa",0.284944427,0.284944427,28.4944427,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"24","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Pinirampus pirinampu","fat",19.75,19.75,28.2142857142857,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"25","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Plagioscion squamosissimus","dha",0.052228263,0.052228263,5.2228263,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"26","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Plagioscion squamosissimus","epa",0.058739117,0.058739117,5.8739117,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"27","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Plagioscion squamosissimus","fat",0.69,0.69,0.985714285714286,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"28","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Prochilodus lineatus","dha",0.188807397,0.188807397,18.8807397,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"29","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Prochilodus lineatus","epa",0.040009546,0.040009546,4.0009546,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"30","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Prochilodus lineatus","fat",3.68,3.68,5.25714285714286,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"31","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Pseudoplatystoma corruscans","dha",0.079957398,0.079957398,7.9957398,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"32","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Pseudoplatystoma corruscans","epa",0.045230278,0.045230278,4.5230278,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"33","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Pseudoplatystoma corruscans","fat",1.27,1.27,1.81428571428571,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"34","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Pterodoras granulosus","dha",0.327263527,0.327263527,32.7263527,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"35","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Pterodoras granulosus","fat",3.18,3.18,4.54285714285714,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"36","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Salminus brasiliensis","dha",0.048411624,0.048411624,4.8411624,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"37","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Salminus brasiliensis","epa",0.032706129,0.032706129,3.2706129,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"38","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Salminus brasiliensis","fat",0.88,0.88,1.25714285714286,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"39","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Salmus sp.","dha",0.691720662,0.691720662,69.1720662,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"40","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Salmus sp.","epa",0.098050685,0.098050685,9.8050685,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"41","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Salmus sp.","fat",6.42,6.42,9.17142857142857,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"42","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Serrasalmus emarginatus","dha",0.018318792,0.018318792,1.8318792,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"43","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Serrasalmus emarginatus","epa",0.005896797,0.005896797,0.5896797,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"44","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Serrasalmus emarginatus","fat",0.7,0.7,1,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"45","A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch Sander lucioperca (L.)_European Food Research and Technology","finfish","Sander lucioperca","dha",0.109269,0.109269,10.9269,"Jankowska B., Zakęś Z., Żmijewski T., Szczepkowski M. (2003) A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch (Sander lucioperca). Eur Food Res Technol 217: 401-405",68,"Jankowska, Barbara; Zak__, Zdzis_aw; _mijewski, Tomasz; Szczepkowski, Miros_aw;","A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch Sander lucioperca (L.)","European Food Research and Technology","217","5","401-405",2003,"Springer",NA
"46","A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch Sander lucioperca (L.)_European Food Research and Technology","finfish","Sander lucioperca","epa",0.033573,0.033573,3.3573,"Jankowska B., Zakęś Z., Żmijewski T., Szczepkowski M. (2003) A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch (Sander lucioperca). Eur Food Res Technol 217: 401-405",68,"Jankowska, Barbara; Zak__, Zdzis_aw; _mijewski, Tomasz; Szczepkowski, Miros_aw;","A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch Sander lucioperca (L.)","European Food Research and Technology","217","5","401-405",2003,"Springer",NA
"47","A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch Sander lucioperca (L.)_European Food Research and Technology","finfish","Sander lucioperca","fat",0.95,0.95,1.35714285714286,"Jankowska B., Zakęś Z., Żmijewski T., Szczepkowski M. (2003) A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch (Sander lucioperca). Eur Food Res Technol 217: 401-405",68,"Jankowska, Barbara; Zak__, Zdzis_aw; _mijewski, Tomasz; Szczepkowski, Miros_aw;","A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch Sander lucioperca (L.)","European Food Research and Technology","217","5","401-405",2003,"Springer",NA
"48","A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch Sander lucioperca (L.)_European Food Research and Technology","finfish","Sander lucioperca","protein",18.01,18.01,36.02,"Jankowska B., Zakęś Z., Żmijewski T., Szczepkowski M. (2003) A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch (Sander lucioperca). Eur Food Res Technol 217: 401-405",68,"Jankowska, Barbara; Zak__, Zdzis_aw; _mijewski, Tomasz; Szczepkowski, Miros_aw;","A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch Sander lucioperca (L.)","European Food Research and Technology","217","5","401-405",2003,"Springer",NA
"49","A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions_Food chemistry","finfish","Sander lucioperca","dha",0.005952012,0.005952012,0.5952012,"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641",32,"_elik, Mehmet; Diler, Abdullah; K»»kg»lmez, Ayg»l;","A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions","Food chemistry","92","4","637-641",2005,"Elsevier",NA
"50","A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions_Food chemistry","finfish","Sander lucioperca","dha",0.00835193,0.00835193,0.835193,"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641",32,"_elik, Mehmet; Diler, Abdullah; K»»kg»lmez, Ayg»l;","A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions","Food chemistry","92","4","637-641",2005,"Elsevier",NA
"51","A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions_Food chemistry","finfish","Sander lucioperca","epa",0.00251029,0.00251029,0.251029,"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641",32,"_elik, Mehmet; Diler, Abdullah; K»»kg»lmez, Ayg»l;","A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions","Food chemistry","92","4","637-641",2005,"Elsevier",NA
"52","A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions_Food chemistry","finfish","Sander lucioperca","epa",0.002842752,0.002842752,0.2842752,"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641",32,"_elik, Mehmet; Diler, Abdullah; K»»kg»lmez, Ayg»l;","A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions","Food chemistry","92","4","637-641",2005,"Elsevier",NA
"53","A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions_Food chemistry","finfish","Sander lucioperca","fat",0.1,0.1,0.142857142857143,"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641",32,"_elik, Mehmet; Diler, Abdullah; K»»kg»lmez, Ayg»l;","A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions","Food chemistry","92","4","637-641",2005,"Elsevier",NA
"54","A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions_Food chemistry","finfish","Sander lucioperca","fat",0.12,0.12,0.171428571428571,"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641",32,"_elik, Mehmet; Diler, Abdullah; K»»kg»lmez, Ayg»l;","A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions","Food chemistry","92","4","637-641",2005,"Elsevier",NA
