ref_info,ref_number,Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,notes
"Belinsky et al, 1996",17,"Belinsky, DL; Kuhnlein, HV; Yeboah, F; Penn, AF; Chan, HM; ",Composition of fish consumed by the James Bay Cree,Journal of Food Composition and Analysis,9,2,148-162,1996,Elsevier,
"Bhuiyan A.K.M.A., Ratnayake W.M.N., Ackman R.G. (1986). Effect of smoking on the proximate composition of Atlantic mackerel (Scomber scombrus). Journal of Food Science 51(2): 327-329",18,"Bhuiyan, AKM Aminullah; Ratnayake, WMN; Ackman, RG; ",Effect of smoking on the proximate composition of Atlantic mackerel (Scomber scombrus),Journal of Food Science,51,2,327-329,1986,Wiley Online Library,
"Biandolino F., Portacci G., Prato E. (2010). Influence of natural diet on growth and biochemical composition of Octopus vulgaris Cuvier, 1797. Aqucult Int 18: 1163-1175",19,"Biandolino, Francesca; Portacci, Giuseppe; Prato, Ermelinda; ","Influence of natural diet on growth and biochemical composition of Octopus vulgaris Cuvier, 1797",Aquaculture international,18,6,1163-1175,2010,Springer,
"BilandÅ_iÑ_, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea.""‘_Journal of Food Composition and Analysis‘_45 (2016): 39-49.",20,"Biland_i_, Nina; Sedak, Marija; _alopek, Bruno; Zrn_i_, Snje_ana; Orai_, Dra_en; Beni_, Miroslav; D_afi_, Natalija; Ostoji_, Dijana Mi_eti_; Bogdanovi_, Tanja; Petri_evi_, Sandra; ",Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea,Journal of Food Composition and Analysis,45,,39-49,2016,Elsevier,
"Blanco Metzler A., Montero Campos M. (1992). Composicion quimico - nutricional de la carne de cambute, Strombus galeatus (Mesogastropodia: Strombidae). Rev. Biol. Trop. 40: 89 - 93",21,"Metzler, A Blanco; Campos, M Montero; ","ComposiciÑn quÕmico-nutricional de la carne de cambute, Strombus galeatus (Mesogastropoda: Strombidae)",Revista de BiologÕa Tropical,,,89-93,1992,,paperpile
"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",22,"Bogard, Jessica R; Thilsted, Shakuntala H; Marks, Geoffrey C; Wahab, Md Abdul; Hossain, Mostafa AR; Jakobsen, Jette; Stangoulis, James; ",Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes,Journal of Food Composition and Analysis,42,,120-133,2015,Elsevier,
"Bono G., Gai G., Peiretti P.G., Badalucco C., Brugiapaglia A., Siragusa G., Palmegiano G.B. (2012). Chemical and nutritional characterisation of the Central Mediterranean giant red shrimp (Aristaeomorpha foliacea): influence of trophic and geographical factors on flesh quality. Food Chemistry 130: 104-110",23,"Bono, G; Gai, Francesco; Peiretti, PG; Badalucco, C; Brugiapaglia, Alberto; Siragusa, G; Palmegiano, GB; ",Chemical and nutritional characterisation of the Central Mediterranean Giant red shrimp (Aristaeomorpha foliacea): Influence of trophic and geographical factors on flesh quality,Food Chemistry,130,1,104-110,2012,Elsevier,paperpile
"Bouriga N., Selmi S., Faure E., Trabelsi M. (2010). Biochemical composition of three Tunisian silverside (fish) populations caught in open sea, lagoon and island coasts. African Journal of Biotechnology 9(26): 4114-4119",24,"Bouriga, Nawzet; Selmi, Salah; Faure, Eric; Trabelsi, Monia; ","Biochemical composition of three Tunisian silverside (fish) populations caught in open sea, lagoon and island coasts",African Journal of Biotechnology,9,26,4114-4119,2010,,
"Bragagnolo N., Rodriguez-Amaya D.B. (2001). Total lipid, cholesterol, and fatty acids of farmed freshwater prawn (Macrobrachium rosenbergii) and wild marine shrimp (Penaeus brasiliensis, Penaeus schimitti, Xiphopenaeus kroyeri). Journal of Food Composition and Analysis 14: 359-369",25,"Bragagnolo, N; Rodriguez-Amaya, DB; ","Total lipid, cholesterol, and fatty acids of farmed freshwater prawn (Macrobrachium rosenbergii) and wild marine shrimp (Penaeus brasiliensis, Penaeus schimitti, Xiphopenaeus kroyeri)",Journal of Food Composition and Analysis,14,4,359-369,2001,Elsevier,
"Caponio F., Summo C., Bilancia M.T., DelCuratolo D., Lestingi A., Laudadio V. (2004). Nutritional value of the lipid fraction of sardines (Sardina pilchardus W.) as a function of total length and fishing period. Industrie Alimentari 43(442): 1295-1301",26,"Caponio, F; Summo, C; Bilancia, MT; Delcuratolo, D; Lestingi, A; Laudadio, V; ",Nutritional value of the lipid fraction of sardines (Sardinia pilchardus W.) as a function of total length and fishing period,Industrie Alimentari (Italy),,,,2004,,
"Carvalho A.F.U., Farias D.F., Barroso C.X., Sombra C.M.L., Silvino A.S., Menezes M.O.T., Soares M.O., Fernandes D.A.O., Gouveia S.T. (2007). Nutritive value of three organisms from mangrove ecosystem: Ucides cordatus (Linnaeus, 1763), Mytella sp. (Soot-Ryen, 1955) and Crassostrea rhizophorae (Guilding, 1828). Braz. J. Biol. 67(4): 787-788",27,"Carvalho, AFU; Farias, DF; Barroso, CX; Sombra, CML; Silvino, AS; Menezes, MOT; Soares, MO; Fernandes, DAO; Gouveia, ST; ","Nutritive value of three organisms from mangrove ecosystem: Ucides cordatus (Linnaeus, 1763), Mytella sp.(Soot-Ryen, 1955) and Crassostrea rhizophorae (Guilding, 1828)",Brazilian Journal of Biology,67,4,787-788,2007,SciELO Brasil,
"Castro-GonzÍçlez M.I., Ojeda A., Silncio J.L., Cassis L., Ledesma H., PÍ©rez-Gil F. (2004). Perfil lipÍ_dico de 25 pescados marinos mexicanos con especial Í©nfasis en sus Íçcidos grasos n-3 como components nutracÍ©uticos. Archivos Latinoamericanos de NutricÍ_on 54(3): 328-336",28,"Castro-Gonz_lez, Marêa Isabel; Ojeda, LQA; Silencio, MC; Cassis, QFB; Ledesma, QFB; P_rez-Gil, Fernando; ",Perfil lipêdico de 25 pescados marinos mexicanos con especial _nfasis en sus _cidos grasos n-3 como componentes nutrac_uticos,Archivos latinoamericanos de nutricion,54,3,328-336,2004,Archivos Latinoamericanos de Nutrici‹n,
"Castro-GonzÍçlez M.I., Silencio Barrita J.L., JuÍçrez Silva M.E., MontaÍ±o Benavides S., PÍ©rez-Gil Romo F. (1998). ComposiciÍ_n quÍ_mica de la fauna de acompaÍ±amiento del camarÍ_n de Veracruz (Golfo de MÍ©xico). Revista de BiologÍ_a Tropical 46(2): 249-256",29,"Castro-Gonz_lez, Marêa Isabel; Silencio Barrita, Jose Luis; Ju_rez Silva, Maria Eugenia; Monta_o Benavides, Sara; P_rez-Gil Romo, Fernando; ",Composici‹n quêmica de la fauna de acompa_amiento del camar‹n de Veracruz (Golfo de M_xico),Revista de Biologêa Tropical,46,2,249-256,1998,http://creativecommons. org/licenses/by/3.0,
"Caula F.C.B., de Oliveira M.P., Maiaa E.L. (2008). Teor de colesterol e composiÍ_Í£o centesimal de algumas especies de peixes do estado do CearÍç. CiÍ_ncia e Tecnologia de Alimentos 28(4): 959-963",30,"Caula, Francisco Charles Barros; Oliveira, Maria Petronêlia de; Maia, Everardo Lima; ",Teor de colesterol e composiç o centesimal de algumas esp_cies de peixes do estado do Cearö,Food Science and Technology,28,4,959-963,2008,SciELO Brasil,
Celik M. (2008). Seasonal changes in the proximate chemical composition and fatty acids of chub mackerel (Scomber japonicus) and horse mackerel (Trachurus trachurus) from the north eastern Mediterranean Sea. International Journal of Food Science and Technology 43: 933-938,31,"Celik, Mehmet; ",Seasonal changes in the proximate chemical compositions and fatty acids of chub mackerel (Scomber japonicus) and horse mackerel (Trachurus trachurus) from the north eastern Mediterranean Sea,International journal of food science & technology,43,5,933-938,2008,Wiley Online Library,
"Celik M., Diler A., KÍ_Í_Í_kgÍ_lmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641",32,"_elik, Mehmet; Diler, Abdullah; Kªçªkgªlmez, Aygªl; ",A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions,Food chemistry,92,4,637-641,2005,Elsevier,
"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",33,"Chandrashekar, K; Deosthale, YG; ","Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species",Journal of Food Composition and Analysis,6,2,195-200,1993,Elsevier,
"Colakoglu F.A., Ormanci H.B., Berik N., Kunili I.E., Colakoglu S. (2011). Proximate and elemental composition of chamelea gallina from the southern coast of the Marmara Sea (Turkey). Biol Trace Elem Res 1-9 (article in press)",34,"Colakoglu, Fatma Arik; Ormanci, Hasan Basri; Berik, Nermin; Kunili, Ibrahim Ender; Colakoglu, Serhat; ",Proximate and elemental composition of Chamelea gallina from the southern coast of the Marmara Sea (Turkey),Biological trace element research,143,2,983-991,2011,Springer,
"CÍ_rser P.I., Ferrari G.T., De Martinez Y.B. (2000). AnÍçlisis proximal, perfil de Íçcidos grasos, aminoÍçcidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",35,"Izquierdo C‹rser, Pedro; Torres Ferrari, Gabriel; Barboza de Martênez, Yasmina; M_rquez Salas, Enrique; Allara Cagnasso, Marêa; ","An_lisis proximal, perfil de _cidos grasos, amino_cidos esenciales y contenido de minerales en doce especies de pescado de importancia comercial en Venezuela",Archivos Latinoamericanos de Nutrici‹n,50,2,187-194,2000,Archivos Latinoamericanos de Nutrici‹n,
"Cripps G.C., Watkins J.L., Hill H.J., Atkinson A. (1999). Fatty acid content of Antartic krill Euphausia superba at South Georgia related to regional populations and variations in diet. Mar. Ecol. Prog. Ser. 181: 177-188",36,"Cripps, GC; Watkins, JL; Hill, HJ; Atkinson, A; ",Fatty acid content of Antarctic krill Euphausia superba at South Georgia related to regional populations and variations in diet,Marine Ecology Progress Series,181,,177-188,1999,,
"De Souza Franco M.L.R., Viegas E.M.M., Kronka S.N., Vidotti R.M., Assano M., Gasparino E. (2010). Effects of hot and cold smoking process on organoleptic properties, yield and composition of matrinxa fillet. Revista Brasilerira de Zootecnia 39(4):695-700",37,"Franco, Maria Luiza Rodrigues de Souza; Viegas, Elisabete Maria Macedo; Kronka, S_rgio Nascimento; Vidotti, Rose Meire; Assano, Marcelo; Gasparino, Eliane; ","Effects of hot and cold smoking processes on organoleptic properties, yield and composition of matrinxa fillet",Revista Brasileira de Zootecnia,39,4,695-700,2010,SciELO Brasil,paperpile
"Di Lena, G., Nevigato, T., Rampacci, M., Casini, I., Caproni, R. and Orban, E., 2016. Proximate composition and lipid profile of red mullet (Mullus barbatus) from two sites of the Tyrrhenian and Adriatic seas (Italy): a seasonal differentiation. Journal of Food Composition and Analysis, 45, pp.121-129.",38,"Di Lena, Gabriella; Nevigato, Teresina; Rampacci, Massimo; Casini, Irene; Caproni, Roberto; Orban, Elena; ",Proximate composition and lipid profile of red mullet (Mullus barbatus) from two sites of the Tyrrhenian and Adriatic seas (Italy): A seasonal differentiation,Journal of Food Composition and Analysis,45,,121-129,2016,Elsevier,
"Di Monaco R., Cavella S., Masi P., Sevi A., Caroprese M., Marzano A., Conte A., Del Nobile M.A. (2009). Blue fish burgers: nutritional characterisation and sensory optimisation. International Journal of Food Science and Technology 44: 1634-1641",39,"Di Monaco, Rossella; Cavella, Silvana; Masi, Paolo; Sevi, Agostino; Caroprese, Mariangela; Marzano, Alessandra; Conte, Amalia; Del Nobile, Matteo Alessandro; ",Blue fish burgers: nutritional characterisation and sensory optimisation,International journal of food science & technology,44,8,1634-1641,2009,Wiley Online Library,
Dincer T. (2006). Differences of Turkish clam (Ruditapes decussates) and Manila clam (Ruditapes philippinarum) according to their proximate composition and heavy metal contents. Journal of Shellfish Research 25: 455 - 459.,40,"Dincer, T; ",Differences of Turkish clam (Ruditapes decussates) and Manila clam (Ruditapes philippinarum) according to their proximate composition and heavy metal contents,Journal of Shellfish Research,25,2,455-459,2006,BioOne,
"Dincer T., Cakli S., Cadun A. (2010). Comparison of proximate and fatty acid composition of the flesh of wild and cultured fish species. Arch Lebensmittelhyg 61: 12-17",41,"Dincer, Tolga; Cakli, Sukran; Cadun, Asli; ",Comparison of proximate and fatty acid composition of the flesh of wild and cultured fish species.,Archiv fªr Lebensmittelhygiene,61,1,17-Dec,2010,Presse Dienstleistungsgesellschaft mbH & Co. KG,
"Erkan N., SelÍ_uk A., Í_zden Í_. (2010) Amino acid and vitamin composition of raw and cooked horse mackerel. Food Anal Methods 3: 269-275",42,"Erkan, Nuray; Selçuk, Arif; Äzden, Äzkan; ",Amino acid and vitamin composition of raw and cooked horse mackerel,Food Analytical Methods,3,3,269-275,2010,Springer,
"Erkan, Nuray, Í_zkan Í_zden, and Å_afak Ulusoy. ""Seasonal micro-and macro-mineral profile and proximate composition of oyster (Ostrea edulis) analyzed by ICP-MS.""‘_Food analytical methods‘_4.1 (2011): 35-40.",43,"Erkan, Nuray; €zden, €zkan; Ulusoy, _afak; ",Seasonal micro-and macro-mineral profile and proximate composition of oyster (Ostrea edulis) analyzed by ICP-MS,Food analytical methods,4,1,35-40,2011,Springer,
"Ersoy B., Í_zeren A. (2009). The effect of cooking methods on mineral and vitamin contents of African catfish. Food Chemistry 115: 419-422",44,"Ersoy, Beyza; €zeren, Akif; ",The effect of cooking methods on mineral and vitamin contents of African catfish,Food Chemistry,115,2,419-422,2009,Elsevier,
"Eslami S., Hajizadeh Moghaddam A., Jafari N., Nabavi S.F., Nabavi M.S., Ebrahimzadeh M.A. (2010). Trace element level in different tissues of Rutilus frisii kutum collected from Tajan river, Iran. Biological Trace Element Research 1-9 (article in press)",45,"Eslami, S., Moghaddam, A. H., Jafari, N., Nabavi, S. F., Nabavi, S. M., & Ebrahimzadeh, M. A._","Trace element level in different tissues of Rutilus frisii kutum collected from Tajan River, Iran.",Biological Trace Element Research,143,2,965-973,2011,Springer,
"Exler, J. (1987). Composition of foods: finfish and shellfish products, raw, processed, prepared. Agriculture Handbook Number 8-15. US Department of Agriculture, Human Nutrition Information Service.",46,"Exler, Jacob; ","Composition of foods: finfish and shellfish products: raw, processed, prepared",,,8,,1987,"US Department of Agriculture, Human Nutrition Information Service",
"Fu X.Y., Xue C.H., Miao B.C., Li Z.J., Zhang Y.Q., Wang Q. (2007). Effect of processing steps on physico - chemicalproperties of dried - seasoned squid. Food Chemistry 103: 287 - 294",47,"Fu, Xue-Yan; Xue, Chang-Hu; Miao, Ben-Chun; Li, Zhao-Jie; Zhang, Yong-qin; Wang, Qi; ",Effect of processing steps on the physico-chemical properties of dried-seasoned squid,Food Chemistry,103,2,287-294,2007,Elsevier,
"Fuentes, A., et al. ""Comparison of physico-chemical parameters and composition of mussels (Mytilus galloprovincialis Lmk.) from different Spanish origins.""‘_Food Chemistry‘_112.2 (2009): 295-302.",48,"Fuentes, A; Fern_ndez-Segovia, I; Escriche, I; Serra, JA; ",Comparison of physico-chemical parameters and composition of mussels (Mytilus galloprovincialis Lmk.) from different Spanish origins,Food Chemistry,112,2,295-302,2009,Elsevier,
"GarcÍ_a-Arias M.T., Navarro M.P., GarcÍ_a-Linares M.C. (2004). Effects of different thermal treatments and storage on the proximate composition and protein quality in canned tuna. Archivos Latinoamericanos de NutricÍ_on 54(1): 112-117",49,"Garcêa-Arias, MT; Navarro, MP; Garcêa-Linares, MC; ",Effects of different thermal treatments and storage on the proximate composition and protein quality in canned tuna.,Archivos latinoamericanos de nutricion,54,1,112,2004,,
"Gladyshev M.I., Sushchik N.N., Gubanenko G.A., Demirchieva S.M., Kalachova G.S. (2006). Effect of way of cooking on content of essential polyunsaturated fatty acids in muscle tissue of humpback salmon (Oncorhynchus gorbuscha). Food Chemistry 96: 446-451",50,"Gladyshev, Michail I; Sushchik, Nadezhda N; Gubanenko, Galina A; Demirchieva, Sevilia M; Kalachova, Galina S; ",Effect of way of cooking on content of essential polyunsaturated fatty acids in muscle tissue of humpback salmon (Oncorhynchus gorbuscha),Food Chemistry,96,3,446-451,2006,Elsevier,
"Gladyshev M.I., Sushchik N.N., Gubanenko G.A., Demirchieva S.M., Kalachova G.S. (2007). Effect of boiling and frying on the content of essential polyunsaturated fatty acids in muscle tissue of four fish species. Food Chemistry 101:1694-1700",51,"Gladyshev, Michail I; Sushchik, Nadezhda N; Gubanenko, Galina A; Demirchieva, Sevilia M; Kalachova, Galina S; ",Effect of boiling and frying on the content of essential polyunsaturated fatty acids in muscle tissue of four fish species,Food Chemistry,101,4,1694-1700,2007,Elsevier,
"GÍ_kodlu N., Yerlikaya P. (2003). Determination of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya. Food Chemistry 80: 495-498",52,"G_ko_lu, Nalan, and P_nar Yerlikaya",,Determinaton of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya.,Food chemistry,80,4,2003,Elsevier,
"GÍ_koÍçlu, Nalan, and PÍ_nar Yerlikaya. ""Determinaton of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya.""‘_Food Chemistry‘_80.4 (2003): 495-498.",53,"G_ko_lu, Nalan, and P_nar Yerlikaya",Determinaton of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya.,Food chemistry,80,4,495-498,2003,Elsevier,
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814).""‘_Journal of the Science of Food and Agriculture‘_86.13 (2006): 2161-2165.",54,"Gokoglu, Nalan; Gokoglu, Mehmet; Yerlikaya, Pinar; ","Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814)",Journal of the Science of Food and Agriculture,86,13,2161-2165,2006,Wiley Online Library,
"GÍ_ksu M.Z., Akar M., Cevik F., Findik Í_. (2005). Bioaccumulation of some heavy metals (Cd, Fe, Zn, Cu) in two bivalvia species (Pinctada radiata, Leach 1814 and Brachidontes pharaonis, Fischer 1870). Turk J Vet Anim Sci 29: 89-93",55,"G_ksu, M™nir Ziya Lugal; Akar, Mustafa; Cevik, Fatma; Findik, Äzlem; ","Bioaccumulation of some heavy metals (Cd, Fe, Zn, Cu) in two bivalvia species (Pinctada radiata Leach, 1814 and Brachidontes pharaonis Fischer, 1870)",Turkish Journal of Veterinary and Animal Sciences,29,1,89-93,2005,The Scientific and Technological Research Council of Turkey,
"GonzÍçlez M.J., Gallardo J.M., Brickle P., Medina I. (2007).Nutritional composition and safety of Patagonothothen ramsayi, a discard species from Patagonian Shelf. International Journal of Food Science and Technology 42: 1240-1248",56,"Gonz_lez, Marêa JesÒs; Gallardo, Jose Manuel; Brickle, Paul; Medina, Isabel; ","Nutritional composition and safety of Patagonotothenramsayi, a discard species from Patagonian Shelf",International journal of food science & technology,42,10,1240-1248,2007,Wiley Online Library,
"GonzÍçlez S., Flick G.J., O'Keefe S.F., Duncan S.E., McLean E. Craig S.R. (2006). Composition of farmed and wild yellow perch (Perca flavescens). Journal of Food Composition and Analysis 19: 720-726",57,"Gonzölez, S; Flick, GJ; Oêkeefe, SF; Duncan, SE; McLean, E; Craig, SR; ",Composition of farmed and wild yellow perch (Perca flavescens),Journal of Food Composition and Analysis,19,06-Jan,720-726,2006,Elsevier,
"Gordon D.T., Roberts G.L., Heintz D.M. (1979). thiamin, riboflavin and niacin content and stability in pacific coast seafoods. J. Agric. Food Chem. 27(3): 483-490",58,"Gordon, Dennis T; Roberts, G Louis; Heintz, Diane M; ","Thiamin, riboflavin, and niacin content and stability in Pacific coast seafoods",Journal of agricultural and food chemistry,27,3,483-490,1979,ACS Publications,
"Grigorakis K., Alexis M.N., Taylor K.D.A., Hole M. (2002). Comparison of wild and cultured gildhead sea bream (Sparus aurata); composition, appearance and seasonal variations. International Journal of Food Science and Technology 37:477-484",59,"Grigorakis, Kriton; Alexis, Maria N; Taylor, KD Anthony; Hole, Michael; ","Comparison of wild and cultured gilthead sea bream (Sparus aurata); composition, appearance and seasonal variations",International journal of food science & technology,37,5,477-484,2002,Wiley Online Library,
"GÍ_ner S., Dincer B., Alemdag N., Colak A., TÍ_fekci M. (1998). Proximate composition and selected mineral content of commercially important fish species from the Black Sea. J Sci Food Agri 78: 337-342",60,"Gªner, Saadettin; Dincer, Barbaros; Alemdag, Nigar; Colak, Ahmet; Tªfekci, Mehmet; ",Proximate composition and selected mineral content of commercially important fish species from the Black Sea,Journal of the Science of Food and Agriculture,78,3,337-342,1998,Wiley Online Library,
