include,trad_food_id,Food Item ID,Subgroup,database,"Country, region",Type,ISSCAAP,3_alpha,Food name in own language,Food name in English,Processing,Scientific name,ASFIS English name,ASFIS Scientific name,Season,Other,n,Comments on data processing/methods,Publication year,BiblioID,CA(mg),FE(mg),ZN(mg),F20D5N3(g),F22D6N3(g),AS(mcg),CD(mcg),HG(mcg),PB(mcg)
y,27,0900800,Finfish,biocomp,"Finland, Baltic Sea",W,35,HER,,"Baltic herring, wild, skin-on fillet, raw",r,Clupea harengus membras,Atlantic herring,Clupea harengus,May 1993,,1,,1995,fi122,,,,,,,,,
y,27,0900940,Finfish,biocomp,Russia (East),W,35,HER,,"Herring, wild, skinless dorsal fillet, frozen",r,Clupea harengus pallasi,Atlantic herring,Clupea harengus,,,,FA expressed per DM - conversion to FW,2007,fi146,,,,0.146682,0.32103,,,,
y,27,1124,Finfish,Denmark food composition,,,35,HER,,"Herring, autumn, raw",r,Clupea harengus,,Clupea harengus,,,,,2009,DK7,50,1.3,0.85,2.8,2.52,,,,
y,27,0246,Finfish,Denmark food composition,,,35,HER,,"Herring, raw",r,Clupea harengus,,Clupea harengus,,,,,2009,DK7,50,1.3,0.85,0.583,1.34,,,,
y,27,15039,Finfish,USDA,,,35,HER,,"Fish, herring, Atlantic, raw",r,Clupea harengus harengus (L.),,Clupea harengus,,,,,2014,SR27,57,1.1,0.99,0.709,0.862,,,,
y,28,0901870,Finfish,AnFood,"USA, British Colombia/Puget Sound",,35,HEP,,"Pacific herring, skinless muscle flesh, raw",r,Clupea harengus pallasi,Atlantic herring,Clupea pallasii,,,,,1976,fi195,,,,,,,,,
y,28,0900305,Finfish,biocomp,"USA, Alaska, British Columbia, Pacific Northwest waters",W,35,HEP,,"Pacific hering, wild, skinless fillet, raw",r,Clupea harengus pallasi,Pacific herring,Clupea pallasi,Summer,"mean length and weight of fish: 19.2cm, 94g",,FA converted using XFA,2009,fi59,,,,0.866548276,0.850684692,,,,
y,28,15043,Finfish,USDA,,,35,HEP,,"Fish, herring, Pacific, raw",r,Clupea harengus pallasi Valenciennes,,Clupea pallasii,,,,,2014,SR27,83,1.12,0.53,0.969,0.689,,,,
y,29,15013,Finfish,USDA,,,23,CIS,,"Fish, cisco, raw",r,Coregonus artedi Lesueur,,Coregonus artedi,,,,,2014,SR27,12,0.4,0.37,0.095,0.257,,,,
y,31,0900056,Finfish,biocomp,"Canada, James Bay, Caniapiscau",W,23,WHL,,"Whitefish, wild, female, flesh, raw",r,Coregonus clupeaformis,Lake Whitefish,Coregonus clupeaformis,Aug-Sep 1993,adult female fish,,trace for mineral values: <0.1 mcg/100g food (FW); trace for FA: <0.01g/100g food (FW),1996,fi4,7,0.23,0.4,[0.08],[0.3],tr,0.5,12,tr
y,31,0900057,Finfish,biocomp,"Canada, James Bay, Lac Temoin",W,23,WHL,,"Whitefish, wild, female, flesh, raw",r,Coregonus clupeaformis,Lake Whitefish,Coregonus clupeaformis,Aug-Sep 1993,adult female fish,,trace for mineral values: <0.1 mcg/100g food (FW); trace for FA: <0.01g/100g food (FW),1996,fi4,5,0.3,0.6,[0.08],[0.4],0.3,0.3,6,4
y,31,0900058,Finfish,biocomp,"Canada, James Bay, Vermeulle",W,23,WHL,,"Whitefish, wild, female, flesh, raw",r,Coregonus clupeaformis,Lake Whitefish,Coregonus clupeaformis,Aug-Sep 1993,adult female fish,,trace for mineral values: <0.1 mcg/100g food (FW); trace for FA: <0.01g/100g food (FW),1996,fi4,5,0.2,0.4,[0.07],[0.2],tr,0.6,15,5
y,35,0900794,Molluscs,biocomp,"USA, MD, Nanticoke River",W,53,OYA,,"Eastern Oysters, wild, raw",r,Crassostrea virginica,American cupped oyster,Crassostrea virginica,Mar 1989,,1,"FAT (analyzed according to AOAC 1984, method 43.257-43.277); tr= VitC <1.0 mg/100g; CARTB <10mcg/100g; CHO <0.1g/100g; RIBF <0.02mg/100g",1992,fi120,,,,,,,,,
y,35,0900795,Molluscs,biocomp,"USA, MD, Nanticoke River",W,53,OYA,,"Eastern Oysters, wild, raw",r,Crassostrea virginica,American cupped oyster,Crassostrea virginica,Oct 1989,,1,"FAT (analyzed according to AOAC 1984, method 43.257-43.277); tr= VitC <1.0 mg/100g; CARTB <10mcg/100g; CHO <0.1g/100g; RIBF <0.02mg/100g",1992,fi120,,,,,,,,,
y,35,15167,Mollusc,USDA,,W,53,OYA,,"Mollusks, oyster, eastern, wild, raw",r,Crassostrea virginica (Gmelin),,Crassostrea virginica,,,,,2014,SR27,59,4.61,39.3,0.177,0.136,,,,
y,35,15245,Mollusc,USDA,,F,53,OYA,,"Mollusks, oyster, eastern, farmed, raw",r,Crassostrea virginica (Gmelin),,Crassostrea virginica,,,,,2014,SR27,44,5.78,37.92,0.188,0.203,,,,
y,37,0901252,Finfish,biocomp,"Iceland, North Atlantic",W,34,LUM,"Rauðmagi, hold","Lumpsucker, wild, male, fillet, raw",r,Cyclopterus lumpus ,Lumpfish(=Lumpsucker),Cyclopterus lumpus,,data entered without mean/max/SD,3,,2011,im11,7.9,0.46,0.61,,,,,tr,
y,37,0901261,Finfish,biocomp,"Iceland, North Atlantic",W,34,LUM,Grásleppuhrogn,"Lumpsucker, roe, wild, raw",r,Cyclopterus lumpus ,Lumpfish(=Lumpsucker),Cyclopterus lumpus,,,7,,2011,im11,16,0.34,1.35,,,,,tr,
y,37,0901263,Finfish,biocomp,"Iceland, North Atlantic",W,34,LUM,Rauðmagalifur,"Lumpsucker, wild, male, liver, raw",r,Cyclopterus lumpus ,Lumpfish(=Lumpsucker),Cyclopterus lumpus,,,3,,2011,im11,4.5,1.93,2.61,,,,,tr,
y,37,0901275,Finfish,biocomp,"Iceland, North Atlantic",W,34,LUM,Grásleppuhrogn,"Lumpsucker, roe, wild, raw",r,Cyclopterus lumpus ,Lumpfish(=Lumpsucker),Cyclopterus lumpus,,,,FAME converted using ShF and XFA,2011,im11,,,,0.922597746,1.582811631,,,,
y,37,0901276,Finfish,biocomp,"Iceland, North Atlantic",W,34,LUM,Grásleppuhrogn,"Lumpsucker, roe, wild, raw",r,Cyclopterus lumpus ,Lumpfish(=Lumpsucker),Cyclopterus lumpus,,,,FAME converted using ShF and XFA,2011,im11,,,,0.716296458,1.111066476,,,,
y,37,0901277,Finfish,biocomp,"Iceland, North Atlantic",W,34,LUM,Grásleppuhrogn,"Lumpsucker, roe, wild, raw",r,Cyclopterus lumpus ,Lumpfish(=Lumpsucker),Cyclopterus lumpus,,,,FAME converted using ShF and XFA,2011,im11,,,,0.790729074,1.095857717,,,,
y,37,0901278,Finfish,biocomp,"Iceland, North Atlantic",W,34,LUM,"Rauðmagi, hold","Lumpsucker, wild, male, fillet, raw",r,Cyclopterus lumpus ,Lumpfish(=Lumpsucker),Cyclopterus lumpus,,,,FAME converted using ShF and XFA,2011,im11,,,,1.988751156,2.012968768,,,,
y,37,0901279,Finfish,biocomp,"Iceland, North Atlantic",W,34,LUM,"Rauðmagi, hold","Lumpsucker, wild, male, fillet, raw",r,Cyclopterus lumpus ,Lumpfish(=Lumpsucker),Cyclopterus lumpus,,,,FAME converted using ShF and XFA,2011,im11,,,,1.436085114,1.522607588,,,,
y,37,0901280,Finfish,biocomp,"Iceland, North Atlantic",W,34,LUM,"Rauðmagi, hold","Lumpsucker, wild, male, fillet, raw",r,Cyclopterus lumpus ,Lumpfish(=Lumpsucker),Cyclopterus lumpus,,,,FAME converted using ShF and XFA,2011,im11,,,,1.39754671,1.463037526,,,,
y,37,0900,Finfish,Denmark food composition,,,34,LUM,,"Lump, lumpsucker, raw",r,Cyclopterus lumpus,,Cyclopterus lumpus,,,,,2009,DK7,20,0.5,,1.1,0.944,,,,
y,38,0901340,Finfish,AnFood,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",,11,FCP,Carpa,"Common carp, wild, skinless, boneless fillets, raw",r,Cyprinus carpio,Common carp,Cyprinus carpio,,,,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,,,,,0.014040524,,,,
y,38,0901392,Finfish,AnFood,Unknown,,11,FCP,,"Carp, muscle tissue, raw",r,Cyprinus carpio,Common carp,Cyprinus carpio,Jun-Jul 1995,"mature, female fish; weight: 3500g",1,,2008,fi41,,,,,,,,,
y,38,0901400,Finfish,AnFood,Unknown,,11,FCP,Capoor,"Common carp, fillet, raw",r,Cyprinus carpio,Common carp,Cyprinus carpio,,,,PRO-/FAT- (analyzed according to AOAC 2000),2008,fi44,,,,,,,,,
y,38,0901485,Finfish,AnFood,"Unknown (samples from local fish market, India)",,11,FCP,,"Common carp, meat, raw",r,Cyprinus carpio,Common carp,Cyprinus carpio,May-Oct,,1,FA converted using XFA,2010,fi75,,,,0.1597524,0.2380624,,,,
y,38,0900085,Finfish,biocomp,"Turkey, Seyhan dam lake",W,11,FCP,Sazan,"Common carp, wild, boneless fillet, raw",r,Cyprinus carpio,Common carp,Cyprinus carpio,,mean weight of fish: 780.52g,,FOL-: analyzed using HPLC,2009,fi16,,,1.25,,,,,,
y,38,0900139,Finfish,biocomp,"Iran, Caspian sea, Anzalii/Babolsar/Torkaman",W,11,FCP,,"Common carp, wild, edible flesh, raw",r,Caprinus carpio,Common carp,Cyprinus carpio,Nov 2006,"mean length and weight: 40cm, 830g",1,FA converted using XFA,2010,fi27,,,,0.171254403,,,,,
y,38,0900160,Finfish,biocomp,"Greece, Evros River",W,11,FCP,,"Carp, wild, skinless fillet, raw",r,Cyprinus carpio,Common carp,Cyprinus carpio,Summer 1987,"mean length and weight: 31cm, 500g",,,1989,fi32,52,0.6,0.9,,,,0.4,11,20
y,38,0900161,Finfish,biocomp,"Greece, Evros River",W,11,FCP,,"Carp, wild, skinless fillet, raw",r,Cyprinus carpio,Common carp,Cyprinus carpio,Summer 1988,"mean length and weight: 36cm, 500g",,,1989,fi32,69,0.6,0.9,,,,1.6,16,20
y,38,0900186,Finfish,biocomp,"Turkey, Adana, Seyhan Dam Lake",W,11,FCP,,"Common carp, wild, muscle tissue, raw",r,Cyprinus carpio,Common carp,Cyprinus carpio,,,,FA converted using XFA,2007,fi34,,,,0.039733144,0.055667084,,,,
y,38,0900226,Finfish,biocomp,"Greece, Evros River",W,11,FCP,,"Carp, wild, skinless, boneless fillet, raw",r,Cyprinus carpio,Common carp,Cyprinus carpio,Jul-Aug 1987,mean weight of fish: 420g,,FA converted using XFA,1991,fi47,,,,0.011632,0.05816,,,,
y,38,0900368,Finfish,biocomp,"Iran, Caspian sea",W,11,FCP,,"Common carp, wild, edible flesh, raw",r,Caprinus carpio,Common carp,Cyprinus carpio,Nov,,1,minerals expressed per DM - conversion to FW; all mineral values in brackets: values seem in many cases very low compared to reference data and no explanation is provided;,2009,fi71,[21.4452],[0.27861],0.165168,,,,,,
y,38,15008,Finfish,USDA,,,11,FCP,,"Fish, carp, raw",r,Cyprinus carpio (L.),,Cyprinus carpio,,,,,2014,SR27,41,1.24,1.48,0.238,0.114,,,,
y,44,0901394,Finfish,AnFood,Unknown,,13,FPI,,"Pike, muscle tissue, raw",r,Esox lucius,Northern pike,Esox lucius,Mar-Apr 1995,"mature, female fish; weight: 1500g",1,,2008,fi41,,,,,,,,,
y,44,0900054,Finfish,biocomp,"Canada, James Bay, Vermeulle",W,13,FPI,,"Pike, wild, female, flesh, raw",r,Esox lucius,Northern pike,Esox lucius,Aug-Sep 1993,adult female fish,,trace for mineral values: <0.1 mcg/100g food (FW); trace for FA: <0.01g/100g food (FW),1996,fi4,7,0.1,1.1,[0.07],[0.3],tr,0.1,110,tr
y,44,0900055,Finfish,biocomp,"Canada, James Bay, Dollier",W,13,FPI,,"Pike, wild, female, flesh, raw",r,Esox lucius,Northern pike,Esox lucius,Aug-Sep 1993,adult female fish,,trace for mineral values: <0.1 mcg/100g food (FW); trace for FA: <0.01g/100g food (FW),1996,fi4,8,0.1,1,[0.07],[0.3],0.5,0.3,70,tr
y,44,0900133,Finfish,biocomp,"Poland, Kisajno Lake",W,13,FPI,,"Pike, wild, dorsal muscle, raw",r,Esox lucius,Northern pike,Esox lucius,Jun 1997,"mean length and weight: 47.0cm, 786.6g",2,Minerals given per DM - conversion to FW,2009,fi26,11.8859,0.10481,0.62663,,,,,,
y,44,0900134,Finfish,biocomp,"Poland, Dargin Lake",W,13,FPI,,"Pike, wild, dorsal muscle, raw",r,Esox lucius,Northern pike,Esox lucius,Jun 1997,"mean length and weight: 50.7cm, 885.1g",2,Minerals given per DM - conversion to FW,2009,fi26,10.6455,0.106455,0.613815,,,,,,
y,44,0900135,Finfish,biocomp,"Poland, Dargin Lake",W,13,FPI,,"Pike, wild, dorsal muscle, raw",r,Esox lucius,Northern pike,Esox lucius,Jun 1997,"mean length and weight: 67.8cm, 2511.7g",2,Minerals given per DM - conversion to FW,2009,fi26,10.4566,0.08624,1.155616,,,,,,
y,44,0900690,Finfish,biocomp,"Poland, Lake Dgał Wielki",W,13,FPI,,"Northern pike, wild, fillet, raw",r,Esox lucius,Northern pike,Esox lucius,Nov,"mean weight of fish: 570g, 3.5years old; FA as % of FACID, FACID calculated using CF",10,FA converted using XFA,2008,fi110,,,,0.008528929,0.035752452,,,,
y,44,0900808,Finfish,biocomp,"Finland, Baltic Sea",W,13,FPI,,"Pike, wild, skinless fillet, raw",r,Esox lucius,Northern pike,Esox lucius,Oct 1993,,1,,1995,fi122,,,,,,,,,
y,44,0900809,Finfish,biocomp,"Finland, Baltic Sea",W,13,FPI,,"Pike, wild, skinless fillet, raw",r,Esox lucius,Northern pike,Esox lucius,May 1993,,1,,1995,fi122,,,,,,,,,
y,44,0900810,Finfish,biocomp,"Finland, Lake Saimaa",W,13,FPI,,"Pike, wild, skinless fillet, raw",r,Esox lucius,Northern pike,Esox lucius,Oct 1993,,1,,1995,fi122,,,,,,,,,
y,44,0900811,Finfish,biocomp,"Finland, Lake Saimaa",W,13,FPI,,"Pike, wild, skinless fillet, raw",r,Esox lucius,Northern pike,Esox lucius,May 1993,,1,,1995,fi122,,,,,,,,,
y,44,0900812,Finfish,biocomp,"Finland, Lake Päijänne",W,13,FPI,,"Pike, wild, skinless fillet, raw",r,Esox lucius,Northern pike,Esox lucius,Oct 1993,,1,,1995,fi122,,,,,,,,,
y,44,0900813,Finfish,biocomp,"Finland, Lake Päijänne",W,13,FPI,,"Pike, wild, skinless fillet, raw",r,Esox lucius,Northern pike,Esox lucius,May 1993,,1,,1995,fi122,,,,,,,,,
y,44,0055,Finfish,Denmark food composition,,,13,FPI,,"Pike, raw",r,Esox lucius,,Esox lucius,,,,,2009,DK7,50,0.3,0.96,,,,,,
y,44,15062,Finfish,USDA,,,13,FPI,,"Fish, pike, northern, raw",r,Esox lucius L.,,Esox lucius,,,,,2014,SR27,57,0.55,0.67,0.033,0.074,,,,
y,49,0901854,Finfish,AnFood,"USA, Alaksa/Washington/Oregon",,32,PCO,,"Pacific cod, skinless muscle flesh, raw",r,Gadus macrocephalus,Pacific cod,Gadus macrocephalus,,,,,1976,fi195,,,,,,,,,
y,49,0900152,Finfish,biocomp,"USA, Alaska, Kodiak",W,32,PCO,,"Pacific cod, wild, fillets, raw",r,Gadus macrocephalus,Pacific cod,Gadus macrocephalus,Feb 2001,,1,FAME converted using ShF and XFA,2005,fi30,,,,0.054679898,0.144061265,,,,
y,49,0900828,Finfish,biocomp,"USA, WA, Northeast Pacific, Cape Flattery",W,32,PCO,,"Pacific cod, wild, fillet, raw",r,Gadus macrocephalus,Pacific cod,Gadus macrocephalus,,,,,1984,fi125,10.8,0.2099,0.416,,,,,12.9,
y,49,0900829,Finfish,biocomp,"USA, AK, Northeast Pacific, Cape Sarichef",W,32,PCO,,"Pacific cod, wild, fillet, raw",r,Gadus macrocephalus,Pacific cod,Gadus macrocephalus,,,,,1984,fi125,11.3,0.165,0.3627,,,,,3.1,
y,49,0900830,Finfish,biocomp,"USA, AK, Northeast Pacific, Cape Ommaney",W,32,PCO,,"Pacific cod, wild, fillet, raw",r,Gadus macrocephalus,Pacific cod,Gadus macrocephalus,,,,,1984,fi125,13.3,0.1581,0.3731,,,,,5.8,
y,49,0900977,Finfish,biocomp,"USA, south of Astoria Canyon, North Pacific",W,32,PCO,,"Pacific cod, wild, fillet, raw",r,Gadus macrocephalus,Pacific cod,Gadus macrocephalus,Aug 1977,"mean length and weight of fish: 65cm, 3100g",3,,1979,fi156,,,,,,,,,
y,49,15019,Finfish,USDA,,,32,PCO,,"Fish, cod, Pacific, raw",r,Gadus macrocephalus Tilesius,,Gadus macrocephalus,,,,,2014,SR27,8,0.16,0.31,0.034,0.096,,,,
y,50,0900398,Finfish,biocomp,"Poland, Baltic Sea",W,32,COD,,"Cod, wild, skinless fillet, frozen",r,Gadus morhua,Atlantic cod,Gadus morhua,,,1,FAME converted using ShF and XFA,2011,fi74,,,,0.004089305,0.027430143,,,,
y,50,0900627,Finfish,biocomp,"Unknown, Nolsoyar Bank",W,32,COD,,"Cod, wild, skinless fillet, raw",r,Gadus morhua,Atlantic cod,Gadus morhua,Sep 2001,"fishing areas: North Atlantic, North Sea, Barents Sea, Baltic Sea",1,,2006,fi105,,,,,,,,,
y,50,0900628,Finfish,biocomp,"Unknown, Nolsoyar Bank",W,32,COD,,"Cod, wild, skinless fillet, raw",r,Gadus morhua,Atlantic cod,Gadus morhua,Sep 2001,"fishing areas: North Atlantic, North Sea, Barents Sea, Baltic Sea",1,,2006,fi105,,,,,,,,,
y,50,0901403,Finfish,AnFood,Unknown,,32,COD,,"Cod, skinless fillet, raw/frozen",r,Gadus morhua,Atlantic cod,Gadus morhua,,,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,,,,0.028,0.075,,,,
y,50,0902207,Finfish,AnFood,Unknown,,32,COD,,"Atlantic cod, skinless fillet, raw",r,Gadus morhua,Atlantic cod,Gadus morhua,,,5,,2007,fi244,1.6,0.5,0.37,,,,,,
y,50,0900801,Finfish,biocomp,"Finland, Baltic Sea",W,32,COD,,"Cod, wild, skinless fillet, raw",r,Gadus morhua,Atlantic cod,Gadus morhua,May 1993,,1,,1995,fi122,,,,,,,,,
y,50,0900946,Finfish,biocomp,"Russia, (Northwest), White Sea",W,32,COD,,"Cod, wild, skinless dorsal fillet, frozen",r,Gadus morhua maris-albi,Atlantic cod,Gadus morhua,,,,FA expressed per DM - conversion to FW,2007,fi146,,,,0.063226,0.152914,,,,
y,50,0901247,Finfish,biocomp,"Iceland, North Atlantic",W,32,COD,"Þorskur, flök ","Atlantic cod, wild, fillet, raw",r,Gadus morhua,Atlantic cod,Gadus morhua,,data entered without mean/max/SD,13,,2011,im11,8.7,0.12,0.34,,,,,4.8,
y,50,0901264,Finfish,biocomp,"Iceland, North Atlantic",W,32,COD,Þorskhrogn,"Atlantic cod, roe, wild, raw",r,Gadus morhua ,Atlantic cod,Gadus morhua,,,5,,2011,im11,8.2,0.66,4.27,,,,,1.3,
y,50,0901289,Finfish,biocomp,"Iceland, North Atlantic",W,32,COD,"Þorskur, flök ","Atlantic cod, wild, fillet, raw",r,Gadus morhua ,Atlantic cod,Gadus morhua,,,,FAME converted using ShF and XFA,2011,im11,,,,0.05697345,0.129272235,,,,
y,50,0901290,Finfish,biocomp,"Iceland, North Atlantic",W,32,COD,"Þorskur, flök ","Atlantic cod, wild, fillet, raw",r,Gadus morhua ,Atlantic cod,Gadus morhua,,,,FAME converted using ShF and XFA,2011,im11,,,,0.057327117,0.14931632,,,,
y,50,0901291,Finfish,biocomp,"Iceland, North Atlantic",W,32,COD,"Þorskur, flök ","Atlantic cod, wild, fillet, raw",r,Gadus morhua ,Atlantic cod,Gadus morhua,,,,FAME converted using ShF and XFA,2011,im11,,,,0.073775946,0.18396877,,,,
y,50,0901292,Finfish,biocomp,"Iceland, North Atlantic",W,32,COD,"Þorskur, flök ","Atlantic cod, wild, fillet, raw",r,Gadus morhua ,Atlantic cod,Gadus morhua,,,,,2011,im11,,,,,,,,,
y,50,0901293,Finfish,biocomp,"Iceland, North Atlantic",W,32,COD,"Þorskur, flök ","Atlantic cod, wild, fillet, raw",r,Gadus morhua ,Atlantic cod,Gadus morhua,,,,,2011,im11,,,,,,,,,
y,50,0901294,Finfish,biocomp,"Iceland, North Atlantic",W,32,COD,"Þorskur, flök ","Atlantic cod, wild, fillet, raw",r,Gadus morhua ,Atlantic cod,Gadus morhua,,,,,2011,im11,,,,,,,,,
y,50,0901295,Finfish,biocomp,"Iceland, North Atlantic",W,32,COD,"Þorskur, flök ","Atlantic cod, wild, fillet, raw",r,Gadus morhua ,Atlantic cod,Gadus morhua,,,,,2011,im11,,,,,,,,,
y,50,0312,Finfish,Denmark food composition,,,32,COD,,"Cod, fillet, raw",r,Gadus morhua,,Gadus morhua,,,,,2009,DK7,15,0.2,0.38,0.132,0.132,,,,
y,50,0313,Finfish,Denmark food composition,,,32,COD,,"Cod, liver, raw",r,Gadus morhua,,Gadus morhua,,,,,2009,DK7,10,4,1.94,6.41,4.76,,,,
y,50,0316,Finfish,Denmark food composition,,,32,COD,,"Cod, roe, raw",r,Gadus morhua,,Gadus morhua,,,,,2009,DK7,10,1.5,2.2,0.345,0.575,,,,
