trad_foods_data_id,taxon_name,ca_mg,fe_mg,zn_mg,epa,dha,biblio_id,culture,Bibliography
12,Acipenser oxyrinchus,NA,NA,NA,1.4,0.57,55,Central Salish,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
13,Acipenser oxyrinchus,NA,NA,NA,1.4,0.57,55,Tsimshian,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
14,Acipenser oxyrinchus,NA,NA,NA,1.4,0.57,55,Cree,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
15,Acipenser oxyrinchus,NA,NA,NA,1.4,0.57,55,Montagnais-Naskapi,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
16,Acipenser oxyrinchus,NA,NA,NA,1.4,0.57,55,Abenaki,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
17,Acipenser oxyrinchus,NA,NA,NA,1.4,0.57,55,Mi'kmaq,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
18,Acipenser oxyrinchus,NA,NA,NA,1.4,0.57,55,Wampanoag,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
19,Acipenser spp.,NA,NA,NA,1.4,0.57,55,Inuit-Inupiaq,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
20,Acipenser spp.,NA,NA,NA,1.4,0.57,55,Bella Coola,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
21,Acipenser spp.,NA,NA,NA,1.4,0.57,55,Central Salish,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
22,Acipenser spp.,NA,NA,NA,1.4,0.57,55,Tsimshian,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
23,Acipenser spp.,NA,NA,NA,1.4,0.57,55,Cree,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
24,Acipenser spp.,NA,NA,NA,1.4,0.57,55,Montagnais-Naskapi,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
25,Acipenser spp.,NA,NA,NA,1.4,0.57,55,Abenaki,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
26,Acipenser spp.,NA,NA,NA,1.4,0.57,55,Mi'kmaq,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
27,Acipenser spp.,NA,NA,NA,1.4,0.57,55,Wampanoag,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
28,Alosa pseudoharengus,NA,NA,NA,0.1,0.27,55,Abenaki,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
29,Alosa pseudoharengus,NA,NA,NA,0.1,0.27,55,Mi'kmaq,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
30,Alosa pseudoharengus,NA,NA,NA,0.1,0.27,55,Wampanoag,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
31,Alosa pseudoharengus,NA,NA,NA,0.1,0.27,55,Abenaki,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
32,Alosa pseudoharengus,NA,NA,NA,0.1,0.27,55,Mi'kmaq,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
33,Alosa pseudoharengus,NA,NA,NA,0.1,0.27,55,Wampanoag,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
34,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Inuit-Inupiaq,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
35,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Yupik,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
36,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Bella Coola,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
37,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Central Salish,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
38,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Tsimshian,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
39,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Haida,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
40,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Tlingit,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
41,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Kwakiutl,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
42,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Nootkan,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
43,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Abenaki,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
44,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Mi'kmaq,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
45,Aloseinae,NA,0.57,NA,NA,NA,27,Inuit-Inupiaq,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
46,Aloseinae,NA,0.57,NA,NA,NA,27,Yupik,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
47,Aloseinae,NA,0.57,NA,NA,NA,27,Bella Coola,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
48,Aloseinae,NA,0.57,NA,NA,NA,27,Central Salish,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
49,Aloseinae,NA,0.57,NA,NA,NA,27,Tsimshian,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
50,Aloseinae,NA,0.57,NA,NA,NA,27,Haida,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
51,Aloseinae,NA,0.57,NA,NA,NA,27,Tlingit,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
52,Aloseinae,NA,0.57,NA,NA,NA,27,Kwakiutl,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
53,Aloseinae,NA,0.57,NA,NA,NA,27,Nootkan,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
54,Aloseinae,NA,0.57,NA,NA,NA,27,Abenaki,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
55,Aloseinae,NA,0.57,NA,NA,NA,27,Mi'kmaq,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
56,Ameiurus nebulosus,12,0.653,0.403,NA,NA,44,Montagnais-Naskapi,"Chan HM, Trifonopoulos M, Ing A, Receveur O, Johnson E: Consumption of freshwater fish in Kahnawake: risks and benefits. Environmental Research 1999, 80(2):S213-S222."
57,Anarhichadidae,NA,NA,NA,0.11,0.06,55,Central Salish,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
58,Anarhichadidae,NA,NA,NA,0.11,0.06,55,Tlingit,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
59,Anarhichadidae,NA,NA,NA,0.11,0.06,55,Nootkan,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
60,Anarhichadidae,6,NA,NA,NA,NA,27,Central Salish,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
61,Anarhichadidae,6,NA,NA,NA,NA,27,Tlingit,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
62,Anarhichadidae,6,NA,NA,NA,NA,27,Nootkan,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
63,Anguilla rostrata,NA,NA,NA,0.3,0.66,55,Montagnais-Naskapi,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
64,Anguilla rostrata,NA,NA,NA,0.3,0.66,55,Abenaki,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
65,Anguilla rostrata,NA,NA,NA,0.3,0.66,55,Mi'kmaq,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
66,Anguilla rostrata,NA,NA,NA,0.3,0.66,55,Wampanoag,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
67,Anguilla rostrata,NA,NA,NA,0.3,0.66,55,Montagnais-Naskapi,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
68,Anguilla rostrata,NA,NA,NA,0.3,0.66,55,Abenaki,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
69,Anguilla rostrata,NA,NA,NA,0.3,0.66,55,Mi'kmaq,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
70,Anguilla rostrata,NA,NA,NA,0.3,0.66,55,Wampanoag,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
71,Anguilla rostrata,56,NA,0.615,NA,NA,27,Montagnais-Naskapi,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
72,Anguilla rostrata,56,NA,0.615,NA,NA,27,Abenaki,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
73,Anguilla rostrata,56,NA,0.615,NA,NA,27,Mi'kmaq,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
74,Anguilla rostrata,56,NA,0.615,NA,NA,27,Wampanoag,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
75,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Inuit-Inupiaq,"Wander RC, Patton BD: Lipids and fatty acids of three species of northeast Pacific finfish harvested in summer. Journal of Food Composition and Analysis 1991, 4(2):128-135."
76,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Yupik,"Wander RC, Patton BD: Lipids and fatty acids of three species of northeast Pacific finfish harvested in summer. Journal of Food Composition and Analysis 1991, 4(2):128-135."
77,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Bella Coola,"Wander RC, Patton BD: Lipids and fatty acids of three species of northeast Pacific finfish harvested in summer. Journal of Food Composition and Analysis 1991, 4(2):128-135."
78,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Central Salish,"Wander RC, Patton BD: Lipids and fatty acids of three species of northeast Pacific finfish harvested in summer. Journal of Food Composition and Analysis 1991, 4(2):128-135."
79,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Tsimshian,"Wander RC, Patton BD: Lipids and fatty acids of three species of northeast Pacific finfish harvested in summer. Journal of Food Composition and Analysis 1991, 4(2):128-135."
80,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Haida,"Wander RC, Patton BD: Lipids and fatty acids of three species of northeast Pacific finfish harvested in summer. Journal of Food Composition and Analysis 1991, 4(2):128-135."
81,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Tlingit,"Wander RC, Patton BD: Lipids and fatty acids of three species of northeast Pacific finfish harvested in summer. Journal of Food Composition and Analysis 1991, 4(2):128-135."
82,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Kwakiutl,"Wander RC, Patton BD: Lipids and fatty acids of three species of northeast Pacific finfish harvested in summer. Journal of Food Composition and Analysis 1991, 4(2):128-135."
83,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Nootkan,"Wander RC, Patton BD: Lipids and fatty acids of three species of northeast Pacific finfish harvested in summer. Journal of Food Composition and Analysis 1991, 4(2):128-135."
84,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Mi'kmaq,"Wander RC, Patton BD: Lipids and fatty acids of three species of northeast Pacific finfish harvested in summer. Journal of Food Composition and Analysis 1991, 4(2):128-135."
85,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Wampanoag,"Wander RC, Patton BD: Lipids and fatty acids of three species of northeast Pacific finfish harvested in summer. Journal of Food Composition and Analysis 1991, 4(2):128-135."
86,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Inuit-Inupiaq,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
87,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Yupik,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
88,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Bella Coola,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
89,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Central Salish,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
90,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Tsimshian,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
91,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Haida,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
92,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Tlingit,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
93,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Kwakiutl,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
94,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Nootkan,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
95,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Mi'kmaq,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
96,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Wampanoag,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
97,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Inuit-Inupiaq,"Blanchet C: Contribution of selected traditional and market foods to the diet of Nunavik Inuit women. Canadian Journal of Dietetic Practice and Research 2000, 61:50-58."
98,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Yupik,"Blanchet C: Contribution of selected traditional and market foods to the diet of Nunavik Inuit women. Canadian Journal of Dietetic Practice and Research 2000, 61:50-58."
99,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Bella Coola,"Blanchet C: Contribution of selected traditional and market foods to the diet of Nunavik Inuit women. Canadian Journal of Dietetic Practice and Research 2000, 61:50-58."
100,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Central Salish,"Blanchet C: Contribution of selected traditional and market foods to the diet of Nunavik Inuit women. Canadian Journal of Dietetic Practice and Research 2000, 61:50-58."
101,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Tsimshian,"Blanchet C: Contribution of selected traditional and market foods to the diet of Nunavik Inuit women. Canadian Journal of Dietetic Practice and Research 2000, 61:50-58."
102,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Haida,"Blanchet C: Contribution of selected traditional and market foods to the diet of Nunavik Inuit women. Canadian Journal of Dietetic Practice and Research 2000, 61:50-58."
103,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Tlingit,"Blanchet C: Contribution of selected traditional and market foods to the diet of Nunavik Inuit women. Canadian Journal of Dietetic Practice and Research 2000, 61:50-58."
104,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Kwakiutl,"Blanchet C: Contribution of selected traditional and market foods to the diet of Nunavik Inuit women. Canadian Journal of Dietetic Practice and Research 2000, 61:50-58."
105,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Nootkan,"Blanchet C: Contribution of selected traditional and market foods to the diet of Nunavik Inuit women. Canadian Journal of Dietetic Practice and Research 2000, 61:50-58."
106,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Cree,"Blanchet C: Contribution of selected traditional and market foods to the diet of Nunavik Inuit women. Canadian Journal of Dietetic Practice and Research 2000, 61:50-58."
107,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Montagnais-Naskapi,"Blanchet C: Contribution of selected traditional and market foods to the diet of Nunavik Inuit women. Canadian Journal of Dietetic Practice and Research 2000, 61:50-58."
108,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Abenaki,"Blanchet C: Contribution of selected traditional and market foods to the diet of Nunavik Inuit women. Canadian Journal of Dietetic Practice and Research 2000, 61:50-58."
109,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Mi'kmaq,"Blanchet C: Contribution of selected traditional and market foods to the diet of Nunavik Inuit women. Canadian Journal of Dietetic Practice and Research 2000, 61:50-58."
110,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Wampanoag,"Blanchet C: Contribution of selected traditional and market foods to the diet of Nunavik Inuit women. Canadian Journal of Dietetic Practice and Research 2000, 61:50-58."
111,Brachyura,60,5.2,2.83,NA,NA,27,Yupik,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
112,Brachyura,60,5.2,2.83,NA,NA,27,Bella Coola,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
113,Brachyura,60,5.2,2.83,NA,NA,27,Tsimshian,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
114,Brachyura,60,5.2,2.83,NA,NA,27,Tlingit,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
115,Brachyura,60,5.2,2.83,NA,NA,27,Kwakiutl,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
116,Brachyura,60,5.2,2.83,NA,NA,27,Nootkan,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
117,Brachyura,60,5.2,2.83,NA,NA,27,Mi'kmaq,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
118,Brachyura,60,5.2,2.83,NA,NA,27,Wampanoag,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
119,Brevoortia tyrannus,60,NA,NA,NA,NA,27,Inuit-Inupiaq,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
120,Brevoortia tyrannus,60,NA,NA,NA,NA,27,Yupik,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
121,Brevoortia tyrannus,60,NA,NA,NA,NA,27,Bella Coola,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
122,Brevoortia tyrannus,60,NA,NA,NA,NA,27,Central Salish,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
