Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,DemersPelag,DepthRangeDeep,Length,obs_id,subgroup,food_name_in_english,body_part,ca_mg,fe_mg,zn_mg,epa,dha,protein,fat,biblio_id,bibliography,scientific_name,asfis_scientific_name,genus_species,submitted_name,common_name,location,season,comments_on_data_processing_methods,publication_year,food_item_id,caldata,irondata,zincdata,epadata,dhadata,proteindata,fatdata,data_here,realm
Acipenser fulvescens,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,demersal,9,274,c2,Finfish,"Lake Sturgeon, muscle",muscle,6.61,0.139,0.443,NA,NA,18.3,3.31,44,"Chan HM, Trifonopoulos M, Ing A, Receveur O, Johnson E: Consumption of freshwater fish in Kahnawake: risks and benefits. Environmental Research 1999, 80(2):S213-S222.",NA,NA,Acipenser fulvescens,Acipenser fulvescens,Lake Sturgeon,NA,NA,NA,NA,NA,1,1,1,0,0,1,1,5,freshbrack
Acipenser oxyrinchus,15.11111111111111,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.325,subtropical,demersal,46,403,c5,Finfish,"Atlantic Sturgeon, muscle",muscle,NA,NA,NA,1.4,0.57,NA,NA,55,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241.",NA,NA,Acipenser oxyrinchus,Acipenser oxyrinchus,Atlantic Sturgeon,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,2,freshbrackmarine
Albatrossia pectoralis,5.666666666666667,mainly animals (troph. 2.8 and up),variable,3.86,deep-water,bathydemersal,3500,210,bc150,Finfish,"Giant grenadier, wild, fillets, raw",muscle,NA,NA,NA,0.0186760006297002,0.0336614355988497,NA,0.21,fi30,"Oliveira A.C.M., Bechtel P.J. (2005). Lipid analysis of fillets from giant grenadier (Albatrossia pectoralis), arrow-tooth flounder (Atheresthes stomias), pacivic cod (Gadus macrocephalus) and walleye pollock (Theragra chalcogramma). Journal of Muscle Foods 17:20-33",Albatrossia pectoralis,Albatrossia pectoralis,Albatrossia pectoralis,Albatrossia pectoralis,Giant grenadier,"USA, Alaska, Kodiak",Apr 2002,FAME converted using ShF and XFA,2005,0900150,0,0,0,1,1,0,1,3,marine
Alosa alosa,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,temperate,pelagic-neritic,300,69,bc271,Finfish,"Shad (marine water), raw, wild, edible part, raw",muscle_organs,NA,NA,NA,0.670366968,1.859680295,22.42,15.91,fi57,"Güner S., Dincer B., Alemdag N., Colak A., Tüfekci M. (1998). Proximate composition and selected mineral content of commercially important fish species from the Black Sea. J Sci Food Agri 78: 337-342",Alosa alosa,Alosa alosa,Alosa alosa,Alosa alosa,Allis shad,"Turkey, Black Sea",fall 1995-spring 1996,FA converted using XFA,1998,0900290,0,0,0,1,1,1,1,4,freshbrackmarine
Alosa pseudoharengus,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,pelagic-neritic,145,40,c10,Finfish,"Alewife, muscle",muscle,NA,NA,NA,0.1,0.27,NA,3.49,55,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241.",NA,NA,Alosa pseudoharengus,Alosa pseudoharengus,Alewife,NA,NA,NA,NA,NA,0,0,0,1,1,0,1,3,freshbrackmarine
Alosa pseudoharengus,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,pelagic-neritic,145,40,c11,Finfish,"Alewife, muscle",muscle,NA,NA,NA,0.1,0.27,NA,NA,55,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241.",NA,NA,Alosa pseudoharengus,Alosa pseudoharengus,Alewife,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,2,freshbrackmarine
Alosa pseudoharengus,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,pelagic-neritic,145,40,c12,Finfish,"Alewife, muscle",muscle,NA,NA,NA,NA,NA,17.3,6.8,27,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981.",NA,NA,Alosa pseudoharengus,Alosa pseudoharengus,Alewife,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,2,freshbrackmarine
Alosa pseudoharengus,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,pelagic-neritic,145,40,c13,Finfish,"Alewife, whole",whole,NA,NA,NA,NA,NA,14,11.6,27,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981.",NA,NA,Alosa pseudoharengus,Alosa pseudoharengus,Alewife,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,2,freshbrackmarine
Alosa pseudoharengus,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,pelagic-neritic,145,40,c14,Finfish,"Alewife, offal",viscera,NA,NA,NA,NA,NA,15.6,10.1,27,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981.",NA,NA,Alosa pseudoharengus,Alosa pseudoharengus,Alewife,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,2,freshbrackmarine
Alosa pseudoharengus,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,pelagic-neritic,145,40,c15,Finfish,"Alewife, eggs",eggs,NA,NA,NA,NA,NA,16,7.9,27,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981.",NA,NA,Alosa pseudoharengus,Alosa pseudoharengus,Alewife,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,2,freshbrackmarine
Alosa sapidissima,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,pelagic-neritic,250,76,af593,Finfish,"American shad, skinless fillet, raw",muscle_skinless,NA,NA,NA,NA,NA,18.8,7.9,fi195,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,Alosa sapidissima,Alosa sapidissima,Alosa sapidissima,Alosa sapidissima,American shad,"USA, Oregon/Washington/Alaska",NA,NA,1976,0901897,0,0,0,0,0,1,1,2,freshbrackmarine
Alosa sapidissima,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,pelagic-neritic,250,76,bc822,Finfish,"American shad, wild, fillet, raw",muscle,14.4,0.9444,0.3792,NA,NA,NA,NA,fi125,"Teeny F.M., Gauglitz Jr. E.J., Hall A.S., Houle C.R.(1984). Mineral composition of the edible muscle tissue of seven species of fish from the Northeast Pacific. J. Agric. Food Chem. 32: 852-855",Alosa sapidissima,Alosa sapidissima,Alosa sapidissima,Alosa sapidissima,American shad,"USA, OR, Northeast Pacific, Seaside",NA,NA,1984,0900841,1,1,1,0,0,0,0,3,freshbrackmarine
Alosa sapidissima,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,pelagic-neritic,250,76,c18,Finfish,"American Shad, muscle",muscle,NA,0.7,NA,NA,NA,18,11.2,27,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981.",NA,NA,Alosa sapidissima,Alosa sapidissima,American Shad,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,3,freshbrackmarine
Alosa sapidissima,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,pelagic-neritic,250,76,c20,Finfish,"American Shad, offal",viscera,NA,NA,NA,NA,NA,16.7,16.3,27,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981.",NA,NA,Alosa sapidissima,Alosa sapidissima,American Shad,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,2,freshbrackmarine
Ameiurus nebulosus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,subtropical,demersal,40,55,c25,Finfish,"Brown Bullhead, muscle",muscle,12,0.653,0.403,NA,NA,15.8,1.49,44,"Chan HM, Trifonopoulos M, Ing A, Receveur O, Johnson E: Consumption of freshwater fish in Kahnawake: risks and benefits. Environmental Research 1999, 80(2):S213-S222.",NA,NA,Ameiurus nebulosus,Ameiurus nebulosus,Brown Bullhead,NA,NA,NA,NA,NA,1,1,1,0,0,1,1,5,fresh
Amia calva,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.81,subtropical,demersal,NA,109,c27,Finfish,"Bowfin, muscle",muscle,NA,NA,NA,NA,NA,20.1,1.4,27,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981.",NA,NA,Amia calva,Amia calva,Bowfin,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,2,fresh
Amia calva,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.81,subtropical,demersal,NA,109,c28,Finfish,"Bowfin, whole",whole,NA,NA,NA,NA,NA,15.5,1.5,27,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981.",NA,NA,Amia calva,Amia calva,Bowfin,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,2,fresh
Anarhichas lupus,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.73,temperate,demersal,600,150,bc1217,Finfish,"Wolf-fish, wild, fillet, raw",muscle,6.8,0.15,0.78,NA,NA,16.2,0.9,im11,"Reykdal Ó., Jörundsdóttir H.Ó., Desnica N., Hauksdóttir S., Ragnarsdóttir Þ., Vrac A., Gunnlaugsdóttir H., Pálmadóttir H. (2011). Nutrient value of seafoods – Proximates, minerals, trace elements and fatty acids in products. Matis Report 33-11. ISSN 1670-7192. (In Icelandic with English summary).",Anarhichas lupus,Anarhichas lupus,Anarhichas lupus,Anarhichas lupus,Atlantic wolffish,"Iceland, North Atlantic",NA,NA,2011,0901256,1,1,1,0,0,1,1,5,marine
Anarhichas lupus,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.73,temperate,demersal,600,150,bc1243,Finfish,"Wolf-fish, wild, fillet, raw",muscle,NA,NA,NA,0.131686107491998,0.163997286827422,NA,1.5,im11,"Reykdal Ó., Jörundsdóttir H.Ó., Desnica N., Hauksdóttir S., Ragnarsdóttir Þ., Vrac A., Gunnlaugsdóttir H., Pálmadóttir H. (2011). Nutrient value of seafoods – Proximates, minerals, trace elements and fatty acids in products. Matis Report 33-11. ISSN 1670-7192. (In Icelandic with English summary).",Anarhichas lupus,Anarhichas lupus,Anarhichas lupus,Anarhichas lupus,Atlantic wolffish,"Iceland, North Atlantic",NA,FAME converted using ShF and XFA,2011,0901282,0,0,0,1,1,0,1,3,marine
Anarhichas lupus,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.73,temperate,demersal,600,150,bc1244,Finfish,"Wolf-fish, wild, fillet, raw",muscle,NA,NA,NA,0.181546445514566,0.102133560137639,NA,1.3,im11,"Reykdal Ó., Jörundsdóttir H.Ó., Desnica N., Hauksdóttir S., Ragnarsdóttir Þ., Vrac A., Gunnlaugsdóttir H., Pálmadóttir H. (2011). Nutrient value of seafoods – Proximates, minerals, trace elements and fatty acids in products. Matis Report 33-11. ISSN 1670-7192. (In Icelandic with English summary).",Anarhichas lupus,Anarhichas lupus,Anarhichas lupus,Anarhichas lupus,Atlantic wolffish,"Iceland, North Atlantic",NA,FAME converted using ShF and XFA,2011,0901283,0,0,0,1,1,0,1,3,marine
Anarhichas lupus,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.73,temperate,demersal,600,150,bc1245,Finfish,"Wolf-fish, wild, fillet, raw",muscle,NA,NA,NA,0.169891252511819,0.179600693439993,NA,2.175,im11,"Reykdal Ó., Jörundsdóttir H.Ó., Desnica N., Hauksdóttir S., Ragnarsdóttir Þ., Vrac A., Gunnlaugsdóttir H., Pálmadóttir H. (2011). Nutrient value of seafoods – Proximates, minerals, trace elements and fatty acids in products. Matis Report 33-11. ISSN 1670-7192. (In Icelandic with English summary).",Anarhichas lupus,Anarhichas lupus,Anarhichas lupus,Anarhichas lupus,Atlantic wolffish,"Iceland, North Atlantic",NA,FAME converted using ShF and XFA,2011,0901284,0,0,0,1,1,0,1,3,marine
Anguilla rostrata,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,demersal,464,152,bc91,Finfish,"American eel, wild, skinless muscle tissue, raw",muscle_skinless,NA,NA,NA,0.0856776,0.1595376,19.1,3.4,fi21,"Otwell W.S., Rickards W.L. (1981/1982). Cultured and wild American eels, Anguilla rostrata: fat content and fatty acid composition. Aquaculture 26: 67-76",Anguilla rostrata,Anguilla rostrata,Anguilla rostrata,Anguilla rostrata,American eel,"USA, NC, Neuse River",July,PROT- (analyzed accrding to AOAC 1975); FA converted using XFA,1981,0900091,0,0,0,1,1,1,1,4,freshbrackmarine
Anguilla rostrata,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,demersal,464,152,c38,Finfish,"American Eel, muscle",muscle,NA,NA,NA,0.3,0.66,NA,NA,55,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241.",NA,NA,Anguilla rostrata,Anguilla rostrata,American Eel,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,2,freshbrackmarine
Anguilla rostrata,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,demersal,464,152,c42,Finfish,"American Eel, muscle",muscle,NA,NA,NA,0.3,0.66,NA,14.2,55,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241.",NA,NA,Anguilla rostrata,Anguilla rostrata,American Eel,NA,NA,NA,NA,NA,0,0,0,1,1,0,1,3,freshbrackmarine
Anguilla rostrata,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,demersal,464,152,c47,Finfish,"American Eel, muscle",muscle,56,NA,0.615,NA,NA,18.2,13.3,27,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981.",NA,NA,Anguilla rostrata,Anguilla rostrata,American Eel,NA,NA,NA,NA,NA,1,0,1,0,0,1,1,4,freshbrackmarine
Anoplopoma fimbria,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,bathydemersal,2740,120,af587,Finfish,"Sablefish, skinless fillet, raw",muscle_skinless,NA,NA,NA,NA,NA,13.8,15.1,fi195,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,Anoplopoma fimbria,Anoplopoma fimbria,Anoplopoma fimbria,Anoplopoma fimbria,Sablefish,"USA, SE Alaska/Washington/Oregon",NA,NA,1976,0901891,0,0,0,0,0,1,1,2,marine
Anoplopoma fimbria,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,bathydemersal,2740,120,bc196,Finfish,"Sablefish, wild, boneless, skinless fillet, raw",muscle_skinless,NA,NA,NA,0.35,0.42,NA,5.7,fi36,"Wander R.C., Patton B.D. (1991) Lipids and fatty acids of three species of Northeast Pacific finfish harvested in summer. Journal of Food Composition and Analysis, 4, 128-135",Anoplopoma fimbria,Anoplopoma fimbria,Anoplopoma fimbria,Anoplopoma fimbria,Sablefish,"USA, off the OR coast, Pacific Ocean",Sep 1987,CHOLE-: colorimetric method using ferric chloride (Sweeney and Weihrauch 1976),1991,0900196,0,0,0,1,1,0,1,3,marine
Anoplopoma fimbria,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,bathydemersal,2740,120,c51,Finfish,"Sablefish, muscle",muscle,NA,NA,NA,0.35,0.42,NA,5.7,25,"Wander RC, Patton BD: Lipids and fatty acids of three species of northeast Pacific finfish harvested in summer. Journal of Food Composition and Analysis 1991, 4(2):128-135.",NA,NA,Anoplopoma fimbria,Anoplopoma fimbria,Sablefish,NA,NA,NA,NA,NA,0,0,0,1,1,0,1,3,marine
Anoplopoma fimbria,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,bathydemersal,2740,120,c52,Finfish,"Sablefish, muscle",muscle,35,1.2,NA,NA,NA,12.9,15.2,27,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981.",NA,NA,Anoplopoma fimbria,Anoplopoma fimbria,Sablefish,NA,NA,NA,NA,NA,1,1,0,0,0,1,1,4,marine
Anoplopoma fimbria,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,bathydemersal,2740,120,c53,Finfish,"Sablefish, offal",viscera,NA,NA,NA,NA,NA,12.9,14.7,27,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981.",NA,NA,Anoplopoma fimbria,Anoplopoma fimbria,Sablefish,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,2,marine
Aphanopus carbo,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.48,deep-water,bathypelagic,2300,151,bc112,Finfish,"Black scabbardfish, wild, skinless fillets, raw",muscle_skinless,11.9,NA,0.27,0.0424763,0.12370675,16.9,2.5,fi25,"Bandarra N.M., Batista I., Nunes M.L. (2009). Chemical composition and nutritional value of raw and cooked black scabbardfish (Aphanopus carbo). Scientia Marina 73(S2): 105-113",Aphanopus carbo,Aphanopus carbo,Aphanopus carbo,Aphanopus carbo,Black scabbardfish,"Portugal, caught off Sesimbra",Jan 2007-Jan 2008,FA converted using XFA,2009,0900112,1,0,1,1,1,1,1,6,marine
Aphanopus carbo,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.48,deep-water,bathypelagic,2300,151,bc113,Finfish,"Black scabbardfish, wild, skin-on fillets, raw",muscle,NA,NA,NA,NA,NA,16.1,6.7,fi25,"Bandarra N.M., Batista I., Nunes M.L. (2009). Chemical composition and nutritional value of raw and cooked black scabbardfish (Aphanopus carbo). Scientia Marina 73(S2): 105-113",Aphanopus carbo,Aphanopus carbo,Aphanopus carbo,Aphanopus carbo,Black scabbardfish,"Portugal, caught off Sesimbra",Jan 2007-Jan 2008,NA,2009,0900113,0,0,0,0,0,1,1,2,marine
Aphanopus carbo,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.48,deep-water,bathypelagic,2300,151,bc114,Finfish,"Black scabbardfish, wild, skinless fillets, raw",muscle_skinless,14,0.1,0.5,0.0479,0.1395,15.7,2.8,fi25,"Bandarra N.M., Batista I., Nunes M.L. (2009). Chemical composition and nutritional value of raw and cooked black scabbardfish (Aphanopus carbo). Scientia Marina 73(S2): 105-113",Aphanopus carbo,Aphanopus carbo,Aphanopus carbo,Aphanopus carbo,Black scabbardfish,"Portugal, caught off Sesimbra",Jan 2007-Jan 2008,NA,2009,0900114,1,1,1,1,1,1,1,7,marine
Arripis trutta,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.7,subtropical,pelagic-neritic,39,89,bc204,Finfish,"Kahawai, wild, skinless fillet, frozen",muscle_skinless,NA,NA,NA,NA,NA,21.2,8.6,fi42,Vlieg P. (1985). Proximate analysis of commercial New Zealand fish species - 4. New Zealand Journal of Technology 1: 245-249,Arripis trutta,Arripis trutta,Arripis trutta,Arripis trutta,Australian salmon,New Zealand,Feb 1984,NA,1985,0900204,0,0,0,0,0,1,1,2,brackmarine
Atheresthes stomias,5.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,polar,demersal,950,84,af561,Finfish,"Arrowtooth flounder, skinless muscle flesh, raw",muscle_skinless,NA,NA,NA,NA,NA,17.7,2.3,fi195,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,Atheresthes stomias,Atheresthes stomias,Atheresthes stomias,Atheresthes stomias,Arrow-tooth flounder,"USA, SE Alaska/Washington/Oregon",NA,NA,1976,0901865,0,0,0,0,0,1,1,2,marine
