cine_id,genus_species,ca_mg,fe_mg,zn_mg,epa,dha,biblio_id,culture,culture_page_id
90,Cardiidae,116,NA,NA,NA,NA,27,Tlingit,6506
90,Cardiidae,116,NA,NA,NA,NA,27,Kwakiutl,6506
90,Cardiidae,116,NA,NA,NA,NA,27,Nootkan,6506
96,Catostomus catostomus,63.1,0.3,0.5,0.075,0.212,2,Inuit-Inupiaq,6403
96,Catostomus catostomus,63.1,0.3,0.5,0.075,0.212,2,Central Salish,6403
96,Catostomus catostomus,63.1,0.3,0.5,0.075,0.212,2,Tlingit,6403
96,Catostomus catostomus,63.1,0.3,0.5,0.075,0.212,2,Cree,6403
96,Catostomus catostomus,63.1,0.3,0.5,0.075,0.212,2,Montagnais-Naskapi,6403
96,Catostomus catostomus,63.1,0.3,0.5,0.075,0.212,2,Micmac,6403
99,Catostomus commersonii,19.6,0.2,0.3,0.083,0.179,2,Inuit-Inupiaq,6403
99,Catostomus commersonii,19.6,0.2,0.3,0.083,0.179,2,Central Salish,6403
99,Catostomus commersonii,19.6,0.2,0.3,0.083,0.179,2,Tlingit,6403
99,Catostomus commersonii,19.6,0.2,0.3,0.083,0.179,2,Cree,6403
99,Catostomus commersonii,19.6,0.2,0.3,0.083,0.179,2,Montagnais-Naskapi,6403
99,Catostomus commersonii,19.6,0.2,0.3,0.083,0.179,2,Micmac,6403
106,Centropristis striata,10.4,0.136,0.341,NA,NA,65,Inuit-Inupiaq,6437
106,Centropristis striata,10.4,0.136,0.341,NA,NA,65,Yupik,6437
106,Centropristis striata,10.4,0.136,0.341,NA,NA,65,Bella Coola,6437
106,Centropristis striata,10.4,0.136,0.341,NA,NA,65,Central Salish,6437
106,Centropristis striata,10.4,0.136,0.341,NA,NA,65,Tsimshian,6437
106,Centropristis striata,10.4,0.136,0.341,NA,NA,65,Haida,6437
106,Centropristis striata,10.4,0.136,0.341,NA,NA,65,Tlingit,6437
106,Centropristis striata,10.4,0.136,0.341,NA,NA,65,Kwakiutl,6437
106,Centropristis striata,10.4,0.136,0.341,NA,NA,65,Nootkan,6437
106,Centropristis striata,10.4,0.136,0.341,NA,NA,65,Micmac,6437
106,Centropristis striata,10.4,0.136,0.341,NA,NA,65,Wampanoag,6437
107,Centropristis striata,41,NA,NA,NA,NA,27,Inuit-Inupiaq,6437
107,Centropristis striata,41,NA,NA,NA,NA,27,Yupik,6437
107,Centropristis striata,41,NA,NA,NA,NA,27,Bella Coola,6437
107,Centropristis striata,41,NA,NA,NA,NA,27,Central Salish,6437
107,Centropristis striata,41,NA,NA,NA,NA,27,Tsimshian,6437
107,Centropristis striata,41,NA,NA,NA,NA,27,Haida,6437
107,Centropristis striata,41,NA,NA,NA,NA,27,Tlingit,6437
107,Centropristis striata,41,NA,NA,NA,NA,27,Kwakiutl,6437
107,Centropristis striata,41,NA,NA,NA,NA,27,Nootkan,6437
107,Centropristis striata,41,NA,NA,NA,NA,27,Micmac,6437
107,Centropristis striata,41,NA,NA,NA,NA,27,Wampanoag,6437
108,Centropristis striata,NA,NA,0.142,NA,NA,27,Inuit-Inupiaq,6437
108,Centropristis striata,NA,NA,0.142,NA,NA,27,Yupik,6437
108,Centropristis striata,NA,NA,0.142,NA,NA,27,Bella Coola,6437
108,Centropristis striata,NA,NA,0.142,NA,NA,27,Central Salish,6437
108,Centropristis striata,NA,NA,0.142,NA,NA,27,Tsimshian,6437
108,Centropristis striata,NA,NA,0.142,NA,NA,27,Haida,6437
108,Centropristis striata,NA,NA,0.142,NA,NA,27,Tlingit,6437
108,Centropristis striata,NA,NA,0.142,NA,NA,27,Kwakiutl,6437
108,Centropristis striata,NA,NA,0.142,NA,NA,27,Nootkan,6437
108,Centropristis striata,NA,NA,0.142,NA,NA,27,Micmac,6437
108,Centropristis striata,NA,NA,0.142,NA,NA,27,Wampanoag,6437
114,Clinocardium nuttallii,30,16.2,NA,NA,NA,19,Tsimshian,6506
114,Clinocardium nuttallii,30,16.2,NA,NA,NA,19,Haida,6506
114,Clinocardium nuttallii,30,16.2,NA,NA,NA,19,Tlingit,6506
114,Clinocardium nuttallii,30,16.2,NA,NA,NA,19,Kwakiutl,6506
114,Clinocardium nuttallii,30,16.2,NA,NA,NA,19,Nootkan,6506
121,Clupea harengus,20,1,0.701,NA,NA,27,Inuit-Inupiaq,6431
121,Clupea harengus,20,1,0.701,NA,NA,27,Yupik,6431
121,Clupea harengus,20,1,0.701,NA,NA,27,Bella Coola,6431
121,Clupea harengus,20,1,0.701,NA,NA,27,Central Salish,6431
121,Clupea harengus,20,1,0.701,NA,NA,27,Tsimshian,6431
121,Clupea harengus,20,1,0.701,NA,NA,27,Haida,6431
121,Clupea harengus,20,1,0.701,NA,NA,27,Tlingit,6431
121,Clupea harengus,20,1,0.701,NA,NA,27,Kwakiutl,6431
121,Clupea harengus,20,1,0.701,NA,NA,27,Nootkan,6431
121,Clupea harengus,20,1,0.701,NA,NA,27,Abenaki,6431
121,Clupea harengus,20,1,0.701,NA,NA,27,Micmac,6431
127,Clupea harengus,NA,NA,NA,1.05,1.29,55,Inuit-Inupiaq,6431
127,Clupea harengus,NA,NA,NA,1.05,1.29,55,Yupik,6431
127,Clupea harengus,NA,NA,NA,1.05,1.29,55,Bella Coola,6431
127,Clupea harengus,NA,NA,NA,1.05,1.29,55,Central Salish,6431
127,Clupea harengus,NA,NA,NA,1.05,1.29,55,Tsimshian,6431
127,Clupea harengus,NA,NA,NA,1.05,1.29,55,Haida,6431
127,Clupea harengus,NA,NA,NA,1.05,1.29,55,Tlingit,6431
127,Clupea harengus,NA,NA,NA,1.05,1.29,55,Kwakiutl,6431
127,Clupea harengus,NA,NA,NA,1.05,1.29,55,Nootkan,6431
127,Clupea harengus,NA,NA,NA,1.05,1.29,55,Abenaki,6431
127,Clupea harengus,NA,NA,NA,1.05,1.29,55,Micmac,6431
131,Clupea pallasii pallasii,19,2.7,NA,NA,NA,19,Inuit-Inupiaq,6431
131,Clupea pallasii pallasii,19,2.7,NA,NA,NA,19,Yupik,6431
131,Clupea pallasii pallasii,19,2.7,NA,NA,NA,19,Bella Coola,6431
131,Clupea pallasii pallasii,19,2.7,NA,NA,NA,19,Central Salish,6431
131,Clupea pallasii pallasii,19,2.7,NA,NA,NA,19,Tsimshian,6431
131,Clupea pallasii pallasii,19,2.7,NA,NA,NA,19,Haida,6431
131,Clupea pallasii pallasii,19,2.7,NA,NA,NA,19,Tlingit,6431
131,Clupea pallasii pallasii,19,2.7,NA,NA,NA,19,Kwakiutl,6431
131,Clupea pallasii pallasii,19,2.7,NA,NA,NA,19,Nootkan,6431
131,Clupea pallasii pallasii,19,2.7,NA,NA,NA,19,Abenaki,6431
131,Clupea pallasii pallasii,19,2.7,NA,NA,NA,19,Micmac,6431
134,Clupea pallasii pallasii,NA,0.9,NA,NA,NA,34,Inuit-Inupiaq,6431
134,Clupea pallasii pallasii,NA,0.9,NA,NA,NA,34,Yupik,6431
134,Clupea pallasii pallasii,NA,0.9,NA,NA,NA,34,Bella Coola,6431
134,Clupea pallasii pallasii,NA,0.9,NA,NA,NA,34,Central Salish,6431
134,Clupea pallasii pallasii,NA,0.9,NA,NA,NA,34,Tsimshian,6431
134,Clupea pallasii pallasii,NA,0.9,NA,NA,NA,34,Haida,6431
134,Clupea pallasii pallasii,NA,0.9,NA,NA,NA,34,Tlingit,6431
134,Clupea pallasii pallasii,NA,0.9,NA,NA,NA,34,Kwakiutl,6431
134,Clupea pallasii pallasii,NA,0.9,NA,NA,NA,34,Nootkan,6431
134,Clupea pallasii pallasii,NA,0.9,NA,NA,NA,34,Abenaki,6431
134,Clupea pallasii pallasii,NA,0.9,NA,NA,NA,34,Micmac,6431
135,Clupea pallasii pallasii,83,1.7,NA,NA,NA,27,Inuit-Inupiaq,6431
135,Clupea pallasii pallasii,83,1.7,NA,NA,NA,27,Yupik,6431
135,Clupea pallasii pallasii,83,1.7,NA,NA,NA,27,Bella Coola,6431
135,Clupea pallasii pallasii,83,1.7,NA,NA,NA,27,Central Salish,6431
135,Clupea pallasii pallasii,83,1.7,NA,NA,NA,27,Tsimshian,6431
135,Clupea pallasii pallasii,83,1.7,NA,NA,NA,27,Haida,6431
135,Clupea pallasii pallasii,83,1.7,NA,NA,NA,27,Tlingit,6431
135,Clupea pallasii pallasii,83,1.7,NA,NA,NA,27,Kwakiutl,6431
135,Clupea pallasii pallasii,83,1.7,NA,NA,NA,27,Nootkan,6431
135,Clupea pallasii pallasii,83,1.7,NA,NA,NA,27,Abenaki,6431
135,Clupea pallasii pallasii,83,1.7,NA,NA,NA,27,Micmac,6431
143,Coregonus artedi,12,NA,NA,NA,NA,27,Inuit-Inupiaq,6388
143,Coregonus artedi,12,NA,NA,NA,NA,27,Yupik,6388
143,Coregonus artedi,12,NA,NA,NA,NA,27,Central Salish,6388
143,Coregonus artedi,12,NA,NA,NA,NA,27,Tlingit,6388
143,Coregonus artedi,12,NA,NA,NA,NA,27,Cree,6388
143,Coregonus artedi,12,NA,NA,NA,NA,27,Montagnais-Naskapi,6388
143,Coregonus artedi,12,NA,NA,NA,NA,27,Micmac,6388
169,Coregonus clupeaformis,NA,NA,1.3,NA,NA,27,Inuit-Inupiaq,6388
169,Coregonus clupeaformis,NA,NA,1.3,NA,NA,27,Yupik,6388
169,Coregonus clupeaformis,NA,NA,1.3,NA,NA,27,Central Salish,6388
169,Coregonus clupeaformis,NA,NA,1.3,NA,NA,27,Tlingit,6388
169,Coregonus clupeaformis,NA,NA,1.3,NA,NA,27,Cree,6388
169,Coregonus clupeaformis,NA,NA,1.3,NA,NA,27,Montagnais-Naskapi,6388
169,Coregonus clupeaformis,NA,NA,1.3,NA,NA,27,Micmac,6388
170,Coregonus clupeaformis,25.7,0.3,0.3,0.059,0.251,2,Inuit-Inupiaq,6388
170,Coregonus clupeaformis,25.7,0.3,0.3,0.059,0.251,2,Yupik,6388
170,Coregonus clupeaformis,25.7,0.3,0.3,0.059,0.251,2,Central Salish,6388
170,Coregonus clupeaformis,25.7,0.3,0.3,0.059,0.251,2,Tlingit,6388
170,Coregonus clupeaformis,25.7,0.3,0.3,0.059,0.251,2,Cree,6388
170,Coregonus clupeaformis,25.7,0.3,0.3,0.059,0.251,2,Montagnais-Naskapi,6388
170,Coregonus clupeaformis,25.7,0.3,0.3,0.059,0.251,2,Micmac,6388
179,Coregonus nasus,NA,3.9,NA,NA,NA,34,Inuit-Inupiaq,6388
179,Coregonus nasus,NA,3.9,NA,NA,NA,34,Yupik,6388
179,Coregonus nasus,NA,3.9,NA,NA,NA,34,Central Salish,6388
179,Coregonus nasus,NA,3.9,NA,NA,NA,34,Tlingit,6388
179,Coregonus nasus,NA,3.9,NA,NA,NA,34,Cree,6388
179,Coregonus nasus,NA,3.9,NA,NA,NA,34,Montagnais-Naskapi,6388
179,Coregonus nasus,NA,3.9,NA,NA,NA,34,Micmac,6388
181,Coregonus nasus,NA,8.6,NA,NA,NA,34,Inuit-Inupiaq,6388
181,Coregonus nasus,NA,8.6,NA,NA,NA,34,Yupik,6388
181,Coregonus nasus,NA,8.6,NA,NA,NA,34,Central Salish,6388
181,Coregonus nasus,NA,8.6,NA,NA,NA,34,Tlingit,6388
181,Coregonus nasus,NA,8.6,NA,NA,NA,34,Cree,6388
181,Coregonus nasus,NA,8.6,NA,NA,NA,34,Montagnais-Naskapi,6388
181,Coregonus nasus,NA,8.6,NA,NA,NA,34,Micmac,6388
183,Coregonus nasus,NA,0.9,NA,NA,NA,34,Inuit-Inupiaq,6388
183,Coregonus nasus,NA,0.9,NA,NA,NA,34,Yupik,6388
183,Coregonus nasus,NA,0.9,NA,NA,NA,34,Central Salish,6388
