BiblioID,Bibliography
fi112,"Decker E.A., Crum A.D., Mims S.D., Tidwell J.H. (1991). Processing yields and composition of paddlefish (Polyodon spathula), a potential aquaculture species. J. Agric. Food Chem 39: 686-688"
fi113,"Oku T. Sugawara A., Choudhury M., Komatsu M., Yamada S., Ando S. (2009). Lipid and fatty acid compositions differntiate between wild and cultured Japanese eel (Anguilla japonica). Food Chemistry 115: 436-440"
fi113,"Oku T. Sugawara A., Choudhury M., Komatsu M., Yamada S., Ando S. (2009). Lipid and fatty acid compositions differntiate between wild and cultured Japanese eel (Anguilla japonica). Food Chemistry 115: 436-440"
fi114,"Bhuiyan A.K.M.A., Ratnayake W.M.N., Ackman R.G. (1993). Nutritional composition of raw and smoked Atlantic mackerel (Scomber scombrus): Oil- and water-soluble vitamins. Journal of Food Composition and Analysis 6: 172-184"
fi115,"Fuentes A., Fernández-Segovia I., Barat J.M., Serra J.A. (2010). Physicochemical characterization of some smoked and marinated fish products. Journal of Food Processing and Preservation 34: 83-103"
fi115,"Fuentes A., Fernández-Segovia I., Barat J.M., Serra J.A. (2010). Physicochemical characterization of some smoked and marinated fish products. Journal of Food Processing and Preservation 34: 83-103"
fi116,"Bhuiyan A.K.M.A., Ratnayake W.M.N., Ackman R.G. (1986). Effect of smoking on the proximate composition of Atlantic mackerel (Scomber scombrus). Journal of Food Science 51(2): 327-329"
fi117,"Vlieg P., Murray T., Body D.R. (1993). Nutritional data on six Oceanic Pelagic fish species from New Zealand waters. Journal of Food Composition and Analysis 6: 45-54"
fi118,"Eckhoff K.M., Maage A. (1997). Iodine content in fish and other food products from East Africa analyzed by ICP-MS. Journal of Food Composition and Analysis 10: 270-282"
fi118,"Eckhoff K.M., Maage A. (1997). iodine content in fish and other food products from East Africa analyzed by ICP-MS. Journal of Food Composition and Analysis 10: 270-282"
fi119,"Mattila P., Ronkainen R., Lehikoinen K., Piironen V. (1999). Effect of household cooking on the Vitamin D content in fish, eggs, and wild mushrooms. Journal of Food Composition and Analysis 12: 153-160"
fi119,"Mattila P., Ronkainen R., Lehikoinen K., Piironen V. (1999). Effect of household cooking on the vitamin D content in fish, eggs, and wild mushrooms. Journal of Food Composition and Analysis 12: 153-160"
fi12,"Orban E., Nevigato T., Di Lena G., Masci M., Casini I., Gambelli L., Caproni R. (2008) New trends in the seafood market. Sutchi catfish (Pangasius hypophthalmus) fillets from Vietnam: Nutritional quality and safety aspects. Food Chem 110: 383-389"
fi120,"Nettleton J.A., Exler J. (1992). Nutrients in wild and farmed fish and shellfish. Journal of Food Science 57(2): 257-260"
fi120,"Nettleton J.A., Exler J. (1992). Nutrients in wild and farmed fish and shellfish. Journal of Food Science 57(2): 257-260"
fi121,"Bouriga N., Selmi S., Faure E., Trabelsi M. (2010). Biochemical composition of three Tunisian silverside (fish) populations caught in open sea, lagoon and island coasts. African Journal of Biotechnology 9(26): 4114-4119"
fi122,"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). Cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243"
fi122,"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243"
fi123,"Rasoarahona J.R.E., Ramanoelina P.A.R., Bianchini J.-P., Gaydou E.M. (2008). Muscle lipids and fatty acid profiles of the sea catfish (Arius madagascariensis) in Madagascar inland waters. Journal of the American Oil Chemist's Society 85(5): 435-440"
fi124,"Loukas V., Dimizas C., Sinanoglou V., Miniadis-Meimaroglou S. (2010). EPA, DHA, cholesterol and phospholipid content in Pagrus pagrus (cultured and wild), Trachinus draco und Trigla lyra from Mediterranean Sea. Chemistry and Physics of Lipids 163: 292-299"
fi124,"Loukas V., Dimizas C., Sinanoglou V., Miniadis-Meimaroglou S. (2010). EPA, DHA, cholesterol and phospholipid content in Pagrus pagrus (cultured and wild), Trachinus draco und Trigla lyra from Mediterranean Sea. Chemistry and Physics of Lipids 163: 292-299"
fi125,"Teeny F.M., Gauglitz Jr. E.J., Hall A.S., Houle C.R.(1984). Mineral composition of the edible muscle tissue of seven species of fish from the Northeast Pacific. J. Agric. Food Chem. 32: 852-855"
fi126,"Rebah F.B., Abdelmouleh A., Kammoun W., Yezza A. (2010). Seasonal variation of lipid content and fatty acid composition of Sardinella aurita from Tunisian coast. Journal of the Marine Biological Association of the United Kingdom 90(3): 569-573"
fi127,"Wu T., Mao L. (2008). Influences of hot air drying and microwave drying on nutritional and odorous properties of grass carp (Ctenophayngodon idellus) fillets. Food Chemistry 110: 647-653"
fi128,"González S., Flick G.J., O'Keefe S.F., Duncan S.E., McLean E. Craig S.R. (2006). Composition of farmed and wild yellow perch (Perca flavescens). Journal of Food Composition and Analysis 19: 720-726"
fi128,"González S., Flick G.J., O'Keefe S.F., Duncan S.E., McLean E. Craig S.R. (2006). Composition of farmed and wild yellow perch (Perca flavescens). Journal of Food Composition and Analysis 19: 720-726"
fi129,"Roos N., Chamnan C., Loeung D., Jakobsen J., Thilsted S.H. (2007). Freshwater fish a ad dietary source of vitamin A in Cambodia. Food Chemistry 103: 1104-1111"
fi13,"Karl H., Lehmann I., Rehbein H., Schubring R. (2010.) Composition and quality attributes of conventionally and organically farmed Pangasius fillets (Pangasius hypophthalmus) on the German market. Int J Food Sci Technol 45: 56-66"
fi130,"Eboh L. Mepba H.D. Ekpo M.B. (2006). Heavy metal contaminants and processing effects on the composition, storage stabilty and fatty acid profile of five common commercially available fish species in Oron Local Government, Nigeria. Food Chemistry 97: 490-497"
fi131,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
fi132,"Karahadian C., Fowler K.P., Dyveke H.C. (1995). Comparison of chemical composition of striped bass (Morone saxatilis) from three Chesapeake Bay tributaries with those of two aquaculture hybrid striped bass types. Food Chemistry 54(4): 409-418"
fi132,"Karahadian C., Fowler K.P., Dyveke H.C. (1995). Comparison of chemical composition of striped bass (Morone saxatilis) from three Chesapeake Bay tributaries with those of two aquaculture hybrid striped bass types. Food Chemistry 54(4): 409-418"
fi133,"Miniadis-Meimaroglou S., Dimizas C., Loukas V., Moukas A., Vlachos A., Thomaidis N., Paraskevopoulou V., Dasenakis M. (2007). Proximate composition, fatty acids, cholesterol, minerals in frozen red porgy. Chemistry and Physics of Lipids 146: 104-110"
fi134,"Luzzana U., Scolari M., Campo Dall'Orto B., Vaini F.A., Nargaye N., Valfré F. (2002). Fillet yield and chemical composition of farm-raised sunshine bass (Morono chrysops x Morone saxatilis) fed high-energy diets. J. Appl. Ichthyol. 18: 65-69"
fi135,"Rodríguez C., Acosta C., Badía P., Cejas J.R., Santamaría F.J., Lorenzo A. (2004). Assessment of lipid and essential fatty acids requirements of black seabream (Spondyliosoma cantharus) by comparison of lipid composition in muscle and liver of wild and captive adult fish. Comparative Biochemistry and Physiology, PartB 139:619-629"
fi136,"Yanar Y., Küçükgülmez A., Ersoy B., Celik M. (2006). Cooking effects on fatty acid composition of cultured sea bass (Dicentrarchus labrax) fillets. Journal of Muscle Foods 18: 88-94"
fi137,Méndez E. González R.M. (1997). Seasonal changes in the chemical and lipid composition of fillets of the Southwest Atlantic hake (Merluccius hubbsi). Food Chemistry 59(2): 213-217
fi138,"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631"
fi139,"Steiner-Asiedu M., Julshamn K., Lie Ø. (1991). Effect of local processing methods (cooking, frying and smoking) on three fish species from Ghana: Part I. Proximate composition, fatty acids, minerals, trace elements and vitamins. Food Chemistry 40:309-321"
fi14,"Wu W.-H., Lillard D.A. (1998). Cholesterol and proximate composition of channel catfish (Ictalurus punctatus) fillets-changes following cooking by microwave heating, deep-fat frying, and oven baking. J Food Qual 21: 41-51"
fi140,"Steiner-Asiedu M., Asiedu D., Njaa L.R. (1991). Effect of local processing methods (cooking, frying and smoking) on three fish species from Ghana: Part II. amino acids and protein quality. Food Chemistry 41: 227-236"
fi141,"Mai J., Shetty J.K., Kan T.-M., Kinsella J.E. (1980). protein and amino acid composition of select freshwater fish. J. Agric. Food Chem. 28(4): 884-885"
fi142,"Eslami S., Hajizadeh Moghaddam A., Jafari N., Nabavi S.F., Nabavi M.S., Ebrahimzadeh M.A. (2010). Trace element level in different tissues of Rutilus frisii kutum collected from Tajan river, Iran. Biological Trace Element Research 1-9 (article in press)"
fi143,"Badiani A., Anfossi P., Fiorentini L., Gatta P.P., Manfredini M., Nanni N., Stipa S. Tolomelli B. (1996). Nutritional composition of cultured sturegeon (Acipenser spp.). Journal of Food Composition and Analysis 9: 171-190"
fi144,"Majumdar R.K., Basu S. (2009). Studies on seasonal variation in the biochemical composition of the Indian shad, Tenualosa ilisha (Hamilton, 1822). Indian J. Fish 56(3): 205-209"
fi145,"Grigorakis K., Alexis M.N., Taylor K.D.A., Hole M. (2002). Comparison of wild and cultured gildhead sea bream (Sparus aurata); composition, appearance and seasonal variations. International Journal of Food Science and Technology 37:477-484"
fi145,"Grigorakis K., Alexis M.N., Taylor K.D.A., Hole M. (2002). Comparison of wild and cultured gildhead sea bream (Sparus aurata); composition, appearance and seasonal variations. International Journal of Food Science and Technology 37:477-484"
fi146,"Gladyshev M.I., Sushchik N.N., Gubanenko G.A., Demirchieva S.M., Kalachova G.S. (2007). Effect of boiling and frying on the content of essential polyunsaturated fatty acids in muscle tissue of four fish species. Food Chemistry 101:1694-1700"
fi146,"Gladyshev M.I., Sushchik N.N., Gubanenko G.A., Demirchieva S.M., Kalachova G.S. (2007). Effect of boiling and frying on the content of essential polyunsaturated fatty acids in muscle tissue of four fish species. Food Chemistry 101:1694-1700"
fi147,"Thakur D.P., Morioka K., Itoh N., Wada M., Itoh Y. (2009). Muscle biochemical constituents of cultured amberjack Seriola dumerili and their influence ond raw meat texture. Fish Sci 75:1489-1498"
fi148,Balogun A.M. (1985). Proximate analysis of the flesh and anatomical weight composition of skipjack tuna (Katsuwonus pelamis). Food Chemistry 17: 117-123
fi149,"Castro-González M.I., Silencio Barrita J.L., Juárez Silva M.E., Montaño Benavides S., Pérez-Gil Romo F. (1998). Composición química de la fauna de acompañamiento del camarón de Veracruz (Golfo de México). Revista de Biología Tropical 46(2): 249-256"
fi15,"Garduno-Lugo M., Herrera-Solís J.R., Angulo-Guerrero J.O., Munoz-Córdova G., De la Cruz-Medina J. (2007). Nutrient composition and sensory evaluation of fillets from wild-type Nile tilapia (Oreochromis niloticus, Linnaeus) and red hybrid (Florida red tilapia x red O. niloticus). Aquaculture Res 38: 1074-1081."
fi150,"Stephen N.M., Shakila J.R., Jeyasekaran G., Sukumar D. (2010). Effect of different types of heat processing on chemical changes in tuna. J Food Sci Technol 47(2): 174-181"
fi151,"Perea A. Gómez E. Mayorga Y., Triana C.Y. (2008). Caracterización nutricional de pescados de produccion y consumo regional en Bucaramanga, Colombia. Archivos Latinoamericanos de Nutricion 58(1): 91-97"
fi151,"Perea A. Gómez E. Mayorga Y., Triana C.Y. (2008). Caracterización nutricional de pescados de produccion y consumo regional en Bucaramanga, Colombia. Archivos Latinoamericanos de Nutricion 58(1): 91-97"
fi152,"Castro-González M.I., Ojeda A., Silncio J.L., Cassis L., Ledesma H., Pérez-Gil F. (2004). Perfil lipídico de 25 pescados marinos mexicanos con especial énfasis en sus ácidos grasos n-3 como components nutracéuticos. Archivos Latinoamericanos de Nutricíon 54(3): 328-336"
fi153,"García-Arias M.T., Navarro M.P., García-Linares M.C. (2004). Effects of different thermal treatments and storage on the proximate composition and protein quality in canned tuna. Archivos Latinoamericanos de Nutricíon 54(1): 112-117"
fi154,"Manthey-Karl M, Karl H., Lehmann I., Meyer C. Ostermeyer U., Schubring R. (2010). Quality of organically and conventionally farmed rainbow trout (Oncorhynchus mykiss) and smoked products thereof from the German market. Arch Lebensmittelhyg 61: 40-49"
fi155,"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
fi155,"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
fi156,"Gordon D.T., Roberts G.L., Heintz D.M. (1979). thiamin, riboflavin and niacin content and stability in pacific coast seafoods. J. Agric. Food Chem. 27(3): 483-490"
fi157,"Caula F.C.B., de Oliveira M.P., Maiaa E.L. (2008). Teor de colesterol e composição centesimal de algumas especies de peixes do estado do Ceará. Ciência e Tecnologia de Alimentos 28(4): 959-963"
fi158,"Orban E., Di Lana G., Nevigato T., Casini I., Caproni R., Santaroni G., Giulini G. (2006). Nutritional and commercial quality of the striped venus clam, Chamelea gallina, from the Adriatic sea. Food Chemistry 101: 1063-1070"
fi159,"Barrento S., Marques A., Teixeira B., Vaz-Pires P., Carvalho M.L., Nunes M.L. (2008). Essential elements and contaminants in edible tissues of European and American lobsters. Food Chemistry 111: 862-867"
fi16,"Özyurt G., Polat A., Loker G.B. (2009). vitamin And mineral content of pike perch (Sander lucioperca), common carp (Cyprinus carpio), and European catfish (Silurus glanis). Turk J Vet Anim Sci 33(4): 351-356"
fi160,"Saito H., Ishihara K. (1996). Docosahexaenoic acid content of fatty acids in lipids of two species of frigate mackerel, Auxis rocheri and Auxis thazard. Biosci. Biotech. Biochem. 60(6): 1014-1016"
fi161,"Chen D.-W., Zhang M., Shrestha S. (2007). Compositional characteristics and nutritional quality of Chinese mitten crab (Eriocheir sinensis). Food Chemistry 103: 1343-1349"
fi162,"Lourenço H.M., Anacleto P., Afonso C., Martins M.F., Carvalho M.L., Lino A.R., Nunes M.L. (2009). Chemical characterisation of Nephrops norvegicus from the Portuguese coast. J Sci Food Agric 89: 2572-2580"
fi163,"Liu L.L., Wang S.P. (2002). Histology and biochemical composition of the autotomy mantle of Ficus ficus (Mesogastropoda: Ficidae). Acta Zoologica 83:111-116"
fi164,"Skonberg D.I., Perkins B.L. (2002). Nutrient composition of green crab (Carcinus maenus) leg meat and claw meat. Food Chemistry 77: 401-404"
fi165,"Latyshev N.A., Kasyanov S.P., Kharlamenko V.I., Svetashev V.I. (2009). Lipids and of fatty acids od edible crabs o the north-western Pacific. Food Chemistry 116: 657-661"
fi166,"Lytle J.S., Lytle T.F. (1994). Fatty acid and cholesterol content of sharks and rays. Journal of Food Composition and Analysis 7: 110-118"
fi167,"Kalay M., Sangün M.K., Ayas D., Göçer M. (2008). Chemical composition and some trace element levels of thinlip mullet, Liza ramada caught from Mersin Gulf. Ekoloji 17(68): 11-16"
fi168,"Zlatanos S., Laskaridis K., Sagredos A. (2009). Determination of proximate composition, fatty acid content and amino acid profile of five lesser-common sea organism from the Mediterranean Sea. International Journal of Food Science and Technology 44:1590-1594"
fi169,"Fuentes A., Fernández-Segovia I., Escriche I., Serra J.A. (2009). Comparison of physico-chemical parameters and composition of mussels (Mytilus galloprovincialis Lmk.) from different Spanish origins. Food Chemistry 112: 295-302"
fi17,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210"
fi170,"Sriket P., Benjakul S., Visessanguan W., Kijroongrojana K. (2007). Comparative studies of chemical composition and thermal properties of black tiger shrimp (Penaeus monodon) and white shrimp (Penaeus vannamei) meats. Food Chemistry 103: 119-1207"
fi171,"Heu M.-S., Kim J.-S., Shahidi F. (2003). Components and nutritional quality of shrimp processing by-products. Food Chemistry 82:235-242"
fi172,"Yanar Y., Celik M. (2006). Seasonal amino acid profiles and mineral contents of green tiger shrimp (Penaeus semisulcatus De Haan, 1844) and speckled shrimp (Metapenaeus monoceros Fabricus, 1789) from the Eastern Mediterranean. Food Chemistry 94: 33-36"
fi173,"Kalogeropoulos N., Andrikopoulos N.K., Hassapidou M. (2004). Dietary evalutation of Mediterranean fish and molluscs pan-fried in virgin olive oil. Journal of the Science of Food and Agriculture 84:1750-1758"
fi173,"Kalogeropoulos N., Andrikopoulos N.K., Hassapidou M. (2004). Dietary evalutation of Mediterranean fish and molluscs pan-fried in virgin olive oil. Journal of the Science of Food and Agriculture 84:1750-1758"
fi174,"Linehan L.G., O'Connor T.P., Burnell G. (1999). Seasonal variation in the chemical composition and fatty acid profile of Pacific oysters (Crassostrea gigas). Food Chemistry 64:211-214"
fi175,"Musaiger A.O., Al-Rumaidh M.J. (2005). Proximate and mineral composition of crab meat consumed in Bahrain. International Journal of Food Sciences and Nutrition 56(4): 231-235"
fi176,Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150
fi177,"King I., Childs M.T., Dorsett C., Ostrander J.G., Monsen E.R. (1990). Shellfish: Proximate composition, minerals, fatty acids, and sterols. Journal of the American Dietetic Association 90(5): 677-685"
fi178,"Biandolino F., Portacci G., Prato E. (2010). Influence of natural diet on growth and biochemical composition of Octopus vulgaris Cuvier, 1797. Aqucult Int 18: 1163-1175"
fi179,"Roos N., Wahab Md. A., Chamnan C., Thilsted S.H. (2007). The role of fish in food-based-strategies to combat Vitamin A and mineral deficiencies in developing countries. Journal of Nutrition 137(4): 1106-1109"
fi18,"Gokoglu N., Yerlikaya P., Cengiz E. (2004). Effects of cooking methods on the proximate composition and mineral contents of rainbow trout (Oncorhynchus mykiss). Food Chemistry 84: 19-22"
fi180,"Unusan N. (2007). Change in proximate, amino acid and fatty acid contents in muscle tissue of rainbow trout (Oncorhynchus mykiss) after cooking, 2007. International Journal of Food Science and Technology 42: 1087 - 1093"
fi181,"Anibal J., Esteves E., Rocha C. (2011). Seasonal variations in gross biochemical composition, percent edibility, and condition index of the clam ruditapes decussatus cultivated in the ria formosa (South Portugal). Journal of Shellfish Research 30(1): 17 -"
fi182,"Lapa - Guimaraes J., De Felicio P. E., Guzman E.S.C. (2005). Chemical and microbial analyses of squid muscle (Loligo plei) during storage in ice. Food Chemistry. 91: 477 - 483"
fi183,"Mairesse G., Thomas M., Gardeur J.N., Brun - Bellut J. (2006). Effects of Geographic Source, Rearing System, and Season on the Nutritional Quality of Wild and Farmed Perca fluviatilis. Lipids 61 (3): 221 - 229"
fi183,"Mairesse G., Thomas M., Gardeur J.N., Brun - Bellut J. (2006). Effects of Geographic Source, Rearing System, and Season on the Nutritional Quality of Wild and Farmed Perca fluviatilis. Lipids 61 (3): 221 - 229"
fi184,"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
fi185,"Luzia L.A., Sampaio G.R., Castellucci C.M.N., Torres E.A.F.S. (2003). The influence of season on the lipid profiles of five commercially important species of Brazilian fish. Food Chemistry 83: 93 - 97"
fi186,"Sushchik N.N., Gladyshev M.I., Kalachova G.S. (2007). Seasonal dynamics on fatty acid content of a common food fish from the Yenisei river, Serbian grayling, Thymallus arcticus. Food Chemistry 104: 1353 - 1358"
fi187,"Selmi S., Bouriga N., Cherif M., Toujani M., Trabelsi M. (2010). Effects of drying process on a biochemical and microbiological quality of silverside (fish) Atherina lagunae. International Journal of Food Science & Technology 45: 1161 - 1168."
fi188,"Marques A., Teixeira B., Barrento S., Anacleto P., Carvalho M.L., Nunes M.L. (2010). Chemical composition of Atlantic spider crab Maja brachydactyla: Human health implications. Journal of Food Compositon and Analysis 23: 230 - 237. "
fi189,"Balogun A.M., Akegbejo - Samsons Y. (1992). Waste Yield, Proximate and Mineral Composition of Shrimp Resources of Nigeria's Costal Waters. Bioresource Technology. 40:157 - 161"
fi19,Oehlenschläger J. (1991). Chemical composition of the flesh and other tissues of Antarctic fish species of the families Channichthyidae and Nototheniidae. Food Chemistry 40: 159-167
fi190,"Barrento S., Marques A., Teixeira B., Vaz-Pires P., Nunes M.L. (2009). Nutritional Quality of the edible tissues of Euripean Lobster Homarus gammarus and American Lobster Homarus Americanus. Journal of Agricultural and Food Chemistry 57: 3645 - 3652"
fi191,"Stroud G.D., Dalgarno E.J. (1982). Wild and Farmed Lobsters (Homarus Gammarus). A comparison of Yield, Proximate chemical composition and sensory properties. Aqualculture 29: 147 - 154 "
fi191,"Stroud G.D., Dalgarno E.J. (1982). Wild and Farmed Lobsters (Homarus Gammarus). A comparison of Yield, Proximate chemical composition and sensory properties. Aqualculture 29: 147 - 154 "
fi192,"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412"
fi193,"Martino R.C., Da Cruz G.M. (2004). Proximate Composition and Fatty Acid Content of the Mangrove Crassostrea rhizophorae along the year seasons. Brazilian Archives of Biology and Technology 47: 955 - 960"
fi194,"Fu X.Y., Xue C.H., Miao B.C., Li Z.J., Zhang Y.Q., Wang Q. (2007). Effect of processing steps on physico - chemicalproperties of dried - seasoned squid. Food Chemistry 103: 287 - 294"
fi195,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11
fi196,"Osibona A., Kusemiju K., Akande G.R. (2009). Fatty acid composition and amino acid profile of two freshwater species, african catfish (Clarias gariepinus) and tilapia (Tilapia zillii). African Journal of Food Agriculture Nutrition and Development 9(1): 608-621"
fi197,"Kuhnlein H.V., Chan H.M., Leggee C., Barthet V. (2002). Macronutrient, mineral and fatty acid composition of Canadian arctic traditional foo. Journal of Food Composition and Analysis 15: 545-566"
fi198,"Li G., Li J., Li D. (2010). Seasonal variation in nutrient composition of Mytilus coruscus from China. J. Agric. Food Chem. 58: 7831-7837"
fi199,"Roos N., Leth T., Jakobsen J., Thilsted S.H. (2002). High vitamin A content in some small indigenous fish species in Bangladesh: perspectives for food-based strategies to reduce vitamin A deficiency. International Journal of Food Science and Nutrition 53:425-437"
fi199,"Roos N., Leth T., Jakobsen J., Thilsted S.H. (2002). High vitamin A content in some small indigenous fish species in Bangladesh: perspectives for food-based strategies to reduce vitamin A deficiency. International Journal of Food Science and Nutrition 53:425-437"
fi2,"Puwastien P., Judprasong K., Kettwan E., Vasanachitt K., Nakngamanong Y., Bhattacharjee L. (1999) Proximate composition of raw and cooked thai freshwater and marine fish. J Food Comp Anal 12: 9-16"
fi20,"Chapman F.A., Colle D.E., Miles R.D. (2005). Processing yields for meat of Russian and Siberian sturgeons cultured in Florida, USA. J. Aqua. Food Prod. Technol. 14(1): 29-37"
fi200,"Cripps G.C., Watkins J.L., Hill H.J., Atkinson A. (1999). Fatty acid content of Antartic krill Euphausia superba at South Georgia related to regional populations and variations in diet. Mar. Ecol. Prog. Ser. 181: 177-188"
fi201,"Şengör G.F., Gün H. Kalafatoğlu H. (2008). Determination of the amino acid and chemical composition of canned smoked mussels (Mytilus galloprovincialis, L.). Turk. J. Vet. Amin. Sci. 32(1): 1-5"
fi203,"Carvalho A.F.U., Farias D.F., Barroso C.X., Sombra C.M.L., Silvino A.S., Menezes M.O.T., Soares M.O., Fernandes D.A.O., Gouveia S.T. (2007). Nutritive value of three organisms from mangrove ecosystem: Ucides cordatus (Linnaeus, 1763), Mytella sp. (Soot-Ryen, 1955) and Crassostrea rhizophorae (Guilding, 1828). Braz. J. Biol. 67(4): 787-788"
