Food Item ID,Database,Subgroup,"Country, region",Type,ISSCAAP,3_alpha,Food name in own language,Food name in English,Processing,Scientific name,ASFIS English name,ASFIS_Sci_name,Season,Other,Sample source,Portion of fish sampled,Life stage,Size of sampled fish,Length,Length_type,Length_source,TL,TL_se,n,n_type,Comments on data processing/methods,Nutrient_ref,BiblioID,EDIBLE,PROTCNT(g),PROTCNP(g),PROT-(g),PROT_g_sd,FAT(g),FAT_sd,FATCE(g),FAT-(g),CHOAVLDF(g),CHOCDF(g),CHO-(g),CA(mg),CA_sd,CA_units,CU(mg),CU_sd,CU_units,FE(mg),FE_sd,FE_units,ID(mcg),K(mg),K_sd,K_units,MN(mg),MN_sd,MN_units,SE(mcg),SE_sd,SE_units,ZN(mg),ZN_sd,ZN_units,VitA_RAE,VitA_RAE_sd,VitA_RAE_units,VIT_E ,VIT_E_sd,VIT_E_units,VITK,VITK_sd,VITK_units,RETOL(mcg),RETOLSUM(mcg),CHOCAL(mcg),VIT_D,VIT_D_sd,VIT_D_units,TOCPHA(mg),THIA(mg),THIA-(mg),RIBF(mg),NIA(mg),NIA-(mg),VITB6A(mg),VITB6_sd,VITB6_units,FOL(mcg),FOL_units,FOL-(mcg),VITB12(mcg),VITC(mg),VITC_sd,VITC_units,Saturated Fatty Acids (total),SAFA_units,22:6 n-3 DHA (g),DHA units,22:6 n-3_sd,Total n-6,n-6 units,Total n-6_sd,20:5 n-3 (EPA),EPA units,20:5 n-3_sd,Total PUFA,Total PUFA units,PUFA_sd,Total n-3 ,Total n-3 units,Total n-3_sd
NA,CINE,NA,come back,come back,NA,NA,LAKE TROUT - CREE,NA,r,Salvelinus namaycush,NA,Salvelinus namaycush,come back,NA,come back ,come back,NA,NA,150.0,max,FishBase,4.30,0.70,5,number of fish in ind study's sample size,,"Belinsky et al, 1996","Belinsky et al, 1996",NA,NA,NA,NA,NA,2.00,1.60,NA,NA,NA,NA,NA,5.00,1.60,mg/100g ,0.03,0.01,mg/100g ,0.20,0.06,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,0.40,0.12,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,NA,g/100g,NA,0.40,g/100g,0.07,NA,g/100g,NA,1.00,g/100g,0.19,0.60,g/100g,0.13
NA,CINE,NA,come back,come back,NA,NA,WHITEFISH - CREE,NA,r,Coregonus clupeaformis,NA,Coregonus clupeaformis,come back,NA,come back ,come back,NA,NA,100.0,max,FishBase,3.10,0.40,5,number of fish in ind study's sample size,,"Belinsky et al, 1996","Belinsky et al, 1996",NA,NA,NA,NA,NA,0.70,0.39,NA,NA,NA,NA,NA,7.00,2.94,mg/100g ,0.03,0.11,mg/100g ,0.23,0.40,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,0.40,0.06,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,NA,g/100g,NA,0.30,g/100g,0.10,NA,g/100g,NA,0.70,g/100g,NA,0.40,g/100g,0.09
NA,CINE,NA,come back,come back,NA,NA,PIKE - CREE,NA,r,Esox lucius,NA,Esox lucius,come back,NA,come back ,come back,NA,NA,137.0,max,FishBase,4.40,0.70,5,number of fish in ind study's sample size,,"Belinsky et al, 1996","Belinsky et al, 1996",NA,NA,NA,NA,NA,0.40,0.11,NA,NA,NA,NA,NA,7.00,0.74,mg/100g ,0.02,0.00,mg/100g ,0.10,0.06,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,1.10,0.27,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,NA,g/100g,NA,0.30,g/100g,0.09,NA,g/100g,NA,0.70,g/100g,0.21,0.40,g/100g,0.12
NA,CINE,NA,come back,come back,NA,NA,WHITEFISH - CREE,NA,r,Coregonus clupeaformis,NA,Coregonus clupeaformis,come back,NA,come back ,come back,NA,NA,100.0,max,FishBase,3.10,0.40,1,number of fish in ind study's sample size,,"Belinsky et al, 1996","Belinsky et al, 1996",NA,NA,NA,NA,NA,1.70,come back,NA,NA,NA,NA,NA,7.60,NA,mg/100g ,0.03,NA,mg/100g ,0.28,NA,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,0.55,NA,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,NA,g/100g,NA,0.39,g/100g,NA,NA,g/100g,NA,0.92,g/100g,NA,0.53,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,PIKE - CREE,NA,r,Esox lucius,NA,Esox lucius,come back,NA,come back ,come back,NA,NA,137.0,max,FishBase,4.40,0.70,5,number of fish in ind study's sample size,,"Belinsky et al, 1996","Belinsky et al, 1996",NA,NA,NA,NA,NA,0.40,0.09,NA,NA,NA,NA,NA,8.00,2.10,mg/100g ,0.03,0.01,mg/100g ,0.10,0.07,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,1.00,0.21,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,NA,g/100g,NA,0.30,g/100g,0.12,NA,g/100g,NA,0.70,g/100g,0.32,0.40,g/100g,0.20
NA,CINE,NA,come back,come back,NA,NA,CISCO,NA,r,Coregonus autumnalis,NA,Coregonus autumnalis,come back,NA,come back ,come back,NA,NA,65.0,max,FishBase,3.60,0.60,1,number of fish in ind study's sample size,,"Belinsky et al, 1996","Belinsky et al, 1996",NA,NA,NA,NA,NA,3.40,come back,NA,NA,NA,NA,NA,11.20,NA,mg/100g ,0.07,NA,mg/100g ,0.46,NA,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,1.10,NA,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,NA,g/100g,NA,0.67,g/100g,NA,NA,g/100g,NA,1.30,g/100g,NA,0.65,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,"TROUT, BROOK - CREE",NA,r,Salvelinus namaycush,NA,Salvelinus namaycush,come back,NA,come back ,come back,NA,NA,150.0,max,FishBase,4.30,0.70,1,number of fish in ind study's sample size,,"Belinsky et al, 1996","Belinsky et al, 1996",NA,NA,NA,NA,NA,0.92,NA,NA,NA,NA,NA,NA,12.70,NA,mg/100g ,0.40,NA,mg/100g ,0.33,NA,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,0.80,NA,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,NA,g/100g,NA,0.56,g/100g,NA,NA,g/100g,NA,1.60,g/100g,NA,1.00,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,BROAD WHITEFISH,NA,r,Coregonus nasus,NA,Coregonus nasus,come back,NA,come back ,come back,NA,NA,61.0,max,FishBase,3.30,0.44,3,number of fish in ind study's sample size,,"Fediuk et al, 2002","Fediuk et al, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,2.83,1.11,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,CLAMS,NA,r,Mya spp,NA,Mya spp,come back,NA,come back ,come back,NA,NA,.,.,.,,,2,number of fish in ind study's sample size,,"Fediuk et al, 2002","Fediuk et al, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,3.69,3.10,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,SCULPIN,NA,r,Myoxocephalus spp,NA,Myoxocephalus spp,come back,NA,come back ,come back,NA,NA,22.0,max,FishBase,3.40,0.52,1,number of fish in ind study's sample size,,"Fediuk et al, 2002","Fediuk et al, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,1.05,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,ARCTIC CHAR,NA,r,Salvelinus naresi,NA,Salvelinus spp,come back,NA,come back ,come back,NA,NA,107.0,max,FishBase,4.30,0.80,2,number of fish in ind study's sample size,,"Fediuk et al, 2002","Fediuk et al, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,1.23,0.03,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,ARCTIC CHAR,NA,r,Salvelinus naresi,NA,Salvelinus spp,come back,NA,come back ,come back,NA,NA,107.0,max,FishBase,4.30,0.80,1,number of fish in ind study's sample size,,"Kuhnlein &Soueida, 1992","Kuhnlein &Soueida, 1992",NA,NA,NA,NA,NA,3.30,NA,NA,NA,NA,NA,NA,7.00,NA,mg/100g ,0.10,NA,mg/100g ,0.70,NA,mg/100g ,NA,NA,NA,mg/100g ,0.01,NA,mg/100g ,NA,NA,mg/100g ,0.60,NA,mg/100g ,0.00,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,MUSSEL,NA,r,Mytilus edulis,NA,Mytilus edulis,come back,NA,come back ,come back,NA,NA,2.5-7.5,range,WoRMS,,,1,number of fish in ind study's sample size,,"Kuhnlein &Soueida, 1992","Kuhnlein &Soueida, 1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.00,NA,mg/100g ,0.10,NA,mg/100g ,15.00,NA,mg/100g ,NA,NA,NA,mg/100g ,0.16,NA,mg/100g ,NA,NA,mg/100g ,1.00,NA,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,CLAMS,NA,r,Mya spp,NA,Mya spp,come back,NA,come back ,come back,NA,NA,.,.,.,,,1,number of fish in ind study's sample size,,"Kuhnlein &Soueida, 1992","Kuhnlein &Soueida, 1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.00,NA,mg/100g ,0.40,NA,mg/100g ,2.50,NA,mg/100g ,NA,NA,NA,mg/100g ,0.25,NA,mg/100g ,NA,NA,mg/100g ,3.90,NA,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,SCULPIN,NA,r,Myoxocephalus spp,NA,Myoxocephalus spp,come back,NA,come back ,come back,NA,NA,22.0,max,FishBase,3.40,0.52,1,number of fish in ind study's sample size,,"Kuhnlein &Soueida, 1992","Kuhnlein &Soueida, 1992",NA,NA,NA,NA,NA,1.50,NA,NA,NA,NA,NA,NA,429.00,NA,mg/100g ,NA,NA,mg/100g ,0.50,NA,mg/100g ,NA,NA,NA,mg/100g ,0.05,NA,mg/100g ,NA,NA,mg/100g ,0.90,NA,mg/100g ,0.00,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,CLAMS,NA,r,Mya spp,NA,Mya spp,come back,NA,come back ,come back,NA,NA,.,.,.,,,1,number of fish in ind study's sample size,,"Kuhnlein et al, 1991","Kuhnlein et al, 1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,0.10,g/100g,NA,NA,g/100g,NA,0.20,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,MUSSEL,NA,r,Mytilus edulis,NA,Mytilus edulis,come back,NA,come back ,come back,NA,NA,2.5-7.5,range,WoRMS,,,1,number of fish in ind study's sample size,,"Kuhnlein et al, 1991","Kuhnlein et al, 1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,0.10,g/100g,NA,NA,g/100g,NA,0.10,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
