"","species","CA_mg","ZN_mg","FE_mg","EPA_g","DHA_g","Length","max_length","Subgroup","Habitat","TL","FoodTroph","Herbivory2","Abs_lat","DemersPelag","taxon","max_size","Weight"
"80","Chaenocephalus aceratus",NA,NA,NA,0.4896,0.75276,72,59,"Finfish","marine",3.47,3.96,"mainly animals (troph. 2.8 and up)",62,"demersal","Miscellaneous demersal fishes",1.55207706874942,3700
"81","Chaenocephalus aceratus",NA,NA,NA,NA,NA,72,59,"Finfish","marine",3.47,3.96,"mainly animals (troph. 2.8 and up)",82.862752,"demersal","Miscellaneous demersal fishes",1.55207706874942,3700
"82","Champsocephalus gunnari",NA,NA,NA,NA,NA,66,54,"Finfish","marine",3.23,3.49,"mainly animals (troph. 2.8 and up)",82.862752,"pelagic-oceanic","Miscellaneous demersal fishes",1.4353836025669,2000
"83","Chanda nama",NA,NA,NA,NA,NA,11,11,"Finfish","marine",3.6,3.59,"mainly animals (troph. 2.8 and up)",24.4333,"benthopelagic","Miscellaneous coastal fishes",0.0266525486070039,NA
"84","Channa marulius",1306.45,1.321593,1.35,NA,NA,183,183,"Finfish","freshwater",4.5,4.5,"mainly animals (troph. 2.8 and up)",12.265754,"benthopelagic","Miscellaneous freshwater fishes",38.8129391369534,30000
"85","Channa micropeltes",1085.84,1.440597,1.23,NA,NA,130,130,"Finfish","freshwater",3.9,3.85,"mainly animals (troph. 2.8 and up)",12.265754,"benthopelagic","Miscellaneous freshwater fishes",NA,20000
"86","Channa punctata",NA,NA,NA,NA,NA,31,31,"Finfish","freshwater",3.8,3.84,"mainly animals (troph. 2.8 and up)",22.816667,"benthopelagic","Miscellaneous freshwater fishes",0.281575089352953,NA
"87","Channa punctata",NA,NA,NA,NA,NA,31,31,"Finfish","freshwater",3.8,3.84,"mainly animals (troph. 2.8 and up)",24.4333,"benthopelagic","Miscellaneous freshwater fishes",0.281575089352953,NA
"88","Channa punctata",NA,NA,NA,NA,NA,31,31,"Finfish","freshwater",3.8,3.84,"mainly animals (troph. 2.8 and up)",24.4333,"benthopelagic","Miscellaneous freshwater fishes",0.281575089352953,NA
"89","Channa punctata",NA,NA,NA,NA,NA,31,31,"Finfish","freshwater",3.8,3.84,"mainly animals (troph. 2.8 and up)",24.4333,"benthopelagic","Miscellaneous freshwater fishes",0.281575089352953,NA
"90","Channa striata",71,0.7,0.3,NA,0.022882,100,100,"Finfish","freshwater",3.7,3.36,"mainly animals (troph. 2.8 and up)",14.903036,"benthopelagic","Miscellaneous freshwater fishes",7.58246744127154,3000
"91","Channa striata",NA,NA,NA,NA,NA,100,100,"Finfish","freshwater",3.7,3.36,"mainly animals (troph. 2.8 and up)",15.484682,"benthopelagic","Miscellaneous freshwater fishes",7.58246744127154,3000
"92","Channa striata",NA,NA,NA,0.004762087,0.102033569,100,100,"Finfish","freshwater",3.7,3.36,"mainly animals (troph. 2.8 and up)",15.116386,"benthopelagic","Miscellaneous freshwater fishes",7.58246744127154,3000
"93","Channa striata",NA,NA,NA,0.00624536,0.105780785,100,100,"Finfish","freshwater",3.7,3.36,"mainly animals (troph. 2.8 and up)",15.190255,"benthopelagic","Miscellaneous freshwater fishes",7.58246744127154,3000
"94","Channa striata",NA,NA,NA,0.005855025,0.106093053,100,100,"Finfish","freshwater",3.7,3.36,"mainly animals (troph. 2.8 and up)",15.072255,"benthopelagic","Miscellaneous freshwater fishes",7.58246744127154,3000
"95","Chela cachius",NA,NA,NA,NA,NA,6,6,"Finfish","freshwater",2.9,NA,NA,24.4333,"benthopelagic","Carps, barbels and other cyprinids",0.00232049053415705,NA
"96","Chelidonichthys lucerna",NA,NA,NA,NA,NA,75,75,"Finfish","marine",3.7,3.58,"mainly animals (troph. 2.8 and up)",39.019184,"demersal","Miscellaneous demersal fishes",3.63015197424552,6000
"97","Chelidonichthys lucerna",NA,NA,NA,0.007016698,0.023552308,75,75,"Finfish","marine",3.7,3.58,"mainly animals (troph. 2.8 and up)",39.53794,"demersal","Miscellaneous demersal fishes",3.63015197424552,6000
"98","Chelidonichthys lucerna",NA,NA,NA,0.008749,0.02740456,75,75,"Finfish","marine",3.7,3.58,"mainly animals (troph. 2.8 and up)",39.53794,"demersal","Miscellaneous demersal fishes",3.63015197424552,6000
"99","Chelidonichthys lucerna",NA,NA,NA,0.094753208,0.200428976,75,75,"Finfish","marine",3.7,3.58,"mainly animals (troph. 2.8 and up)",39.53794,"demersal","Miscellaneous demersal fishes",3.63015197424552,6000
"100","Chelon labrosus",NA,NA,NA,0.098861323,0.083924529,75,92,"Finfish","marine",2.59,2.59,"plants/detritus+animals (troph. 2.2-2.79)",37.370157,"demersal","Miscellaneous coastal fishes",4.9446688,4500
"101","Chirocentrus dorab",NA,NA,NA,NA,NA,100,100,"Finfish","marine",4.5,4.4,"mainly animals (troph. 2.8 and up)",3.144341,"reef-associated","Herrings, sardines, anchovies",4.79797238835938,NA
"102","Chondrostoma nasus",57,0.5,1,NA,NA,50,50,"Finfish","freshwater",2,2,"mainly plants/detritus (troph. 2-2.19)",41.53,"benthopelagic","Carps, barbels and other cyprinids",1.65042812554769,1500
"103","Chondrostoma nasus",53,0.5,0.9,NA,NA,50,50,"Finfish","freshwater",2,2,"mainly plants/detritus (troph. 2-2.19)",41.53,"benthopelagic","Carps, barbels and other cyprinids",1.65042812554769,1500
"104","Chondrostoma nasus",NA,NA,NA,0.064194,0.096291,50,50,"Finfish","freshwater",2,2,"mainly plants/detritus (troph. 2-2.19)",41.53,"benthopelagic","Carps, barbels and other cyprinids",1.65042812554769,1500
"105","Clarias batrachus",NA,NA,NA,NA,NA,47,47,"Finfish","freshwater",3.4,3.42,"mainly animals (troph. 2.8 and up)",22.816667,"demersal","Miscellaneous freshwater fishes",0.680000423743103,1190
"106","Clarias batrachus",299,0.9,0.6,0.05312,0.03984,47,47,"Finfish","freshwater",3.4,3.42,"mainly animals (troph. 2.8 and up)",14.903036,"demersal","Miscellaneous freshwater fishes",0.680000423743103,1190
"107","Clarias batrachus",NA,NA,NA,NA,NA,47,47,"Finfish","freshwater",3.4,3.42,"mainly animals (troph. 2.8 and up)",24.4333,"demersal","Miscellaneous freshwater fishes",0.680000423743103,1190
"108","Clarias gariepinus",NA,NA,NA,0.01536,0.0504,170,170,"Finfish","freshwater",3.2,3.5,"mainly animals (troph. 2.8 and up)",1.504705,"benthopelagic","Miscellaneous freshwater fishes",33.99796,60000
"109","Clarias gariepinus",NA,NA,NA,0.0256,0.06942,170,170,"Finfish","freshwater",3.2,3.5,"mainly animals (troph. 2.8 and up)",1.433393,"benthopelagic","Miscellaneous freshwater fishes",33.99796,60000
"110","Clarias gariepinus",NA,NA,NA,0.20437599,0.5764451,170,170,"Finfish","freshwater",3.2,3.5,"mainly animals (troph. 2.8 and up)",0.033333,"benthopelagic","Miscellaneous freshwater fishes",33.99796,60000
"111","Clarias gariepinus",NA,NA,NA,0.05989053,0.191649696,170,170,"Finfish","freshwater",3.2,3.5,"mainly animals (troph. 2.8 and up)",37,"benthopelagic","Miscellaneous freshwater fishes",33.99796,60000
"112","Clarias gariepinus",NA,NA,NA,NA,NA,170,170,"Finfish","freshwater",3.2,3.5,"mainly animals (troph. 2.8 and up)",7.031297,"benthopelagic","Miscellaneous freshwater fishes",33.99796,60000
"113","Clarias gariepinus",NA,NA,NA,NA,NA,170,170,"Finfish","freshwater",3.2,3.5,"mainly animals (troph. 2.8 and up)",7.031297,"benthopelagic","Miscellaneous freshwater fishes",33.99796,60000
"114","Clarias gariepinus",NA,NA,NA,NA,NA,170,170,"Finfish","freshwater",3.2,3.5,"mainly animals (troph. 2.8 and up)",7.031297,"benthopelagic","Miscellaneous freshwater fishes",33.99796,60000
"115","Clarias gariepinus",NA,NA,NA,NA,NA,170,170,"Finfish","freshwater",3.2,3.5,"mainly animals (troph. 2.8 and up)",7.031297,"benthopelagic","Miscellaneous freshwater fishes",33.99796,60000
"116","Clarias gariepinus",NA,NA,NA,NA,NA,170,170,"Finfish","freshwater",3.2,3.5,"mainly animals (troph. 2.8 and up)",7.031297,"benthopelagic","Miscellaneous freshwater fishes",33.99796,60000
"117","Clarias gariepinus",NA,NA,NA,NA,NA,170,170,"Finfish","freshwater",3.2,3.5,"mainly animals (troph. 2.8 and up)",7.031297,"benthopelagic","Miscellaneous freshwater fishes",33.99796,60000
"118","Clarias gariepinus",NA,NA,NA,NA,NA,170,170,"Finfish","freshwater",3.2,3.5,"mainly animals (troph. 2.8 and up)",6.524379,"benthopelagic","Miscellaneous freshwater fishes",33.99796,60000
"119","Clarias gariepinus",832,8,3,NA,NA,170,170,"Finfish","freshwater",3.2,3.5,"mainly animals (troph. 2.8 and up)",11.066667,"benthopelagic","Miscellaneous freshwater fishes",33.99796,60000
"120","Clarias macrocephalus",NA,NA,NA,NA,NA,120,120,"Finfish","freshwater",3.2,3.7,"mainly animals (troph. 2.8 and up)",15.484682,"benthopelagic","Miscellaneous freshwater fishes",14.0668634555186,45000
"121","Clarias macrocephalus",NA,NA,NA,0.025603087,0.048670405,120,120,"Finfish","freshwater",3.2,3.7,"mainly animals (troph. 2.8 and up)",15.116386,"benthopelagic","Miscellaneous freshwater fishes",14.0668634555186,45000
"122","Clarias macrocephalus",NA,NA,NA,0.030511027,0.057750094,120,120,"Finfish","freshwater",3.2,3.7,"mainly animals (troph. 2.8 and up)",15.072255,"benthopelagic","Miscellaneous freshwater fishes",14.0668634555186,45000
"123","Clarias macrocephalus",NA,NA,NA,0.021431338,0.053660144,120,120,"Finfish","freshwater",3.2,3.7,"mainly animals (troph. 2.8 and up)",14.761942,"benthopelagic","Miscellaneous freshwater fishes",14.0668634555186,45000
"124","Clupea harengus",NA,NA,NA,NA,NA,45,40,"Finfish","marine",3.23,3.28999996185303,"mainly animals (troph. 2.8 and up)",60.657778,"benthopelagic","Herrings, sardines, anchovies",0.435471134119826,1050
"125","Clupea harengus",NA,NA,NA,NA,NA,45,40,"Finfish","marine",3.23,3.28999996185303,"mainly animals (troph. 2.8 and up)",60.657778,"benthopelagic","Herrings, sardines, anchovies",0.435471134119826,1050
"126","Clupea harengus",NA,NA,NA,0.205817752,0.679594407,45,45,"Finfish","marine",3.4,3.28999996185303,"mainly animals (troph. 2.8 and up)",55.028022,"benthopelagic","Herrings, sardines, anchovies",0.712083110344584,1050
"127","Clupea harengus",NA,NA,NA,NA,NA,45,45,"Finfish","marine",3.4,3.28999996185303,"mainly animals (troph. 2.8 and up)",61.92411,"benthopelagic","Herrings, sardines, anchovies",0.712083110344584,1050
"128","Clupea harengus",NA,NA,NA,NA,NA,45,45,"Finfish","marine",3.4,3.28999996185303,"mainly animals (troph. 2.8 and up)",61.92411,"benthopelagic","Herrings, sardines, anchovies",0.712083110344584,1050
