Food.Item.ID,species,Subgroup,taxon,max_size,max_length,TL,CA_mg,EPA_g,DHA_g,FE_mg,ZN_mg,HG_mcg,FAT,PROTEIN,lwA,lwB,Habitat,Subgroup,Abs_lat,Latitude,max_length_study
44,Mytilus chilensis,Crustacean,NA,NA,NA,NA,150,,,8.27,1.28,,,,NA,NA,NA,Crustacean,NA,NA,3.5
45,Mytilus chilensis,Crustacean,NA,NA,NA,NA,120,,,7.25,1.86,,,,NA,NA,NA,Crustacean,NA,NA,3.8
46,Strongylocentrotus purpuratus,Crustacean,NA,NA,NA,NA,180,,,10.1,2.42,,,,NA,NA,NA,Crustacean,NA,NA,2.4
47,Strongylocentrotus purpuratus,Crustacean,NA,NA,NA,NA,140,,,8.62,1.84,,,,NA,NA,NA,Crustacean,NA,NA,3.4
48,Strongylocentrotus purpuratus,Crustacean,NA,NA,NA,NA,150,,,13.1,1.52,,,,NA,NA,NA,Crustacean,NA,NA,3.1
49,Strongylocentrotus purpuratus,Crustacean,NA,NA,NA,NA,150,,,8.56,2.1,,,,NA,NA,NA,Crustacean,NA,NA,2.7
50,Strongylocentrotus purpuratus,Crustacean,NA,NA,NA,NA,100,,,4.54,1.43,,,,NA,NA,NA,Crustacean,NA,NA,4.3
51,Nacella deaurata,Echinoderm,NA,NA,NA,NA,83,,,55.1,0.85,,,,NA,NA,NA,Echinoderm,NA,NA,4.01
52,Mytilus chilensis,Echinoderm,NA,NA,NA,NA,60,,,4.32,0.998,,,,NA,NA,NA,Echinoderm,NA,NA,5.36
53,Acanthina monodon,Echinoderm,NA,NA,NA,NA,93,,,2.52,3.54,,,,NA,NA,NA,Echinoderm,NA,NA,4.95
54,Aulacomya ater,Echinoderm,NA,NA,NA,NA,102,,,4.62,2.25,,,,NA,NA,NA,Echinoderm,NA,NA,5.45
55,Fissurella picta,Echinoderm,NA,NA,NA,NA,27,,,8.11,1.51,,,,NA,NA,NA,Echinoderm,NA,NA,5.33
56,Mytilus chilensis,Crustacean,NA,NA,NA,NA,68,,,7.08,0.785,,,,NA,NA,NA,Crustacean,NA,NA,5.22
57,Mytilus chilensis,Crustacean,NA,NA,NA,NA,57,,,2.85,1.15,,,,NA,NA,NA,Crustacean,NA,NA,5.5
58,Mytilus chilensis,Crustacean,NA,NA,NA,NA,53,,,1.97,1.02,,,,NA,NA,NA,Crustacean,NA,NA,5.11
59,Nacella deaurata,Crustacean,NA,NA,NA,NA,105,,,8.05,0.793,,,,NA,NA,NA,Crustacean,NA,NA,3.64
60,Nacella deaurata,Crustacean,NA,NA,NA,NA,74,,,4.39,0.862,,,,NA,NA,NA,Crustacean,NA,NA,4.05
61,Nacella deaurata,Crustacean,NA,NA,NA,NA,63,,,3.44,0.967,,,,NA,NA,NA,Crustacean,NA,NA,4.85
62,Meretrix lyrata,Crustacean,NA,NA,NA,NA,39.849,,,3.775,2.126,,,,NA,NA,NA,Crustacean,NA,NA,NA
63,Meretrix lyrata,Crustacean,NA,NA,NA,NA,149.199,,,8.257,0.911,,,,NA,NA,NA,Crustacean,NA,NA,NA
64,Meretrix lyrata,Crustacean,NA,NA,NA,NA,95.346,,,27.613,2.025,,,,NA,NA,NA,Crustacean,NA,NA,NA
65,Chamelea gallina,Crustacean,NA,NA,NA,NA,,,,10.75505,1.0241,,,,NA,NA,NA,Crustacean,NA,NA,24.6
66,Donax trunculus,Crustacean,NA,NA,NA,NA,,,,33.55455,1.75985,,,,NA,NA,NA,Crustacean,NA,NA,31.52
67,Carcinus maenas,Crustacean,,,,,91.55,154,115,0.286,4.296,,,,,,,,,,
68,Mercenaria mercenaria,Molluscs,,,,,34.4,,,,,,,,,,,,,,
69,Callinectes sapidus,Crustacean,,,,,32.8,,,2.46,2.5,,,,,,,,,,
70,Crassostrea virginica,Molluscs,,,,,61,,,7.65,82.46,,,,,,,,,,
71,Placopecten magellanicus,Molluscs,,,,,9.2,,,0.1071,1.2187,,,,,,,,,,
72,Homarus americanus,Crustacean,,,,,,,,0.23,2.9,0.01,,,,,,,,,
73,Homarus americanus,Crustacean,,,,,,,,2.9,3.1,0.013,,,,,,,,,
74,Homarus americanus,Crustacean,,,,,,,,1.2,1.7,0.001,,,,,,,,,
75,Homarus gammarus,Crustacean,,,,,,,,0.18,2.6,0.015,,,,,,,,,
76,Homarus gammarus,Crustacean,,,,,,,,1.6,4.1,0.009,,,,,,,,,
77,Homarus gammarus,Crustacean,,,,,,,,1.6,3,0.001,,,,,,,,,
78,Homarus gammarus,Crustacean,,,,,,,,0.7,3.5,0.001,,,,,,,,,
79,Callinectes sapidus,Crustacean,,,,,149.2,,,1.04,6.99,,,,,,,,,,
80,Callinectes sapidus,Crustacean,,,,,64.9,,,1.13,4.7,,,,,,,,,,
81,Portunus pelagicus,Crustacean,,,,,150.9,,,0.45,4.68,,,,,,,,,,
82,Portunus pelagicus,Crustacean,,,,,87.6,,,0.68,3.72,,,,,,,,,,
83,Ostrea edulis,Molluscs,,,,,23.6017,,,1.7316,19.2468,0.0042,2.04,9.28,,,,,,,
84,Ostrea edulis,Molluscs,,,,,23.3905,,,4.0374,86.2042,0.0384,1.92,9.09,,,,,,,
85,Ostrea edulis,Molluscs,,,,,25.8339,,,2.1842,58.7299,0.0183,2.4,10.3,,,,,,,
86,Ostrea edulis,Molluscs,,,,,30.2673,,,5.2411,29.0114,0.0302,5.51,9.74,,,,,,,
87,Ostrea edulis,Molluscs,,,,,44.7876,,,1.349,41.8197,0.0126,1.47,9.32,,,,,,,
88,Ostrea edulis,Molluscs,,,,,54.8653,,,3.9096,49.6959,0.0061,2.04,8.71,,,,,,,
89,Ostrea edulis,Molluscs,,,,,20.1334,,,2.1565,26.9619,0.0052,1.69,6.85,,,,,,,
90,Pinctada radiata,Molluscs,,,,,58.49844639,,,6.912621359,87.16655918,,,,,,,,,,
91,Pinctada radiata,Molluscs,,,,,79.8921264,,,2.058252427,47.35744855,,,,,,,,,,
92,Pinctada radiata,Molluscs,,,,,87.34009498,,,3.902912621,58.66447793,,,,,,,,,,
93,Pinctada radiata,Molluscs,,,,,64.18197807,,,0.9514563107,23.50612652,,,,,,,,,,
94,Pinctada radiata,Molluscs,,,,,42.18514393,,,2,54.58404174,,,,,,,,,,
95,Pinctada radiata,Molluscs,,,,,37.23702879,,,1.126213592,33.74942839,,,,,,,,,,
96,Mytilus galloprovincialis,Molluscs,,,,,40,,,1,2.3,,1.4,10,,,,,,,
97,Mytilus galloprovincialis,Molluscs,,,,,37,,,2.1,2,,1.7,6.5,,,,,,,
98,Mytilus galloprovincialis,Molluscs,,,,,82,,,2.9,1.76,,2.1,10,,,,,,,
99,Mytilus galloprovincialis,Molluscs,,,,,88,,,10.9,4.69,,1.67,10.73,,,,,,,
100,Ostrea edulis,Molluscs,,,,,236.8,,,7.79,51,,,,,,,,,,
101,Ostrea edulis,Molluscs,,,,,91.3,,,4.12,98.5,,,,,,,,,,
102,Ostrea edulis,Molluscs,,,,,128.3,,,4.76,40.2,,,,,,,,,,
103,Ostrea edulis,Molluscs,,,,,205.5,,,5.19,92.8,,,,,,,,,,
104,Ostrea edulis,Molluscs,,,,,133.6,,,4.96,61.2,,,,,,,,,,
105,Ostrea edulis,Molluscs,,,,,60.6,,,3.78,45.7,,,,,,,,,,
106,Ostrea edulis,Molluscs,,,,,261.6,,,3.21,101.9,,,,,,,,,,
107,Ostrea edulis,Molluscs,,,,,126.7,,,2.55,54,,,,,,,,,,
108,Mytilus galloprovincialis,Molluscs,,,,,53.1,,,3.29,2.07,,,,,,,,,,
109,Mytilus galloprovincialis,Molluscs,,,,,50.5,,,1.65,3.08,,,,,,,,,,
110,Mytilus galloprovincialis,Molluscs,,,,,67.3,,,9.41,1.77,,,,,,,,,,
111,Mytilus galloprovincialis,Molluscs,,,,,44.7,,,1.61,5.28,,,,,,,,,,
112,Mytilus galloprovincialis,Molluscs,,,,,73.2,,,9.44,2.59,,,,,,,,,,
113,Mytilus galloprovincialis,Molluscs,,,,,81.1,,,10.9,2.39,,,,,,,,,,
114,Mytilus galloprovincialis,Molluscs,,,,,43.8,,,3.61,3.5,,,,,,,,,,
115,Mytilus galloprovincialis,Molluscs,,,,,65.5,,,5.94,2.33,,,,,,,,,,
116,Mytilus galloprovincialis,Molluscs,,,,,42.9,,,1.64,2.44,,,,,,,,,,
117,Mytilus galloprovincialis,Molluscs,,,,,78.5,,,2.38,3.2,,,,,,,,,,
900224,Macrobrachium nipponense,Crustacean,Freshwater crustaceans,NA,NA,NA,NA,0.053603392,0.043431664,NA,NA,NA,1.13,NA,NA,NA,freshwater,Crustacean,16.277332,16.277332,NA
900312,Palinurus elephas,Crustacean,"Lobsters, spiny-rock lobsters",NA,15,2.6,NA,0.259965504,0.10560128,NA,NA,NA,1.91,NA,NA,NA,marine,Crustacean,37.966667,37.966667,NA
900313,Palinurus elephas,Crustacean,"Lobsters, spiny-rock lobsters",NA,15,2.6,NA,0.195983552,0.162750208,NA,NA,NA,1.91,NA,NA,NA,marine,Crustacean,37.966667,37.966667,NA
900314,Sepia officinalis,Molluscs,"Squids, cuttlefishes, octopuses",NA,28,3.55,NA,0.137949877,0.228953461,NA,NA,NA,2.38,NA,NA,NA,marine,Molluscs,37.966667,37.966667,NA
900315,Sepia officinalis,Molluscs,"Squids, cuttlefishes, octopuses",NA,28,3.55,NA,0.201146811,0.297206149,NA,NA,NA,2.38,NA,NA,NA,marine,Molluscs,37.966667,37.966667,NA
900444,Homarus gammarus,Crustacean,"Lobsters, spiny-rock lobsters",NA,65,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Crustacean,39.019184,39.019184,NA
900445,Nephrops norvegicus,Crustacean,"Lobsters, spiny-rock lobsters",0.000147576,8,2.88,NA,0.01654668,0.03309336,NA,NA,NA,NA,NA,0.02302,0.8935,marine,Crustacean,39.019184,39.019184,NA
900446,Aristeus antennatus,Crustacean,"Shrimps, prawns",5.90E-05,6,3.29,NA,0.1005696,0.111744,NA,NA,NA,NA,NA,8.00E-04,2.4,marine,Crustacean,39.019184,39.019184,NA
900447,Mytilus galloprovincialis,Molluscs,Mussels,NA,7,2,NA,0.195078,0.1170468,NA,NA,NA,NA,NA,NA,NA,marine,Molluscs,39.019184,39.019184,NA
900448,Ostrea edulis,Molluscs,Oysters,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Molluscs,39.019184,39.019184,NA
900449,Sepia officinalis,Molluscs,"Squids, cuttlefishes, octopuses",NA,28,3.55,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,marine,Molluscs,39.019184,39.019184,NA
900450,Todarodes sagittatus,Molluscs,"Squids, cuttlefishes, octopuses",NA,75,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,marine,Molluscs,39.019184,39.019184,NA
900451,Octopus vulgaris,Molluscs,"Squids, cuttlefishes, octopuses",NA,130,NA,NA,0.0376029,0.04387005,NA,NA,NA,NA,NA,NA,NA,marine,Molluscs,39.019184,39.019184,NA
900483,Nephrops norvegicus,Crustacean,"Lobsters, spiny-rock lobsters",0.000147576,8,2.88,NA,NA,NA,NA,NA,NA,0.2,19,0.02302,0.8935,marine,Crustacean,39.019184,39.019184,NA
900484,Nephrops norvegicus,Crustacean,"Lobsters, spiny-rock lobsters",0.000147576,8,2.88,NA,NA,NA,NA,NA,NA,0.5,17,0.02302,0.8935,marine,Crustacean,39.019184,39.019184,NA
900485,Nephrops norvegicus,Crustacean,"Lobsters, spiny-rock lobsters",0.000147576,8,2.88,NA,NA,NA,NA,NA,NA,0.2,17,0.02302,0.8935,marine,Crustacean,39.019184,39.019184,NA
900486,Aristeus antennatus,Crustacean,"Shrimps, prawns",5.90E-05,6,3.29,NA,NA,NA,NA,NA,NA,0.2,19,8.00E-04,2.4,marine,Crustacean,39.019184,39.019184,NA
900487,Aristeus antennatus,Crustacean,"Shrimps, prawns",5.90E-05,6,3.29,NA,NA,NA,NA,NA,NA,0.4,16,8.00E-04,2.4,marine,Crustacean,39.019184,39.019184,NA
900488,Aristeus antennatus,Crustacean,"Shrimps, prawns",5.90E-05,6,3.29,NA,NA,NA,NA,NA,NA,2,19,8.00E-04,2.4,marine,Crustacean,39.019184,39.019184,NA
900489,Mytilus galloprovincialis,Molluscs,Mussels,NA,7,2,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,marine,Molluscs,39.019184,39.019184,NA
900490,Mytilus galloprovincialis,Molluscs,Mussels,NA,7,2,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,marine,Molluscs,39.019184,39.019184,NA
900491,Mytilus galloprovincialis,Molluscs,Mussels,NA,7,2,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,marine,Molluscs,39.019184,39.019184,NA
900492,Octopus vulgaris,Molluscs,"Squids, cuttlefishes, octopuses",NA,130,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,marine,Molluscs,39.019184,39.019184,NA
900493,Octopus vulgaris,Molluscs,"Squids, cuttlefishes, octopuses",NA,130,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,marine,Molluscs,39.019184,39.019184,NA
900494,Octopus vulgaris,Molluscs,"Squids, cuttlefishes, octopuses",NA,130,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,marine,Molluscs,39.019184,39.019184,NA
900495,Loligo vulgaris,Molluscs,"Squids, cuttlefishes, octopuses",NA,78,4.1,NA,0.049968,0.01388,NA,NA,NA,NA,NA,NA,NA,marine,Molluscs,39.019184,39.019184,NA
900496,Loligo vulgaris,Molluscs,"Squids, cuttlefishes, octopuses",NA,78,4.1,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,marine,Molluscs,39.019184,39.019184,NA
900548,Sepia officinalis,Molluscs,"Squids, cuttlefishes, octopuses",NA,28,3.55,NA,NA,NA,NA,NA,NA,1.35,13.94,NA,NA,marine,Molluscs,3.144341,3.144341,18
900549,Metapenaeus affinis,Crustacean,"Shrimps, prawns",NA,22.2,NA,NA,NA,NA,NA,NA,NA,1.06,19.12,NA,NA,marine,Crustacean,3.144341,3.144341,17
900550,Tegillarca granosa,Molluscs,"Clams, cockles, arkshells",NA,9,NA,NA,NA,NA,NA,NA,NA,1.93,15.99,NA,NA,marine,Molluscs,3.144341,3.144341,5
900603,Cipangopaludina japonica,Molluscs,"Abalones, winkles, conchs",NA,6.5,NA,1200,0.00334248,0.003676728,4.3,8.1,NA,NA,13,NA,NA,marine,Molluscs,14.903036,14.903036,NA
900604,Pomacea canaliculata,Molluscs,"Abalones, winkles, conchs",NA,15,NA,444,0.000668496,0.000710277,48,6.9,NA,NA,11.6,NA,NA,marine,Molluscs,14.903036,14.903036,NA
900786,Procambarus clarkii,Crustacean,Freshwater crustaceans,NA,11.94,NA,NA,NA,NA,NA,NA,NA,NA,14.3,NA,NA,freshwater,Crustacean,30.452385,30.452385,NA
900787,Procambarus clarkii,Crustacean,Freshwater crustaceans,NA,11.94,NA,NA,NA,NA,NA,NA,NA,NA,16.2,NA,NA,freshwater,Crustacean,30.452385,30.452385,NA
900790,Procambarus acutus,Crustacean,Freshwater crustaceans,NA,12.7,NA,NA,NA,NA,NA,NA,NA,NA,14.3,NA,NA,freshwater,Crustacean,30.452385,30.452385,NA
900791,Procambarus acutus,Crustacean,Freshwater crustaceans,NA,12.7,NA,NA,NA,NA,NA,NA,NA,NA,16.4,NA,NA,freshwater,Crustacean,30.452385,30.452385,NA
900794,Crassostrea virginica,Molluscs,Oysters,NA,10,2,NA,NA,NA,NA,NA,NA,NA,5.6,NA,NA,marine,Molluscs,38.343306,38.343306,NA
900795,Crassostrea virginica,Molluscs,Oysters,NA,10,2,NA,NA,NA,NA,NA,NA,NA,6.3,NA,NA,marine,Molluscs,38.343306,38.343306,NA
900963,Doryteuthis pealeii,Molluscs,"Squids, cuttlefishes, octopuses",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,17.44,NA,NA,marine,Molluscs,19.173773,19.173773,NA
900990,Pandalus jordani,Crustacean,"Shrimps, prawns",NA,3,3.24,NA,NA,NA,NA,NA,NA,1.51,16.88,NA,NA,marine,Crustacean,46.25,46.25,NA
900993,Pandalus jordani,Crustacean,"Shrimps, prawns",NA,3,3.24,NA,NA,NA,NA,NA,NA,1.52,18.36,NA,NA,marine,Crustacean,46.25,46.25,NA
900996,Pandalus jordani,Crustacean,"Shrimps, prawns",NA,3,3.24,NA,NA,NA,NA,NA,NA,1.05,17.45,NA,NA,marine,Crustacean,36.778261,36.778261,NA
900999,Crassostrea gigas,Molluscs,Oysters,0.000234169,12,2,NA,NA,NA,NA,NA,NA,2.85,7.76,0.00019,2.864,marine,Molluscs,46.539543,46.539543,NA
901000,Panopea abrupta,Molluscs,"Clams, cockles, arkshells",NA,17.5,NA,NA,NA,NA,NA,NA,NA,1.95,15.56,NA,NA,marine,Molluscs,47.735928,47.735928,NA
901001,Chamelea gallina,Molluscs,"Clams, cockles, arkshells",NA,5,NA,245,0.2241162,0.166012,6.31,1.23,1.1,1.55,10.4,NA,NA,marine,Molluscs,44.067829,44.067829,NA
901002,Chamelea gallina,Molluscs,"Clams, cockles, arkshells",NA,5,NA,150,0.032793408,0.07957224,6.73,0.91,1.22,0.73,8.55,NA,NA,marine,Molluscs,44.067829,44.067829,NA
901003,Chamelea gallina,Molluscs,"Clams, cockles, arkshells",NA,5,NA,327,0.162592,0.14308096,6.44,1.38,1.02,1.16,10.1,NA,NA,marine,Molluscs,44.067829,44.067829,NA
901004,Chamelea gallina,Molluscs,"Clams, cockles, arkshells",NA,5,NA,67.5,0.2386878,0.15422904,10.7,1.48,1.26,1.59,10.8,NA,NA,marine,Molluscs,44.067829,44.067829,NA
901005,Chamelea gallina,Molluscs,"Clams, cockles, arkshells",NA,5,NA,304,0.05983072,0.10292912,8.2,1.28,1.05,0.84,9.04,NA,NA,marine,Molluscs,44.067829,44.067829,NA
901010,Nephrops norvegicus,Crustacean,"Lobsters, spiny-rock lobsters",0.000147576,8,2.88,110,NA,NA,1.99,1.81,NA,NA,NA,0.02302,0.8935,marine,Crustacean,37.017954,37.017954,NA
901011,Nephrops norvegicus,Crustacean,"Lobsters, spiny-rock lobsters",0.000147576,8,2.88,90,NA,NA,2,1.67,NA,NA,NA,0.02302,0.8935,marine,Crustacean,37.017954,37.017954,NA
901012,Ficus subintermedia,Molluscs,"Abalones, winkles, conchs",NA,13,NA,NA,NA,NA,NA,NA,NA,1.38,16.02,NA,NA,marine,Molluscs,22.62389,22.62389,NA
901013,Ficus subintermedia,Molluscs,"Abalones, winkles, conchs",NA,13,NA,NA,NA,NA,NA,NA,NA,2.33,16.18,NA,NA,marine,Molluscs,22.62389,22.62389,NA
901014,Ficus subintermedia,Molluscs,"Abalones, winkles, conchs",NA,13,NA,NA,NA,NA,NA,NA,NA,2.83,15.38,NA,NA,marine,Molluscs,22.62389,22.62389,NA
901017,Carcinus maenas,Crustacean,"Crabs, sea-spiders",NA,10,NA,NA,0.154,0.115,NA,NA,NA,0.5,16.8,NA,NA,marine,Crustacean,43.133595,43.133595,NA
901018,Paralithodes camtschaticus,Crustacean,"King crabs, squat-lobsters",NA,40,2.82,NA,0.09645976,0.030333648,NA,NA,NA,0.61,NA,NA,NA,marine,Crustacean,52.183333,52.183333,NA
901020,Paralithodes platypus,Crustacean,"King crabs, squat-lobsters",NA,18,2.82,NA,0.087174,0.0417834,NA,NA,NA,0.6,NA,NA,NA,marine,Crustacean,56.4097,56.4097,NA
901022,Chionoecetes opilio,Crustacean,"Crabs, sea-spiders",NA,20,2.3,NA,0.39047856,0.21243016,NA,NA,NA,1.57,NA,NA,NA,marine,Crustacean,53.041213,53.041213,NA
901024,Chionoecetes opilio,Crustacean,"Crabs, sea-spiders",NA,14,NA,NA,0.032886527,0.014421351,NA,NA,NA,0.53,NA,NA,NA,marine,Crustacean,53.041213,53.041213,NA
901025,Chionoecetes opilio,Crustacean,"Crabs, sea-spiders",NA,14,NA,NA,1.20285898,1.6908252,NA,NA,NA,15.8,NA,NA,NA,marine,Crustacean,53.041213,53.041213,NA
901026,Chionoecetes opilio,Crustacean,"Crabs, sea-spiders",NA,14,NA,NA,0.14442624,0.12379392,NA,NA,NA,0.96,NA,NA,NA,marine,Crustacean,53.041213,53.041213,NA
901027,Chionoecetes opilio,Crustacean,"Crabs, sea-spiders",NA,14,NA,NA,0.69759552,0.88336824,NA,NA,NA,10.2,NA,NA,NA,marine,Crustacean,53.041213,53.041213,NA
901037,Melicertus kerathurus,Crustacean,"Shrimps, prawns",NA,18,NA,NA,0.1925406,0.2758014,NA,NA,NA,2.1,15.6,NA,NA,marine,Crustacean,40.26691,40.26691,NA
901038,Pandalus borealis,Crustacean,"Shrimps, prawns",0.35897523,14,2.46,NA,0.021326832,0.02665854,NA,NA,NA,NA,13.4,0.025948,3.613,marine,Crustacean,34.854423,34.854423,11.2
901039,Trachysalambria curvirostris,Crustacean,"Shrimps, prawns",NA,8.1,NA,NA,0.018201348,0.019580238,NA,NA,NA,NA,14.9,NA,NA,marine,Crustacean,34.854423,34.854423,9
901040,Penaeus semisulcatus,Crustacean,"Shrimps, prawns",NA,6,2.7,59.5,NA,NA,1.51,NA,NA,NA,20.58,NA,NA,marine,Crustacean,36.56945,36.56945,18.93
901041,Penaeus semisulcatus,Crustacean,"Shrimps, prawns",NA,6,2.7,60.3,NA,NA,1.58,NA,NA,NA,20.44,NA,NA,marine,Crustacean,36.56945,36.56945,18.93
