RefID,Type,Citation
fi030,Articles from scientific literature,"Oliveira A.C.M., Bechtel P.J. (2005). Lipid analysis of fillets from giant grenadier (Albatrossia pectoralis), arrow-tooth flounder (Atheresthes stomias), pacivic cod (Gadus macrocephalus) and walleye pollock (Theragra chalcogramma). Journal of Muscle Foods 17:20-33"
fi031,Articles from scientific literature,"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427"
fi032,Articles from scientific literature,"Lazos E.S., Aggelousis G., Alexakis A. (1989). Metal and proximate composition of the edible portion of 11 freshwater fish species. Journal of Food Composition and Analysis 2: 371-381"
fi033,Articles from scientific literature,"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561"
fi034,Articles from scientific literature,"Özogul Y., Özogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223"
fi035,Articles from scientific literature,"Serrini G., Luzzana U., Grimaldi P., Paleari M.A., Valfrè F. (1996). Fatty acid composition of some coregonid species (Coregonus spp.) from different European lakes. J. Appl. Ichthyol. 12: 57-59"
fi036,Articles from scientific literature,"Wander R.C., Patton B.D. Lipids and fatty acids of three species of Northeast Pacific finfish harvested in summer (1991) Journal of Food Composition and Analysis, 4, 128-135"
fi037,Articles from scientific literature,"Paleari M.A., Beretta G., Grimaldi P, Vaini F. (1997). Composition of muscle tissue of farmed white sturgeon (Acipenser transmontanus) with particular reference to lipidic content. J. Appl. Ichthyl. 13: 63-66"
fi038,Articles from scientific literature,"Otitologbon S.A., Agbaji E.B., Peters O.A., Oniye S.J. (1997). Proximate and mineral composition of three Nigerian freshwater fishes. J Sci Food Agric 75: 312-314"
fi039,Articles from scientific literature,"Hendry A.P. Proximate composition, reproductive development and a test for trade-offs in captive sockey salmon (2000) Transactions of the American Fisheries Society 129, 1082-1095"
fi040,Articles from scientific literature,"Badiani A., Stipa S., Nanni N., Gatta P.P., Manfredini M. (1997). Physical indices, processing yields, compositional parameters and fatty acid profile of three species of cultured sturgeon (Genus Acipenser). J Sci Food Agric 74: 257-264"
fi041,Articles from scientific literature,"Hadjinikolova L. (2008). Investigations on the chemical composition of carp (Cyprinus carpio L.), bighead carp (Aristichthys nobilis Rich.) and pike (Esox Lusius L.) during different stagees of individual growth. Bulgarian Journal of Agricultural Science 14(2): 121-126"
fi042,Articles from scientific literature,Vlieg P. (1985). Proximate analysis of commercial New Zealand fish species - 4. New Zealand Journal of Technology 1: 245-249
fi043,Articles from scientific literature,"Caponio F., Summo C., Bilancia M.T., DelCuratolo D., Lestingi A., Laudadio V. (2004). Nutritional value of the lipid fraction of sardines (Sardina pilchardus W.) as a function of total length and fishing period. Industrie Alimentari 43(442): 1295-1301"
fi044,Articles from scientific literature,"Papan F., Moghaddam A.Z. (2008). Nutritional evaluation of some species of fishes in Khuzestan and determination of the amount of soy bean meal used in the fish food formula on the basis of its isoflavone content. Journal of Biological Sciences 8(3): 667-670"
fi045,Articles from scientific literature,"Sirot V., Oseredczuk M., Bemrah-Aouachria N., Volatier J.-L., Leblanc J.-C.(2008). Lipid and fatty acid composition of fish and seafood consumed in France: CALIPSO study. J Food Comp Anal 21: 8-16"
fi046,Articles from scientific literature,"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8"
fi047,Articles from scientific literature,"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76"
fi048,Articles from scientific literature,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320"
fi049,Articles from scientific literature,"Tang H.-G., Wu T.-X., Zhao ZH.-Y., Pan X.-D. (2008). Biochemical composition of large yellow croaker (Pseudosciaena cocea) cultured in China. Journal of Food Quality 31: 382-393"
fi050,Articles from scientific literature,"Tzikas Z., Amvrosiadis I., Soultos N., Georgakis Sp. (2007). Seasonal variation in the chemical composition and microbiological condition of Mediterranean horse mackerel (Trachurus mediterraneus) muscle from the North Aegean Sea (Greece). Food Control 18: 251-257"
fi051,Articles from scientific literature,"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60"
fi052,Articles from scientific literature,"Küçükgülmez A., Celik M., Ersoy B., Yanar Y. (2010). Effects of season on proximate and fatty acid composition of two mediterranean fish - the round herring (Etrumeus teres) and tub gurnard (Chelidonichthys lucernus). International Journal of Food Science and Technology 45: 1056-1060"
fi053,Articles from scientific literature,"Zhao F., Zhuang P., Song C., Shi Z.-h., Zhang L.-z. (2010). Amino acid and fatty acid compositions and nutritional quality of muscle in the pomfret, Pampus punctatissimus. Food Chemistry 118: 224-227"
fi054,Articles from scientific literature,"Selmi S., Sadok S. (2008). The influence of season on lipid content and fatty acids profile of Euthynnus alletteratus fillets and by-products. Journal of Muscle Foods 21: 365-378"
fi055,Articles from scientific literature,"Tanakol R., Yazici Z., _ener E., Sencer E. (1999). Fatty acid composition of 19 species of fish from the Black Sea and the Marmara Sea. Lipids, 34(3): 291-297"
fi056,Articles from scientific literature,"Nakamura Y.-N., Ando M., Seoka M., Kawasaki K.-i., Tsukamasa Y. (2007). Changes of proximate anf fatty acid compositions of the dorsal and ventral ordinary muscles of the full-cycle cultured Pacific bluefin tuna Thunnus orientalis with growth. Food Chemistry 103: 234-241"
fi057,Articles from scientific literature,"Güner S., Dincer B., Alemdag N., Colak A., Tüfekci M. (1998). Proximate composition and selected mineral content of commercially important fish species from the Black Sea. J Sci Food Agri 78: 337-342"
fi058,Articles from scientific literature,"Njinkoué J.-M., Barnathan G., Miralles J., Gaydou E.-M., Samb A. (2002). Lipids and fatty acids in muscle, liver and skin of three edible fish from the Senegalese coast: Sardinella maderensis, Sardinella aurita and Cephalopholis taeniops. Comparative Biochemistry and Physiology Part B 131: 395-402"
fi059,Articles from scientific literature,"Huynh M.D., Kitts D.D. (2009). Evaluating nutritional quality of pacific fish species from fatty acid signatures. Food Chemistry 114: 912-918"
fi060,Articles from scientific literature,"Dincer T., Cakli S., Cadun A. (2010). Comparison of proximate and fatty acid composition of the flesh of wild and cultured fish species. Arch Lebensmittelhyg 61: 12-17"
fi061,Articles from scientific literature,"Chaijan M., Jongjareonrak A., Phatcharat S., Benjakul S., Rawdkuen S. (2010). Chemical compositions and characteristics of farm raised giant catfish (Pangasianodon gigas) muscle. Food Science and Technology 43: 452-457"
fi062,Articles from scientific literature,"Rueda F.M., Hernández M.D., Egea M.A., Aguado F., García B., Martínez F.J. (2001). Differences in tissue fatty acid composition between reared and wild sharpsnout sea bream, Diplodus puntazzo (Cetti, 1777). British Journal of Nutrition 86: 617-622"
fi063,Articles from scientific literature,"Di Monaco R., Cavella S., Masi P., Sevi A., Caroprese M., Marzano A., Conte A., Del Nobile M.A. (2009). Blue fish burgers: nutritional characterisation and sensory optimisation. International Journal of Food Science and Technology 44: 1634-1641"
fi064,Articles from scientific literature,Tawfik M.S. (2009). Proximate composition and fatty acid profiles in most common available fish species in saudi market. Asian Journal of Clinical Nutrition 1(1): 50-57
fi065,Articles from scientific literature,"Reale A., Ziino M., Ottolenghi F., Pelusi P., Romeo V., Condurso C., Sanfilippo M. (2006). Chemical composition and nutritional value of some marine species from the Egadi Islands. Chemistry and Ecology 22(Suppl 1): 173-179"
fi066,Articles from scientific literature,"Özogul Y., Özogul F. (2007). Fatty acid profiles of commercially important fish species from the Mediterranean, Aegean and Black Seas. Food Chemistry 100: 1634-1638"
fi067,Articles from scientific literature,"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475"
fi068,Articles from scientific literature,"Polat A., Kuzu S. Özyurt G., Tokur B. (2009). Fatty acid composition of red mullet (Mullus barbatus): a seasonal differntiation. Journal of Muscle Foods 20:70-78"
fi069,Articles from scientific literature,"Memon N.N., Talpur F.N., Bhanger M.I., Balouch A. (2011). Changes in fatty acid composition in muscle of three farmed carpf fish species (Labeo rohita, Cirrhinus mrigala, Catla catla) raised under the saime conditions. Food Chemistry 126: 405-410"
fi070,Articles from scientific literature,"Alasalvar C., Taylor K.D.A., Yubcov E., Shahidi F., Alexis M. (2002). Differentiation of cultured and wild sea bass (Dicentrarchus labrax): total lipid content, fatty acid and trace mineral composition. Food Chemistry 79: 145-150"
fi071,Articles from scientific literature,"Pirestani S., Ali Sahari M., Barzegar M., Seyfabadi S.J. (2009). Chemical compositions and minerals of some commercially important fish species from the South Caspian Sea. International Food Research Journal 16: 39-44"
fi072,Articles from scientific literature,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539"
fi073,Articles from scientific literature,"Pirini M., Testi S., Ventrella V., Pagliarani A., Badiani A. (2010). Blue-back fish: Fatty acid profile in selected seasons and retention upon baking. Food Chemistry 123: 306-314"
fi074,Articles from scientific literature,"Usydus Z., Szlinder-Richert J., Adamczyk M., Szatkowska U. (2011). Marine and farmed fish in the Polish market: Comparison of the nutritional value. Food Chemistry 126: 78-84"
fi075,Articles from scientific literature,"Swapna H.C., Amit K.R., Bhaskar N., Sachindra N.M. (2010). Lipid classes and fatty acid profile of selected Indian fresh water fishes. J Food Sci Technol 47(4): 394-400"
fi076,Articles from scientific literature,"Álvarez V., Medina I., Prego R., Aubourg S.P. (2009). Lipid and mineral distribution in different zones of farmed and wild blackspot seabream (Pagellus bogaraveo). Eur. J. Lipid Sci. Technol. 111: 957-966"
fi077,Articles from scientific literature,"Olsson G.B., Olsen R.L., Carlehög M., Ofstad R. (2003). Seasonal variations in chemical and sensory characteristics of farmed and wild Atlantic halibut (Hippoglossus hippoglossus). Aquaculture 217: 191-205"
fi078,Articles from scientific literature,"Ruff N., Fitzgerald R.D., Cross T.F., Kerry J.P. Comparative composition and shelf-life of fillets of wild and cultured turbot (Scophthalmus maximus) and Atlantic halibut (Hippoglossus hippoglossus) (2002) Aquaculture International, 10, 241-256"
fi079,Articles from scientific literature,"Osako K., Saito H., Weng W., Kuwahara K., Tanaka M. (2009). Lipid characteristics of coastal migratory Sarda orientalis tissues. Fish Sci 75: 1055-1066"
fi080,Articles from scientific literature,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
fi081,Articles from scientific literature,"Larsen D. Quek S.Y., Eyres L. (2010). Effect of cooking method on the fatty acid profile on New Zealand King Salmon (Oncorhynchus tshawytscha). Food Chemistry 119: 785-790."
fi082,Articles from scientific literature,Celik M. (2008). Seasonal changes in the proximate chemical composition and fatty acids of chub mackerel (Scomber japonicus) and horse mackerel (Trachurus trachurus) from the north eastern Mediterranean Sea. International Journal of Food Science and Technology 43: 933-938
fi083,Articles from scientific literature,"Martínez B., Miranda J.M., Nebot C., Rodriguez J.L., Cepeda A., Franco C.M. (2010). Differentiation of farmed and wild turbot (Psetta maxima): Proximate chemical composition, fatty acid profile, trace minerals and antimicrobial resistance of contaminant bacteria. Food Sci Tech Int 16(5): 435-437"
fi084,Articles from scientific literature,"Gladyshev M.I., Sushchik N.N., Gubanenko G.A., Demirchieva S.M., Kalachova G.S. (2006). Effect of way of cooking on content of essential polyunsaturated fatty acids in muscle tissue of humpback salmon (Oncorhynchus gorbuscha). Food Chemistry 96: 446-451"
fi085,Articles from scientific literature,"Jabeen F., Chaudhry A.S. (2011). Chemical compositions and fatty acid profiles of three freshwater fish species. Food Chemistry 125: 991-996"
fi086,Articles from scientific literature,"González M.J., Gallardo J.M., Brickle P., Medina I. (2007).Nutritional composition and safety of Patagonothothen ramsayi, a discard species from Patagonian Shelf. International Journal of Food Science and Technology 42: 1240-1248"
fi087,Articles from scientific literature,"Saoud I.P., Batal M., Ghanawi J., Lebbos N. (2008). Seasonal evaluation of nutritional benefits of two fish species in the eastern Mediterranean Sea. International Journal of Food Science and Technology 43: 538-542"
fi088,Articles from scientific literature,"Nurnadia A.A., Azrina A., Amin I. (2011). Proximate composition and energetic value of selected marine fish and shellfish from the West coast of Peninsular Malaysia. International Food Research Journal 18: 137-148"
fi089,Articles from scientific literature,"Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586"
fi090,Articles from scientific literature,"Limin L., Feng X., Jing H. (2006). Amino acids composition difference and nutritive evaluation of the muscle of five species of marine fish, Pseudosciaena crocea (large yellow croaker), Lateolabrax japonicus (common sea perch), Pagrosomus major (red seabream), Seriola dumerili (Dumeril's amberjack) and Hapalogenys nitens (black grunt) from Yiamen Bay of China. Aquaculture Nutrition 12:53-59."
fi091,Articles from scientific literature,"Yerlıkaya P., Gokoglu N., Topuz O.K., Gokoglu M. (2009). Changes in the proximate composition of bluefin tuna (Thunnus thynnus) reared in the cages located on the Gulf of Antalya (Turkey's Western Mediterranean coast) during the fattening period. Aquaculture Research 40: 1731-1734"
fi092,Articles from scientific literature,"Özden Ö., Erkan N., Ulusoy _. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363"
fi093,Articles from scientific literature,"Kenari A.A., Regenstein J.M., Hosseini S.V., Rezaei M., Tahergorabi R., Nazari R.M., Mogaddasi M., Kaboli S.A. (2009). Amino acid and fatty acid composition of cultured beluga (Huso huso) of different ages. Journal of Aquatic Food Product Technology 18: 245-265"
fi094,Articles from scientific literature,"Orban E., Masci M., Nevigato T., Di Lena G., Casini I., Caproni R., Gambelli L., De Angelis P., Rampacci M. (2006). Nutritional quality and safety of whitefish (Coregonus lavaretus) from Italian lakes. Journal of Food Composition and Analysis 19: 737-746"
fi095,Articles from scientific literature,"Méndez E., González R.M., Inocente G., Giudice H., Grompone M.A. (1996). Lipid content and fatty acid composition of fillets of six fishes from the Rio de la Plata. Journal of Food Composition and Analysis 9: 163-170"
fi096,Articles from scientific literature,"_engör G.F.Ü., Alakavuk D.Ü., Tosun _.Y., Ulusoy _. (2010). The chemical and sensory quality of smoked sturgeon (Huso huso): a case study. Journal of Aquatic Food Product Technology 19: 310-317"
fi097,Articles from scientific literature,"Ersoy B., Özeren A. (2009). The effect of cooking methods on mineral and vitamin contents of African catfish. Food Chemistry 115: 419-422"
fi098,Articles from scientific literature,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200"
fi099,Articles from scientific literature,"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194"
fi100,Articles from scientific literature,"Rasoarahona J.R.E., Barnathan G., Bianchini J.-P., Gaydou E.M. (2005). Influence of season on the lipid content and fatty acid profiles of three tilapia species (Oreochromis niloticus, O. macrochir and Tilapia rendalli) from Madagascar. Food Chemistry 91:683-694"
fi101,Articles from scientific literature,"Weber J., Bochi V.C., Ribeiro C.P., Victório A. de M., Emanuelli T. (2008). Effect of different cooking methods on the oxidation, proximate and fatty acid composition of silver catfish (Rhamdia quelen) fillets. Food Chemistry 106:140-146"
fi102,Articles from scientific literature,"Koubaa A., Abdelmouleh A., Bouain A., Mihoubi N.B. (2010). Experimental and statistical investigations of the global chemical composition of six trawling fish of the Gulf of Gabés (Mediterranean Sea). Journal of the Marine Biological Association of the United Kingdom. 1-7 (article in press)."
fi103,Articles from scientific literature,"Nurhasan M., Maehre H.K., Malde M.K., Stormo S.K., Halwart M., James D., Elvevoll E.O. (2010). Nutritional composition of aquatic species inLaotian rice field systems. Journal of Food Composition and Analysis 23:205-213"
fi104,Articles from scientific literature,"Ould Ahmed Louly A.W., Gaydou E.M., Ould El Kabir M.V. (2011). Muscle lipids and fatty acid profiles of three edible fish from the Mauritanian coast: Epinephelus aeneus, Cephalopholis taeniops and Serranus scriba. Food Chemistry 124:24-28"
fi105,Articles from scientific literature,"Ostermeyer U., Schmidt T. (2006). Vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413"
fi106,Articles from scientific literature,"De Souza Franco M.L.R., Viegas E.M.M., Kronka S.N., Vidotti R.M., Assano M., Gasparino E. (2010). Effects of hot and cold smoking process on organoleptic properties, yield and composition of matrinxa fillet. Revista Brasilerira de Zootecnia 39(4):695-700"
fi107,Articles from scientific literature,"Chomnawang C., Nantachai K., Yongsawatdigul J., Thawornchinsombut S., Tungkawachara S. (2007). Chemical and biochemical changes of hybrid catfish fillet stored at 4 ?C and its gel properties. Food Chemistry 103:420-427"
fi108,Articles from scientific literature,"Moreira A.B., Visentainer J.V., de Souza N.E., Matsushita M. (2001). Fatty acid profile and cholesterol contents of three Brazilian Brycon freshwater fishes. Journal of Food Composition and Analysis 14:565-574"
fi109,Articles from scientific literature,"Tanamati A., Stevanato F.B., Visentainer J.E.L., Matsushita M., de Souza N.E., Visentainer J.V. (2009). Fatty acid composition in wild and cultivated pacu and pintado fish. Eur. J. Lipid Sci. Technol. 111:183-187"
fi110,Articles from scientific literature,"Jankowska B.,  Zak__ Z., _mijewski T., Szczepkowski M. (2008). Fatty acid composition of wild and cultured northern pike (Esox lucius). J. Appl. Ichthyol. 24:196-201"
fi111,Articles from scientific literature,"Palmeri G., Turchini G.M., Caprino F., Keast R., Moretti V.M., De Silva S.S. (2008). Biometric, nutritional and sensory changes in intensively farmed Murray cod (Maccullochella peelii peelii, Mitchell) following different purging times. Food Chemistry 107: 1605-1615"
fi112,Articles from scientific literature,"Decker E.A., Crum A.D., Mims S.D., Tidwell J.H. (1991). Processing yields and composition of paddlefish (Polyodon spathula), a potential aquaculture species. J. Agric. Food Chem 39: 686-688"
fi113,Articles from scientific literature,"Oku T. Sugawara A., Choudhury M., Komatsu M., Yamada S., Ando S. (2009). Lipid and fatty acid compositions differntiate between wild and cultured Japanese eel (Anguilla japonica). Food Chemistry 115: 436-440"
fi114,Articles from scientific literature,"Bhuiyan A.K.M.A., Ratnayake W.M.N., Ackman R.G. (1993). Nutritional composition of raw and smoked Atlantic mackerel (Scomber scombrus): Oil- and water-soluble vitamins. Journal of Food Composition and Analysis 6: 172-184"
fi115,Articles from scientific literature,"Fuentes A., Fernández-Segovia I., Barat J.M., Serra J.A. (2010). Physicochemical characterization of some smoked and marinated fish products. Journal of Food Processing and Preservation 34: 83-103"
fi116,Articles from scientific literature,"Bhuiyan A.K.M.A., Ratnayake W.M.N., Ackman R.G. (1986). Effect of smoking on the proximate composition of Atlantic mackerel (Scomber scombrus). Journal of Food Science 51(2): 327-329"
fi117,Articles from scientific literature,"Vlieg P., Murray T., Body D.R. (1993). Nutritional data on six Oceanic Pelagic fish species from New Zealand waters. Journal of Food Composition and Analysis 6: 45-54"
fi118,Articles from scientific literature,"Eckhoff K.M., Maage A. (1997). Iodine content in fish and other food products from East Africa analyzed by ICP-MS. Journal of Food Composition and Analysis 10: 270-282"
fi119,Articles from scientific literature,"Mattila P., Ronkainen R., Lehikoinen K., Piironen V. (1999). Effect of household cooking on the Vitamin D content in fish, eggs, and wild mushrooms. Journal of Food Composition and Analysis 12: 153-160"
fi120,Articles from scientific literature,"Nettleton J.A., Exler J. (1992). Nutrients in wild and farmed fish and shellfish. Journal of Food Science 57(2): 257-260"
fi121,Articles from scientific literature,"Bouriga N., Selmi S., Faure E., Trabelsi M. (2010). Biochemical composition of three Tunisian silverside (fish) populations caught in open sea, lagoon and island coasts. African Journal of Biotechnology 9(26): 4114-4119"
fi122,Articles from scientific literature,"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). Cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243"
fi123,Articles from scientific literature,"Rasoarahona J.R.E., Ramanoelina P.A.R., Bianchini J.-P., Gaydou E.M. (2008). Muscle lipids and fatty acid profiles of the sea catfish (Arius madagascariensis) in Madagascar inland waters. Journal of the American Oil Chemist's Society 85(5): 435-440"
fi124,Articles from scientific literature,"Loukas V., Dimizas C., Sinanoglou V., Miniadis-Meimaroglou S. (2010). EPA, DHA, cholesterol and phospholipid content in Pagrus pagrus (cultured and wild), Trachinus draco und Trigla lyra from Mediterranean Sea. Chemistry and Physics of Lipids 163: 292-299"
fi125,Articles from scientific literature,"Teeny F.M., Gauglitz Jr. E.J., Hall A.S., Houle C.R.(1984). Mineral composition of the edible muscle tissue of seven species of fish from the Northeast Pacific. J. Agric. Food Chem. 32: 852-855"
fi126,Articles from scientific literature,"Rebah F.B., Abdelmouleh A., Kammoun W., Yezza A. (2010). Seasonal variation of lipid content and fatty acid composition of Sardinella aurita from Tunisian coast. Journal of the Marine Biological Association of the United Kingdom 90(3): 569-573"
