species,CA_mg,ZN_mg,FE_mg,EPA_g,DHA_g,Length,max_length,Subgroup,Habitat,TL,FoodTroph,Herbivory2,Abs_lat,DemersPelag,taxon
Amblypharyngodon mola,NA,NA,NA,NA,NA,20,20,Finfish,freshwater,2.9,NA,NA,24.4333,benthopelagic,"Carps, barbels and other cyprinids"
Amblypharyngodon mola,NA,NA,NA,NA,NA,20,20,Finfish,freshwater,2.9,NA,NA,24.4333,benthopelagic,"Carps, barbels and other cyprinids"
Amblypharyngodon mola,NA,NA,NA,NA,NA,20,20,Finfish,freshwater,2.9,NA,NA,24.4333,benthopelagic,"Carps, barbels and other cyprinids"
Anabas testudineus,NA,NA,NA,NA,NA,25,25,Finfish,freshwater,2.7,2.76,plants/detritus+animals (troph. 2.2-2.79),22.816667,demersal,Miscellaneous freshwater fishes
Anabas testudineus,NA,NA,NA,0.011866184,0.096490812,25,25,Finfish,freshwater,2.7,2.76,plants/detritus+animals (troph. 2.2-2.79),15.116386,demersal,Miscellaneous freshwater fishes
Anabas testudineus,NA,NA,NA,0.008665437,0.073461047,25,25,Finfish,freshwater,2.7,2.76,plants/detritus+animals (troph. 2.2-2.79),15.190255,demersal,Miscellaneous freshwater fishes
Anabas testudineus,NA,NA,NA,0.004215618,0.039345768,25,25,Finfish,freshwater,2.7,2.76,plants/detritus+animals (troph. 2.2-2.79),14.761942,demersal,Miscellaneous freshwater fishes
Anabas testudineus,NA,NA,NA,NA,NA,25,25,Finfish,freshwater,2.7,2.76,plants/detritus+animals (troph. 2.2-2.79),24.4333,demersal,Miscellaneous freshwater fishes
Anarhichas lupus,NA,NA,NA,0.169891253,0.179600693,150,150,Finfish,marine,3.2,3.73,mainly animals (troph. 2.8 and up),63.968654,demersal,Miscellaneous demersal fishes
Anarhichas lupus,NA,NA,NA,0.181546446,0.10213356,150,150,Finfish,marine,3.2,3.73,mainly animals (troph. 2.8 and up),63.968654,demersal,Miscellaneous demersal fishes
Anarhichas lupus,NA,NA,NA,0.131686107,0.163997287,150,150,Finfish,marine,3.2,3.73,mainly animals (troph. 2.8 and up),63.968654,demersal,Miscellaneous demersal fishes
Anarhichas lupus,6.8,0.78,0.15,NA,NA,150,150,Finfish,marine,3.2,3.73,mainly animals (troph. 2.8 and up),63.968654,demersal,Miscellaneous demersal fishes
Anchoa hepsetus,NA,NA,NA,NA,NA,15.3,12,Finfish,marine,3.33,3.25,mainly animals (troph. 2.8 and up),19.173773,pelagic-neritic,"Herrings, sardines, anchovies"
Anguilla anguilla,NA,NA,NA,NA,NA,50,50,Finfish,freshwater,3.5,3.62,mainly animals (troph. 2.8 and up),39.019184,demersal,River eels
Anguilla bicolor,NA,NA,NA,NA,NA,123,120,Finfish,freshwater,3.6,3.55,mainly animals (troph. 2.8 and up),12.265754,demersal,River eels
Anguilla japonica,NA,NA,NA,NA,NA,150,150,Finfish,freshwater,3.6,3.55,mainly animals (troph. 2.8 and up),31.596553,demersal,River eels
Anguilla rostrata,NA,NA,NA,0.0856776,0.1595376,152,152,Finfish,freshwater,3.7,3.62,mainly animals (troph. 2.8 and up),35.131275,demersal,River eels
Anoplopoma fimbria,NA,NA,NA,0.35,0.42,120,98,Finfish,marine,3.83,4.11,mainly animals (troph. 2.8 and up),45.9053,bathydemersal,Miscellaneous demersal fishes
Aphanopus carbo,14,0.5,0.1,0.0479,0.1395,110,110,Finfish,marine,4.5,4.48,mainly animals (troph. 2.8 and up),38.444217,bathypelagic,Miscellaneous demersal fishes
Aphanopus carbo,NA,NA,NA,NA,NA,110,110,Finfish,marine,4.5,4.48,mainly animals (troph. 2.8 and up),38.444217,bathypelagic,Miscellaneous demersal fishes
Aphanopus carbo,11.9,0.27,NA,0.0424763,0.12370675,110,110,Finfish,marine,4.5,4.48,mainly animals (troph. 2.8 and up),38.444217,bathypelagic,Miscellaneous demersal fishes
Ariomma bondi,NA,NA,NA,0.23866826,1.3073548,30,30,Finfish,marine,3.5,3.5,mainly animals (troph. 2.8 and up),25.304304,demersal,Miscellaneous demersal fishes
Ariomma bondi,NA,NA,NA,0.16785216,1.427909,30,30,Finfish,marine,3.5,3.5,mainly animals (troph. 2.8 and up),25.304304,demersal,Miscellaneous demersal fishes
Arnoglossus laterna,NA,NA,NA,NA,NA,25,25,Finfish,marine,3.6,3.49000000953674,mainly animals (troph. 2.8 and up),39.019184,demersal,"Flounders, halibuts, soles"
Arripis trutta,NA,NA,NA,NA,NA,89,75,Finfish,marine,4.07,3.7,mainly animals (troph. 2.8 and up),40.900557,pelagic-neritic,Miscellaneous coastal fishes
Atheresthes stomias,NA,NA,NA,0.393730288,0.237639134,84,69,Finfish,marine,4.26,4.01000022888184,mainly animals (troph. 2.8 and up),57.79,demersal,"Flounders, halibuts, soles"
Atherina boyeri,NA,NA,NA,0.34639424,0.47727936,20,20,Finfish,marine,3.12,3.22,plants/detritus+animals (troph. 2.2-2.79),37.266667,demersal,Miscellaneous pelagic fishes
Auxis rochei,NA,NA,NA,1.5807742,3.6417836,50,50,Finfish,marine,4.1,4.27,mainly animals (troph. 2.8 and up),36.204824,pelagic-neritic,"Tunas, bonitos, billfishes"
Auxis rochei,NA,NA,NA,0.325155,0.8584092,50,50,Finfish,marine,4.1,4.27,mainly animals (troph. 2.8 and up),36.204824,pelagic-neritic,"Tunas, bonitos, billfishes"
Auxis thazard,NA,NA,NA,0.5324,2.0086,65,54,Finfish,marine,4.34,4.3600001335144,mainly animals (troph. 2.8 and up),23.372169,pelagic-neritic,"Tunas, bonitos, billfishes"
Auxis thazard,NA,NA,NA,1.3707943,3.7308216,65,65,Finfish,marine,4.3,4.3600001335144,mainly animals (troph. 2.8 and up),36.204824,pelagic-neritic,"Tunas, bonitos, billfishes"
Auxis thazard,NA,NA,NA,0.4661453,1.3430523,65,65,Finfish,marine,4.3,4.3600001335144,mainly animals (troph. 2.8 and up),36.204824,pelagic-neritic,"Tunas, bonitos, billfishes"
Bagrus docmak,NA,NA,NA,0.38111275,0.659837,127,127,Finfish,freshwater,4.1,4.08,mainly animals (troph. 2.8 and up),0.033333,benthopelagic,Miscellaneous freshwater fishes
Bagrus docmak,NA,NA,NA,0.013,0.06384,127,127,Finfish,freshwater,4.1,4.08,mainly animals (troph. 2.8 and up),0.755775,benthopelagic,Miscellaneous freshwater fishes
Bagrus docmak,NA,NA,NA,0.01008,0.04712,127,127,Finfish,freshwater,4.1,4.08,mainly animals (troph. 2.8 and up),1.504705,benthopelagic,Miscellaneous freshwater fishes
Belone belone,NA,NA,NA,0.490163256,2.161174356,93,89,Finfish,marine,4.21,4.5,mainly animals (troph. 2.8 and up),42.163403,pelagic-oceanic,Miscellaneous pelagic fishes
Boops boops,NA,NA,NA,NA,NA,36,30,Finfish,marine,3,3.11,mainly animals (troph. 2.8 and up),39.019184,demersal,Miscellaneous coastal fishes
Boops boops,NA,NA,NA,0.165583808,0.60833344,36,30,Finfish,marine,3,3.11,mainly animals (troph. 2.8 and up),38.963745,demersal,Miscellaneous coastal fishes
Boops boops,NA,NA,NA,NA,NA,36,30,Finfish,marine,3,3.11,mainly animals (troph. 2.8 and up),39.019184,demersal,Miscellaneous coastal fishes
Boops boops,NA,NA,NA,0.0569166,0.1138332,36,30,Finfish,marine,3,3.11,mainly animals (troph. 2.8 and up),39.019184,demersal,Miscellaneous coastal fishes
Boops boops,NA,NA,NA,NA,NA,36,30,Finfish,marine,3,3.11,mainly animals (troph. 2.8 and up),39.019184,demersal,Miscellaneous coastal fishes
Brama japonica,8.8,0.3635,0.29,NA,NA,61,61,Finfish,marine,4.4,3.84,mainly animals (troph. 2.8 and up),57,pelagic-oceanic,Miscellaneous pelagic fishes
Brevoortia aurea,NA,NA,NA,1.11824,2.38108,26,26,Finfish,marine,2.75,2.75,plants/detritus+animals (troph. 2.2-2.79),23.372169,pelagic-neritic,"Herrings, sardines, anchovies"
Brosme brosme,NA,NA,NA,NA,NA,120,120,Finfish,marine,4,4.08,mainly animals (troph. 2.8 and up),60.529651,demersal,"Cods, hakes, haddocks"
Brosme brosme,NA,NA,NA,NA,NA,120,120,Finfish,marine,4,4.08,mainly animals (troph. 2.8 and up),60.529651,demersal,"Cods, hakes, haddocks"
Caranx crysos,NA,NA,NA,0.34804382,1.319759711,70,70,Finfish,marine,4.4,3.63,mainly animals (troph. 2.8 and up),37.370157,reef-associated,Miscellaneous pelagic fishes
Caranx crysos,NA,NA,NA,1.222,3.7036,70,70,Finfish,marine,4.4,3.63,mainly animals (troph. 2.8 and up),23.372169,reef-associated,Miscellaneous pelagic fishes
Carassius carassius,59,0.6,0.9,NA,NA,64,64,Finfish,freshwater,3.1,3.11,mainly animals (troph. 2.8 and up),41.53,demersal,"Carps, barbels and other cyprinids"
Carassius carassius,NA,NA,NA,0.07539,0.05026,64,64,Finfish,freshwater,3.1,3.11,mainly animals (troph. 2.8 and up),41.53,demersal,"Carps, barbels and other cyprinids"
Carassius carassius,57,0.5,0.8,NA,NA,64,64,Finfish,freshwater,3.1,3.11,mainly animals (troph. 2.8 and up),41.53,demersal,"Carps, barbels and other cyprinids"
Carcharhinus limbatus,NA,NA,NA,0.01,0.0577,275,226,Finfish,marine,4.24,4.46,mainly animals (troph. 2.8 and up),25.304304,reef-associated,"Sharks, rays, chimaeras"
Centrophorus squamosus,NA,NA,NA,0.019594817,0.309691789,164,164,Finfish,marine,4.22,4.4,mainly animals (troph. 2.8 and up),57.596278,bathydemersal,"Sharks, rays, chimaeras"
Centroscyllium fabricii,NA,NA,NA,0.02412773,0.19725567,107,82,Finfish,marine,3.9,4.13,mainly animals (troph. 2.8 and up),57.596278,bathydemersal,"Sharks, rays, chimaeras"
Centroscymnus coelolepis,NA,NA,NA,0.0223005,0.246420525,120,120,Finfish,marine,4.2,4.19,mainly animals (troph. 2.8 and up),57.596278,bathydemersal,"Sharks, rays, chimaeras"
Chaenocephalus aceratus,NA,NA,NA,0.4896,0.75276,72,59,Finfish,marine,3.47,3.96,mainly animals (troph. 2.8 and up),62,demersal,Miscellaneous demersal fishes
Chaenocephalus aceratus,NA,NA,NA,NA,NA,72,59,Finfish,marine,3.47,3.96,mainly animals (troph. 2.8 and up),82.862752,demersal,Miscellaneous demersal fishes
Champsocephalus gunnari,NA,NA,NA,NA,NA,66,54,Finfish,marine,3.23,3.49,mainly animals (troph. 2.8 and up),82.862752,pelagic-oceanic,Miscellaneous demersal fishes
Chanda nama,NA,NA,NA,NA,NA,11,11,Finfish,marine,3.6,3.59,mainly animals (troph. 2.8 and up),24.4333,benthopelagic,Miscellaneous coastal fishes
Channa marulius,1306.45,1.321593,1.35,NA,NA,183,183,Finfish,freshwater,4.5,4.5,mainly animals (troph. 2.8 and up),12.265754,benthopelagic,Miscellaneous freshwater fishes
Channa micropeltes,1085.84,1.440597,1.23,NA,NA,130,130,Finfish,freshwater,3.9,3.85,mainly animals (troph. 2.8 and up),12.265754,benthopelagic,Miscellaneous freshwater fishes
Channa punctata,NA,NA,NA,NA,NA,31,31,Finfish,freshwater,3.8,3.84,mainly animals (troph. 2.8 and up),22.816667,benthopelagic,Miscellaneous freshwater fishes
Channa punctata,NA,NA,NA,NA,NA,31,31,Finfish,freshwater,3.8,3.84,mainly animals (troph. 2.8 and up),24.4333,benthopelagic,Miscellaneous freshwater fishes
Channa punctata,NA,NA,NA,NA,NA,31,31,Finfish,freshwater,3.8,3.84,mainly animals (troph. 2.8 and up),24.4333,benthopelagic,Miscellaneous freshwater fishes
Channa punctata,NA,NA,NA,NA,NA,31,31,Finfish,freshwater,3.8,3.84,mainly animals (troph. 2.8 and up),24.4333,benthopelagic,Miscellaneous freshwater fishes
Channa striata,71,0.7,0.3,NA,0.022882,100,100,Finfish,freshwater,3.7,3.36,mainly animals (troph. 2.8 and up),14.903036,benthopelagic,Miscellaneous freshwater fishes
Channa striata,NA,NA,NA,NA,NA,100,100,Finfish,freshwater,3.7,3.36,mainly animals (troph. 2.8 and up),15.484682,benthopelagic,Miscellaneous freshwater fishes
Channa striata,NA,NA,NA,0.004762087,0.102033569,100,100,Finfish,freshwater,3.7,3.36,mainly animals (troph. 2.8 and up),15.116386,benthopelagic,Miscellaneous freshwater fishes
Channa striata,NA,NA,NA,0.00624536,0.105780785,100,100,Finfish,freshwater,3.7,3.36,mainly animals (troph. 2.8 and up),15.190255,benthopelagic,Miscellaneous freshwater fishes
Channa striata,NA,NA,NA,0.005855025,0.106093053,100,100,Finfish,freshwater,3.7,3.36,mainly animals (troph. 2.8 and up),15.072255,benthopelagic,Miscellaneous freshwater fishes
Chela cachius,NA,NA,NA,NA,NA,6,6,Finfish,freshwater,2.9,NA,NA,24.4333,benthopelagic,"Carps, barbels and other cyprinids"
Chelidonichthys lucerna,NA,NA,NA,NA,NA,75,75,Finfish,marine,3.7,3.58,mainly animals (troph. 2.8 and up),39.019184,demersal,Miscellaneous demersal fishes
Chelidonichthys lucerna,NA,NA,NA,0.007016698,0.023552308,75,75,Finfish,marine,3.7,3.58,mainly animals (troph. 2.8 and up),39.53794,demersal,Miscellaneous demersal fishes
Chelidonichthys lucerna,NA,NA,NA,0.008749,0.02740456,75,75,Finfish,marine,3.7,3.58,mainly animals (troph. 2.8 and up),39.53794,demersal,Miscellaneous demersal fishes
Chelidonichthys lucerna,NA,NA,NA,0.094753208,0.200428976,75,75,Finfish,marine,3.7,3.58,mainly animals (troph. 2.8 and up),39.53794,demersal,Miscellaneous demersal fishes
Chelon labrosus,NA,NA,NA,0.098861323,0.083924529,75,92,Finfish,marine,2.59,2.59,plants/detritus+animals (troph. 2.2-2.79),37.370157,demersal,Miscellaneous coastal fishes
Chirocentrus dorab,NA,NA,NA,NA,NA,100,100,Finfish,marine,4.5,4.4,mainly animals (troph. 2.8 and up),3.144341,reef-associated,"Herrings, sardines, anchovies"
Chondrostoma nasus,57,0.5,1,NA,NA,50,50,Finfish,freshwater,2,2,mainly plants/detritus (troph. 2-2.19),41.53,benthopelagic,"Carps, barbels and other cyprinids"
Chondrostoma nasus,53,0.5,0.9,NA,NA,50,50,Finfish,freshwater,2,2,mainly plants/detritus (troph. 2-2.19),41.53,benthopelagic,"Carps, barbels and other cyprinids"
Chondrostoma nasus,NA,NA,NA,0.064194,0.096291,50,50,Finfish,freshwater,2,2,mainly plants/detritus (troph. 2-2.19),41.53,benthopelagic,"Carps, barbels and other cyprinids"
Clarias batrachus,NA,NA,NA,NA,NA,47,47,Finfish,freshwater,3.4,3.42,mainly animals (troph. 2.8 and up),22.816667,demersal,Miscellaneous freshwater fishes
Clarias batrachus,299,0.9,0.6,0.05312,0.03984,47,47,Finfish,freshwater,3.4,3.42,mainly animals (troph. 2.8 and up),14.903036,demersal,Miscellaneous freshwater fishes
Clarias batrachus,NA,NA,NA,NA,NA,47,47,Finfish,freshwater,3.4,3.42,mainly animals (troph. 2.8 and up),24.4333,demersal,Miscellaneous freshwater fishes
Clarias gariepinus,NA,NA,NA,0.01536,0.0504,170,170,Finfish,freshwater,3.2,3.5,mainly animals (troph. 2.8 and up),1.504705,benthopelagic,Miscellaneous freshwater fishes
Clarias gariepinus,NA,NA,NA,0.0256,0.06942,170,170,Finfish,freshwater,3.2,3.5,mainly animals (troph. 2.8 and up),1.433393,benthopelagic,Miscellaneous freshwater fishes
Clarias gariepinus,NA,NA,NA,0.20437599,0.5764451,170,170,Finfish,freshwater,3.2,3.5,mainly animals (troph. 2.8 and up),0.033333,benthopelagic,Miscellaneous freshwater fishes
Clarias gariepinus,NA,NA,NA,0.05989053,0.191649696,170,170,Finfish,freshwater,3.2,3.5,mainly animals (troph. 2.8 and up),37,benthopelagic,Miscellaneous freshwater fishes
Clarias gariepinus,NA,NA,NA,NA,NA,170,170,Finfish,freshwater,3.2,3.5,mainly animals (troph. 2.8 and up),7.031297,benthopelagic,Miscellaneous freshwater fishes
Clarias gariepinus,NA,NA,NA,NA,NA,170,170,Finfish,freshwater,3.2,3.5,mainly animals (troph. 2.8 and up),7.031297,benthopelagic,Miscellaneous freshwater fishes
Clarias gariepinus,NA,NA,NA,NA,NA,170,170,Finfish,freshwater,3.2,3.5,mainly animals (troph. 2.8 and up),7.031297,benthopelagic,Miscellaneous freshwater fishes
Clarias gariepinus,NA,NA,NA,NA,NA,170,170,Finfish,freshwater,3.2,3.5,mainly animals (troph. 2.8 and up),7.031297,benthopelagic,Miscellaneous freshwater fishes
Clarias gariepinus,NA,NA,NA,NA,NA,170,170,Finfish,freshwater,3.2,3.5,mainly animals (troph. 2.8 and up),7.031297,benthopelagic,Miscellaneous freshwater fishes
Clarias gariepinus,NA,NA,NA,NA,NA,170,170,Finfish,freshwater,3.2,3.5,mainly animals (troph. 2.8 and up),7.031297,benthopelagic,Miscellaneous freshwater fishes
Clarias gariepinus,NA,NA,NA,NA,NA,170,170,Finfish,freshwater,3.2,3.5,mainly animals (troph. 2.8 and up),6.524379,benthopelagic,Miscellaneous freshwater fishes
Clarias gariepinus,832,8,3,NA,NA,170,170,Finfish,freshwater,3.2,3.5,mainly animals (troph. 2.8 and up),11.066667,benthopelagic,Miscellaneous freshwater fishes
Clarias macrocephalus,NA,NA,NA,NA,NA,120,120,Finfish,freshwater,3.2,3.7,mainly animals (troph. 2.8 and up),15.484682,benthopelagic,Miscellaneous freshwater fishes
Clarias macrocephalus,NA,NA,NA,0.025603087,0.048670405,120,120,Finfish,freshwater,3.2,3.7,mainly animals (troph. 2.8 and up),15.116386,benthopelagic,Miscellaneous freshwater fishes
Clarias macrocephalus,NA,NA,NA,0.030511027,0.057750094,120,120,Finfish,freshwater,3.2,3.7,mainly animals (troph. 2.8 and up),15.072255,benthopelagic,Miscellaneous freshwater fishes
Clarias macrocephalus,NA,NA,NA,0.021431338,0.053660144,120,120,Finfish,freshwater,3.2,3.7,mainly animals (troph. 2.8 and up),14.761942,benthopelagic,Miscellaneous freshwater fishes
Clupea harengus,NA,NA,NA,NA,NA,45,40,Finfish,marine,3.23,3.28999996185303,mainly animals (troph. 2.8 and up),60.657778,benthopelagic,"Herrings, sardines, anchovies"
Clupea harengus,NA,NA,NA,NA,NA,45,40,Finfish,marine,3.23,3.28999996185303,mainly animals (troph. 2.8 and up),60.657778,benthopelagic,"Herrings, sardines, anchovies"
Clupea harengus,NA,NA,NA,0.205817752,0.679594407,45,45,Finfish,marine,3.4,3.28999996185303,mainly animals (troph. 2.8 and up),55.028022,benthopelagic,"Herrings, sardines, anchovies"
Clupea harengus,NA,NA,NA,NA,NA,45,45,Finfish,marine,3.4,3.28999996185303,mainly animals (troph. 2.8 and up),61.92411,benthopelagic,"Herrings, sardines, anchovies"
Clupea harengus,NA,NA,NA,NA,NA,45,45,Finfish,marine,3.4,3.28999996185303,mainly animals (troph. 2.8 and up),61.92411,benthopelagic,"Herrings, sardines, anchovies"
Clupea harengus,NA,NA,NA,NA,NA,45,45,Finfish,marine,3.4,3.28999996185303,mainly animals (troph. 2.8 and up),61.92411,benthopelagic,"Herrings, sardines, anchovies"
Clupea harengus,NA,NA,NA,NA,NA,45,45,Finfish,marine,3.4,3.28999996185303,mainly animals (troph. 2.8 and up),61.92411,benthopelagic,"Herrings, sardines, anchovies"
Clupea harengus,NA,NA,NA,0.146682,0.32103,45,45,Finfish,marine,3.2,3.28999996185303,mainly animals (troph. 2.8 and up),57.891497,benthopelagic,"Herrings, sardines, anchovies"
Clupeoides borneensis,NA,NA,NA,NA,NA,8,8,Finfish,freshwater,3.1,3.1,mainly animals (troph. 2.8 and up),12.265754,pelagic,Miscellaneous freshwater fishes
Clupeonella cultriventris,NA,NA,NA,0.533070153,NA,14.5,14.5,Finfish,brackish,3,3.03,mainly animals (troph. 2.8 and up),35.707481,pelagic-neritic,Shads
Clupeonella cultriventris,24.18,0.503116,0.13,NA,NA,14.5,14.5,Finfish,brackish,3,3.03,mainly animals (troph. 2.8 and up),35.707481,pelagic-neritic,Shads
Coregonus albula,NA,NA,NA,NA,NA,48,37,Finfish,freshwater,3.02,3.05999994277954,mainly animals (troph. 2.8 and up),61.341081,benthopelagic,"Salmons, trouts, smelts"
Coregonus albula,NA,NA,NA,NA,NA,48,37,Finfish,freshwater,3.02,3.05999994277954,mainly animals (troph. 2.8 and up),61.508114,benthopelagic,"Salmons, trouts, smelts"
Coregonus albula,NA,NA,NA,NA,NA,48,37,Finfish,freshwater,3.02,3.05999994277954,mainly animals (troph. 2.8 and up),61.508114,benthopelagic,"Salmons, trouts, smelts"
Coregonus albula,NA,NA,NA,NA,NA,48,37,Finfish,freshwater,3.02,3.05999994277954,mainly animals (troph. 2.8 and up),61.92411,benthopelagic,"Salmons, trouts, smelts"
Coregonus albula,NA,NA,NA,NA,NA,48,37,Finfish,freshwater,3.02,3.05999994277954,mainly animals (troph. 2.8 and up),61.92411,benthopelagic,"Salmons, trouts, smelts"
Coregonus albula,NA,NA,NA,NA,NA,48,37,Finfish,freshwater,3.02,3.05999994277954,mainly animals (troph. 2.8 and up),61.508114,benthopelagic,"Salmons, trouts, smelts"
Coregonus albula,NA,NA,NA,NA,NA,48,37,Finfish,freshwater,3.02,3.05999994277954,mainly animals (troph. 2.8 and up),61.341081,benthopelagic,"Salmons, trouts, smelts"
Coregonus albula,12.63,0.626962,0.23,NA,NA,48,37,Finfish,freshwater,3.02,3.05999994277954,mainly animals (troph. 2.8 and up),54.117096,benthopelagic,"Salmons, trouts, smelts"
Coregonus albula,14,0.643461,0.27,NA,NA,48,37,Finfish,freshwater,3.02,3.05999994277954,mainly animals (troph. 2.8 and up),54.117096,benthopelagic,"Salmons, trouts, smelts"
Coregonus clupeaformis,5,0.6,0.3,0.08,0.4,100,100,Finfish,freshwater,3.1,3.4300000667572,mainly animals (troph. 2.8 and up),52.636704,demersal,"Salmons, trouts, smelts"
Coregonus clupeaformis,5,0.4,0.2,0.07,0.2,100,100,Finfish,freshwater,3.1,3.4300000667572,mainly animals (troph. 2.8 and up),54.758294,demersal,"Salmons, trouts, smelts"
Coregonus clupeaformis,7,0.4,0.23,0.08,0.3,100,100,Finfish,freshwater,3.1,3.4300000667572,mainly animals (troph. 2.8 and up),54.866667,demersal,"Salmons, trouts, smelts"
Coregonus lavaretus,37.89,0.541,0.31,0.14342433,0.136933825,73,49,Finfish,freshwater,3.08,3.15000009536743,mainly animals (troph. 2.8 and up),42.606001,demersal,"Salmons, trouts, smelts"
Coregonus lavaretus,35.48,0.583,0.39,0.2103552,0.1705152,73,49,Finfish,freshwater,3.08,3.15000009536743,mainly animals (troph. 2.8 and up),42.119525,demersal,"Salmons, trouts, smelts"
Coregonus lavaretus,27.19,0.7025,0.39,0.20466354,0.22814952,73,49,Finfish,freshwater,3.08,3.15000009536743,mainly animals (troph. 2.8 and up),42.260357,demersal,"Salmons, trouts, smelts"
Coregonus macrophthalmus,NA,NA,NA,0.4758747,0.2940364,30,30,Finfish,freshwater,3.3,3.3,NA,45.967622,pelagic,"Salmons, trouts, smelts"
Coregonus macrophthalmus,NA,NA,NA,0.529135,0.332755,30,30,Finfish,freshwater,3.3,3.3,NA,46.910675,pelagic,"Salmons, trouts, smelts"
