Reference,Food.Item.ID,species,SLB_species,tissue sampled,Wild/farmed,study status,common name,location,,Latitude,length reported in study (cm),weight reported in study (g),Season,Protein (g/100g ww),Fat (g /100g ww),Ca (mg),Mg (mg),Fe (mg),K (mg),P (mg),Zn (mg),Zn unit notes (if not mg/100g ww),EPA (g/100g),DHA (g/100g),total PUFA (mg/100g ww),Hg (mg),Pb (mg),Protein as percent dry weight,Fat as percent dry matter,Ash as percent dry matter,Reference notes
"N. Bragagnolo and D. B. Rodriguez-Amaya, Total Lipid, Cholesterol, and Fatty Acids of Farmed Freshwater Prawn (Macrobrachium rosenbergii) and Wild Marine Shrimp (Penaeus brasiliensis, Penaeus schimitti, Xiphopenaeus kroyeri), JOURNAL OF FOOD COMPOSITION AND ANALYSIS (2001) 14, 359d369",11,Xiphopenaeus kroyeri,Xiphopenaeus kroyeri,"whole body, without shell",wild,original,,"Sao Paulo, Brazil",,,,,average,,,,,,,,,,0.086,0.097,,,,,,,
"N. Bragagnolo and D. B. Rodriguez-Amaya, Total Lipid, Cholesterol, and Fatty Acids of Farmed Freshwater Prawn (Macrobrachium rosenbergii) and Wild Marine Shrimp (Penaeus brasiliensis, Penaeus schimitti, Xiphopenaeus kroyeri), JOURNAL OF FOOD COMPOSITION AND ANALYSIS (2001) 14, 359d369",12,Macrobrachium rosenbergii ,Macrobrachium rosenbergii ,"whole body, without shell",farmed,original,,"Santa Catarina, Brazil",,,,,average,,,,,,,,,,0.099,0.073,,,,,,,
"N. Bragagnolo and D. B. Rodriguez-Amaya, Total Lipid, Cholesterol, and Fatty Acids of Farmed Freshwater Prawn (Macrobrachium rosenbergii) and Wild Marine Shrimp (Penaeus brasiliensis, Penaeus schimitti, Xiphopenaeus kroyeri), JOURNAL OF FOOD COMPOSITION AND ANALYSIS (2001) 14, 359d369",13,Farfantepenaeus brasiliensis,Farfantepenaeus brasiliensis,"whole body, without shell",wild,original,,"Sao Paulo, Brazil",,,,7-13g,average,,,,,,,,,,0.124,0.091,,,,,,,
"N. Bragagnolo and D. B. Rodriguez-Amaya, Total Lipid, Cholesterol, and Fatty Acids of Farmed Freshwater Prawn (Macrobrachium rosenbergii) and Wild Marine Shrimp (Penaeus brasiliensis, Penaeus schimitti, Xiphopenaeus kroyeri), JOURNAL OF FOOD COMPOSITION AND ANALYSIS (2001) 14, 359d369",14,Farfantepenaeus brasiliensis,Farfantepenaeus brasiliensis,"whole body, without shell",wild,original,,"Sao Paulo, Brazil",,,,24-30g,average,,,,,,,,,,0.1,0.072,,,,,,,
"N. Bragagnolo and D. B. Rodriguez-Amaya, Total Lipid, Cholesterol, and Fatty Acids of Farmed Freshwater Prawn (Macrobrachium rosenbergii) and Wild Marine Shrimp (Penaeus brasiliensis, Penaeus schimitti, Xiphopenaeus kroyeri), JOURNAL OF FOOD COMPOSITION AND ANALYSIS (2001) 14, 359d369",15,Farfantepenaeus brasiliensis,Farfantepenaeus brasiliensis,"whole body, without shell",wild,original,,"Sao Paulo, Brazil",,,,55-60g,average,,,,,,,,,,0.126,0.078,,,,,,,
"N. Bragagnolo and D. B. Rodriguez-Amaya, Total Lipid, Cholesterol, and Fatty Acids of Farmed Freshwater Prawn (Macrobrachium rosenbergii) and Wild Marine Shrimp (Penaeus brasiliensis, Penaeus schimitti, Xiphopenaeus kroyeri), JOURNAL OF FOOD COMPOSITION AND ANALYSIS (2001) 14, 359d369",16,Litopenaeus schmitti,Litopenaeus schmitti,"whole body, without shell",wild,original,,"Sao Paulo, Brazil",,,,24-30g,average,,,,,,,,,,0.085,0.062,,,,,,,
"N. Bragagnolo and D. B. Rodriguez-Amaya, Total Lipid, Cholesterol, and Fatty Acids of Farmed Freshwater Prawn (Macrobrachium rosenbergii) and Wild Marine Shrimp (Penaeus brasiliensis, Penaeus schimitti, Xiphopenaeus kroyeri), JOURNAL OF FOOD COMPOSITION AND ANALYSIS (2001) 14, 359d369",17,Litopenaeus schmitti,Litopenaeus schmitti,"whole body, without shell",wild,original,,"Sao Paulo, Brazil",,,,55-60g,average,,,,,,,,,,0.096,0.07,,,,,,,
"Anto ́ nio Marques a,*, Ba ́ rbara Teixeira a, Sara Barrento a, Patrı ́cia Anacleto a, Maria Luı ́sa Carvalho b, Maria Leonor Nunes. Chemical composition of Atlantic spider crab Maja brachydactyla: Human health implications. Journal of Food Composition and Analysis 2010",18,Maja brachydactyla ,Maja brachydactyla ,muscle,wild,original,Atlantic spider crab ,"Viveiros Barrosinho, Setu ́bal, Portugal ",,,139.9,569 g,average,15.7,0.32,78.7,,1.07,,,6.28,,,,105,0.01,0,,,,"this study reported EPA and DHA as percents, so I didn't record it here."
"Anto ́ nio Marques a,*, Ba ́ rbara Teixeira a, Sara Barrento a, Patrı ́cia Anacleto a, Maria Luı ́sa Carvalho b, Maria Leonor Nunes. Chemical composition of Atlantic spider crab Maja brachydactyla: Human health implications. Journal of Food Composition and Analysis 2010",19,Maja brachydactyla ,Maja brachydactyla ,Hepatopancreas ,wild,original,Atlantic spider crab ,"Viveiros Barrosinho, Setu ́bal, Portugal ",,,139.9,569 g,average,13.7,7.08,390,,17.1,,,5.77,,,,356,0.01,0.01,,,,
"Anto ́ nio Marques a,*, Ba ́ rbara Teixeira a, Sara Barrento a, Patrı ́cia Anacleto a, Maria Luı ́sa Carvalho b, Maria Leonor Nunes. Chemical composition of Atlantic spider crab Maja brachydactyla: Human health implications. Journal of Food Composition and Analysis 2010",20,Maja brachydactyla ,Maja brachydactyla ,Gonads ,wild,original,Atlantic spider crab ,"Viveiros Barrosinho, Setu ́bal, Portugal ",,,139.9,569 g,average,24.1,1.36,24,,2.97,,,5.15,,,,434,0,0,,,,
"Anto ́ nio Marques a,*, Ba ́ rbara Teixeira a, Sara Barrento a, Patrı ́cia Anacleto a, Maria Luı ́sa Carvalho b, Maria Leonor Nunes. Chemical composition of Atlantic spider crab Maja brachydactyla: Human health implications. Journal of Food Composition and Analysis 2010",21,Maja brachydactyla ,Maja brachydactyla ,Gills,wild,original,Atlantic spider crab ,"Viveiros Barrosinho, Setu ́bal, Portugal ",,,139.9,569 g,average,NA,NA,59.9,,14.1,,,0.9,,,,NA,0.01,NA,,,,
"Zied Zarai,a∗ Fakher Frikha,a Rafik Balti,b Nabil Miled,a Youssef Gargouria and Hafedh Mejdouba. Nutrient composition of the marine snail (Hexaplex trunculus) from the Tunisian Mediterranean coasts. JSciFoodAgric2011;91:1265–1270. 2011 ",22,Hexaplex trunculus ,Hexaplex trunculus ,muscle,wild,original,marine snail,Sfax city (Tunisia). ,,,4 – 6 ,15 – 20,average,,,674.4,,8.1,,,112.8,,,,,,,47.79,27.31,15.14,"this study reported EPA and DHA as percents, so I didn't record it here. Also reported protein as percentage."
"Zied Zarai,a∗ Fakher Frikha,a Rafik Balti,b Nabil Miled,a Youssef Gargouria and Hafedh Mejdouba. Nutrient composition of the marine snail (Hexaplex trunculus) from the Tunisian Mediterranean coasts. JSciFoodAgric2011;91:1265–1270. 2011 ",23,Hexaplex trunculus ,Hexaplex trunculus ,Hepatopancreas ,wild,original,marine snail,Sfax city (Tunisia). ,,,4 – 6 ,15 – 20,average,,,860,,17.8,,,225.2,,,,,,,46.48,27.23,8.37,
"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761 ",24,Scylla paramamosain ,Scylla paramamosain ,"muscle, male",farmed,original paper,mud crab ,"Chongming Island (31◦36′ N, 121◦52′ E, Shanghai, China) ",,,,315–480 g ,October 2010 ,,,,,,,,7.25,dry weight,,,,,,,,,"this study reported EPA and DHA as percents, so I didn't record it here."
"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761 ",25,Scylla paramamosain ,Scylla paramamosain ,"muscle, female",farmed,original paper,mud crab ,"Chongming Island (31◦36′ N, 121◦52′ E, Shanghai, China) ",,,,315–480 g ,October 2010 ,,,,,,,,8.13,dry weight,,,,,,,,,
"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761 ",26,Scylla paramamosain ,Scylla paramamosain ,"hepatopancreas, male",farmed,original paper,mud crab ,"Chongming Island (31◦36′ N, 121◦52′ E, Shanghai, China) ",,,,315–480 g ,October 2010 ,,,,,,,,6.73,dry weight,,,,,,,,,
"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761 ",27,Scylla paramamosain ,Scylla paramamosain ,"hepatopancreas, female",farmed,original paper,mud crab ,"Chongming Island (31◦36′ N, 121◦52′ E, Shanghai, China) ",,,,315–480 g ,October 2010 ,,,,,,,,5.8,dry weight,,,,,,,,,
"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761 ",28,Scylla paramamosain ,Scylla paramamosain ,ovary,farmed,original paper,mud crab ,"Chongming Island (31◦36′ N, 121◦52′ E, Shanghai, China) ",,,,315–480 g ,October 2010 ,,,,,,,,6.09,dry weight,,,,,,,,,
"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761 ",29,Portunus trituberculatus ,Portunus trituberculatus ,"muscle, male",farmed,original paper,swimming crab ,"Zhujiajian Island (29◦54′ N, 122◦23′ E, Zhejiang, China) ",,,,180–245 g ,December 2010 ,,,,,,,,8,dry weight,,,,,,,,,
"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761 ",30,Portunus trituberculatus ,Portunus trituberculatus ,"muscle, female",farmed,original paper,swimming crab ,"Zhujiajian Island (29◦54′ N, 122◦23′ E, Zhejiang, China) ",,,,180–245 g ,December 2010 ,,,,,,,,7.8,dry weight,,,,,,,,,
"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761 ",31,Portunus trituberculatus ,Portunus trituberculatus ,"hepatopancreas, male",farmed,original paper,swimming crab ,"Zhujiajian Island (29◦54′ N, 122◦23′ E, Zhejiang, China) ",,,,180–245 g ,December 2010 ,,,,,,,,8.33,dry weight,,,,,,,,,
"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761 ",32,Portunus trituberculatus ,Portunus trituberculatus ,"hepatopancreas, female",farmed,original paper,swimming crab ,"Zhujiajian Island (29◦54′ N, 122◦23′ E, Zhejiang, China) ",,,,180–245 g ,December 2010 ,,,,,,,,7.57,dry weight,,,,,,,,,
"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761 ",33,Portunus trituberculatus ,Portunus trituberculatus ,ovary,farmed,original paper,swimming crab ,"Zhujiajian Island (29◦54′ N, 122◦23′ E, Zhejiang, China) ",,,,180–245 g ,December 2010 ,,,,,,,,5.76,dry weight,,,,,,,,,
"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761 ",34,Eriocheir sinensis ,Eriocheir sinensis ,"muscle, male",farmed,original paper,Chinese mitten crab ,"Taihu Lake (31◦26′ N, 120◦13′ E, Jiangsu, China) ",,,,142–210 g,December 2010 ,,,,,,,,8.47,dry weight,,,,,,,,,
"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761 ",35,Eriocheir sinensis ,Eriocheir sinensis ,"muscle, female",farmed,original paper,Chinese mitten crab ,"Taihu Lake (31◦26′ N, 120◦13′ E, Jiangsu, China) ",,,,142–210 g,December 2010 ,,,,,,,,7.83,dry weight,,,,,,,,,
"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761 ",36,Eriocheir sinensis ,Eriocheir sinensis ,"hepatopancreas, male",farmed,original paper,Chinese mitten crab ,"Taihu Lake (31◦26′ N, 120◦13′ E, Jiangsu, China) ",,,,142–210 g,December 2010 ,,,,,,,,5.2,dry weight,,,,,,,,,
"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761 ",37,Eriocheir sinensis ,Eriocheir sinensis ,"hepatopancreas, female",farmed,original paper,Chinese mitten crab ,"Taihu Lake (31◦26′ N, 120◦13′ E, Jiangsu, China) ",,,,142–210 g,December 2010 ,,,,,,,,4.73,dry weight,,,,,,,,,
"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761 ",38,Eriocheir sinensis ,Eriocheir sinensis ,ovary,farmed,original paper,Chinese mitten crab ,"Taihu Lake (31◦26′ N, 120◦13′ E, Jiangsu, China) ",,,,142–210 g,December 2010 ,,,,,,,,5.6,dry weight,,,,,,,,,
"A. Fuentes, I. Fernández-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilus
galloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295–302",39,Mytilus galloprovincialis,Mytilus galloprovincialis,muscle,farmed,original paper,mussel,Ría de Vigo in Galicia (NW Iberian Peninsula),,,0.77,,July 2002,10,1.4,40 ,,1,,,2.3,,,,,,,,,,"this study reported EPA and DHA as percents, so I didn't record it here."
"A. Fuentes, I. Fernández-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilus
galloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295–302",40,Mytilus galloprovincialis,Mytilus galloprovincialis,muscle,farmed,original paper,mussel, Ebro Delta in Catalonia (NE Iberian Peninsula),,,0.72,,July 2002,6.5,1.7,37,,2.1,,,2,,,,,,,,,,"this study reported EPA and DHA as percents, so I didn't record it here."
"A. Fuentes, I. Fernández-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilus
galloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295–302",41,Mytilus galloprovincialis,Mytilus galloprovincialis,muscle,farmed,original paper,mussel,Valencia Harbour (E Iberian Peninsula),,,0.54,,July 2002,10.0,2.10,82,,2.9,,,1.76,,,,,,,,,,"this study reported EPA and DHA as percents, so I didn't record it here."
"M.S. Astorga-España, E.M. Rodríguez-Rodríguez, C. Díaz-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273–279",42,Mytilus chilensis,Mytilus chilensis,muscle,wild,original paper,,"Cabo Froward, Chile",,-53.5,5.8,4.8,November 2000,,,60,,2.88,,,1.37,,,,,,,,,,
"M.S. Astorga-España, E.M. Rodríguez-Rodríguez, C. Díaz-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273–279",43,Mytilus chilensis,Mytilus chilensis,muscle,wild,original paper,,"Cabo Froward, Chile",,-53.5,4.4,2.8,December 2000,,,130,,5.18,,,1.55,,,,,,,,,,
"M.S. Astorga-España, E.M. Rodríguez-Rodríguez, C. Díaz-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273–279",44,Mytilus chilensis,Mytilus chilensis,muscle,wild,original paper,,"Cabo Froward, Chile",,-53.5,3.5,1.4,January 2001,,,150,,8.27,,,1.28,,,,,,,,,,
"M.S. Astorga-España, E.M. Rodríguez-Rodríguez, C. Díaz-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273–279",45,Mytilus chilensis,Mytilus chilensis,muscle,wild,original paper,,"Cabo Froward, Chile",,-53.5,3.8,1.6,February 2001,,,120,,7.25,,,1.86,,,,,,,,,,
"M.S. Astorga-España, E.M. Rodríguez-Rodríguez, C. Díaz-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273–279",46,Perunytitus purpuratus,Strongylocentrotus purpuratus,muscle,wild,original paper,,"Cabo Froward, Chile",,-53.5,2.4,0.6,October 2001,,,180,,10.1,,,2.42,,,,,,,,,,
"M.S. Astorga-España, E.M. Rodríguez-Rodríguez, C. Díaz-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273–279",47,Perunytitus purpuratus,Strongylocentrotus purpuratus,muscle,wild,original paper,,"Cabo Froward, Chile",,-53.5,3.4,1.1,November 2000,,,140,,8.62,,,1.84,,,,,,,,,,
"M.S. Astorga-España, E.M. Rodríguez-Rodríguez, C. Díaz-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273–279",48,Perunytitus purpuratus,Strongylocentrotus purpuratus,muscle,wild,original paper,,"Cabo Froward, Chile",,-53.5,3.1,0.9,December 2000,,,150,,13.1,,,1.52,,,,,,,,,,
"M.S. Astorga-España, E.M. Rodríguez-Rodríguez, C. Díaz-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273–279",49,Perunytitus purpuratus,Strongylocentrotus purpuratus,muscle,wild,original paper,,"Cabo Froward, Chile",,-53.5,2.7,0.7,January 2001,,,150,,8.56,,,2.1,,,,,,,,,,
"M.S. Astorga-España, E.M. Rodríguez-Rodríguez, C. Díaz-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273–279",50,Perunytitus purpuratus,Strongylocentrotus purpuratus,muscle,wild,original paper,,"Cabo Froward, Chile",,-53.5,4.3,2.1,February 2001,,,100,,4.54,,,1.43,,,,,,,,,,
