autoctr,sciname,StockCode,EcologyRefNo,HabitatsRef,Neritic,SupraLittoralZone,LittoralZone,TidePools,Intertidal,SubLittoral,Oceanic,Epipelagic,Estuaries,Mangroves,MarshesSwamps,Stream,Lakes,Cave,Cave2,Herbivory2,HerbivoryRef,FeedingType,FeedingTypeRef,DietTroph,DietSeTroph,DietTLu,DietseTLu,DietRemark,DietRef,FoodTroph,FoodSeTroph,FoodRemark,FoodRef,AddRems,AssociationRef,Parasitism,Solitary,Symbiosis,Symphorism,Commensalism,Mutualism,Epiphytic,Schooling,SchoolingFrequency,SchoolingLifestage,Shoaling,ShoalingFrequency,ShoalingLifestage,AssociationsWith,AssociationsRemarks,OutsideHost,OHRemarks,InsideHost,IHRemarks,SubstrateRef,Benthic,Sessile,Mobile,Demersal,Endofauna,Pelagic,Megabenthos,Macrobenthos,Meiobenthos,SoftBottom,Sand,Coarse,Fine,Level,Sloping,Silt,Mud,Ooze,Detritus,Organic,HardBottom,Rocky,Rubble,SpecialHabitatRef,Macrophyte,BedsBivalve,BedsRock,SeaGrassBeds,BedsOthers,CoralReefs,DropOffs,ReefFlats,Lagoons,Burrows,Tunnels,Crevices,Vents,Seamounts,DeepWaterCorals,Vegetation,Leaves,Stems,Roots,Driftwood,OInverterbrates,OIRemarks,Verterbrates,VRemarks,Pilings,BoatHulls,Corals,SoftCorals,OnPolyp,BetweenPolyps,HardCorals,OnExoskeleton,InterstitialSpaces,Entered,Dateentered,Modified,Datemodified,Expert,Datechecked,TS,Marine,saltmarshes,caves,mesopelagic,bathypelagic,abyssopelagic,hadopelagic,BrackishWater,FreshWater,IsoTroph,IsoseTroph,IsoRemark,IsoRef,EcoTroph,EcoseTroph,EcoRemark,EcoRef,ShoalingRef,E_Append,E_DateAppend,SpecCode
3405,Eledone moschata,4496,275,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),NA,hunting macrofauna (predator),NA,NA,NA,NA,NA,NA,NA,3.65,0.58,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,Prefers soft bottoms (Ref. 1976) over <i>Posidonia</i> beds (Ref. 77087).,275,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,77087,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,77087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,4,2006-04-19T00:00:00.000Z,1,2011-01-07T00:00:00.000Z,NA,NA,2015-05-11T10:15:28.000Z,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57662
22664,Euphausia superba,46744,356,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Found along most of the Antarctic coastline.  Adult krill populations' center of distribution is near the continental shelf break, juveniles are found in inshore waters and the eggs and larvae are found in offshore waters (Ref. 96896).",2864,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,2864,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,12,2007-04-17T00:00:00.000Z,265,2014-08-06T00:00:00.000Z,NA,NA,2015-05-11T10:15:43.000Z,1,0,0,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27320
3195,Ficus subintermedia,4278,349,NA,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low tide fringe.  Common in shallow water.  Occurs at the low tide mark.,349,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,821,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,5,2006-04-07T00:00:00.000Z,293,2015-03-25T00:00:00.000Z,NA,NA,2015-05-11T10:15:28.000Z,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86948
125,Homarus gammarus,200,4,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plants/detritus+animals (troph. 2.2-2.79),96319,variable,96319,NA,NA,NA,NA,NA,NA,3.7,0.23,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Occurs on the continental shelf at depths of 0 to 150 m, usually not deeper than 50 m.  Found on hard substrates such as rock or hard mud.  Nocturnal and territorial living in holes or crevices.  Females with eggs are usually found throughout the year.  The eggs are laid around July and carried for 10 to 11 months (Ref. 4).  Indiscriminate scavengers, omnivorous or carnivorous.  Feeds primarily on malacostracan crustaceans, gastropod molluscs, and polychaete annelids; but diet known to include carrion, echinoderms, lamellibranchs and plant matter (Ref. 96319).",4,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,5,2006-01-02T00:00:00.000Z,286,2014-06-17T00:00:00.000Z,NA,NA,2015-05-11T10:15:26.000Z,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26022
2887,Loligo vulgaris,3965,417,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),96376,hunting macrofauna (predator),96376,NA,NA,NA,NA,NA,NA,4.1,0.85,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Neither pelagic nor fully benthic.  Inhabits circumlittoral zone and upper bottoms of bathyal systems (Ref. 2504).  Exhibits benthic behavior during spawning season and pelagic behavior at other times, e.g., during hunting (Ref. 2493).  Carnivorous predators (Ref. 2526); juvenile feeds on planktonic prey, e.g. copepods, mysids and euphausids (Ref. 2525) while adult frequently feeds on fish (Ref. 2526) and sometimes on cephalopods and crustaceans.",417,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,96376,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,4,2006-03-27T00:00:00.000Z,247,2014-06-23T00:00:00.000Z,NA,NA,2015-05-11T10:15:28.000Z,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57480
1636,Mactra violacea,1875,348,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Found in shallow subtidal levels.,348,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,5,2006-03-09T00:00:00.000Z,NA,2006-03-09T00:00:00.000Z,NA,NA,2015-05-11T10:15:27.000Z,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84558
130,Metapenaeus affinis,211,8,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,8,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,4,2006-01-02T00:00:00.000Z,247,2013-01-21T00:00:00.000Z,NA,NA,2015-05-11T10:15:26.000Z,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25396
148,Metapenaeus dobsoni,241,8,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Can tolerate a wide range of salinity, 3-43 ppt.",8,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,8,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,4,2006-01-03T00:00:00.000Z,4,2009-05-19T00:00:00.000Z,NA,NA,2015-05-11T10:15:26.000Z,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25403
189,Metapenaeus monoceros,295,8,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prefers bottom sandy mud (Ref. 8).,8,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,8,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,4,2006-01-05T00:00:00.000Z,4,2008-05-28T00:00:00.000Z,NA,NA,2015-05-11T10:15:26.000Z,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25244
9632,Mytilus edulis,30026,1667,NA,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),95805,filtering plankton,7726,NA,NA,NA,NA,NA,NA,2,0,Trophic level and s.e. inferred from exclusive plant/detritus food items.,95805,"Inhabits intertidal areas (Ref. 2789).  Found in quiet, sheltered areas forming dense aggregates on hard surfaces; attached by strong byssal threads (Ref. 95344).  In the Vainameri, north-eastern Baltic Sea, most abundant in silty substrate (Ref. 95753).  It is infaunal on sand and eelgrass beds and epifaunal on eelgrass beds (Ref. 95819).  Semi-mobile suspension feeder (Refs. 95752, 96470).   Feeds on phytoplankton such as green algae, dinoflagellates and diatoms (Ref. 95805).",95344,0,0,0,1,1,0,0,0,NA,NA,0,NA,NA,<i>Zostera</i> (Ref. 95819).,Forms dense masses on hard surfaces (Ref. 95344).,0,NA,0,NA,7726,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,7726,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,1,0,0,0,0,0,0,0,0,41,2006-11-20T00:00:00.000Z,247,2014-07-01T00:00:00.000Z,NA,NA,2015-05-11T10:15:35.000Z,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47622
614,Mytilus galloprovincialis,704,310,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Habitat:  Found in warmer waters (Ref. 95344).  Occurs in quiet waters and lives lower in the intertidal zone attached to rock substrates (Ref. 310).  Behavior:  smaller individuals moving to the outer edge of the colony (Ref. 310).,310,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,5,2006-02-01T00:00:00.000Z,286,2014-03-18T00:00:00.000Z,NA,NA,2015-05-11T10:15:26.000Z,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47624
157,Nephrops norvegicus,253,4,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,plants/detritus+animals (troph. 2.2-2.79),4,browsing on substrate,NA,NA,NA,NA,NA,"detritus, crustaceans and worms.",4,2.87,0.32,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Epibenthic (Ref. 87524).  Inhabits muddy bottoms in which it digs burrows.  Nocturnal and feeds on detritus, crustaceans and worms.  Ovigerous females are found practically throughout the year, the eggs laid around July are carried for about 9 months.",4,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,87524,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,5,2006-01-03T00:00:00.000Z,4,2014-06-18T00:00:00.000Z,NA,NA,2015-05-11T10:15:26.000Z,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26023
2917,Octopus vulgaris,3996,417,NA,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),NA,hunting macrofauna (predator),NA,NA,NA,NA,NA,NA,NA,3.6,0.73,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Inhabits rocky, sandy and muddy bottoms of the coastline to the edge of the continental shelf (Ref. 2133).  Found in intertidal and subtidal areas (Ref. 83938).",417,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,2133,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,NA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,4,2006-03-27T00:00:00.000Z,5,2011-08-22T00:00:00.000Z,173,2011-08-18T00:00:00.000Z,2015-05-11T10:15:28.000Z,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58190
