sciname,StockDefs,TempMin,TempMax,SpecCode
Brosme brosme,in all areas,NA,NA,51
Brosme brosme,Mid-Atlantic Ridge (ICES subarea XII excluding XIIb),NA,NA,51
Brosme brosme,"North Sea, Skagerrak, Kattegat, West of Scotland, Irish Sea, Celtic Sea, Channel, Bay of Biscay, Western Iberian Seas, Faroe Islands, (ICES Divisions IIIa, Vb, VIa XIIb and Subareas IV,
VII, VIII, IX)",NA,NA,51
Brosme brosme,Northeast Arctic (ICES subareas I and II),NA,NA,51
Brosme brosme,Rockall (ICES division VIb),NA,NA,51
Brycon orbignyanus,South America:  La Plata basin.,NA,NA,48557
Caranx crysos,"Eastern Atlantic:  Senegal to Angola (Ref. 4225, 13121, 57392), including the western Mediterranean, St. Paul's Rocks (Ref. 13121), and Ascension Island.  Reported from Mauritania (Ref. 55783).  Western Atlantic:  Nova Scotia, Canada to Brazil (Ref. 7251), including the Gulf of Mexico (Ref. 9626) and the Caribbean.  Also found in Argentina (Ref. 59355). In the tropical Eastern Pacific, it is replaced by <i>Caranx caballus</i> Günther 1869, which may be conspecific.",NA,NA,1933
Carassius carassius,"Eurasia:  North, Baltic, White, Barents, Black and Caspian Sea basins; Aegean Sea basin only in Maritza drainage; eastward to Kolyma drainage (Siberia); westward to Rhine and eastern drainages of England.  Absent from North Sea basin in Sweden and Norway.  In Baltic basin north to about 66°N.  Widely introduced to Italy, England and France but possibly often confused with <i>Carassius gibelio</i> (Ref. 59043). At least one country reports adverse ecological impact after introduction.",2,22,270
Carassius carassius,European subpopulation.,NA,NA,270
Carcharhinus limbatus,"Cosmopolitan.  Western Atlantic:  Nova Scotia, Canada to Brazil (Ref. 26340).  Eastern Atlantic:  Senegal to Democratic Republic of the Congo, Madeira, the Canary Islands, and Mediterranean.  Indo-Pacific:  Red Sea, Madagascar and South Africa to China, Australia, Tahiti, Marquesas, and Hawaii.  Eastern Pacific:  Baja California, Mexico to Peru, including the Galapagos Islands.",NA,NA,874
Carcharhinus limbatus,Northwest Atlantic subpopulation.,NA,NA,874
Catostomus commersonii,"North America:  throughout most of Canada to the Atlantic Coast, south through North Carolina to New Mexico in the USA, becoming less common in the southern High Plains.",0,29.2999992370605,2965
Centrophorus squamosus,"Eastern Atlantic:  Iceland and Atlantic slope to Senegal, Faeroes, Madeira, Azores, Gabon to Democratic Republic of the Congo, Namibia, western Cape of Good Hope (South Africa).  Western Indian Ocean:  off Natal, South Africa (Ref. 5578), Aldabra Islands and Arabian Sea (Ref.85183). Western Pacific:  Japan, Philippines, southeastern Australia and New Zealand.",NA,NA,653
Centrophorus squamosus,Northeast Atlantic,NA,NA,653
Centroscyllium fabricii,"Northwest Atlantic:  South Baffin Island and Greenland to Virginia, USA and possibly the Gulf of Mexico.  Eastern Atlantic:  Iceland along Atlantic slope to Senegal; Guinea to Sierra Leone; Namibia to Quoin Point, South Africa (Ref. 5578).  Southwest Atlantic:  Uruguay to Argentina (Ref. 58839).",NA,NA,656
Centroscymnus coelolepis,"Western Atlantic:  Grand Banks to Delaware, USA; Cuba (Ref. 26340).  Eastern Atlantic:  Iceland south along Atlantic slope to the southwestern Cape coast of South Africa; also western Mediterranean.  Western Pacific:  off Japan, New Zealand, and Australia (Ref. 6871, 31367).  Western Indian Ocean:  Seychelles (Ref. 76802).",5,13,662
Centroscymnus coelolepis,Northeast Atlantic,NA,NA,662
Cephalopholis taeniops,"Eastern Atlantic:  Western Sahara to Angola, including Cape Verde and the Sao Tome and Principe islands.  Also recorded from the Mediterranean.",NA,NA,4936
Chaenocephalus aceratus,"Southern Ocean:  in the vicinity of Bouvet Island, Scotia Sea, and northern part of the Antarctic Peninsula.",NA,NA,473
Champsocephalus gunnari,"Southern Ocean:  Islands of the Scotia Sea, including the northern part of Antarctic Peninsula; Kerguelen, Heard and Bouvet islands; in the South Atlantic, near the South Georgia.  Also in near the South Orkneys and South Shetland islands.",NA,NA,474
Chanda nama,"Asia:  Pakistan, India, Nepal, Bangladesh, and Myanmar.",NA,NA,10132
Channa marulius,"Asia:  India to China, south to Thailand and Cambodia (Ref. 12693) and Pakistan (Ref. 4833).",24,28,5144
Channa micropeltes,"Asia:  Mekong and Chao Phraya basins; the Malay Peninsula, and the islands of Sumatra and Borneo.  Material from India usually referred to as this species actually represents a distinct species.",25,28,344
Channa punctata,"Asia:  Afghanistan, Pakistan, India, Sri Lanka, Nepal, Bangladesh, Myanmar and Yunnan in China.",22,28,5147
Channa striata,Asia:  Pakistan to Thailand and south China.  Several countries report adverse ecological impact after introduction.,23,27,343
Charax gibbosus,"South America:  Essequibo River basin, Guyana and coastal rivers of Suriname.",24,27,12346
Chela cachius,"Asia:  Pakistan, India, Bangladesh and Myanmar.",22,26,13220
Chelidonichthys lucerna,Eastern Atlantic:  Norway to Cape Blanc (along the African coast); not recorded at Madeira and the Azores.  Also in the Mediterranean and Black seas.,8,24,1366
Chelon labrosus,Eastern Atlantic:  Scandinavia and Iceland (Ref. 4537) south to Senegal and Cape Verde.  Also Mediterranean Sea; southwestern Black Sea (Ref. 2058).,NA,NA,2499
Chirocentrus dorab,"Indo-Pacific:  probably throughout the warmer coastal waters, from the Red Sea and East Africa to the Solomon Islands, north to southern Japan, south to northern Australia.  Recently reported from Tonga (Ref. 53797).",NA,NA,6358
Chondrostoma nasus,"Europe:  Basins of Black (Danube, Dniestr, South Bug and Dniepr drainages), southern Baltic (Nieman, Odra, Vistula) and southern North Seas (westward to Meuse).  Invasive or introduced in Rhône, Loire, Hérault, Seine (France) and Soca (Italy, Slovenia) drainages.  Reports from the Drin drainage including Lakes Ohrid and Skadar represent a distinct species.  In Appendix III of the Bern Convention (protected fauna).  Asia:  Turkey.",NA,NA,4878
Clarias batrachus,"Asia:  Java, Indonesia.  Clarias aff. batrachus from Indochina and Clarias aff. batrachus
from Sundaland have been misidentified as <i>Clarias batrachus</i> from Java. Introduced elsewhere.  Several countries report adverse ecological impact after introduction.",10,28,3054
Clarias gariepinus,"Africa:  almost Pan-Africa, absent from Maghreb, the upper and lower Guinea and the Cape province and probably also Nogal province.  Asia:  Jordan, Israel, Lebanon, Syria and southern Turkey.  Widely introduced to other parts of Africa, Europe and Asia.  Several countries report adverse ecological impact after introduction.",8,35,1934
Clarias macrocephalus,"Asia:  Thailand to Viet Nam.  Introduced to China, Malaysia, Guam and the Philippines.",NA,NA,4805
Clupea harengus,"North Atlantic: in the west, it ranges from southwestern Greenland and Labrador southward to South Carolina, USA. In the east, it ranges from Iceland and southern Greenland southward to the northern Bay of Biscay and eastward to Spitsbergen and Novaya Zemlya in Russia, including the Baltic Sea (Ref. 188).",1,18,24
Clupea harengus,Northeast Atlantic: Irish Sea North of 52º 30 N (ICES division VIIa),NA,NA,24
Clupea harengus,"Northeast Atlantic:  Baltic Sea main basin excluding Gulf of Riga (ICES subdivisions 25-29 and 32, excluding 28.1).",NA,NA,24
Clupea harengus,Northeast Atlantic:  Bothnian Sea (ICES subdivision 30).,NA,NA,24
Clupea harengus,"Northeast Atlantic:  Celtic Sea, Irish Sea (South of 52° 30’ N) and South of Ireland (ICES divisions VIIa and VIIj).",NA,NA,24
Clupea harengus,Northeast Atlantic:  Gulf of Riga (ICES subdivision 28.1).,NA,NA,24
Clupea harengus,Northeast Atlantic:  Icelandic summer-spawning herring (ICES division Va).,NA,NA,24
Clupea harengus,"Northeast Atlantic:  North Sea, Eastern Channel, Skagerrak (ICES divisions IV, VIId, IIIa West) (autumn-spawners).",NA,NA,24
Clupea harengus,Northeast Atlantic:  Norwegian spring-spawning herrings.,NA,NA,24
Clupea harengus,"Northeast Atlantic:  Skagerrak, Western Baltic (ICES divisions IIIa, 22-24) (Western Baltic spring spawners).",NA,NA,24
Clupea harengus,Northeast Atlantic:  West of Scotland North (ICES division Via North).,NA,NA,24
Clupea harengus,Northeast Atlantic: Bothnian Bay (ICES subdivision 31),NA,NA,24
Clupea harengus,Northwest Atlantic: East and southeast Newfoundland (3KLPs).,NA,NA,24
Clupea harengus,Northwest Atlantic: Georges Bank (5Zceu and 6BC).,NA,NA,24
Clupea harengus,Northwest Atlantic: Gulf of Maine (5YZw).,NA,NA,24
Clupea harengus,Northwest Atlantic: Gulf of St Lawrence spring spawners (4STVn stocks).,NA,NA,24
Clupea harengus,Northwest Atlantic: Gulf of St. Lawrence fall spawners (4STVn stocks).,NA,NA,24
Clupea harengus,Northwest Atlantic: Scotia-Fundy (4VWX stock complex).,NA,NA,24
Clupea harengus,Northwest Atlantic: Western Newfoundland fall spawners (4R stocks).,NA,NA,24
Clupea harengus,Northwest Atlantic: Western Newfoundland spring spawners (4R stocks).,NA,NA,24
Clupea harengus,"Some authors consider the eastern Baltic population as valid subspecies <i>Clupea harengus membras</i>.  North Atlantic:  eastern part of the Baltic Sea east of the line passing from the southern extremity of Oland Island to the Bay of Danzig, as well as the Gulfs of Finland and Bothnia.",NA,NA,24
Clupea harengus,"Northeast Atlantic:  West of Scotland South (ICES division VIa South) and West of Ireland (ICES division VIIb, c)",NA,NA,24
Clupea pallasii pallasii,"Arctic:  White Sea eastward to Ob inlet.  Western Pacific:  Anadyr Bay, eastern coasts of Kamchatka, possibly the Aleutian Islands southward to Japan and west coast of Korea.  Eastern Pacific:  Kent Peninsula at 107°W and Beaufort Sea southward to northern Baja California, Mexico.",NA,NA,1520
Clupea pallasii pallasii,Eastern North Pacific: British Columbia..,NA,NA,1520
Clupea pallasii pallasii,Eastern North Pacific: California.,NA,NA,1520
Clupea pallasii pallasii,Eastern North Pacific: Central Alaska.,NA,NA,1520
Clupea pallasii pallasii,"Eastern North Pacific: Puget Sound herring stocks, Washington.",NA,NA,1520
Clupea pallasii pallasii,Eastern North Pacific: Southeast Alaska.,NA,NA,1520
Clupea pallasii pallasii,Eastern North Pacific: Western Alaska (Bering Sea).,NA,NA,1520
Clupea pallasii pallasii,"Western North Pacific: Dekastri herring, Russia.",NA,NA,1520
Clupea pallasii pallasii,Western North Pacific: Gizhiga-Kamchatka herring (Gizhiga coast in the Okhotsk Sea to the southeast coast of Kamchatka peninsula).,NA,NA,1520
Clupea pallasii pallasii,Western North Pacific: Hokkaido-Sakhalin herring (Sakhalin east coast from northern tip south to northeastern coast of Hokkaido and the Kuril Islands and Sea of Japan from southwest coast of Sakhalin south to  to Niigata Prefecture).,NA,NA,1520
Clupea pallasii pallasii,Western North Pacific: Korf-Karagin herring (Russian coast of the Bering Sea).,NA,NA,1520
Clupea pallasii pallasii,Western North Pacific: Peter the Great Bay herring.,NA,NA,1520
Clupea pallasii pallasii,Western North Pacific: Sea of Okhotsk herring.,NA,NA,1520
Clupea pallasii pallasii,Western North Pacific: Yellow Sea herring.,NA,NA,1520
Clupeoides borneensis,"Asia:  Chao Phraya basin and Mekong basin in Laos, Thailand, Cambodia and Viet Nam; also from southern Borneo.",NA,NA,1561
Clupeonella cultriventris,"Eurasia:  Black Sea (northwestern parts), Sea of Azov and Caspian Sea, also most of the affluent rivers of the area, reaching as far as 60 km inland.  Also, Lake Palaeostomi (Bulgaria) and in Bay of Feodosiya (Romania), also Lake Apolyont (Turkey) (Ref. 188).  Previously, two subspecies were recognized by some: <i>Clupeonella cultriventris cultriventris</i> (Nordmann, 1840) from the Black Sea and the Sea of Azov and <i>Clupeonella cultriventris caspia</i> (Svetovidov, 1941) from the Caspian Sea (Ref. 26334, 39702).",NA,NA,1470
Trichogaster fasciata,"Asia:  Pakistan, India, Nepal, Bangladesh and upper Myanmar.  Widely transported around the world (Ref. 1739).",22,28,4770
Trichogaster lalius,"Asia:  Pakistan, India and Bangladesh.  This is the smallest and most popular of the small gouramis which have been widely distributed outside its native range (Ref. 1739).",25,28,4774
Coregonus albula,"Europe:  Baltic basin, lakes of upper Volga drainage (Seliger, Vseluga, Perejaslavskoe), some lakes of White sea basin and North Sea basin east of Elbe drainage.  Anadromous in Gulf of Finland and marine in northernmost freshened part of Gulf of Bothnia; north to about 69° N in Lake Inari, northern Finland; lower Rhine (now extirpated).  Frequently stocked in lakes and reservoirs in Germany and Poland. Appendix III of the Bern Convention (protected fauna).",NA,NA,231
Coregonus clupeaformis,"North America:  throughout Alaska and most of Canada south into New England, the Great Lakes basin, and central Minnesota.  This species was stocked into high Andean lakes in two countries in southern Latin America (Ref. 1739).  Probably conspecific with <i>Coregonus lavaretus</i> (Ref. 7506).  Belongs to <i>Coregonus clupeaformis</i> complex (Ref. 27547).",NA,NA,234
Coregonus lavaretus,"Europe:  Native to Lake Bourget (France) and Geneva (Switzerland, France). Population of Lake Aiguebelette (France) apparently introduced, but a 'lavaret' had already been recorded from there in the 17th century (Ref. 59043).  Other authors assume it to be a superspecies occurring in Great Britain and Alpine areas of Central Europe.  Has been stocked into many other places in Europe outside its native range.  There are many parallel and wrong scientific names for this species in use because of the problems in classifying the genus <i>Coregonus</i> (Ref. 7495).  Appendix III of the Bern Convention (protected fauna).  Asia:  introduced to Iran (Ref. 39702).",4,16,232
Coregonus macrophthalmus,"Europe:  Lake Constance (Germany, Switzerland and Austria).",NA,NA,28065
Corica soborna,"Asia:  Indonesia, Brunei, Malaysia and India.  Occurrence in the Bangpakong River in Thailand (Ref. 1632), Mekong (Ref. 12975) and Bangladesh (Ref. 1479) need confirmation.",NA,NA,1566
Cyclocheilichthys apogon,Asia:  Myanmar to Indonesia.,24,26,10313
Cyclopterus lumpus,"Western Atlantic:  Nunavut, Hudson Bay to James Bay and Labrador in Canada to New Jersey in USA; rarely to Chesapeake Bay in USA and Bermuda.  Eastern Atlantic:  Barents Sea, Iceland and Greenland to Spain (Ref. 4701).",NA,NA,62
Cynoglossus arel,"Indo-West Pacific:  Persian Gulf to Sri Lanka and Indonesia, north to southern Japan.  Reported occurrence of this species from Niue (Ref. 3804) should be verified.",NA,NA,7523
Cynoscion arenarius,"Western Atlantic:  Florida, USA and Gulf of Mexico to Bay of Campeche, Mexico.",NA,NA,1170
Cynoscion jamaicensis,Western Atlantic:  Panama and the Greater Antilles to Argentina.  Including Lesser Antilles (Ref. 26938).  Also reported in Nicaragua (Ref. 13613).,NA,NA,1171
Cynoscion nothus,Western Atlantic:  Maryland to northeastern Florida in the USA and throughout Gulf of Mexico.  Reported from Campeche Bank in Mexico (Ref. 5733).  Often misidentified as <i>Cynoscion regalis</i> (Ref. 3702).,NA,NA,1175
Cyprinus carpio,"Asia:  Hong Kong strain ('Dor-70') introduced from the Fish and Aquaculture Research Station, Dor, Israel to the Agriculture Fisheries Department, Hong Kong in August 1977.  Founding stock was 600 fry.",NA,NA,1450
Cyprinus carpio,Asia:  Israel-Hong Kong strain ('Big belly') introduced to Israel from Hong Kong by the Mekoroth Water Company.,NA,NA,1450
Cyprinus carpio,Asia:  Israel-Taiwan 1970 strain ('Big belly') introduced to Israel from Taiwan in 1970.,NA,NA,1450
Cyprinus carpio,"Asia:  Punten strain (scale carp) of West Java, Indonesia.",NA,NA,1450
Cyprinus carpio,Asia:  Taiwan-China strain ('Big belly') introduced to Taiwan from China.,NA,NA,1450
Cyprinus carpio,Asia:  Viet Nam strain (cultured at the Research Institute for Aquaculture in Hanoi).,NA,NA,1450
Cyprinus carpio,"Asia: Asagi strain (scale carp) of Nagano Prefecture, Japan.",NA,NA,1450
Cyprinus carpio,Asia: 'Big belly' (scale carp) of Chinese race.  A collective name for Chinese common carp.  Introduced in most of Southeast Asian countries.,NA,NA,1450
Cyprinus carpio,"Asia: 'Dor-70' strain (mirror carp) was a result of the genetic improvement program at the Fish and Aquaculture Research Station, Dor, Israel.",NA,NA,1450
Cyprinus carpio,Asia: Hong Kong strain ('Big belly') introduced to Hong Kong from China.,NA,NA,1450
