,Food.Item.ID,species,taxon,max_size,max_length,TL,lwA,lwB,Habitat,Subgroup,Abs_lat,Latitude,max_length_study,nutrient,concentration,RDI
10773,23,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,4.6,PROTEIN,NA,50
10218,23,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,4.6,ZN_mg,225.2,11
9849,24,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,DHA_g,NA,1
9664,24,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,EPA_g,NA,1
10589,24,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FAT,NA,70
10034,24,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FE_mg,NA,18
10404,24,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,HG_mcg,NA,NA
10774,24,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,PROTEIN,NA,50
10219,24,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,ZN_mg,7.25,11
9850,25,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,DHA_g,NA,1
9665,25,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,EPA_g,NA,1
10590,25,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FAT,NA,70
10035,25,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FE_mg,NA,18
10405,25,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,HG_mcg,NA,NA
10775,25,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,PROTEIN,NA,50
10220,25,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,ZN_mg,8.13,11
9851,26,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,DHA_g,NA,1
9666,26,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,EPA_g,NA,1
10591,26,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FAT,NA,70
10036,26,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FE_mg,NA,18
10406,26,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,HG_mcg,NA,NA
10776,26,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,PROTEIN,NA,50
10221,26,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,ZN_mg,6.73,11
9852,27,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,DHA_g,NA,1
9667,27,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,EPA_g,NA,1
10592,27,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FAT,NA,70
10037,27,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FE_mg,NA,18
10407,27,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,HG_mcg,NA,NA
10777,27,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,PROTEIN,NA,50
10222,27,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,ZN_mg,5.8,11
9853,28,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,DHA_g,NA,1
9668,28,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,EPA_g,NA,1
10593,28,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FAT,NA,70
10038,28,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FE_mg,NA,18
10408,28,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,HG_mcg,NA,NA
10778,28,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,PROTEIN,NA,50
10223,28,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,ZN_mg,6.09,11
9854,29,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,DHA_g,NA,1
9669,29,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,EPA_g,NA,1
10594,29,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FAT,NA,70
10039,29,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FE_mg,NA,18
10409,29,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,HG_mcg,NA,NA
10779,29,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,PROTEIN,NA,50
10224,29,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,ZN_mg,8,11
9855,30,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,DHA_g,NA,1
9670,30,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,EPA_g,NA,1
10595,30,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FAT,NA,70
10040,30,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FE_mg,NA,18
10410,30,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,HG_mcg,NA,NA
10780,30,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,PROTEIN,NA,50
10225,30,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,ZN_mg,7.8,11
9768,31,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,DHA_g,NA,1
9583,31,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,EPA_g,NA,1
10508,31,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FAT,NA,70
9953,31,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FE_mg,NA,18
10323,31,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,HG_mcg,NA,NA
10693,31,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,PROTEIN,NA,50
10138,31,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,ZN_mg,8.33,11
9769,32,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,DHA_g,NA,1
9584,32,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,EPA_g,NA,1
10509,32,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FAT,NA,70
9954,32,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FE_mg,NA,18
10324,32,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,HG_mcg,NA,NA
10694,32,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,PROTEIN,NA,50
10139,32,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,ZN_mg,7.57,11
9770,33,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,DHA_g,NA,1
9585,33,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,EPA_g,NA,1
10510,33,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FAT,NA,70
9955,33,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FE_mg,NA,18
10325,33,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,HG_mcg,NA,NA
10695,33,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,PROTEIN,NA,50
10140,33,Mytilus galloprovincialis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,ZN_mg,5.76,11
9856,34,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,DHA_g,NA,1
9671,34,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,EPA_g,NA,1
10596,34,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FAT,NA,70
10041,34,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FE_mg,NA,18
10411,34,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,HG_mcg,NA,NA
10781,34,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,PROTEIN,NA,50
10226,34,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,ZN_mg,8.47,11
9857,35,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,DHA_g,NA,1
9672,35,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,EPA_g,NA,1
10597,35,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FAT,NA,70
10042,35,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FE_mg,NA,18
10412,35,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,HG_mcg,NA,NA
10782,35,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,PROTEIN,NA,50
10227,35,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,ZN_mg,7.83,11
9858,36,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,DHA_g,NA,1
9673,36,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,EPA_g,NA,1
10598,36,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FAT,NA,70
10043,36,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FE_mg,NA,18
10413,36,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,HG_mcg,NA,NA
10783,36,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,PROTEIN,NA,50
10228,36,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,ZN_mg,5.2,11
9859,37,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,DHA_g,NA,1
9674,37,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,EPA_g,NA,1
10599,37,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FAT,NA,70
10044,37,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FE_mg,NA,18
10414,37,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,HG_mcg,NA,NA
10784,37,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,PROTEIN,NA,50
10229,37,Nacella deaurata,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,ZN_mg,4.73,11
9809,42,Penaeus monodon,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,5.8,DHA_g,NA,1
9624,42,Penaeus monodon,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,5.8,EPA_g,NA,1
10549,42,Penaeus monodon,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,5.8,FAT,NA,70
9994,42,Penaeus monodon,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,5.8,FE_mg,2.88,18
10364,42,Penaeus monodon,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,5.8,HG_mcg,NA,NA
10734,42,Penaeus monodon,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,5.8,PROTEIN,NA,50
10179,42,Penaeus monodon,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,5.8,ZN_mg,1.37,11
9862,43,Litopenaeus schmitti,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,4.4,DHA_g,NA,1
9677,43,Litopenaeus schmitti,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,4.4,EPA_g,NA,1
10602,43,Litopenaeus schmitti,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,4.4,FAT,NA,70
10047,43,Litopenaeus schmitti,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,4.4,FE_mg,5.18,18
10417,43,Litopenaeus schmitti,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,4.4,HG_mcg,NA,NA
10787,43,Litopenaeus schmitti,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,4.4,PROTEIN,NA,50
10232,43,Litopenaeus schmitti,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,4.4,ZN_mg,1.55,11
9863,44,Litopenaeus schmitti,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,3.5,DHA_g,NA,1
9678,44,Litopenaeus schmitti,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,3.5,EPA_g,NA,1
10603,44,Litopenaeus schmitti,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,3.5,FAT,NA,70
10048,44,Litopenaeus schmitti,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,3.5,FE_mg,8.27,18
10418,44,Litopenaeus schmitti,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,3.5,HG_mcg,NA,NA
10788,44,Litopenaeus schmitti,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,3.5,PROTEIN,NA,50
10233,44,Litopenaeus schmitti,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,3.5,ZN_mg,1.28,11
9818,45,Penaeus semisulcatus,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,3.8,DHA_g,NA,1
9633,45,Penaeus semisulcatus,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,3.8,EPA_g,NA,1
10558,45,Penaeus semisulcatus,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,3.8,FAT,NA,70
